Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-12-31,52.56,0.0,52.56,3.2,0.24,2.47,46.65,0.0,46.65,0.03,46.62,46.62,9.79,36.83,36.83,50.6,7.28,7.28,0.0,0.0,0.0,0.0,0.0
2022-03-31,46.21,0.0,46.21,3.26,0.25,2.56,40.14,0.06,40.2,0.03,40.17,40.17,7.15,33.02,33.02,50.6,6.53,6.53,0.0,0.0,0.0,0.0,0.0
2022-06-30,126.3,0.0,126.3,3.61,0.21,7.25,115.23,0.11,115.34,0.03,115.31,115.31,6.62,108.69,108.69,50.6,21.48,21.48,0.0,0.0,0.0,0.0,0.0
2022-09-30,95.92,0.0,95.92,3.65,0.24,2.9,89.13,0.1,89.23,0.03,89.2,89.2,3.01,86.19,86.19,50.6,17.04,17.04,0.0,0.0,0.0,0.0,0.0
2022-12-31,24.71,0.0,24.71,3.9,0.26,2.07,18.48,0.03,18.51,0.02,18.49,18.49,3.64,14.85,14.85,50.6,2.94,2.94,0.0,0.0,0.0,0.0,0.0
2023-03-31,40.97,0.0,40.97,2.7,0.24,2.66,35.37,0.2,35.57,0.02,35.55,35.55,4.38,31.17,31.17,50.6,6.16,6.16,0.0,0.0,0.0,0.0,0.0
2023-06-30,122.62,0.0,122.62,3.81,0.23,4.65,113.93,0.26,114.19,0.02,114.17,114.17,2.84,111.33,111.33,50.6,22.0,22.0,0.0,0.0,0.0,0.0,0.0
2023-09-30,113.71,0.0,113.71,3.47,0.23,6.21,103.8,1.15,104.95,0.02,104.93,104.93,-8.31,113.24,113.24,50.6,22.38,22.38,0.0,0.0,0.0,0.0,0.0
2023-12-31,30.61,0.0,30.61,3.46,0.24,2.58,24.33,1.07,25.4,0.01,25.39,25.39,1.31,24.08,24.08,50.6,4.76,4.76,0.0,0.0,0.0,0.0,0.0
2024-03-31,55.54,0.0,55.54,4.09,0.23,3.33,47.89,0.35,48.24,0.02,48.22,48.22,12.96,35.26,35.26,50.6,6.97,6.97,0.0,0.0,0.0,0.0,0.0
2024-06-30,140.95,0.0,140.95,4.14,0.23,6.98,129.6,0.73,130.33,0.01,130.32,130.32,17.56,112.76,112.76,50.6,22.29,22.29,0.0,0.0,0.0,0.0,0.0
2024-09-30,132.19,0.0,132.19,3.94,0.24,4.93,123.08,0.14,123.22,0.01,123.21,123.21,22.98,100.23,100.23,50.6,19.81,19.81,0.0,0.0,0.0,0.0,0.0
2024-12-31,43.67,0.0,43.67,4.16,0.27,4.73,34.51,0.09,34.6,0.04,34.56,34.56,0.23,34.33,34.33,50.6,6.79,6.79,0.0,0.0,0.0,0.0,0.0
2025-03-31,51.54,0.0,51.54,3.61,0.87,4.6,42.46,0.17,42.63,0.04,42.59,42.59,7.39,35.2,35.2,50.6,6.96,6.96,0.0,0.0,0.0,0.0,0.0
