Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Expenditure In Foreign Currency,Long Term Borrowings,Capital Work-In-Progress,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,55.1,55.1,2010.48,2010.48,2065.57,0.0,0.0,3.57,3.57,6.68,1.57,118.41,2187.56,0.19,0.01,0.19,0.0,1926.96,217.96,1.77,11.51,6.22,23.14,260.6,2187.56,5.42,10.52,0.0,16.2,4293.86,381.73,120.75,97.27,110.15,1923.65,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,55.1,55.1,2094.35,2094.35,2149.44,0.0,0.0,4.36,4.36,4.68,1.38,119.34,2273.13,0.23,0.01,0.24,0.0,2235.21,0.0,0.48,12.33,7.31,17.81,37.92,2273.13,2.57,0.0,0.0,16.2,6013.88,571.1,0.0,0.0,113.27,2231.85,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,55.1,55.1,2180.87,2180.87,2235.97,0.0,0.0,4.93,4.93,5.22,2.3,8.14,2249.04,0.26,0.01,0.27,0.0,2199.11,0.0,0.05,12.98,17.68,19.22,49.93,2249.04,0.32,0.0,0.0,16.2,5527.13,379.61,0.0,0.0,0.63,2197.35,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,55.1,55.1,2389.52,2389.52,2444.61,0.0,0.0,5.45,5.45,9.89,1.57,12.1,2462.16,0.18,0.01,0.19,0.0,2429.18,0.0,0.07,12.12,0.33,20.45,32.98,2462.16,0.0,0.0,0.0,16.2,7181.37,427.11,0.0,0.0,0.65,2420.09,8.9,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,55.1,55.1,8126.75,8126.75,8181.85,1542.53,0.26,5.73,1548.52,5.82,1.51,7.32,9737.69,0.18,0.01,0.19,8.17,8.36,9702.13,14.07,12.01,0.06,1.07,9729.33,9737.69,12.65,0.0,0.0,16.2,0.0,293.08,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,50.6,50.6,7769.62,7769.62,7820.21,1530.67,0.29,6.45,1537.41,5.99,3.64,9.62,9367.24,0.14,0.0,0.14,8.26,8.4,9340.92,0.03,16.56,0.05,1.27,9358.83,9367.24,17.11,0.0,0.0,14.87,0.0,0.0,0.0,1325.3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,50.6,50.6,7923.36,7923.36,7973.95,103.88,1.7,5.75,111.33,4.95,4.83,9.79,8095.07,1.29,0.0,1.3,9.58,10.88,8049.47,1.01,17.16,15.61,0.94,8084.19,8095.07,15.95,0.0,0.0,14.87,0.0,0.0,0.0,1210.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,50.6,50.6,14059.61,14059.61,14110.2,626.7,1.84,5.72,634.26,5.33,4.25,9.58,14754.05,0.23,0.41,0.64,12.29,12.93,14705.79,0.0,18.46,15.03,1.83,14741.11,14754.05,2.96,0.0,0.0,14.87,0.0,0.0,0.0,14705.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,50.6,50.6,19482.25,19482.25,19532.85,1281.81,1.84,7.09,1290.74,3.56,17.7,21.25,20844.84,2.15,0.09,2.24,13.36,15.6,20780.28,39.95,8.01,0.03,0.97,20829.24,20844.84,25.86,0.0,0.0,14.87,0.0,0.0,0.0,20780.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,50.6,50.6,19351.66,19351.66,19402.25,1251.9,1.83,8.03,1261.75,3.85,8.82,12.67,20676.67,1.44,0.06,1.5,13.35,14.85,20472.02,0.04,38.66,0.01,151.07,20661.82,20676.67,15.15,0.0,0.0,14.87,0.0,0.0,0.0,20472.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,50.6,50.6,29641.4,29641.4,29692.0,2866.9,11.41,7.55,2885.87,8.1,8.27,16.37,32594.24,0.71,0.04,0.74,19.77,20.52,32557.44,0.04,14.03,0.01,2.21,32573.72,32594.24,17.54,0.0,0.0,14.87,0.0,0.0,0.0,3753.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,50.6,50.6,30739.17,30739.17,30789.77,3707.7,8.93,9.58,3726.21,3.24,15.22,18.46,34534.44,159.98,0.36,160.34,21.67,182.01,34342.94,0.0,7.43,0.04,2.02,34352.43,34534.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
