Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-06-30,804.98,804.98,223.88,5.1,535.06,40.94,27.24,68.18,0.14,68.04,0.0,68.04,17.53,50.51,0.0,50.51,281.02,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2022-09-30,782.01,782.01,239.3,6.56,500.75,35.41,66.87,102.28,0.45,101.83,0.0,101.83,16.69,85.14,0.0,85.14,281.02,1.51,1.51,0.0,0.0,0.0,0.0,0.0
2022-12-31,830.62,830.62,236.01,6.58,548.07,39.95,25.73,65.68,0.43,65.24,0.0,65.24,17.46,47.78,0.0,47.78,281.02,0.85,0.85,0.0,0.0,0.0,0.0,0.0
2023-03-31,866.15,866.15,236.97,6.97,466.14,156.07,49.27,205.34,0.42,204.93,0.0,204.93,46.2,158.72,0.0,158.72,281.02,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2023-06-30,808.34,808.34,231.64,7.43,508.16,61.11,92.62,153.73,1.14,152.59,0.0,152.59,38.97,113.62,0.0,113.62,281.02,2.02,2.02,0.0,0.0,0.0,0.0,0.0
2023-09-30,777.22,777.22,239.48,8.14,442.54,87.07,46.63,133.69,0.41,133.29,0.0,133.29,31.08,102.2,0.0,102.2,281.02,1.82,1.82,0.0,0.0,0.0,0.0,0.0
2023-12-31,856.33,856.33,255.38,8.33,553.11,39.5,29.24,68.74,0.65,68.09,0.0,68.09,17.86,50.22,0.0,50.22,281.02,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2024-03-31,790.27,790.27,242.83,10.63,475.69,61.12,56.12,117.24,0.8,116.44,0.0,116.44,25.5,90.94,0.0,90.94,281.02,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2024-06-30,610.62,610.62,237.29,9.78,326.89,36.66,37.7,74.36,0.72,73.64,0.0,73.64,18.86,54.78,0.0,54.78,281.02,0.97,0.97,0.0,0.0,0.0,0.0,0.0
2024-09-30,676.43,676.43,247.39,9.46,371.83,47.75,52.95,100.7,0.73,99.97,0.0,99.97,20.85,79.12,0.0,79.12,281.02,1.41,1.41,0.0,0.0,0.0,0.0,0.0
2024-12-31,750.16,750.16,249.89,9.44,409.1,81.72,37.05,118.77,0.63,118.13,0.0,118.13,30.03,88.1,0.0,88.1,281.02,1.57,1.57,0.0,0.0,0.0,0.0,0.0
