Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Inventories,Short Term Loans And Advances,Trade/Other Goods,Capital Goods,Long Term Provisions,Raw Materials,Equity Share Application Money,Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2014-03-31,197.04,197.04,2974.76,2974.76,3171.8,25.97,3.52,30.37,31.78,135.32,109.32,276.42,3478.59,770.61,471.23,0.4,0.0,0.0,1242.24,462.38,0.0,0.0,1946.34,214.27,574.46,562.1,79.07,1532.25,3478.59,633.0,46.47,0.0,125.5,158.92,0.0,462.38,5.67,213.86,241.72,0.57,101.78,0.61,25.6,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,197.04,197.04,3182.66,3182.66,3379.7,22.06,3.85,25.91,37.46,140.9,6.77,185.13,3590.74,714.5,359.65,0.49,0.0,0.0,1074.64,462.4,0.0,0.0,1786.25,231.16,683.53,690.52,95.83,1804.49,3590.74,585.46,60.86,0.0,148.85,158.92,0.0,462.4,5.84,230.75,249.21,0.48,102.97,1.9,19.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,197.04,197.04,3314.73,3314.73,3511.77,18.81,6.16,24.97,38.26,171.95,13.91,224.12,3760.86,437.83,386.17,0.57,0.0,0.0,824.57,620.2,0.0,0.0,1569.01,209.83,746.69,787.79,342.75,2191.85,3760.86,599.75,49.94,0.0,144.18,158.92,0.0,620.2,5.73,209.42,124.24,1.13,103.66,0.32,26.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,197.04,197.04,3824.71,3824.71,4021.75,55.55,13.76,69.31,49.7,190.09,18.98,258.77,4349.83,763.01,326.33,1.49,0.0,12.71,1103.54,908.47,0.0,188.52,2200.53,545.48,723.78,738.44,140.71,2149.3,4349.83,718.33,370.3,0.0,158.25,158.92,0.0,194.92,9.14,536.34,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,197.04,197.04,4443.03,4443.03,4640.07,76.97,12.02,88.99,55.89,389.87,15.65,461.41,5190.47,709.97,317.33,45.85,0.0,12.0,1085.15,906.96,0.0,255.75,2247.86,1505.1,1008.5,307.13,121.63,2942.61,5190.47,905.03,70.5,0.0,171.18,158.92,0.0,193.41,11.48,1493.62,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,197.04,197.04,5243.48,5243.48,5440.52,105.6,11.3,116.9,198.58,296.0,17.41,511.99,6069.41,662.46,261.85,13.31,0.0,11.26,948.88,970.98,0.0,310.09,2229.95,2079.51,1078.99,470.9,209.82,3839.46,6069.41,1057.01,74.18,0.0,216.95,158.92,0.0,232.02,14.99,2064.52,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,197.04,197.04,5427.05,5427.05,5624.09,85.14,46.62,131.76,277.14,262.76,20.91,560.81,6316.66,687.85,250.15,66.25,0.0,8.28,1012.53,991.04,0.0,292.03,2295.6,1957.94,1309.98,528.82,224.32,4021.06,6316.66,1409.95,82.02,0.0,1049.57,158.92,0.0,277.49,9.44,1948.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,197.04,197.04,6751.95,6751.95,6948.99,0.0,25.08,25.08,259.43,303.96,240.22,803.61,7777.68,621.22,138.74,146.27,0.0,7.79,914.02,1370.87,336.98,207.92,2829.79,2393.25,1394.41,875.3,284.93,4947.89,7777.68,530.22,88.61,0.0,187.32,158.92,0.0,657.32,11.41,2381.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,197.04,197.04,7856.17,7856.17,8053.21,0.0,40.98,40.98,203.6,416.02,19.53,639.15,8733.34,1265.29,334.1,244.05,0.0,33.34,1876.78,1434.98,272.01,150.59,3734.36,2391.7,1394.49,917.54,295.25,4998.98,8733.34,330.17,597.23,0.0,213.93,158.92,0.0,721.43,38.92,2352.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,197.04,197.04,8941.1,8941.1,9138.14,0.0,21.29,21.29,233.36,541.83,20.09,795.28,9954.71,929.22,631.67,0.0,131.26,30.25,1722.4,2131.45,220.79,208.72,4283.36,3499.34,1436.01,491.74,244.26,5671.35,9954.71,447.87,167.36,0.0,481.61,158.92,0.0,1417.9,39.82,3459.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,197.04,197.04,10156.31,10156.31,10353.35,0.0,12.95,12.95,256.04,532.0,21.94,809.98,11176.28,821.57,735.94,7.38,137.37,27.79,1730.05,2525.46,161.85,248.6,4665.96,4549.21,1211.0,359.59,390.52,6510.32,11176.28,263.73,170.69,0.0,269.86,158.92,0.0,1811.91,49.8,4499.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
