Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-12-31,972.34,972.34,0.0,67.25,68.7,304.41,531.98,62.1,594.08,1.46,592.62,0.0,592.62,150.8,441.82,441.82,197.04,11.21,11.21,0.0,0.0,0.0,0.0,0.0
2021-03-31,781.99,781.99,0.0,66.97,76.62,168.23,470.17,50.59,520.76,17.18,503.58,0.0,503.58,53.7,449.88,449.88,197.04,11.42,11.42,0.0,0.0,0.0,0.0,0.0
2021-06-30,810.1,810.1,113.96,68.08,33.06,133.09,461.91,56.05,517.96,1.01,516.95,0.0,516.95,127.19,389.76,389.76,197.04,9.89,9.89,0.0,0.0,0.0,0.0,0.0
2021-09-30,828.67,828.67,134.13,67.61,35.48,106.35,485.1,65.99,551.09,23.51,527.58,0.0,527.58,134.26,393.32,393.32,197.04,9.98,9.98,0.0,0.0,0.0,0.0,0.0
2021-12-31,1033.1,1033.1,158.91,66.39,153.29,85.93,568.58,42.02,610.6,0.8,609.8,0.0,609.8,152.41,457.39,457.39,197.04,11.61,11.61,0.0,0.0,0.0,0.0,0.0
2022-03-31,833.01,833.01,142.94,65.36,64.84,71.39,488.48,53.76,542.24,3.42,538.82,0.0,538.82,134.47,404.35,404.35,197.04,10.26,10.26,0.0,0.0,0.0,0.0,0.0
2022-06-30,1193.9,1193.9,199.37,68.46,207.93,162.24,555.9,100.92,656.82,1.42,655.4,0.0,655.4,163.72,491.68,491.68,197.04,12.48,12.48,0.0,0.0,0.0,0.0,0.0
2022-09-30,796.43,796.43,147.52,69.25,75.46,54.88,449.32,86.11,535.43,1.34,534.09,0.0,534.09,133.38,400.71,400.71,197.04,10.16,10.16,0.0,0.0,0.0,0.0,0.0
2022-12-31,857.51,857.51,160.38,68.17,109.22,55.89,463.85,94.2,558.05,1.14,556.91,0.0,556.91,140.59,416.32,416.32,197.04,10.56,10.56,0.0,0.0,0.0,0.0,0.0
2023-03-31,813.53,813.53,0.0,68.69,75.21,257.24,412.39,80.8,493.19,1.47,491.72,0.0,491.72,125.9,365.82,365.82,197.04,9.28,9.28,0.0,0.0,0.0,0.0,0.0
2023-06-30,1317.78,1317.78,288.46,69.16,85.17,173.7,701.29,115.59,816.88,2.2,814.68,0.0,814.68,231.88,582.8,582.8,197.04,14.79,14.79,0.0,0.0,0.0,0.0,0.0
2023-09-30,1017.98,1017.98,170.51,72.68,214.34,58.59,501.86,107.1,608.96,0.72,608.24,0.0,608.24,152.0,456.24,456.24,197.04,11.58,11.58,0.0,0.0,0.0,0.0,0.0
2023-12-31,885.48,885.48,175.26,71.04,110.89,65.42,462.87,129.33,592.2,0.89,591.31,0.0,591.31,153.97,437.34,437.34,197.04,11.1,11.1,0.0,0.0,0.0,0.0,0.0
2024-03-31,927.12,927.12,220.02,71.08,103.61,127.45,404.96,130.12,535.08,0.77,534.31,0.0,534.31,135.54,398.77,398.77,197.04,10.11,10.11,0.0,0.0,0.0,0.0,0.0
2024-06-30,1276.11,1276.11,297.14,72.64,108.93,199.96,597.44,140.24,737.68,1.35,736.33,0.0,736.33,189.39,546.94,546.94,197.04,13.88,13.88,0.0,0.0,0.0,0.0,0.0
2024-09-30,900.16,900.16,219.61,73.11,191.36,78.46,337.62,163.98,501.6,3.2,498.4,0.0,498.4,100.23,398.17,398.17,197.04,10.1,10.1,0.0,0.0,0.0,0.0,0.0
2024-12-31,793.58,793.58,0.0,72.68,108.93,288.77,323.2,134.08,457.28,2.67,454.61,0.0,454.61,107.44,347.17,347.17,197.04,8.81,8.81,0.0,0.0,0.0,0.0,0.0
