Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-06-30,422.0,0.39,422.39,128.74,89.57,2.47,39.86,13.12,30.26,54.09,64.28,12.9,77.18,14.31,62.87,0.0,62.87,12.01,50.86,0.0,50.86,18.11,2.81,2.77,0.0,0.0,0.0,0.0,0.0
2016-09-30,416.18,0.42,416.6,136.77,116.68,-42.84,37.58,13.42,30.36,74.67,49.96,12.78,62.74,15.05,47.69,0.0,47.69,9.29,38.4,0.0,38.4,18.16,2.12,2.1,0.0,0.0,0.0,0.0,0.0
2016-12-31,370.27,0.52,370.79,98.72,84.98,25.58,37.27,13.43,25.32,47.66,37.83,12.68,50.51,13.07,37.44,0.0,37.44,8.15,29.29,0.0,29.29,18.16,1.61,1.6,0.0,0.0,0.0,0.0,0.0
2017-03-31,432.62,0.5,433.12,141.75,97.36,9.0,35.73,14.27,27.92,58.63,48.46,4.32,52.78,8.46,44.32,0.0,44.32,-65.55,109.87,0.0,109.87,18.17,6.05,6.05,0.0,0.0,0.0,0.0,0.0
2017-06-30,355.9,0.8,356.7,144.96,87.05,-59.26,41.56,14.06,43.46,55.29,29.58,1.78,31.36,8.59,22.77,0.0,22.77,2.16,20.61,0.0,20.61,18.17,1.13,1.12,0.0,0.0,0.0,0.0,0.0
2017-09-30,419.25,0.0,419.25,82.04,68.88,71.14,40.58,13.8,34.4,49.67,58.74,3.8,62.54,10.43,52.11,0.0,52.11,9.82,42.29,0.0,42.29,18.17,2.33,2.3,0.0,0.0,0.0,0.0,0.0
2017-12-31,418.4,0.0,418.4,167.45,74.19,-20.82,43.08,14.14,31.95,51.86,56.55,2.27,58.82,10.59,48.23,0.0,48.23,10.95,37.28,0.0,37.28,18.18,2.05,2.03,0.0,0.0,0.0,0.0,0.0
2018-03-31,505.41,0.0,505.41,172.17,68.44,12.51,42.74,14.59,53.07,65.89,76.0,22.1,98.1,12.74,85.36,0.0,85.36,25.01,60.35,0.0,60.35,18.18,3.32,3.29,0.0,0.0,0.0,0.0,0.0
2018-06-30,405.28,0.0,405.28,147.76,66.94,-1.37,47.32,13.78,31.54,52.09,47.22,2.16,49.38,7.71,41.67,0.0,41.67,9.29,32.38,0.0,32.38,18.18,1.78,1.76,0.0,0.0,0.0,0.0,0.0
2018-09-30,427.69,0.0,427.69,172.79,70.48,-12.05,46.28,13.88,22.46,54.58,59.27,4.67,63.94,7.05,56.89,0.0,56.89,11.55,45.34,0.0,45.34,36.36,1.25,1.23,0.0,0.0,0.0,0.0,0.0
2018-12-31,434.33,0.0,434.33,189.24,63.91,-15.91,46.17,13.96,23.95,55.2,57.81,6.94,64.75,6.66,58.09,0.0,58.09,9.68,48.41,0.0,48.41,36.72,1.32,1.32,0.0,0.0,0.0,0.0,0.0
2019-03-31,504.29,0.0,504.29,194.44,66.5,19.08,48.83,16.67,31.39,61.47,65.91,11.35,77.26,6.4,70.86,0.0,70.86,3.81,67.05,0.0,67.05,36.72,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2019-06-30,411.64,0.0,411.64,161.65,53.5,0.04,50.18,18.45,33.36,47.38,47.08,4.83,51.91,6.08,45.83,-3.78,42.05,6.14,35.91,0.0,35.91,36.72,0.98,0.98,0.0,0.0,0.0,0.0,0.0
2019-09-30,464.21,0.0,464.21,177.97,69.02,5.33,52.1,18.83,27.47,53.24,60.25,5.45,65.7,5.93,59.77,0.0,59.77,6.55,53.22,0.0,53.22,36.72,1.45,1.45,0.0,0.0,0.0,0.0,0.0
2019-12-31,407.25,0.0,407.25,175.76,59.07,-21.69,52.12,19.33,24.45,52.46,45.75,5.32,51.07,6.93,44.14,0.0,44.14,1.6,42.54,0.0,42.54,36.72,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2020-03-31,382.29,0.0,382.29,176.93,49.9,-15.47,45.92,19.13,34.65,50.2,21.03,4.45,25.48,5.84,19.64,0.0,19.64,-6.39,26.03,0.0,26.03,36.72,0.71,0.71,0.0,0.0,0.0,0.0,0.0
2020-06-30,428.68,0.0,428.68,160.04,43.89,27.95,51.41,18.72,19.76,47.39,59.52,4.24,63.76,5.09,58.67,0.0,58.67,8.25,50.42,0.0,50.42,36.72,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2020-09-30,499.64,0.0,499.64,211.69,70.45,-19.77,58.72,19.34,29.83,59.85,69.53,3.94,73.47,2.86,70.61,0.0,70.61,9.95,60.66,0.0,60.66,36.72,1.65,1.65,0.0,0.0,0.0,0.0,0.0
2020-12-31,469.41,0.0,469.41,202.11,67.56,-27.16,58.24,19.81,35.09,53.77,59.99,6.31,66.3,1.96,64.34,0.0,64.34,12.12,52.22,0.0,52.22,36.72,1.42,1.42,0.0,0.0,0.0,0.0,0.0
2021-03-31,487.27,0.0,487.27,223.52,52.39,-8.35,52.48,20.04,38.16,59.25,49.78,5.32,55.1,1.81,53.29,-23.5,29.79,2.83,26.96,0.0,26.96,36.72,0.73,0.73,0.0,0.0,0.0,0.0,0.0
2021-06-30,521.94,0.0,521.94,263.49,46.07,-12.58,61.0,20.58,42.84,56.12,44.42,4.84,49.26,1.7,47.56,0.0,47.56,7.47,40.09,0.0,40.09,36.72,1.09,1.09,0.0,0.0,0.0,0.0,0.0
2021-09-30,578.3,0.0,578.3,280.14,58.05,10.51,58.75,20.58,40.33,63.43,46.51,5.24,51.75,1.78,49.97,0.0,49.97,7.85,42.12,0.0,42.12,36.72,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2021-12-31,528.65,0.0,528.65,266.41,51.58,-6.3,58.6,20.98,38.04,59.8,39.54,4.25,43.79,1.8,41.99,0.0,41.99,6.59,35.4,0.0,35.4,36.72,0.96,0.96,0.0,0.0,0.0,0.0,0.0
2022-03-31,537.37,0.0,537.37,282.25,34.46,5.28,57.0,16.38,38.7,62.84,40.46,4.64,45.1,1.41,43.69,0.0,43.69,5.17,38.52,0.0,38.52,36.72,1.05,1.05,0.0,0.0,0.0,0.0,0.0
2022-06-30,585.81,0.0,585.81,342.18,39.75,-24.1,59.84,11.33,44.34,63.98,48.49,13.94,62.43,1.26,61.17,0.0,61.17,8.98,52.19,0.0,52.19,36.72,1.42,1.42,0.0,0.0,0.0,0.0,0.0
2022-09-30,646.43,0.0,646.43,385.31,43.21,-38.37,65.06,11.21,41.0,70.07,68.94,5.53,74.47,1.19,73.28,7.03,80.31,10.93,69.38,0.0,69.38,36.72,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2022-12-31,598.58,0.0,598.58,277.64,32.09,36.96,61.69,10.59,41.36,64.42,73.83,5.61,79.44,0.95,78.49,0.0,78.49,16.82,61.67,0.0,61.67,36.72,1.68,1.68,0.0,0.0,0.0,0.0,0.0
2023-03-31,615.88,0.0,615.88,280.41,31.96,22.0,64.71,11.91,45.93,80.29,78.67,6.16,84.83,3.12,81.71,0.0,81.71,22.71,59.0,0.0,59.0,36.72,1.61,1.61,0.0,0.0,0.0,0.0,0.0
2023-06-30,686.4,0.0,686.4,329.83,41.86,-13.94,75.78,11.96,50.41,84.95,105.55,16.94,122.49,1.11,121.38,0.0,121.38,25.03,96.35,0.0,96.35,36.72,2.62,2.62,0.0,0.0,0.0,0.0,0.0
2023-09-30,731.59,0.0,731.59,313.29,44.73,13.47,76.83,12.31,0.0,147.9,123.06,13.21,136.27,1.17,135.1,0.0,135.1,30.66,104.44,0.0,104.44,36.72,2.84,2.84,0.0,0.0,0.0,0.0,0.0
2023-12-31,676.79,0.0,676.79,302.53,33.88,3.58,75.07,12.82,60.68,82.44,105.79,10.57,116.36,1.19,115.17,0.0,115.17,24.27,90.9,0.0,90.9,36.72,2.48,2.48,0.0,0.0,0.0,0.0,0.0
2024-03-31,659.25,0.0,659.25,295.15,34.51,3.23,72.45,12.86,59.75,85.72,95.58,12.95,108.53,1.26,107.27,0.0,107.27,29.07,78.2,0.0,78.2,36.72,2.13,2.13,0.0,0.0,0.0,0.0,0.0
2024-06-30,741.18,0.0,741.18,358.1,29.1,-26.29,86.06,13.4,0.0,160.61,120.2,13.69,133.89,1.39,132.5,0.0,132.5,30.67,101.83,0.0,101.83,36.72,2.77,2.77,0.0,0.0,0.0,0.0,0.0
2024-09-30,733.07,0.0,733.07,344.98,8.63,11.53,80.58,13.89,0.0,149.01,124.45,12.54,136.99,1.4,135.59,0.0,135.59,30.66,104.93,0.0,104.93,36.72,2.86,2.86,0.0,0.0,0.0,0.0,0.0
2024-12-31,703.71,0.0,703.71,343.86,19.47,-9.97,80.61,14.28,63.68,90.29,101.49,13.82,115.31,1.48,113.83,0.0,113.83,26.42,87.41,0.0,87.41,36.72,2.38,2.38,0.0,0.0,0.0,0.0,0.0
2025-03-31,665.96,0.0,665.96,311.0,20.04,7.07,78.16,14.55,53.41,84.16,97.57,15.42,112.99,1.66,111.33,-3.7,107.63,30.63,77.0,0.0,77.0,36.72,2.1,2.1,0.0,0.0,0.0,0.0,0.0
