Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,8032.71,2558.65,296.05,389.08,967.23,7816.87,1345.08,879.82,2201.95,599.74,0.0,1602.21,550.06,1052.15,1052.15,443.56,0.0,57.53,0.0,12.74,4.76,4.76,17273.95,8470.02,4.13,2.07,0.6,93.92,42.47,127.23,100.0,57.53
2015-09-30,7711.93,2739.35,291.21,413.87,1144.04,7911.89,1043.98,1007.51,2337.02,1891.7,0.0,445.32,320.84,124.48,124.48,462.09,0.0,59.24,0.0,13.28,0.56,0.56,23710.33,12797.82,5.56,3.08,0.07,93.92,40.76,136.49,100.0,59.24
2015-12-31,7169.25,2685.87,353.35,405.57,1112.91,7908.7,1154.79,959.32,1704.14,6164.55,0.0,-4460.41,-1118.37,-3342.04,-3342.04,462.09,0.0,59.24,0.0,12.95,-14.5,-14.5,38934.11,21806.16,9.68,5.67,-1.91,0.0,0.0,0.0,0.0,0.0
2016-03-31,6882.34,2689.35,365.31,1077.38,1774.68,7683.97,1434.17,1098.46,2572.46,6857.66,0.0,-4285.2,-1055.06,-3230.14,-3230.14,462.09,0.0,59.24,0.0,0.0,-14.02,-14.02,40521.04,19406.46,9.99,5.06,-1.9,0.0,0.0,0.0,0.0,0.0
2016-06-30,7162.08,2494.96,324.92,451.56,1444.39,7062.43,1108.12,1037.87,2669.49,2004.07,0.0,665.42,241.8,423.62,423.62,462.09,0.0,59.24,0.0,14.08,1.84,1.84,42991.68,20783.77,11.15,5.73,0.25,0.0,0.0,0.0,0.0,0.0
2016-09-30,6839.74,2532.89,391.78,720.76,1561.43,7059.07,1168.5,1128.83,2690.2,1795.84,0.0,894.36,342.24,552.12,552.12,462.09,0.0,59.24,0.0,0.0,2.39,2.39,42949.25,19341.95,11.35,5.46,0.33,0.0,0.0,0.0,0.0,0.0
2016-12-31,6736.47,2718.59,520.57,430.45,1774.96,7271.72,1138.91,1175.2,2595.21,2079.5,0.0,515.71,263.04,252.67,252.67,462.09,0.0,59.24,0.0,0.0,1.1,1.1,42642.4,19006.33,11.4,5.43,0.15,0.0,0.0,0.0,0.0,0.0
2017-03-31,6785.64,2849.89,753.59,486.04,1977.28,7293.3,1222.24,1316.73,3020.17,2622.97,0.0,397.2,242.48,154.72,154.72,462.09,0.0,59.24,0.0,0.0,0.67,0.67,42718.7,18080.18,10.46,4.72,0.09,0.0,0.0,0.0,0.0,0.0
2017-06-30,6934.5,2426.96,844.69,346.56,1551.15,7147.76,1014.82,1293.17,2648.11,2368.05,0.0,280.06,76.67,203.39,203.39,462.09,0.0,59.24,0.0,0.0,0.88,0.88,46172.77,19519.31,11.4,5.17,0.12,0.0,0.0,0.0,0.0,0.0
2017-09-30,7145.75,2491.78,758.87,356.93,1737.06,7032.8,1213.14,1202.61,3041.84,2329.35,0.0,712.49,357.13,355.36,355.36,462.09,0.0,59.24,0.0,0.0,1.54,1.54,46306.83,19572.62,11.16,5.05,0.21,0.0,0.0,0.0,0.0,0.0
2017-12-31,7532.68,2720.71,428.54,621.31,1673.04,6909.21,1110.42,1306.54,3650.11,3426.51,0.0,223.6,111.82,111.78,111.78,462.09,0.0,58.7,0.0,0.0,0.49,0.49,48480.44,19852.15,11.31,4.97,0.07,0.0,0.0,0.0,0.0,0.0
2018-03-31,7456.89,2780.71,382.69,418.97,1695.9,7037.0,1268.49,1764.18,2665.49,6672.38,0.0,-4006.89,-904.55,-3102.34,-3102.34,530.36,0.0,64.03,0.0,0.0,-13.44,-13.44,56480.39,23482.65,12.26,5.49,-1.77,0.0,0.0,0.0,0.0,0.0
2018-06-30,7986.11,2997.86,441.73,214.18,1147.83,7258.8,1100.9,1422.42,3005.59,2165.64,0.0,839.95,311.69,528.26,528.26,530.36,0.0,63.71,0.0,0.0,2.0,2.0,55874.81,22384.1,12.46,5.4,0.29,0.0,0.0,0.0,0.0,0.0
2018-09-30,8218.01,3219.84,459.9,180.59,1351.61,7585.8,1221.7,1540.54,3081.91,2429.54,0.0,652.37,226.99,425.38,425.38,530.36,0.0,63.74,0.0,0.0,1.6,1.6,55121.37,21059.22,11.78,4.86,0.23,0.0,0.0,0.0,0.0,0.0
2018-12-31,9000.44,3315.78,398.94,226.55,1621.14,8198.48,1303.53,1522.31,3538.53,2794.2,0.0,744.33,273.08,471.25,471.25,530.36,0.0,63.74,0.0,0.0,1.78,1.78,53184.28,19130.5,11.01,4.26,0.25,0.0,0.0,0.0,0.0,0.0
2019-03-31,9184.41,3253.24,434.63,441.9,1970.41,8247.22,1413.0,1763.58,3860.79,5399.29,0.0,-1538.5,-547.13,-991.37,-991.37,530.36,0.0,63.74,0.0,0.0,-3.75,-3.22,48232.77,15609.5,9.61,3.33,-0.52,0.0,0.0,0.0,0.0,0.0
2019-06-30,13350.14,4645.94,501.75,447.5,1915.57,12447.21,1939.42,2198.04,4276.23,3284.88,0.0,991.35,281.48,709.87,709.87,770.61,0.0,69.23,0.0,0.0,2.04,2.04,69713.95,25030.29,10.28,3.95,0.49,0.0,0.0,0.0,0.0,0.0
2019-09-30,13890.71,4418.6,465.88,498.78,2823.94,12246.04,2281.49,2234.46,5335.92,4209.16,0.0,1126.76,390.08,736.68,736.68,770.61,0.0,69.23,0.0,0.0,2.01,2.01,69968.95,24894.38,10.25,3.91,0.28,0.0,0.0,0.0,0.0,0.0
2019-12-31,13583.1,4569.05,372.5,543.26,2741.17,11938.86,2594.16,2317.59,4958.47,7155.42,0.0,-2196.95,-790.0,-1406.95,-1406.95,925.37,0.0,71.6,0.0,0.0,-3.7,-3.7,73139.7,26504.0,10.43,4.05,-0.52,0.0,0.0,0.0,0.0,0.0
2020-03-31,13291.82,4463.77,428.6,514.25,2834.66,11900.26,1954.45,2557.58,5120.81,6844.07,0.0,-1723.26,-2229.85,506.59,506.59,925.37,0.0,71.6,0.0,0.0,0.95,0.95,69381.43,21576.59,9.4,3.13,0.18,0.0,0.0,0.0,0.0,0.0
2020-06-30,13079.5,4514.67,471.35,428.64,1818.28,11678.09,2241.84,2072.57,4319.94,5627.7,0.0,-1307.76,-443.5,-864.26,-864.26,925.37,0.0,71.6,0.0,0.0,-1.87,-1.87,69132.01,19449.68,9.39,2.83,-0.3,0.0,0.0,0.0,0.0,0.0
2020-09-30,12837.99,4256.75,334.2,488.65,2802.26,10410.06,2550.28,2207.69,5551.82,3001.59,0.0,2550.23,871.63,1678.6,1678.6,925.37,0.0,71.6,0.0,0.0,3.63,3.63,65698.01,16794.93,9.14,2.51,0.59,0.0,0.0,0.0,0.0,0.0
2020-12-31,12756.06,4172.22,417.94,422.5,2895.51,10019.99,2800.23,2253.37,5590.64,3956.68,0.0,1633.96,572.85,1061.11,1061.11,925.37,0.0,71.6,0.0,0.0,2.3,2.3,63181.55,16667.71,8.48,2.39,0.37,0.0,0.0,0.0,0.0,0.0
2021-03-31,11748.5,4133.48,227.43,575.11,4848.39,9577.9,3124.91,2564.5,6265.6,3586.03,0.0,2679.57,3726.07,-1046.5,-1046.5,1035.53,0.0,63.97,0.0,0.0,-2.24,-2.24,66670.99,21799.88,8.87,3.09,-0.36,0.0,0.0,0.0,0.0,0.0
2021-06-30,12168.18,4071.08,207.46,605.92,2969.78,9160.97,3059.46,2094.58,5707.41,4111.99,0.0,1595.42,386.79,1208.63,1208.63,1035.53,0.0,63.97,0.0,0.0,2.34,2.34,63028.78,20259.97,8.86,3.03,0.42,0.0,0.0,0.0,0.0,0.0
2021-09-30,11643.79,4212.45,294.15,541.14,3579.21,9125.56,3114.3,2361.32,5669.56,2753.59,0.0,2915.97,828.12,2087.85,2087.85,1035.53,0.0,63.97,0.0,0.0,4.04,4.04,59503.82,19601.65,8.11,2.83,0.73,0.0,0.0,0.0,0.0,0.0
2021-12-31,12631.37,4567.09,261.18,503.36,2519.26,9410.97,3102.71,2485.25,5483.33,2507.04,0.0,2976.29,779.26,2197.03,2197.03,1035.53,0.0,63.97,0.0,0.0,4.25,4.25,55996.77,16464.93,7.25,2.25,0.74,0.0,0.0,0.0,0.0,0.0
2022-03-31,12835.19,4766.59,252.38,319.45,2522.29,9561.94,2702.37,2796.45,5635.14,3736.38,0.0,1898.76,119.99,1778.77,1778.77,1035.53,0.0,63.97,0.0,0.0,3.44,3.44,54059.39,13364.65,6.61,1.72,0.57,0.0,0.0,0.0,0.0,0.0
2022-06-30,13038.36,4940.22,289.43,669.48,1182.03,10099.1,3043.25,2449.65,4527.52,1684.8,0.0,2842.72,674.59,2168.13,2168.13,1035.53,0.0,63.97,0.0,0.0,4.19,4.19,52590.83,12652.74,6.26,1.58,0.68,0.0,0.0,0.0,0.0,0.0
2022-09-30,14834.15,5441.66,319.26,659.16,1825.8,11079.77,3183.41,2785.9,6030.95,1627.46,0.0,4403.49,1090.07,3313.42,3313.42,1035.53,0.0,63.97,0.0,0.0,6.41,6.41,46374.44,9672.22,5.31,1.16,1.01,0.0,0.0,0.0,0.0,0.0
2022-12-31,17106.13,5717.11,395.71,321.19,3551.95,12721.83,3347.01,2791.06,8232.19,2403.93,0.0,5828.26,1975.52,3852.74,3852.74,1035.53,0.0,63.97,0.0,0.0,7.45,7.45,41857.5,8853.82,4.53,0.99,1.13,0.0,0.0,0.0,0.0,0.0
2023-03-31,19094.85,6057.01,433.01,271.81,3466.06,14331.83,3778.99,3139.04,8072.88,1420.71,0.0,6652.17,1876.84,4775.33,4775.33,1035.53,0.0,63.97,0.0,0.0,9.23,9.23,36763.68,8384.32,3.79,0.89,1.34,0.0,0.0,0.0,0.0,0.0
2023-06-30,19813.01,6027.92,418.32,296.56,3322.26,15559.14,3754.41,2740.22,7824.3,1946.76,0.0,5877.54,1807.47,4070.07,4070.07,1035.53,0.0,63.97,0.0,0.0,7.87,7.87,34832.16,7482.45,3.51,0.78,1.11,0.0,0.0,0.0,0.0,0.0
2023-09-30,20827.46,6275.3,509.4,249.44,4171.15,17030.9,3706.36,3275.77,8019.72,2160.57,0.0,5859.15,1606.26,4252.89,4252.89,1035.53,0.0,63.97,0.0,0.0,8.22,8.22,33968.47,7596.73,3.32,0.76,1.14,0.0,0.0,0.0,0.0,0.0
2023-12-31,21697.45,6255.45,428.83,223.4,2810.49,17503.8,3808.52,3088.2,7015.1,666.34,0.0,6348.76,1769.43,4579.33,4579.33,1035.53,0.0,63.97,0.0,0.0,8.86,8.86,32317.56,7208.31,3.08,0.7,1.2,0.0,0.0,0.0,0.0,0.0
2024-03-31,22760.31,6307.01,364.53,151.55,4191.47,17790.57,4546.71,3331.49,8106.1,1301.94,0.0,6804.16,1917.67,4886.49,4886.49,1035.53,0.0,63.97,0.0,0.0,9.45,9.45,31833.63,7213.34,2.92,0.68,1.25,0.0,0.0,0.0,0.0,0.0
2024-06-30,22659.85,6438.42,354.26,176.17,2487.25,18028.63,4013.99,2912.07,7161.26,1010.67,0.0,6150.59,1692.44,4458.15,4458.15,1035.53,0.0,63.97,0.0,0.0,8.62,8.62,30873.14,7231.53,2.88,0.69,1.13,0.0,0.0,0.0,0.0,0.0
2024-09-30,23058.17,6535.69,422.49,246.96,5181.39,18641.22,4039.73,3286.74,9477.01,2335.73,0.0,7141.28,1903.35,5237.93,5237.93,1035.53,0.0,63.97,0.0,0.0,10.13,10.13,28551.2,6764.27,2.5,0.6,1.3,0.0,0.0,0.0,0.0,0.0
2024-12-31,23811.07,6553.23,415.18,128.13,3768.86,19490.72,4206.68,3314.83,7664.24,1082.34,0.0,6581.9,1744.56,4837.34,4837.34,1035.53,0.0,63.97,0.0,0.0,9.35,9.35,28471.22,6825.06,2.43,0.59,1.15,0.0,0.0,0.0,0.0,0.0
2025-03-31,23521.79,6421.42,564.44,134.37,5209.83,19622.39,4347.24,3750.1,8132.12,1551.51,0.0,6580.61,1532.88,5047.73,5047.73,1035.53,0.0,63.97,0.0,0.0,9.76,9.76,27834.88,6994.24,2.26,0.58,1.16,0.0,0.0,0.0,0.0,0.0
