Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-12-31,581.41,0.0,581.41,0.0,0.0,-0.03,16.78,26.77,363.77,174.12,14.14,188.26,0.0,188.26,188.26,64.28,123.98,123.98,98.78,12.55,12.55
2018-03-31,586.98,0.0,586.98,0.0,0.0,-0.01,16.11,33.94,394.72,142.22,17.35,159.57,0.06,159.51,159.51,54.75,104.76,104.76,98.78,10.61,10.61
2018-06-30,619.34,0.0,619.34,0.0,0.0,-0.1,16.88,29.51,391.62,181.43,15.34,196.77,0.06,196.71,196.71,68.38,128.33,128.33,98.78,12.99,12.99
2018-09-30,696.51,0.0,696.51,0.0,0.0,0.02,18.01,30.79,457.01,190.68,18.16,208.84,0.12,208.72,208.72,72.43,136.29,136.29,98.78,13.8,13.8
2018-12-31,752.68,0.0,752.68,0.0,0.0,-0.08,17.45,32.76,496.21,206.34,20.38,226.72,0.09,226.63,226.63,78.31,148.32,148.32,98.78,15.02,15.02
2019-03-31,722.54,0.0,722.54,0.0,0.0,0.05,18.53,32.87,490.01,181.08,23.83,204.91,0.05,204.86,204.86,71.4,133.46,133.46,98.78,13.51,13.51
2019-06-30,757.49,0.0,757.49,0.0,0.0,-0.01,24.41,37.19,456.26,239.64,20.34,259.98,1.37,258.61,258.61,88.37,170.24,170.24,98.78,17.23,17.23
2019-09-30,783.58,0.0,783.58,0.0,0.0,-0.04,19.12,39.1,491.09,234.31,22.98,257.29,1.45,255.84,255.84,-14.78,270.62,270.62,98.78,27.4,27.4
2019-12-31,744.5,0.0,744.5,354.23,0.0,0.08,19.18,41.45,112.15,217.41,28.57,245.98,1.62,244.36,244.36,58.31,186.05,186.05,98.78,18.84,18.84
2020-03-31,752.67,0.0,752.67,298.51,0.0,0.02,17.93,43.99,192.38,199.84,26.96,226.8,2.08,224.72,224.72,58.13,166.59,166.59,98.78,16.87,16.87
2020-06-30,261.75,0.0,261.75,98.72,0.0,0.11,24.64,42.26,58.29,37.73,24.52,62.25,1.53,60.72,60.72,15.47,45.25,45.25,98.78,4.58,4.58
2020-09-30,506.73,0.0,506.73,177.13,0.0,-0.07,24.81,42.46,83.77,178.63,18.43,197.06,2.03,195.03,195.03,50.69,144.34,144.34,98.78,14.61,14.61
2020-12-31,666.4,0.0,666.4,214.4,0.0,0.02,19.91,44.12,115.35,272.6,20.39,292.99,1.72,291.27,291.27,74.06,217.21,217.21,98.78,21.99,21.99
2021-03-31,717.66,0.0,717.66,256.96,0.0,0.04,18.17,44.84,126.33,271.32,17.17,288.49,1.92,286.57,286.57,73.8,212.77,212.77,98.78,21.54,21.54
2021-06-30,615.49,0.0,615.49,191.04,0.0,-0.02,20.03,45.27,100.45,258.72,18.62,277.34,1.7,275.64,275.64,71.56,204.08,204.08,98.78,20.66,20.66
2021-09-30,830.14,0.0,830.14,382.18,0.0,-0.27,22.54,47.28,123.93,254.48,22.59,277.07,2.02,275.05,275.05,70.76,204.29,204.29,98.78,20.68,20.68
2021-12-31,1027.8,0.0,1027.8,765.52,0.0,-0.35,21.98,48.21,137.55,54.89,21.83,76.72,1.54,75.18,75.18,18.39,56.79,56.79,98.78,5.75,5.75
2022-03-31,1086.77,0.0,1086.77,707.04,0.0,0.27,18.76,55.51,145.23,159.96,22.7,182.66,2.27,180.39,180.39,48.59,131.8,131.8,98.78,13.34,13.34
2022-06-30,1454.75,0.0,1454.75,1004.53,0.0,-0.62,21.74,53.68,143.55,231.87,20.01,251.88,2.29,249.59,249.59,64.39,185.2,185.2,98.78,18.75,18.75
2022-09-30,1562.66,0.0,1562.66,1147.64,0.0,-0.11,31.94,55.1,130.35,197.74,25.98,223.72,2.47,221.25,221.25,57.28,163.97,163.97,98.78,16.6,16.6
2022-12-31,1671.39,0.0,1671.39,1240.96,0.0,-0.31,21.86,58.53,152.78,197.57,32.25,229.82,2.42,227.4,227.4,55.33,172.07,172.07,98.78,17.42,17.42
2023-03-31,1610.48,0.0,1610.48,1042.51,0.0,0.25,32.35,63.83,145.67,325.87,33.64,359.51,2.21,357.3,357.3,88.49,268.81,268.81,98.78,27.21,27.51
2023-06-30,1537.79,0.0,1537.79,843.86,0.0,0.3,28.55,62.04,143.81,459.23,38.95,498.18,2.51,495.67,495.67,127.27,368.4,368.4,98.78,37.3,37.3
2023-09-30,1570.93,0.0,1570.93,899.28,0.0,-0.09,31.07,65.79,161.79,413.09,43.71,456.8,2.47,454.33,454.33,115.83,338.5,338.5,98.78,34.27,34.27
2023-12-31,1568.76,0.0,1568.76,923.06,0.0,-0.02,29.11,68.29,167.92,380.4,48.07,428.47,2.72,425.75,425.75,108.57,317.18,317.18,98.78,32.11,32.11
2024-03-31,1567.05,0.0,1567.05,951.7,0.0,-0.02,29.4,77.52,192.18,316.27,44.57,360.84,3.83,357.01,357.01,92.02,264.99,264.99,98.78,26.83,26.83
2024-06-30,1589.63,0.0,1589.63,959.76,0.0,-0.05,29.74,71.85,181.7,346.63,40.16,386.79,3.1,383.69,383.69,99.16,284.53,284.53,98.78,28.8,28.8
2024-09-30,1711.62,0.0,1711.62,1080.01,0.0,0.08,41.6,73.48,191.42,325.03,51.15,376.18,3.07,373.11,373.11,90.31,282.8,282.8,98.78,28.63,28.63
2024-12-31,1757.58,0.0,1757.58,1205.19,0.0,-0.35,33.42,79.11,204.9,235.31,46.29,281.6,3.38,278.22,278.22,52.85,225.37,225.37,98.78,22.82,22.82
2025-03-31,1864.85,0.0,1864.85,1213.08,0.0,0.2,33.02,81.82,240.18,296.55,46.41,342.96,3.88,339.08,339.08,86.89,252.19,252.19,98.78,25.53,25.53
