Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-09-30,10833.02,0.0,10833.02,6367.26,0.0,-157.36,1705.84,511.03,400.13,0.0,1315.51,690.61,201.34,891.95,424.23,467.72,0.0,467.72,159.1,308.62,0.0,308.62,222.93,0.0,1.38,1.38,0.0,0.0,0.0,0.0,0.0
2018-12-31,11937.74,0.0,11937.74,7812.37,4.01,-637.1,1819.39,511.09,429.05,0.0,1499.79,499.14,272.65,771.79,433.73,338.06,0.0,338.06,90.6,247.46,0.0,247.46,222.94,0.0,1.11,1.11,0.0,0.0,0.0,0.0,0.0
2019-03-31,12372.66,0.0,12372.66,6620.62,225.47,973.38,1790.14,490.54,459.7,0.0,1370.11,442.7,360.57,803.27,414.32,388.95,0.0,388.95,153.13,235.82,0.0,235.82,222.94,0.0,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2019-06-30,10054.65,0.0,10054.65,5740.46,0.0,206.79,1745.29,476.15,417.99,0.0,1168.52,299.45,201.37,500.82,444.35,56.47,-21.8,34.67,12.09,22.58,0.0,22.58,222.42,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2019-09-30,9965.0,0.0,9965.0,5902.0,5.0,-274.0,1904.0,484.0,420.0,0.0,1152.0,372.0,191.0,563.0,428.0,135.0,-31.0,104.0,26.0,78.0,0.0,78.0,222.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2019-12-31,10230.0,0.0,10230.0,5740.0,10.0,37.0,1692.0,493.0,428.0,0.0,1245.0,585.0,139.0,724.0,406.0,318.0,-11.0,307.0,114.0,193.0,0.0,193.0,222.0,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0
2020-03-31,9992.0,0.0,9992.0,5241.0,241.0,30.0,1653.0,469.0,442.0,0.0,1217.0,699.0,208.0,907.0,401.0,506.0,0.0,506.0,180.0,326.0,0.0,326.0,222.0,0.0,1.47,1.47,0.0,0.0,0.0,0.0,0.0
2020-06-30,7420.0,0.0,7420.0,4541.0,189.0,-356.0,1264.0,461.0,425.0,0.0,748.0,148.0,246.0,394.0,425.0,-31.0,-35.0,-66.0,-26.0,-40.0,0.0,-40.0,222.0,0.0,-0.18,-0.18,0.0,0.0,0.0,0.0,0.0
2020-09-30,9518.0,0.0,9518.0,6256.0,439.0,-1006.0,1471.0,439.0,427.0,136.0,931.0,425.0,166.0,591.0,361.0,230.0,88.0,318.0,120.0,198.0,0.0,198.0,222.0,0.0,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2020-12-31,11351.0,0.0,11351.0,6947.0,429.0,-382.0,1453.0,442.0,414.0,-3.0,1283.0,768.0,185.0,953.0,352.0,601.0,-69.0,532.0,192.0,340.0,0.0,340.0,222.0,0.0,1.53,1.53,0.0,0.0,0.0,0.0,0.0
