Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2021-06-30,2123.4,0.0,2123.4,701.5,20.4,-54.6,318.0,116.7,520.5,500.9,29.7,530.6,44.2,486.4,0.0,486.4,86.5,399.9,0.0,399.9,102.4,3.91,3.91,0.0,0.0,0.0,0.0,0.0
2021-09-30,2008.9,0.0,2008.9,654.2,89.3,27.0,304.7,119.2,449.4,365.1,69.4,434.5,24.1,410.4,-319.3,91.1,77.0,14.1,0.0,14.1,102.4,0.14,0.14,0.0,0.0,0.0,0.0,0.0
2021-12-31,1830.3,0.0,1830.3,566.1,81.1,22.6,293.3,120.0,508.6,238.6,25.9,264.5,24.6,239.9,0.0,239.9,42.9,197.0,0.0,197.0,102.4,1.92,1.92,0.0,0.0,0.0,0.0,0.0
2022-03-31,1919.2,100.1,2019.3,707.2,97.3,-41.9,288.9,122.8,510.2,334.8,53.7,388.5,42.0,346.5,0.0,346.5,99.6,246.9,0.0,246.9,102.4,2.41,2.41,0.0,0.0,0.0,0.0,0.0
2022-06-30,1980.9,0.0,1980.9,549.1,121.3,13.2,319.5,123.1,433.5,421.2,51.7,472.9,40.6,432.3,0.0,432.3,100.8,331.5,0.0,331.5,102.4,3.24,3.24,0.0,0.0,0.0,0.0,0.0
2022-09-30,2216.8,182.0,2398.8,721.6,85.6,67.9,323.2,124.0,521.5,555.0,109.2,664.2,64.1,600.1,0.0,600.1,149.0,451.1,0.0,451.1,101.2,4.45,4.45,0.0,0.0,0.0,0.0,0.0
2022-12-31,2086.9,0.0,2086.9,626.1,78.3,38.7,326.1,121.6,559.1,337.0,136.3,473.3,88.5,384.8,0.0,384.8,128.9,255.9,0.0,255.9,101.2,2.53,2.53,0.0,0.0,0.0,0.0,0.0
2023-03-31,2437.3,142.0,2579.3,806.7,77.5,-14.7,353.1,119.9,584.2,652.6,251.2,903.8,85.0,818.8,-203.8,615.0,124.3,490.7,0.0,490.7,101.2,4.85,4.85,0.0,0.0,0.0,0.0,0.0
2023-06-30,2955.7,0.0,2955.7,876.7,43.9,28.1,351.7,121.2,514.3,1019.8,82.4,1102.2,89.7,1012.5,0.0,1012.5,231.6,780.9,0.0,780.9,101.2,7.71,7.71,0.0,0.0,0.0,0.0,0.0
2023-09-30,2159.3,0.0,2159.3,705.9,99.5,-98.1,377.7,124.9,424.9,524.5,534.5,1059.0,90.9,968.1,0.0,968.1,163.1,805.0,0.0,805.0,101.2,7.96,7.96,0.0,0.0,0.0,0.0,0.0
2023-12-31,2371.3,0.0,2371.3,681.6,68.7,24.5,373.0,127.7,524.4,571.4,106.8,678.2,103.9,574.3,0.0,574.3,123.9,450.4,0.0,450.4,101.2,4.45,4.45,0.0,0.0,0.0,0.0,0.0
2024-03-31,3172.6,159.8,3332.4,737.2,71.1,-86.2,405.1,130.6,636.0,1438.6,361.1,1799.7,106.2,1693.5,-8.6,1684.9,279.7,1405.2,0.0,1405.2,100.6,13.89,13.89,0.0,0.0,0.0,0.0,0.0
2024-06-30,4035.4,124.8,4160.2,725.7,58.7,-46.4,424.4,130.6,624.9,2242.3,106.6,2348.9,115.4,2233.5,0.0,2233.5,532.7,1700.8,0.0,1700.8,100.6,16.9,16.9,0.0,0.0,0.0,0.0,0.0
2024-09-30,2512.3,108.3,2620.6,704.8,87.1,-138.9,436.5,133.7,588.9,808.5,326.7,1135.2,95.9,1039.3,0.0,1039.3,249.5,789.8,0.0,789.8,100.6,7.85,7.85,0.0,0.0,0.0,0.0,0.0
2024-12-31,2408.9,107.0,2515.9,635.8,112.1,187.8,425.0,131.6,506.7,516.9,77.5,594.4,97.2,497.2,0.0,497.2,26.6,470.6,0.0,470.6,100.6,4.68,4.68,0.0,0.0,0.0,0.0,0.0
2025-03-31,5633.5,186.1,5819.6,720.8,93.0,-123.6,476.3,128.0,880.4,3644.7,185.4,3830.1,155.4,3674.7,0.0,3674.7,861.0,2813.7,0.0,2813.7,100.6,27.96,27.96,0.0,0.0,0.0,0.0,0.0
