Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-09-30,5962.77,117.15,6079.92,3758.4,319.18,-22.5,241.4,78.01,0.0,466.73,1238.7,267.98,1506.68,0.34,1506.34,0.0,1506.34,453.97,1052.37,0.0,1052.37,289.37,36.4,36.4,0.0,0.0,0.0,0.0,0.0
2015-12-31,5446.13,101.7,5547.83,3383.43,345.26,-32.92,229.91,74.64,-3.66,454.18,1096.99,242.46,1339.45,0.21,1339.24,0.0,1339.24,368.63,970.61,0.0,970.61,289.37,33.5,33.5,0.0,0.0,0.0,0.0,0.0
2016-03-31,5251.96,107.53,5359.49,3170.6,341.28,21.38,202.4,76.1,-5.2,475.67,1077.26,256.89,1334.15,0.39,1333.76,0.0,1333.76,384.43,949.33,0.0,949.33,289.37,32.8,32.8,0.0,0.0,0.0,0.0,0.0
2016-06-30,5643.61,104.34,5747.95,3523.04,338.27,1.46,268.31,77.47,0.0,440.54,1098.86,267.06,1365.92,0.22,1365.7,0.0,1365.7,387.33,978.37,0.0,978.37,289.37,33.8,33.8,0.0,0.0,0.0,0.0,0.0
2016-09-30,5949.52,105.2,6054.72,3750.47,340.57,-33.98,258.72,76.95,0.0,442.81,1219.18,342.02,1561.2,0.68,1560.52,0.0,1560.52,437.77,1122.75,0.0,1122.75,289.37,38.8,38.8,0.0,0.0,0.0,0.0,0.0
2016-12-31,4975.56,91.33,5066.89,2992.32,323.71,68.02,242.72,77.17,0.0,396.21,966.74,319.29,1286.03,0.26,1285.77,0.0,1285.77,361.15,924.62,0.0,924.62,289.37,32.0,32.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,4805.03,92.29,4897.32,3019.53,379.92,-79.18,227.32,75.7,0.0,443.75,830.28,293.6,1123.88,0.24,1123.64,0.0,1123.64,321.82,801.82,0.0,801.82,289.37,27.7,27.7,0.0,0.0,0.0,0.0,0.0
2017-06-30,5328.48,113.89,5442.37,3422.92,331.93,54.42,272.54,75.26,0.0,422.21,863.09,457.28,1320.37,0.24,1320.13,-32.0,1288.13,364.2,923.93,0.0,923.93,289.37,31.9,31.9,0.0,0.0,0.0,0.0,0.0
2017-09-30,6461.3,105.13,6566.43,4116.7,325.97,106.54,264.39,76.97,0.0,467.92,1221.42,296.44,1517.86,0.47,1517.39,0.0,1517.39,405.53,1111.86,0.0,1111.86,289.37,38.4,38.4,0.0,0.0,0.0,0.0,0.0
2017-12-31,6246.23,123.11,6369.34,3970.97,404.4,-20.7,265.19,74.68,0.0,518.03,1156.77,226.87,1383.64,0.3,1383.34,0.0,1383.34,430.9,952.44,0.0,952.44,289.37,32.9,32.9,0.0,0.0,0.0,0.0,0.0
2018-03-31,6650.81,122.49,6773.3,4488.57,338.95,-130.58,266.97,87.89,0.0,494.15,1227.35,366.66,1594.01,0.3,1593.71,0.0,1593.71,513.84,1079.87,0.0,1079.87,289.37,37.3,37.3,0.0,0.0,0.0,0.0,0.0
2018-06-30,7267.19,152.1,7419.29,4810.28,354.56,134.42,314.04,69.97,0.0,524.57,1211.45,404.41,1615.86,0.31,1615.55,0.0,1615.55,500.32,1115.23,0.0,1115.23,289.37,38.5,38.5,0.0,0.0,0.0,0.0,0.0
2018-09-30,7831.79,155.0,7986.79,5415.26,413.93,-46.33,311.94,71.51,-6.2,555.24,1271.44,381.52,1652.96,0.31,1652.65,0.0,1652.65,500.17,1152.48,0.0,1152.48,289.37,39.8,39.8,0.0,0.0,0.0,0.0,0.0
2018-12-31,7243.07,166.29,7409.36,5033.36,409.05,-45.25,316.86,63.38,-8.62,547.89,1092.69,469.98,1562.67,3.57,1559.1,0.0,1559.1,457.22,1101.88,0.0,1101.88,289.37,38.1,38.1,0.0,0.0,0.0,0.0,0.0
2019-03-31,7225.2,169.99,7395.19,5042.45,401.84,-99.26,312.56,60.83,-10.92,586.27,1101.42,432.73,1534.15,0.29,1533.86,342.0,1875.86,570.27,1305.59,0.0,1305.59,289.37,45.1,45.1,0.0,0.0,0.0,0.0,0.0
2019-06-30,7565.01,190.81,7755.82,5001.27,338.17,224.33,360.54,60.14,-5.47,638.77,1138.07,441.25,1579.32,0.54,1578.78,0.0,1578.78,453.11,1125.67,0.0,1125.67,289.37,38.9,38.9,0.0,0.0,0.0,0.0,0.0
2019-09-30,7499.21,208.11,7707.32,5265.18,400.21,-228.39,338.35,61.34,-8.75,662.67,1216.71,393.44,1610.15,1.24,1608.91,0.0,1608.91,206.49,1402.42,0.0,1402.42,289.37,48.5,48.5,0.0,0.0,0.0,0.0,0.0
2019-12-31,7436.42,203.24,7639.66,4727.65,437.21,177.38,348.24,61.68,-10.23,592.2,1305.53,366.22,1671.75,0.47,1671.28,0.0,1671.28,409.68,1261.6,0.0,1261.6,289.37,43.6,43.6,0.0,0.0,0.0,0.0,0.0
2020-03-31,6610.9,204.95,6815.85,4490.52,411.08,-236.33,342.08,63.27,-5.52,561.26,1189.49,532.65,1722.14,0.91,1721.23,0.0,1721.23,410.94,1310.29,0.0,1310.29,289.37,45.3,45.3,0.0,0.0,0.0,0.0,0.0
2020-06-30,2948.52,130.72,3079.24,1695.92,89.75,280.93,337.27,63.79,-1.71,268.55,344.74,337.88,682.62,0.95,681.67,0.0,681.67,153.63,528.04,0.0,528.04,289.37,18.3,18.3,0.0,0.0,0.0,0.0,0.0
2020-09-30,7041.48,114.38,7155.86,4773.74,347.06,-62.67,324.56,64.32,-2.93,509.87,1201.91,285.8,1487.71,2.65,1485.06,0.0,1485.06,346.86,1138.2,0.0,1138.2,289.37,39.3,39.3,0.0,0.0,0.0,0.0,0.0
2020-12-31,8730.1,179.78,8909.88,5993.05,486.47,-171.28,317.18,65.0,-1.97,556.81,1664.62,369.18,2033.8,1.02,2032.78,0.0,2032.78,476.5,1556.28,0.0,1556.28,289.37,53.8,53.8,0.0,0.0,0.0,0.0,0.0
2021-03-31,8412.8,183.3,8596.1,5845.38,597.76,-266.46,306.95,66.17,-5.66,594.03,1457.93,283.6,1741.53,2.04,1739.49,0.0,1739.49,407.42,1332.07,0.0,1332.07,289.37,46.1,46.1,0.0,0.0,0.0,0.0,0.0
2021-06-30,7216.57,169.47,7386.04,4880.1,384.2,130.08,361.54,64.07,-2.1,512.44,1055.71,329.3,1385.01,2.29,1382.72,0.0,1382.72,321.54,1061.18,0.0,1061.18,289.37,36.7,36.7,0.0,0.0,0.0,0.0,0.0
2021-09-30,8385.78,376.4,8762.18,5926.15,488.73,41.58,351.56,65.6,-5.7,558.74,1335.52,318.32,1653.84,1.7,1652.14,0.0,1652.14,377.59,1274.55,0.0,1274.55,289.37,44.1,44.1,0.0,0.0,0.0,0.0,0.0
2021-12-31,8805.5,216.15,9021.65,6036.97,540.72,165.56,339.85,69.83,-3.19,569.6,1302.31,272.76,1575.07,1.79,1573.28,0.0,1573.28,359.09,1214.19,0.0,1214.19,289.37,42.0,42.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,7728.13,246.71,7974.84,5326.66,558.33,-149.26,305.85,69.67,-2.32,569.98,1295.93,288.86,1584.79,2.88,1581.91,315.28,1897.19,428.24,1468.95,0.0,1468.95,289.37,50.8,50.8,0.0,0.0,0.0,0.0,0.0
2022-06-30,7768.89,236.08,8004.97,5435.38,468.39,-126.13,379.59,67.33,-5.05,555.77,1229.69,319.32,1549.01,4.34,1544.67,0.0,1544.67,371.37,1173.3,0.0,1173.3,289.37,40.6,40.6,0.0,0.0,0.0,0.0,0.0
2022-09-30,9911.06,291.71,10202.77,6940.5,489.55,56.03,352.17,67.0,-3.73,609.51,1691.74,333.15,2024.89,10.92,2013.97,0.0,2013.97,483.97,1530.0,0.0,1530.0,283.65,53.5,53.5,0.0,0.0,0.0,0.0,0.0
2022-12-31,9315.14,0.0,9315.14,5764.96,567.64,244.94,351.12,73.95,-6.59,616.26,1702.86,269.12,1971.98,8.48,1963.5,0.0,1963.5,472.08,1491.42,0.0,1491.42,282.96,52.7,52.7,0.0,0.0,0.0,0.0,0.0
2023-03-31,8631.55,273.17,8904.72,5868.17,618.27,-272.95,362.02,74.16,-12.45,625.09,1642.41,259.83,1902.24,15.74,1886.5,0.0,1886.5,453.62,1432.88,0.0,1432.88,282.96,50.7,50.7,0.0,0.0,0.0,0.0,0.0
2023-06-30,10048.59,261.18,10309.77,6696.96,595.16,120.53,384.16,83.53,-19.74,578.77,1870.4,346.33,2216.73,12.09,2204.64,0.0,2204.64,539.87,1664.77,0.0,1664.77,282.96,58.9,58.9,0.0,0.0,0.0,0.0,0.0
2023-09-30,10777.27,0.0,10777.27,7222.54,623.12,-194.6,381.61,87.63,0.0,611.75,2045.22,361.35,2406.57,6.53,2400.04,0.0,2400.04,563.9,1836.14,0.0,1836.14,282.96,64.9,64.9,0.0,0.0,0.0,0.0,0.0
2023-12-31,12113.51,0.0,12113.51,7890.77,648.68,70.11,384.56,88.12,0.0,689.52,2341.75,346.11,2687.86,12.1,2675.76,0.0,2675.76,633.88,2041.88,0.0,2041.88,283.18,72.2,72.2,0.0,0.0,0.0,0.0,0.0
2024-03-31,11484.68,0.0,11484.68,7458.32,678.34,-66.49,387.23,90.56,-14.59,735.62,2215.69,348.66,2564.35,22.78,2541.57,0.0,2541.57,605.57,1936.0,0.0,1936.0,279.18,68.5,68.5,0.0,0.0,0.0,0.0,0.0
2024-06-30,11928.02,0.0,11928.02,7516.6,664.96,171.1,434.96,93.69,0.0,725.14,2321.57,320.94,2642.51,20.67,2621.84,0.0,2621.84,633.5,1988.34,0.0,1988.34,279.18,71.2,71.2,0.0,0.0,0.0,0.0,0.0
2024-09-30,13127.47,0.0,13127.47,8722.67,742.79,-101.61,393.49,95.6,0.0,717.95,2556.58,384.54,2941.12,15.92,2925.2,0.0,2925.2,920.16,2005.04,0.0,2005.04,279.26,71.9,71.9,0.0,0.0,0.0,0.0,0.0
2024-12-31,12806.85,0.0,12806.85,8379.22,820.0,-66.52,386.45,99.67,0.0,706.97,2481.06,334.7,2815.76,14.31,2801.45,0.0,2801.45,692.72,2108.73,0.0,2108.73,279.26,75.5,75.5,0.0,0.0,0.0,0.0,0.0
