Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2019-12-31,265.91,265.91,172.35,0.0,-18.58,21.38,12.06,33.18,45.52,5.5,51.02,2.15,48.87,0.0,48.87,12.03,36.84,36.84,15.33,12.02,12.02
2020-03-31,242.43,242.43,151.37,0.0,-8.36,16.1,12.73,27.89,42.71,4.64,47.35,1.56,45.79,0.0,45.79,12.26,33.53,33.53,15.33,10.94,10.94
2020-06-30,235.6,235.6,128.53,0.0,15.51,18.29,11.12,21.68,40.46,1.6,42.06,1.75,40.31,0.0,40.31,11.74,28.57,28.57,15.33,9.32,9.32
2020-09-30,265.81,265.81,168.8,0.0,-1.24,17.38,11.37,32.13,37.38,3.98,41.37,1.56,39.8,0.0,39.8,10.33,29.47,29.47,15.33,9.61,9.61
2020-12-31,298.19,298.19,192.69,0.0,4.28,21.34,11.89,34.07,33.92,5.38,39.3,1.54,37.76,0.0,37.76,9.74,28.02,28.02,15.33,9.14,9.14
2021-03-31,321.69,321.69,225.33,0.04,-7.73,19.17,12.38,38.96,33.55,6.06,39.6,1.24,38.36,0.0,38.36,9.49,28.87,28.87,15.33,9.42,9.42
2021-06-30,359.9,359.9,268.79,0.0,-20.82,20.26,9.51,41.78,40.38,5.98,46.37,1.29,45.08,0.0,45.08,10.14,34.94,34.94,15.33,11.4,11.4
2021-09-30,429.55,429.55,292.04,0.0,-6.84,20.77,9.76,50.75,63.07,6.23,69.3,1.21,68.09,0.0,68.09,18.13,49.97,49.97,15.33,16.3,16.3
2021-12-31,468.24,468.24,302.33,0.0,12.21,20.43,10.06,53.57,69.64,6.61,76.25,1.22,75.03,0.0,75.03,19.32,55.71,55.71,15.33,18.17,18.17
2022-03-31,600.73,600.73,356.81,0.0,-10.34,23.91,10.57,84.28,135.51,14.4,149.9,1.34,148.56,0.0,148.56,38.51,110.05,110.05,15.33,35.89,35.89
2022-06-30,752.58,752.58,469.85,0.0,-27.79,24.87,11.07,80.1,194.49,16.56,211.05,1.14,209.92,0.0,209.92,52.64,157.28,157.28,15.33,51.3,51.3
2022-09-30,828.09,828.09,524.18,0.0,-12.37,23.13,11.52,79.35,202.28,19.3,221.59,1.27,220.32,0.0,220.32,56.32,164.0,164.0,15.33,53.49,53.49
2022-12-31,749.86,749.86,469.49,0.0,16.85,23.06,12.27,65.79,162.4,15.16,177.55,1.1,176.45,0.0,176.45,45.2,131.25,131.25,15.33,42.81,42.81
2023-03-31,698.61,698.61,459.4,0.0,-33.88,29.54,13.03,56.29,174.22,12.98,187.21,0.87,186.34,0.0,186.34,48.26,138.08,138.08,15.33,45.03,45.03
2023-06-30,532.14,532.14,324.18,0.0,-20.16,28.55,11.71,47.7,140.15,14.45,154.6,0.65,153.96,0.0,153.96,39.74,114.22,114.22,15.33,37.25,37.25
2023-09-30,471.73,471.73,247.83,0.0,26.02,26.98,14.4,66.52,89.97,17.15,107.12,0.7,106.42,0.0,106.42,27.05,79.37,79.37,15.33,34.71,34.71
2023-12-31,425.76,425.76,222.82,0.0,25.05,26.88,14.74,58.65,77.63,17.45,95.08,0.48,94.61,0.0,94.61,24.95,69.66,69.66,15.33,22.72,22.72
2024-03-31,521.52,521.52,271.92,0.0,22.25,31.24,15.29,63.86,116.95,22.62,139.57,0.5,139.07,-0.56,138.51,34.2,104.31,104.31,15.33,34.02,34.02
2024-06-30,508.33,508.33,304.7,0.0,-11.08,32.59,11.7,60.33,110.09,24.11,134.2,0.39,133.81,0.0,133.81,34.81,99.0,99.0,15.33,32.29,32.29
2024-09-30,595.47,595.47,357.64,0.0,-3.62,30.24,12.41,68.28,130.52,21.72,152.24,0.41,151.84,0.0,151.84,38.72,113.11,113.11,15.33,36.89,36.89
2024-12-31,521.51,521.51,341.68,1.31,-20.55,30.99,12.97,63.87,91.25,28.85,120.1,0.4,119.7,0.0,119.7,30.69,89.01,89.01,15.33,29.03,29.03
2025-03-31,576.25,576.25,359.12,1.99,0.67,34.76,13.99,71.53,94.21,25.58,119.79,0.5,119.29,0.0,119.29,30.76,88.54,88.54,15.33,28.88,28.88
