Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-12-31,4428.29,0.0,4428.29,1961.74,79.56,30.77,646.48,318.57,165.79,517.67,707.71,46.34,754.05,29.51,724.54,0.0,724.54,250.69,473.85,0.0,473.85,131.47,7.21,7.2,0.0,0.0,0.0,0.0,0.0
2018-03-31,4605.55,0.0,4605.55,1959.09,38.58,111.9,664.04,343.59,185.27,643.7,659.38,101.98,761.36,48.56,712.8,-218.65,494.15,121.03,373.12,0.0,373.12,131.48,5.68,5.67,0.0,0.0,0.0,0.0,0.0
2018-06-30,4789.18,0.0,4789.18,2163.0,60.0,-72.42,724.25,346.51,182.74,513.68,871.42,121.7,993.12,58.81,934.31,0.0,934.31,291.76,642.55,0.0,642.55,131.52,9.77,9.77,0.0,0.0,0.0,0.0,0.0
2018-09-30,5118.45,0.0,5118.45,2371.95,66.92,-63.66,793.3,356.52,187.44,522.91,883.07,281.8,1164.87,52.15,1112.72,-2283.35,-1170.63,16.03,-1186.66,0.0,-1186.66,131.52,-18.05,-18.05,0.0,0.0,0.0,0.0,0.0
2018-12-31,5292.94,0.0,5292.94,2554.7,117.2,-167.03,786.78,383.46,192.78,565.19,859.86,58.49,918.35,41.34,877.01,0.0,877.01,268.86,608.15,0.0,608.15,131.52,9.25,9.25,0.0,0.0,0.0,0.0,0.0
2019-03-31,5352.27,0.0,5352.27,2475.71,23.22,176.87,707.38,425.05,197.43,645.47,701.14,101.27,802.41,46.75,755.66,-84.66,671.0,219.76,451.24,0.0,451.24,131.53,6.88,6.88,0.0,0.0,0.0,0.0,0.0
2019-06-30,5000.58,0.0,5000.58,2480.96,77.69,-143.28,734.79,392.97,203.22,613.74,640.49,84.68,725.17,78.04,647.13,-290.17,356.96,155.26,201.7,0.0,201.7,131.53,3.07,3.07,0.0,0.0,0.0,0.0,0.0
2019-09-30,4797.44,0.0,4797.44,2347.3,68.04,-49.95,785.64,403.86,208.51,583.22,450.82,286.2,737.02,86.06,650.96,0.0,650.96,124.47,526.49,0.0,526.49,131.54,8.02,8.02,0.0,0.0,0.0,0.0,0.0
2019-12-31,4498.89,0.0,4498.89,2196.5,120.07,-15.3,750.92,406.63,212.33,626.64,201.1,81.27,282.37,67.34,215.03,-10.2,204.83,20.16,184.67,0.0,184.67,131.57,2.81,2.81,0.0,0.0,0.0,0.0,0.0
2020-03-31,4312.5,0.0,4312.5,2021.93,45.05,44.51,723.07,416.79,222.71,667.05,171.39,73.29,244.68,72.41,172.27,6.29,178.56,-178.54,357.1,0.0,357.1,131.57,5.44,5.44,0.0,0.0,0.0,0.0,0.0
2020-06-30,1943.62,0.0,1943.62,853.88,77.07,96.02,400.62,310.63,212.64,350.36,-357.6,98.66,-258.94,78.43,-337.37,-57.73,-395.1,-126.01,-269.09,0.0,-269.09,131.57,-4.1,-4.1,0.0,0.0,0.0,0.0,0.0
2020-09-30,3438.24,0.0,3438.24,1563.4,66.57,83.6,610.96,309.44,215.26,406.32,182.69,282.41,465.1,75.73,389.37,0.0,389.37,29.15,360.22,0.0,360.22,131.59,5.49,5.49,0.0,0.0,0.0,0.0,0.0
2020-12-31,3671.79,0.0,3671.79,1545.55,21.85,43.02,0.0,357.78,200.19,1057.96,445.44,63.77,509.21,50.74,458.47,0.0,458.47,126.21,332.26,27.11,359.37,131.6,5.47,5.47,0.0,0.0,0.0,0.0,0.0
2021-03-31,4394.25,0.0,4394.25,1804.06,10.89,66.13,623.63,434.56,214.51,644.09,596.38,69.15,665.53,53.64,611.89,-23.26,588.63,125.59,463.04,17.15,480.19,131.62,7.31,7.3,0.0,0.0,0.0,0.0,0.0
2021-06-30,3762.68,0.0,3762.68,1826.16,24.34,-396.99,0.0,410.09,201.78,1158.85,538.45,64.92,603.37,58.11,545.26,0.0,545.26,99.32,445.94,35.65,481.59,131.62,7.33,7.32,0.0,0.0,0.0,0.0,0.0
2021-09-30,4933.03,0.0,4933.03,2210.08,23.13,109.95,0.0,432.49,207.48,1356.2,593.7,702.44,1296.14,55.08,1241.06,0.0,1241.06,294.17,946.89,32.25,979.14,131.64,14.91,14.89,0.0,0.0,0.0,0.0,0.0
2021-12-31,5784.74,0.0,5784.74,2763.77,53.37,-276.62,0.0,455.13,221.76,1866.96,700.37,40.55,740.92,53.44,687.48,0.0,687.48,198.5,488.98,33.49,522.47,131.66,7.96,7.95,0.0,0.0,0.0,0.0,0.0
2022-03-31,6376.39,0.0,6376.39,2994.47,52.07,25.09,1045.68,476.59,282.94,1029.91,469.64,87.4,557.04,80.61,476.43,-69.11,407.32,-406.29,813.61,254.42,1068.03,131.67,16.26,16.24,0.0,0.0,0.0,0.0,0.0
2022-06-30,7253.04,0.0,7253.04,3341.34,97.31,-102.19,0.0,470.14,255.14,2126.2,1065.1,43.7,1108.8,86.67,1022.13,0.0,1022.13,213.57,808.56,0.0,808.56,131.67,12.31,12.29,0.0,0.0,0.0,0.0,0.0
2022-09-30,6745.24,0.0,6745.24,3277.49,92.53,-251.23,0.0,503.51,266.19,2166.33,690.42,755.51,1445.93,85.07,1360.86,-88.03,1272.83,308.53,964.3,0.0,964.3,131.68,14.68,14.68,0.0,0.0,0.0,0.0,0.0
2022-12-31,6195.6,0.0,6195.6,2829.31,43.02,49.63,0.0,519.35,275.51,2277.29,201.49,102.71,304.2,89.2,215.0,0.0,215.0,-42.36,257.36,0.0,257.36,131.69,3.93,3.9,0.0,0.0,0.0,0.0,0.0
2023-03-31,6645.83,0.0,6645.83,3246.93,233.36,41.88,1086.28,530.49,300.45,1080.85,125.59,116.42,242.01,106.73,135.28,0.0,135.28,41.77,93.51,0.0,93.51,131.69,1.42,1.42,0.0,0.0,0.0,0.0,0.0
2023-06-30,6237.55,0.0,6237.55,3008.26,225.72,-136.17,0.0,536.76,287.75,1929.61,385.62,115.86,501.48,105.69,395.79,0.0,395.79,40.52,355.27,0.0,355.27,131.69,5.41,5.41,0.0,0.0,0.0,0.0,0.0
2023-09-30,6442.02,0.0,6442.02,3059.59,219.43,118.12,0.0,533.08,291.85,1918.21,301.74,760.32,1062.06,106.89,955.17,0.0,955.17,160.43,794.74,0.0,794.74,131.7,12.1,12.09,0.0,0.0,0.0,0.0,0.0
2023-12-31,6400.25,0.0,6400.25,3113.61,362.07,-138.88,0.0,586.92,296.45,1954.03,226.05,120.16,346.21,107.14,239.07,0.0,239.07,2.76,236.31,0.0,236.31,131.7,3.61,3.6,0.0,0.0,0.0,0.0,0.0
2024-03-31,6767.51,0.0,6767.51,3003.99,618.45,73.12,949.13,488.25,339.01,1107.99,187.57,260.26,447.83,120.7,327.13,-715.6,-388.47,52.46,-440.93,0.0,-440.93,132.8,-6.66,-6.65,0.0,0.0,0.0,0.0,0.0
2024-06-30,6893.87,0.0,6893.87,3467.07,681.67,-309.26,0.0,589.62,348.57,2139.67,-23.47,93.13,69.66,139.88,-70.22,0.0,-70.22,-18.1,-52.12,0.0,-52.12,132.8,-0.79,-0.78,0.0,0.0,0.0,0.0,0.0
2024-09-30,7623.33,0.0,7623.33,3749.25,785.91,-305.27,0.0,652.73,405.78,2415.47,-80.54,1293.56,1213.02,161.47,1051.55,-49.98,1001.57,280.71,720.86,0.0,720.86,133.9,10.84,10.79,0.0,0.0,0.0,0.0,0.0
2024-12-31,8120.28,0.0,8120.28,3839.5,1057.86,-184.53,1021.14,689.68,421.08,1426.05,-150.5,101.5,-49.0,181.41,-230.41,0.0,-230.41,-61.76,-168.65,0.0,-168.65,133.91,-2.53,-2.53,0.0,0.0,0.0,0.0,0.0
