Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,33.07,33.07,1564.87,1564.87,1597.95,0.0,0.0,29.07,76.9,105.96,193.38,1461.03,573.28,178.02,2405.71,4109.62,165.85,8.84,1.77,0.0,176.46,298.7,25.87,146.23,118.39,765.64,592.71,715.33,1059.06,208.51,173.03,595.33,3343.98,4109.62,1844.2,611.09,1.82,0.56,27.32,83.02,9.77,270.01,234.07,175.0,417.71,13.18,135.45,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,33.07,33.07,1806.44,1806.44,1839.52,0.0,0.0,18.71,93.42,112.13,53.06,1456.39,564.5,222.16,2296.11,4247.76,147.44,8.32,4.42,0.0,160.18,757.02,36.74,134.87,74.74,1163.55,466.98,691.49,1149.58,148.39,146.91,480.86,3084.21,4247.76,1721.47,567.94,5.99,0.47,28.79,77.79,9.77,369.37,668.08,25.0,441.98,15.86,153.68,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,33.08,33.08,2045.67,2045.67,2078.74,0.0,0.0,26.35,103.14,129.48,119.49,1404.94,474.05,262.68,2261.16,4469.39,174.29,7.76,1.09,0.0,183.14,987.44,52.84,120.02,80.77,1424.2,666.74,594.44,1017.92,132.31,142.68,491.09,3045.19,4469.39,1703.89,193.12,2.55,0.5,33.18,101.01,9.77,335.99,927.1,0.0,666.79,20.35,527.3,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,33.08,33.08,2951.74,2951.74,2984.82,0.0,0.0,0.2,77.95,78.15,69.08,1752.05,546.7,165.53,2533.36,5596.33,152.73,7.82,0.55,45.66,206.76,2213.86,22.08,0.72,77.1,2520.52,199.54,776.03,1187.97,213.62,1.53,697.12,3075.81,5596.33,481.17,0.0,0.0,0.0,0.0,0.0,9.77,336.01,1984.45,123.92,75.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,33.08,33.08,3480.88,3480.88,3513.96,0.0,0.0,0.97,73.32,74.29,27.82,2114.5,568.28,176.76,2887.36,6475.61,152.28,8.61,3.34,44.71,208.94,2383.93,13.87,0.5,105.49,2712.73,510.37,742.3,1277.05,199.96,3.39,1029.81,3762.88,6475.61,458.29,902.96,2.1,0.0,0.0,184.85,9.77,491.34,2005.17,0.0,510.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,33.08,33.08,3710.07,3710.07,3743.15,0.0,0.0,0.7,73.26,73.96,113.64,2373.96,396.97,118.56,3003.13,6820.24,197.38,8.31,15.2,46.27,267.16,1389.97,55.85,0.31,202.37,1915.66,1235.69,1002.99,1394.84,236.87,10.86,1023.33,4904.58,6820.24,1143.84,1295.3,1.51,0.0,264.89,0.0,9.77,564.01,913.35,101.5,1134.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,33.08,33.08,4185.24,4185.24,4218.32,5.41,0.0,30.51,74.1,110.02,82.99,2577.9,540.19,106.4,3307.48,7635.82,245.12,9.17,26.28,45.34,325.91,2121.26,24.34,0.22,255.09,2726.82,520.39,1460.45,1431.94,201.39,1.05,1293.78,4909.0,7635.82,1039.08,1403.35,1.41,0.0,177.56,0.0,9.77,389.59,1839.73,10.74,509.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,33.08,33.08,4951.62,4951.62,4984.7,0.0,0.0,30.37,73.72,104.09,101.84,2057.84,619.44,108.89,2888.01,7976.8,242.63,8.23,8.81,55.55,315.22,3193.97,16.08,0.17,200.48,3725.92,249.32,1273.9,1452.28,324.35,1.3,949.73,4250.88,7976.8,675.68,727.87,0.02,0.0,109.74,0.0,9.77,658.49,2139.78,58.01,191.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,33.08,33.08,5535.62,5535.62,5568.7,0.0,12.35,33.69,82.75,128.79,126.04,2682.02,562.84,148.33,3519.23,9216.72,242.54,7.01,59.29,53.32,362.16,3690.53,0.0,0.1,179.87,4232.66,434.27,1655.39,1520.23,463.89,1.91,908.37,4984.06,9216.72,691.99,888.66,0.72,0.0,238.89,0.0,9.77,776.18,2914.35,103.09,331.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,33.08,33.08,6740.02,6740.02,6773.1,21.15,5.28,43.3,69.47,139.2,264.13,2209.79,513.42,142.62,3129.96,10042.26,382.1,5.59,98.25,49.41,535.35,4655.23,0.0,0.08,342.06,5532.72,307.16,1547.02,1289.15,389.48,0.43,976.3,4509.54,10042.26,782.02,1052.85,0.67,0.0,178.99,0.0,9.77,756.09,3948.09,105.37,201.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,33.08,33.08,7465.32,7465.32,7498.4,228.0,58.88,35.9,75.54,398.32,176.6,2724.34,792.67,179.63,3873.24,11769.96,405.07,4.9,367.51,44.93,822.41,5049.09,0.0,0.07,295.02,6166.59,320.58,2077.52,1716.27,504.19,0.64,984.17,5603.37,11769.96,743.43,1631.8,0.99,0.0,101.99,0.0,9.77,1043.21,4054.83,104.96,215.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,33.08,33.08,8099.13,8099.13,8132.21,382.28,58.32,58.98,72.72,572.3,182.88,2599.72,1021.49,203.08,4007.17,12711.68,880.43,2.86,82.35,0.0,965.64,5086.82,0.0,0.07,268.92,6321.45,303.02,2635.37,1690.16,488.32,0.69,1272.67,6390.23,12711.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
