Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,33.07,33.07,699.83,699.83,0.0,732.9,94.97,42.33,0.69,10.63,148.62,98.63,99.18,96.48,0.41,294.71,1176.22,523.19,5.79,92.94,621.92,88.58,0.0,125.16,3.22,838.88,0.32,161.97,115.85,7.7,49.0,2.52,337.35,1176.22,42.54,28.16,0.27,290.78,84.95,5.81,0.0,88.58,2.06,0.0,33.94,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,33.23,33.23,845.76,845.76,0.0,878.99,96.28,11.29,0.77,9.19,117.53,168.54,115.34,113.32,1.11,398.31,1394.84,568.02,4.71,100.77,673.51,131.15,0.0,142.47,3.52,950.65,0.12,198.35,188.96,7.19,47.66,1.91,444.18,1394.84,19.26,42.05,0.03,286.63,28.93,5.81,0.0,131.15,0.7,0.0,36.99,16.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,34.8,34.8,1301.5,1301.5,0.0,1336.3,0.0,14.6,0.8,12.5,27.9,96.0,270.1,110.9,1.5,478.5,1842.7,700.3,5.3,211.9,917.5,71.7,0.0,0.0,62.6,1051.8,22.1,351.9,255.8,40.2,2.8,118.1,790.9,1842.7,40.4,51.96,0.0,314.13,31.61,5.81,0.0,71.7,2.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,34.9,34.9,1664.8,1664.8,0.0,1699.7,0.0,15.0,0.8,21.9,37.7,220.6,251.4,135.9,1.8,609.7,2347.1,823.4,5.6,336.2,1165.2,85.9,0.0,0.0,60.9,1312.0,8.9,336.9,468.9,25.1,6.6,188.7,1035.1,2347.1,63.2,0.0,0.0,0.0,0.0,5.81,0.0,85.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,36.9,36.9,3088.5,3088.5,0.0,3125.4,0.0,13.8,0.8,32.4,47.0,173.0,245.4,131.7,13.7,563.8,3736.2,1009.6,5.7,480.0,1495.3,101.3,0.0,7.8,77.6,1682.0,48.3,425.8,606.0,172.1,4.6,797.4,2054.2,3736.2,108.0,297.84,0.0,0.0,1032.18,5.81,0.0,8.1,8.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,36.5,36.5,3526.7,3526.7,0.0,3563.2,0.0,11.3,0.8,71.0,83.1,384.5,201.8,114.5,9.0,709.8,4356.1,1206.7,8.2,637.5,1852.4,117.6,0.0,49.6,69.1,2088.7,126.8,508.4,491.6,262.7,7.0,870.9,2267.4,4356.1,78.1,293.9,0.0,0.0,1153.6,5.75,0.0,19.9,6.8,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,36.4,36.4,3833.1,3833.1,0.0,3869.5,0.9,25.6,0.8,90.2,117.5,313.1,234.2,101.9,10.5,659.7,4646.7,1565.7,8.8,517.8,2092.3,186.1,0.0,68.4,60.0,2406.8,5.0,524.4,536.7,54.1,8.1,1111.6,2239.9,4646.7,98.8,181.78,0.0,0.0,873.61,5.73,51.2,33.5,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,36.5,36.5,4037.0,4037.0,17.6,4091.1,0.0,41.3,2.0,99.6,142.9,255.1,139.5,111.1,12.8,518.5,4752.5,1996.5,9.4,223.4,2229.3,302.4,0.0,27.1,32.7,2591.5,34.6,769.2,399.8,262.8,12.9,681.7,2161.0,4752.5,42.8,223.1,0.0,0.0,1119.4,5.73,72.1,49.0,47.7,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,36.5,36.5,4151.9,4151.9,3.5,4191.9,0.0,30.0,9.2,95.7,134.9,389.0,141.2,104.0,17.0,651.2,4978.0,2158.1,16.1,128.7,2302.9,430.4,0.0,0.5,66.0,2799.8,119.6,697.7,575.6,100.9,10.4,674.0,2178.2,4978.0,52.3,388.2,0.0,0.0,888.1,5.73,39.9,46.1,81.2,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,36.5,36.5,4665.5,4665.5,0.0,4702.0,0.0,28.9,2.7,85.3,116.9,159.9,182.4,209.8,16.9,569.0,5387.9,2218.2,15.6,62.8,2296.6,517.6,0.0,0.5,78.5,2893.2,139.9,616.0,793.1,412.0,10.2,523.5,2494.7,5387.9,55.0,277.2,0.0,0.0,1725.6,5.73,0.0,87.3,98.9,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,35.8,35.8,5556.5,5556.5,0.0,5592.3,0.0,0.0,5.2,70.9,76.1,363.2,183.3,236.2,102.9,885.6,6554.0,2273.2,13.5,133.9,2420.6,577.8,7.1,0.5,137.6,3143.6,163.9,596.9,1076.6,864.9,9.0,699.1,3410.4,6554.0,58.8,379.8,0.0,0.0,2734.7,5.62,0.0,95.9,109.4,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
