Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-06-30,281.99,27.51,309.5,130.83,9.27,-59.7,47.64,12.98,100.81,67.67,4.85,72.52,3.02,69.5,0.0,69.5,18.63,50.87,50.87,34.83,0.0,2.92,2.91,0.0,0.0,0.0,0.0,0.0
2016-09-30,403.6,52.65,456.25,141.27,37.55,-1.03,52.9,13.89,117.46,94.21,2.97,97.18,4.16,93.02,0.0,93.02,23.47,69.55,69.55,34.83,0.0,3.96,3.95,0.0,0.0,0.0,0.0,0.0
2016-12-31,630.47,36.15,666.62,147.66,21.17,33.44,53.41,13.49,148.98,248.47,6.14,254.61,4.4,250.21,0.0,250.21,53.14,197.07,197.07,34.86,0.0,11.29,11.28,0.0,0.0,0.0,0.0,0.0
2017-03-31,555.3,0.0,555.3,101.0,0.7,10.6,75.7,13.2,126.0,228.1,-0.8,227.3,5.9,221.4,0.0,221.4,44.1,177.3,177.3,34.9,0.0,10.13,10.11,0.0,0.0,0.0,0.0,0.0
2017-06-30,413.6,0.0,413.6,128.6,18.7,-44.7,60.3,14.8,110.2,125.7,2.7,128.4,3.8,124.6,0.0,124.6,27.2,97.4,97.4,34.9,0.0,5.58,5.56,0.0,0.0,0.0,0.0,0.0
2017-09-30,408.4,0.0,408.4,81.1,0.9,24.4,70.5,15.8,106.3,109.4,4.9,114.3,4.1,110.2,0.0,110.2,22.8,87.4,87.4,34.9,1827.4,4.98,4.97,0.0,0.0,0.0,0.0,0.0
2017-12-31,540.3,0.0,540.3,73.3,1.0,-13.6,75.4,17.1,117.9,269.2,11.2,280.4,4.1,276.3,0.0,276.3,59.0,217.3,217.3,36.9,0.0,12.33,12.29,0.0,0.0,0.0,0.0,0.0
2018-03-31,729.0,0.0,729.0,107.5,2.1,9.2,106.0,17.8,127.9,358.5,20.6,379.1,2.7,376.4,0.0,376.4,80.3,296.1,296.1,36.9,0.0,16.05,16.01,0.0,0.0,0.0,0.0,0.0
2018-06-30,515.7,0.0,515.7,88.8,0.3,-9.0,85.2,18.3,125.3,206.8,35.7,242.5,2.7,239.8,0.0,239.8,51.2,188.6,188.6,36.9,0.0,10.22,10.19,0.0,0.0,0.0,0.0,0.0
2018-09-30,522.4,0.0,522.4,82.3,0.4,7.0,89.1,20.0,112.8,210.8,39.7,250.5,3.7,246.8,0.0,246.8,53.7,193.1,193.1,36.9,0.0,10.47,10.43,0.0,0.0,0.0,0.0,0.0
2018-12-31,531.9,0.0,531.9,82.9,29.9,-4.3,89.0,20.5,124.0,189.9,23.7,213.6,7.2,206.4,0.0,206.4,44.4,162.0,162.0,36.8,0.0,8.78,8.76,0.0,0.0,0.0,0.0,0.0
2019-03-31,416.3,0.0,416.3,79.1,0.9,-19.2,76.9,21.3,128.4,128.9,30.7,159.6,5.2,154.4,0.0,154.4,31.0,123.4,123.4,36.5,0.0,6.73,6.72,0.0,0.0,0.0,0.0,0.0
2019-06-30,464.7,0.0,464.7,66.8,0.4,4.2,88.0,21.6,109.6,174.1,20.4,194.5,6.2,188.3,0.0,188.3,40.6,147.7,147.7,36.4,0.0,8.11,8.09,0.0,0.0,0.0,0.0,0.0
2019-09-30,457.7,0.0,457.7,78.7,28.4,11.0,97.9,21.6,104.7,115.4,33.9,149.3,5.7,143.6,0.0,143.6,21.4,122.2,122.2,36.4,0.0,6.72,6.7,0.0,0.0,0.0,0.0,0.0
2019-12-31,447.7,0.0,447.7,75.7,35.0,-16.9,93.4,25.1,133.8,101.6,30.9,132.5,5.2,127.3,0.0,127.3,23.7,103.6,103.6,36.4,0.0,5.7,5.68,0.0,0.0,0.0,0.0,0.0
2020-03-31,420.1,0.0,420.1,107.8,60.1,-54.2,76.8,29.8,111.0,88.8,38.6,127.4,3.5,123.9,0.0,123.9,22.9,101.0,101.0,36.4,0.0,5.55,5.54,0.0,0.0,0.0,0.0,0.0
2020-06-30,532.2,0.0,532.2,121.4,43.3,9.7,90.0,27.6,95.2,145.0,19.9,164.9,3.3,161.6,0.0,161.6,34.9,126.7,126.7,36.4,0.0,6.96,6.94,0.0,0.0,0.0,0.0,0.0
2020-09-30,478.9,0.0,478.9,86.6,106.8,0.0,104.8,28.4,90.3,62.0,27.2,89.2,2.7,86.5,0.0,86.5,15.6,70.9,70.9,36.4,0.0,3.89,3.88,0.0,0.0,0.0,0.0,0.0
2020-12-31,330.9,0.0,330.9,75.6,22.0,-20.2,95.8,29.4,79.5,48.8,24.9,73.7,3.0,70.7,0.0,70.7,16.0,54.7,54.7,36.4,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,311.5,0.0,311.5,89.3,1.9,-36.4,89.4,29.8,90.9,46.6,29.1,75.7,2.3,73.4,0.0,73.4,16.2,57.2,57.2,36.5,0.0,3.14,3.13,0.0,0.0,0.0,0.0,0.0
2021-06-30,393.8,0.0,393.8,109.9,5.8,-35.2,97.1,33.1,102.6,80.5,12.3,92.8,1.8,91.0,0.0,91.0,15.8,75.2,75.2,36.5,0.0,4.12,4.12,0.0,0.0,0.0,0.0,0.0
2021-09-30,330.4,0.0,330.4,115.6,6.4,-33.1,102.8,34.2,89.3,15.2,40.3,55.5,3.2,52.3,0.0,52.3,-1.3,53.6,53.6,36.5,0.0,2.94,2.94,0.0,0.0,0.0,0.0,0.0
2021-12-31,529.5,0.0,529.5,100.6,4.4,-10.9,111.6,35.5,236.1,52.2,31.6,83.8,4.1,79.7,0.0,79.7,8.1,71.6,71.6,36.5,0.0,3.93,3.92,0.0,0.0,0.0,0.0,0.0
2022-03-31,514.1,0.0,514.1,193.1,4.3,73.7,98.6,35.6,182.1,-73.3,10.4,-62.9,4.2,-67.1,0.0,-67.1,-5.8,-61.3,-61.3,36.5,0.0,-3.36,-3.36,0.0,0.0,0.0,0.0,0.0
2022-06-30,805.7,0.0,805.7,94.9,4.2,26.0,138.3,36.9,162.9,342.5,33.2,375.7,2.7,373.0,0.0,373.0,65.0,308.0,308.0,36.5,0.0,16.87,16.87,0.0,0.0,0.0,0.0,0.0
2022-09-30,351.1,0.0,351.1,101.3,6.4,-26.0,98.2,38.3,101.1,31.8,16.2,48.0,1.7,46.3,0.0,46.3,8.6,37.7,37.7,36.5,0.0,2.07,2.07,0.0,0.0,0.0,0.0,0.0
2022-12-31,413.0,0.0,413.0,132.8,3.7,-18.8,91.9,38.1,135.9,29.4,18.6,48.0,3.0,45.0,0.0,45.0,7.7,37.3,37.3,36.5,0.0,2.04,2.04,0.0,0.0,0.0,0.0,0.0
2023-03-31,781.2,0.0,781.2,146.3,5.5,53.4,97.3,37.6,151.0,290.1,17.5,307.6,1.2,306.4,0.0,306.4,52.3,254.1,254.1,36.5,0.0,13.92,13.92,0.0,0.0,0.0,0.0,0.0
2023-06-30,1048.3,0.0,1048.3,136.1,8.9,32.0,119.2,39.9,248.4,463.8,14.6,478.4,3.2,475.2,0.0,475.2,69.9,405.3,405.3,35.8,0.0,22.43,22.43,0.0,0.0,0.0,0.0,0.0
2023-09-30,930.5,0.0,930.5,166.6,6.8,7.5,106.8,40.0,200.5,402.3,24.7,427.0,3.0,424.0,0.0,424.0,63.8,360.2,360.2,35.8,0.0,20.11,20.11,0.0,0.0,0.0,0.0,0.0
2023-12-31,625.3,0.0,625.3,92.2,11.1,7.4,103.9,40.4,172.4,197.9,29.5,227.4,3.8,223.6,0.0,223.6,31.6,192.0,192.0,35.8,0.0,10.72,10.72,0.0,0.0,0.0,0.0,0.0
2024-03-31,964.8,0.0,964.8,127.6,8.0,-29.7,125.0,51.6,281.2,401.1,35.9,437.0,4.5,432.5,0.0,432.5,83.4,349.1,349.1,35.8,0.0,19.49,19.49,0.0,0.0,0.0,0.0,0.0
2024-06-30,1236.9,0.0,1236.9,151.3,7.7,-13.4,120.2,40.4,208.1,722.6,39.8,762.4,4.4,758.0,0.0,758.0,121.7,636.3,636.3,35.8,0.0,35.53,35.53,0.0,0.0,0.0,0.0,0.0
2024-09-30,1292.6,0.0,1292.6,143.2,13.3,-0.7,132.8,42.2,213.3,748.5,51.4,799.9,3.0,796.9,0.0,796.9,135.8,661.1,661.1,35.8,0.0,36.91,36.91,0.0,0.0,0.0,0.0,0.0
2024-12-31,407.6,0.0,407.6,72.7,14.8,-17.2,123.6,43.7,184.3,-14.3,168.0,153.7,3.4,150.3,0.0,150.3,25.4,124.9,124.9,35.8,0.0,6.97,6.97,0.0,0.0,0.0,0.0,0.0
