Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-12-31,1892.47,1892.47,0.0,-143.58,562.34,172.5,0.0,843.2,458.01,71.74,529.75,39.08,490.67,-4.63,486.04,149.87,336.17,0.0,0.0,336.17,1677.71,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,2841.86,2841.86,0.0,-389.38,597.07,163.07,0.0,977.29,1493.81,417.33,1911.14,39.82,1871.32,-122.79,1748.53,-606.74,2355.27,19.77,-873.56,1501.48,1528.57,0.0,9.82,9.82,15.29,10.68,136.54,100.0,89.32
2017-06-30,2254.0,2254.0,0.0,339.1,613.82,182.32,0.0,474.53,644.23,71.7,715.93,61.5,654.43,-2.71,651.72,140.49,511.23,0.0,-195.14,316.09,1528.57,0.0,2.07,2.07,0.0,0.0,0.0,0.0,0.0
2017-09-30,1992.85,1992.85,0.0,24.45,624.77,213.44,0.0,527.01,603.18,130.24,733.42,47.61,685.81,0.32,686.13,176.91,509.22,0.0,-182.34,326.88,1528.57,0.0,2.14,2.14,0.0,0.0,0.0,0.0,0.0
2017-12-31,1706.48,1706.48,0.0,-0.9,558.68,191.3,0.0,561.12,396.28,101.02,497.3,41.07,456.23,224.45,680.68,184.65,496.03,0.0,-182.23,313.8,1528.57,0.0,2.05,2.05,0.0,0.0,0.0,0.0,0.0
2018-03-31,2542.87,2542.87,0.0,-295.21,1284.68,274.1,0.0,674.6,604.7,283.89,888.59,54.8,833.79,-162.62,671.17,289.84,381.33,0.0,510.68,892.01,1528.57,0.0,5.84,5.84,0.0,0.0,0.0,0.0,0.0
2018-06-30,1696.81,1696.81,0.0,273.09,653.32,187.62,-1.42,434.12,150.08,144.3,294.38,76.81,217.57,250.83,468.4,148.77,319.63,0.0,0.0,319.63,1528.57,0.0,2.09,2.09,0.0,0.0,0.0,0.0,0.0
2018-09-30,1672.98,1672.98,0.0,48.0,629.86,206.03,-3.07,582.72,209.44,208.09,417.53,69.61,347.92,95.44,443.36,115.64,327.72,0.0,0.0,327.72,1528.57,0.0,2.14,2.14,0.0,0.0,0.0,0.0,0.0
2018-12-31,1873.82,1873.82,0.0,141.63,645.86,178.28,-2.52,532.41,378.16,196.47,574.63,99.55,475.08,-1.7,473.38,143.89,329.49,0.0,0.0,329.49,1386.64,0.0,2.17,2.17,0.0,0.0,0.0,0.0,0.0
2019-03-31,1902.31,1902.31,0.0,-219.8,1034.64,173.79,0.0,862.95,50.73,364.49,415.22,144.12,271.1,479.63,750.73,460.6,290.13,0.0,0.0,290.13,1386.64,0.0,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2019-06-30,1676.46,1676.46,0.0,176.85,604.87,171.56,0.0,434.32,288.86,227.57,516.43,153.8,362.63,66.49,429.12,106.08,323.04,0.0,0.0,323.04,1386.64,0.0,2.33,2.33,0.0,0.0,0.0,0.0,0.0
2019-09-30,1837.09,1837.09,0.0,-39.33,737.81,196.97,0.0,581.13,360.51,380.76,741.27,193.19,548.08,-29.51,518.57,181.79,336.78,0.0,0.0,336.78,1386.64,0.0,2.43,2.43,0.0,0.0,0.0,0.0,0.0
2019-12-31,2128.23,2128.23,0.0,68.38,664.68,238.99,0.0,546.29,609.89,308.52,918.41,203.85,714.56,-67.66,646.9,285.35,361.55,0.0,0.0,361.55,1386.64,0.0,2.61,2.61,0.0,0.0,0.0,0.0,0.0
2020-03-31,2274.52,2274.52,0.0,-123.91,797.34,350.87,0.0,693.64,556.58,300.13,856.71,269.54,587.17,22.83,610.0,217.52,392.48,0.0,0.0,392.48,1386.64,0.0,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2020-06-30,2083.29,2083.29,0.0,66.15,693.21,307.93,0.0,567.94,448.06,303.57,751.63,269.92,481.71,-26.29,455.42,162.88,292.54,0.0,0.0,292.54,1386.64,0.0,2.11,2.11,0.0,0.0,0.0,0.0,0.0
2020-09-30,1445.56,1445.56,0.0,-113.01,653.66,290.43,0.0,585.2,29.28,403.44,432.72,245.64,187.08,5.73,192.81,172.42,20.39,0.0,0.0,20.39,1386.64,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2020-12-31,1549.69,1549.69,0.0,15.46,620.4,291.54,0.0,668.16,-45.87,325.44,279.57,232.94,46.63,66.55,113.18,39.12,74.06,0.0,0.0,74.06,1386.64,0.0,0.53,0.53,0.0,0.0,0.0,0.0,0.0
2021-03-31,2171.09,2171.09,0.0,-23.07,721.09,314.51,0.0,840.81,317.75,634.43,952.18,232.13,720.05,271.94,991.99,337.19,654.8,0.0,0.0,654.8,1386.64,0.0,4.72,4.72,0.0,0.0,0.0,0.0,0.0
2021-06-30,2359.96,2359.96,429.79,0.0,651.63,334.92,0.0,515.48,428.14,144.49,572.63,209.99,362.64,61.71,424.35,157.13,267.22,0.0,0.0,267.22,1386.64,0.0,1.93,1.93,0.0,0.0,0.0,0.0,0.0
2021-09-30,2493.67,2493.67,0.0,46.11,635.54,329.08,0.0,817.15,665.79,378.99,1044.78,218.12,826.66,519.42,1346.08,1045.87,300.21,0.0,0.0,300.21,1386.64,0.0,2.17,2.17,0.0,0.0,0.0,0.0,0.0
2021-12-31,2423.59,2423.59,0.0,179.3,676.27,344.24,0.0,749.45,474.33,86.0,560.33,185.68,374.65,-33.77,340.88,111.26,229.62,0.0,0.0,229.62,1386.64,0.0,1.66,1.66,0.0,0.0,0.0,0.0,0.0
2022-03-31,2579.26,2579.26,0.0,-178.71,661.04,519.89,0.0,1224.35,352.69,196.41,549.1,169.99,379.11,116.0,495.11,55.38,439.73,0.0,0.0,439.73,1386.64,0.0,3.17,3.17,0.0,0.0,0.0,0.0,0.0
2022-06-30,3094.46,3094.46,0.0,191.66,646.65,341.92,0.0,882.48,1031.75,82.08,1113.83,171.14,942.69,-185.54,757.15,251.07,506.08,0.0,0.0,506.08,1386.64,0.0,3.65,3.65,0.0,0.0,0.0,0.0,0.0
2022-09-30,2752.75,2752.75,0.0,45.72,694.98,338.34,0.0,1013.99,659.72,68.39,728.11,253.72,474.39,60.41,534.8,167.59,367.21,0.0,0.0,367.21,1386.64,0.0,2.65,2.65,0.0,0.0,0.0,0.0,0.0
2022-12-31,2812.21,2812.21,0.0,54.13,620.64,365.81,0.0,1032.09,739.54,350.9,1090.44,169.14,921.3,-1645.13,-723.83,-324.99,-398.84,0.0,0.0,-398.84,1386.64,0.0,-2.88,-2.88,0.0,0.0,0.0,0.0,0.0
2023-03-31,4295.58,4295.58,0.0,-23.09,564.05,373.62,0.0,2268.14,1112.86,739.53,1852.39,161.63,1690.76,-534.72,1156.04,382.24,773.8,0.0,0.0,773.8,1386.64,0.0,5.58,5.58,0.0,0.0,0.0,0.0,0.0
2023-06-30,2601.01,2601.01,0.0,116.98,631.29,367.0,0.0,879.66,606.08,88.64,694.72,173.89,520.83,-33.25,487.58,156.56,331.02,0.0,0.0,331.02,1386.64,0.0,2.39,2.39,0.0,0.0,0.0,0.0,0.0
2023-09-30,2471.32,2471.32,0.0,-70.04,699.35,360.56,0.0,1117.03,364.42,272.86,637.28,162.23,475.05,1252.0,1727.05,605.64,1121.41,0.0,0.0,1121.41,1386.64,0.0,8.09,8.09,0.0,0.0,0.0,0.0,0.0
2023-12-31,2515.73,2515.73,0.0,-39.71,635.92,351.44,0.0,1162.01,406.07,69.05,475.12,156.04,319.08,32.18,351.26,130.29,220.97,0.0,0.0,220.97,1386.64,0.0,1.59,1.59,0.0,0.0,0.0,0.0,0.0
2024-03-31,2930.58,2930.58,0.0,-196.57,680.17,362.76,0.0,1856.21,228.01,442.55,670.56,150.73,519.83,-297.83,222.0,48.82,173.18,0.0,0.0,173.18,1386.64,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0
2024-06-30,2647.13,2647.13,0.0,118.75,617.12,342.62,0.0,1007.27,561.37,254.4,815.77,148.7,667.07,63.47,730.54,234.56,495.98,0.0,0.0,495.98,1386.64,0.0,3.58,3.58,0.0,0.0,0.0,0.0,0.0
2024-09-30,2139.22,2139.22,0.0,-107.74,678.51,317.42,0.0,1171.36,79.67,346.03,425.7,143.18,282.52,220.04,502.56,163.17,339.39,0.0,0.0,339.39,1386.64,0.0,2.45,2.45,0.0,0.0,0.0,0.0,0.0
2024-12-31,2774.68,2774.68,0.0,30.88,639.47,329.35,0.0,1368.54,406.44,218.52,624.96,135.76,489.2,67.5,556.7,148.3,408.4,0.0,0.0,408.4,1386.64,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0
2025-03-31,2723.15,2723.15,0.0,-246.97,1064.9,378.71,0.0,1523.2,3.31,375.53,378.84,134.86,243.98,824.06,1068.04,411.81,656.23,0.0,0.0,656.23,1386.64,16078.53,4.73,4.73,0.0,0.0,0.0,0.0,0.0
