Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Government/Other Grants,Current Investments,Deferred Tax Assets [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2015-03-31,1677.71,1677.71,13193.97,13193.97,14871.68,2792.46,1010.1,417.49,0.0,4220.05,0.0,631.41,1217.61,422.11,2271.13,21362.86,6425.37,0.29,4306.86,99.23,10831.75,1830.86,476.86,51.12,13190.59,898.63,2282.07,3265.47,1423.89,199.01,8172.27,21362.86,9704.99,30.89,0.14,4.48,1830.86,103.2,0.0,103.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1677.71,1677.71,13790.93,13790.93,15468.64,3165.65,1733.43,747.76,0.0,5646.84,0.0,970.61,1152.97,424.65,2548.23,23670.06,9654.11,0.12,2253.03,204.44,12111.7,1949.12,778.34,104.74,14943.9,1277.49,3060.15,3157.97,1035.41,195.14,8726.16,23670.06,9220.88,17.86,0.0,3.68,1949.12,0.0,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1528.57,1528.57,10670.05,10670.05,12198.62,5040.62,1538.38,632.85,0.0,7211.85,1546.09,707.44,5595.72,249.66,8098.91,27509.38,9622.39,2.64,4962.7,151.96,14739.69,2421.37,99.42,1289.45,18549.93,1813.24,3750.09,473.7,638.49,2283.93,8959.45,27509.38,10519.94,64.01,5.01,0.73,2421.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1528.57,1528.57,11806.01,11806.01,13334.58,6050.29,1877.42,1010.64,0.0,8938.35,1457.8,1552.51,6565.39,657.78,10233.48,32506.41,10567.85,6.26,6876.12,199.05,17649.28,2421.37,67.45,1165.1,21303.2,1688.9,3366.15,278.65,1766.21,4103.3,11203.21,32506.41,11740.15,22.35,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1386.64,1386.64,11124.68,11124.68,12511.32,8316.51,2093.47,1235.81,0.0,11645.79,3668.0,1988.07,4359.06,510.1,10525.23,34682.34,11678.18,6.25,8735.64,117.8,20537.87,2823.58,42.6,1124.95,24529.0,1464.38,4606.19,317.16,716.6,3049.01,10153.34,34682.34,11434.18,14.25,0.24,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1386.64,1386.64,11252.87,11252.87,12639.51,11370.16,2779.94,1069.69,0.0,15219.79,3641.42,1830.89,5039.22,748.26,11259.79,39119.09,18301.8,6.36,4083.58,127.67,22519.41,3519.4,30.88,1260.48,27330.17,1324.55,6691.83,373.27,37.98,3361.29,11788.92,39119.09,9811.51,1.34,5.73,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1386.64,1386.64,12188.04,12188.04,13574.68,9697.9,2573.52,1094.2,0.0,13365.62,3700.0,1512.18,5079.51,464.03,10755.72,37696.02,20756.7,24.5,1019.71,101.68,21902.59,3621.99,28.91,539.52,26093.01,1416.95,5611.18,617.4,29.17,3928.31,11603.01,37696.02,11531.93,3.61,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1386.64,1386.64,12420.0,12420.0,13806.64,8826.06,2828.64,1516.57,0.0,13171.27,1412.97,1076.51,3601.11,572.68,6663.27,33641.18,19000.24,184.71,1012.41,113.58,20310.94,3932.67,21.9,518.97,24784.48,1025.3,3128.65,662.0,25.56,4015.19,8856.7,33641.18,8406.74,1.72,10.47,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,1386.64,1386.64,13252.22,13252.22,14638.86,7816.91,3077.25,1295.23,0.0,12189.39,1531.43,1635.53,4782.56,434.29,8383.81,35212.06,18556.49,175.42,1011.59,0.0,19743.5,4196.32,33.97,2039.39,26013.18,833.92,3791.44,200.19,4.83,4368.5,9198.88,35212.06,12233.31,0.0,0.0,38.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,1386.64,1386.64,14607.27,14607.27,15993.91,7055.28,3465.24,1071.27,151.3,11743.09,913.49,912.46,5091.2,498.48,7415.63,35152.63,17907.32,225.95,1923.37,0.0,20056.64,4640.12,14.28,2144.78,26855.82,1047.64,3313.93,679.47,170.9,3084.87,8296.81,35152.63,34370.18,0.0,0.0,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
