Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Employees Stock Options,Equity Share Application Money,Current Investments,"Stores, Spares And Loose Tools",Deferred Tax Assets [Net],Raw Materials,Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,562.74,562.74,2732.09,2732.09,3294.83,1036.51,420.25,23.96,4.17,1484.88,0.0,15.15,540.62,67.3,623.08,5402.78,3021.72,137.62,0.0,0.0,3815.44,584.97,135.49,0.73,4536.64,69.41,249.01,499.22,33.92,14.58,866.15,5402.78,0.0,9.68,0.0,0.0,584.97,0.0,0.0,0.0,0.2,0.0,0.0,0.07,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,562.98,562.98,3060.07,3060.07,3623.05,887.88,450.39,25.06,8.01,1371.35,0.0,40.46,422.15,83.3,545.91,5540.3,2937.3,128.09,0.0,0.0,3841.89,648.65,291.16,10.8,4792.5,110.24,150.39,435.15,38.72,13.3,747.8,5540.3,0.0,9.5,0.0,0.0,648.65,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,563.34,563.34,3405.11,3405.11,3968.45,789.04,474.42,27.12,9.24,1299.83,0.0,16.45,453.45,103.37,573.27,5841.55,2993.81,131.83,770.39,0.0,3896.03,711.05,343.08,6.82,4956.98,117.73,151.75,544.69,39.05,11.35,884.57,5841.55,0.0,7.1,0.0,1957.86,298.45,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,563.59,563.59,3928.53,3928.53,4495.97,501.18,471.89,29.44,11.27,1013.79,0.0,13.79,308.71,1.12,323.61,5833.37,3028.59,137.09,686.37,0.0,3852.05,765.5,11.83,126.69,4756.07,112.34,118.93,802.64,1.74,41.65,1077.3,5833.37,0.0,0.0,0.0,0.0,34.84,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,563.83,563.83,4498.52,4498.52,5065.04,1759.48,498.42,29.85,12.77,2300.53,0.0,18.55,1563.38,1.03,1582.96,8948.53,2973.04,141.13,895.92,0.0,4010.09,4181.36,11.67,114.66,8317.78,123.46,123.52,364.53,1.49,17.75,630.75,8948.53,0.0,22.71,0.0,0.0,35.05,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,563.97,563.97,5178.15,5178.15,5743.88,1285.56,522.63,45.75,18.9,1872.84,0.0,23.84,1306.6,2.67,1333.1,8949.96,3457.39,150.11,419.36,0.0,4026.86,4277.18,27.87,94.46,8426.36,127.91,208.1,158.29,1.53,27.77,523.59,8949.96,4588.05,4.22,0.0,5527.86,597.51,1.75,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,564.1,564.1,6158.45,6158.45,6722.55,544.13,408.14,97.54,23.77,1073.58,0.0,41.0,1261.91,3.83,1306.75,9102.88,3429.71,156.04,237.16,0.0,3822.91,4611.11,28.79,115.44,8578.25,126.13,163.69,95.7,1.68,137.44,524.63,9102.88,4373.75,4.62,0.0,0.0,118.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,564.21,564.21,6980.79,6980.79,7545.0,324.69,421.85,110.1,26.98,883.62,425.18,62.03,453.26,3.73,944.2,9372.82,3322.82,143.84,221.5,0.13,3688.28,5006.17,22.05,106.48,8822.98,129.61,158.63,87.72,1.42,172.46,549.84,9372.82,2082.06,10.03,0.05,0.0,128.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,564.21,564.21,7878.7,7878.7,8442.91,0.0,425.01,108.39,24.6,558.0,87.74,65.37,184.38,1.57,339.05,9339.96,3182.03,143.44,252.61,0.47,3578.55,5173.69,8.23,156.36,8916.83,189.03,129.51,86.41,1.36,16.82,423.13,9339.96,1903.86,4.04,0.08,0.0,127.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,564.21,564.21,8708.97,8708.97,9273.18,0.0,423.8,122.68,23.86,570.33,0.0,50.98,191.45,2.34,244.77,10088.28,3011.23,143.98,424.78,0.91,3580.9,5169.97,6.84,148.03,8905.74,212.09,144.05,691.67,1.46,133.27,1182.54,10088.28,2368.25,0.77,0.0,0.0,123.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,564.21,564.21,9705.86,9705.86,10270.07,0.0,415.93,126.13,27.82,569.87,0.0,37.54,199.14,4.24,240.91,11080.86,2887.5,147.76,761.79,0.04,3797.09,5329.72,5.93,140.12,9272.86,210.84,141.23,473.44,1.4,981.09,1808.0,11080.86,1865.61,0.34,0.06,20293.67,1650.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
