Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,625.69,0.0,625.69,0.73,0.0,15.4,49.72,229.53,330.31,5.15,335.46,38.27,297.19,297.19,75.05,222.14,0.0,222.14,564.06,3.94,3.93,0.0,0.0,0.0,0.0,0.0
2020-03-31,594.97,0.0,594.97,0.98,0.18,16.64,48.26,221.43,307.48,6.65,314.13,34.6,279.54,279.54,53.94,225.6,0.0,225.6,564.1,4.0,4.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,464.3,0.0,464.3,0.34,0.02,13.37,48.8,104.38,297.38,4.32,301.7,29.02,272.68,272.68,73.33,199.36,0.0,199.36,564.14,3.53,3.53,0.0,0.0,0.0,0.0,0.0
2020-09-30,576.99,0.0,576.99,0.97,-0.03,12.85,55.4,182.53,325.27,51.51,376.78,24.9,351.88,351.88,80.77,271.12,0.0,271.12,564.2,4.81,4.81,0.0,0.0,0.0,0.0,0.0
2020-12-31,580.0,0.0,580.0,1.56,-0.06,16.02,51.06,164.11,347.31,7.44,354.75,21.97,332.79,332.79,85.27,247.51,0.0,247.51,564.21,4.39,4.39,0.0,0.0,0.0,0.0,0.0
2021-03-31,465.03,0.0,465.03,0.0,0.0,16.92,49.68,103.9,294.53,6.1,300.63,17.37,283.25,283.25,75.34,207.91,-1.66,206.26,564.21,3.66,3.66,0.0,0.0,0.0,0.0,0.0
2021-06-30,527.24,0.0,527.24,0.0,0.0,12.96,48.08,139.86,326.35,3.79,330.14,14.01,316.12,316.12,82.85,233.28,-1.37,231.91,564.21,4.13,4.13,0.0,0.0,0.0,0.0,0.0
2021-09-30,588.51,0.0,588.51,0.0,0.0,14.61,49.11,193.32,331.46,90.45,421.91,8.6,413.3,413.3,82.92,330.39,-2.7,327.69,564.21,5.81,5.81,0.0,0.0,0.0,0.0,0.0
2021-12-31,471.15,0.0,471.15,0.0,0.0,23.24,49.42,111.46,287.04,3.86,290.9,5.27,285.62,285.62,72.28,213.34,34.76,248.1,564.21,3.79,3.79,0.0,0.0,0.0,0.0,0.0
2022-03-31,433.12,0.0,433.12,0.0,0.0,14.53,49.38,112.43,256.78,6.41,263.19,3.41,259.78,259.78,57.73,202.05,0.0,202.05,564.21,3.58,3.58,0.0,0.0,0.0,0.0,0.0
2022-06-30,481.76,0.0,481.76,0.0,0.0,14.34,47.86,107.24,312.31,3.99,316.3,1.45,314.86,314.86,79.39,235.47,0.0,235.47,564.21,4.17,4.17,0.0,0.0,0.0,0.0,0.0
2022-09-30,434.64,0.0,434.64,0.0,0.0,16.06,48.77,84.73,285.07,103.74,388.82,1.14,387.68,387.68,73.46,314.22,0.0,314.22,564.21,5.57,5.57,0.0,0.0,0.0,0.0,0.0
2022-12-31,402.41,0.0,402.41,0.0,0.0,25.68,48.94,106.8,221.0,13.03,234.03,1.09,232.94,232.94,62.01,170.93,0.0,170.93,564.21,3.03,3.03,0.0,0.0,0.0,0.0,0.0
2023-03-31,443.01,0.0,443.01,15.8,0.0,16.14,48.28,116.34,246.44,47.64,294.08,1.01,293.08,293.08,68.74,224.33,0.0,224.33,564.21,3.98,3.98,0.0,0.0,0.0,0.0,0.0
2023-06-30,441.17,0.0,441.17,0.0,0.0,16.13,46.82,88.61,289.61,18.04,307.65,1.03,306.63,306.63,77.33,229.29,0.0,229.29,564.21,4.06,4.06,0.0,0.0,0.0,0.0,0.0
2023-09-30,529.32,0.0,529.32,0.0,0.0,16.87,47.72,102.18,362.55,266.31,628.86,1.02,627.85,627.85,95.83,532.02,0.0,532.02,564.21,9.43,9.43,0.0,0.0,0.0,0.0,0.0
2023-12-31,554.24,0.0,554.24,16.51,0.0,20.59,48.84,137.55,330.75,21.08,351.84,1.19,350.64,350.64,88.45,262.2,0.0,262.2,564.21,4.65,4.65,0.0,0.0,0.0,0.0,0.0
2024-03-31,506.81,0.0,506.81,0.0,0.0,26.67,48.63,102.16,329.35,29.62,358.97,1.89,357.08,357.08,95.95,261.13,0.0,261.13,564.21,4.63,4.63,0.0,0.0,0.0,0.0,0.0
2024-06-30,354.33,0.0,354.33,0.0,0.0,17.7,49.01,35.63,251.99,32.8,284.8,1.28,283.52,283.52,71.5,212.02,0.0,212.02,564.21,3.76,3.76,0.0,0.0,0.0,0.0,0.0
2024-09-30,257.96,0.0,257.96,0.0,0.0,18.77,51.07,46.24,141.88,293.87,435.74,1.13,434.61,434.61,45.32,389.29,0.0,389.29,564.21,6.9,6.9,0.0,0.0,0.0,0.0,0.0
2024-12-31,260.43,0.0,260.43,0.0,0.0,23.2,51.22,44.72,141.29,41.22,182.51,0.89,181.62,181.62,46.04,135.58,0.0,135.58,564.21,2.4,2.4,0.0,0.0,0.0,0.0,0.0
