Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Preference Share Capital,Inventories,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,112.71,112.71,4981.51,4981.51,0.0,5094.22,16903.19,276.42,318.01,17497.62,1244.28,437.86,6491.15,9073.89,31665.72,114.36,4.94,0.23,0.0,119.53,315.07,135.93,16876.26,342.89,14.35,553.29,13837.52,41.41,14789.46,31665.72,733.05,1.75,365.05,147.32,0.0,342.89,900.6,526.28,15779.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,112.83,112.83,5556.58,5556.58,0.0,5669.41,14787.15,302.48,327.96,15417.59,4870.98,477.9,7487.64,13987.15,35074.15,105.08,4.66,0.32,0.0,110.05,415.26,232.03,18520.96,93.75,5.67,479.38,15926.07,48.32,16553.19,35074.15,478.83,1.63,589.17,200.25,78.75,15.0,1150.62,759.92,17003.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,112.92,112.92,5975.19,5975.19,0.0,6088.11,17331.68,432.63,448.21,18212.52,4346.89,478.84,8946.22,15278.86,39579.48,107.92,5.55,0.02,0.0,113.49,585.28,51.76,20160.06,491.01,5.11,589.03,18240.56,93.71,19419.42,39579.48,454.87,1.35,679.28,340.13,92.79,398.22,1506.9,992.33,18417.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,113.01,113.01,6364.24,6364.24,0.0,6477.24,21412.4,427.4,548.9,22388.71,5790.22,577.57,8986.35,16970.89,45836.84,108.44,3.08,0.49,0.0,112.01,731.67,119.79,24511.7,561.33,5.83,578.07,20119.82,60.09,21325.14,45836.84,373.11,0.0,848.08,515.8,352.83,225.0,1616.75,1311.73,22236.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,122.9,122.9,9499.02,9499.02,0.0,9621.91,26704.02,100.95,135.89,26940.86,13389.14,1055.39,1785.44,16229.97,52792.74,112.42,7.24,0.0,0.0,119.66,627.45,254.79,1001.9,2734.11,3.69,411.12,48547.01,94.9,51790.84,52792.74,1260.2,0.0,0.0,0.0,0.0,2734.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,122.98,122.98,10751.18,10751.18,33.86,10908.02,31545.4,99.2,206.53,31851.13,21301.53,1013.65,2003.65,24318.84,67077.99,132.5,30.56,0.0,0.0,163.06,371.73,359.17,893.96,3791.7,5.19,958.49,61249.63,179.02,66184.03,67077.99,1081.11,0.0,0.0,0.0,0.0,3791.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,123.07,123.07,11192.15,11192.15,48.64,11363.85,29974.96,111.96,143.23,30230.15,29487.34,635.75,2354.12,32477.21,74071.21,337.95,25.55,0.0,0.0,363.5,489.63,309.7,1162.82,5910.97,8.59,1425.78,64993.47,569.58,72908.39,74071.21,1514.39,0.2,0.0,0.0,0.0,5910.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,246.4,246.4,14422.35,14422.35,42.76,14711.51,29434.6,112.82,214.91,29762.33,29142.08,643.09,2777.44,32562.61,77036.45,311.49,18.63,10.34,0.0,340.46,862.36,461.15,1663.97,11607.25,8.4,3269.64,59947.42,539.77,75372.48,77036.45,1810.92,16.14,0.0,0.0,0.0,11607.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,246.6,246.6,15350.2,15350.2,31.29,15628.09,29808.75,121.7,221.35,30151.8,26005.17,1005.28,2498.39,29508.84,75288.73,383.1,9.77,0.0,0.0,392.87,836.42,764.99,1994.28,8440.27,9.09,4150.69,60444.64,249.76,73294.45,75288.73,1994.27,65.5,0.0,0.0,0.0,8440.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,246.72,246.72,16842.19,16842.19,0.0,17088.91,74945.86,189.75,260.74,75396.35,0.0,1166.31,2564.98,3731.29,96216.55,681.2,14.35,0.0,0.0,695.55,637.24,997.23,2330.02,9988.62,21.84,2832.06,79454.73,1589.28,93886.53,96216.55,2724.72,34.2,0.0,0.0,0.0,9988.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,246.88,246.88,17898.37,17898.37,12.24,18157.49,37906.34,269.93,205.13,38381.4,54318.83,1524.89,2776.6,58620.32,115159.21,811.11,14.61,0.0,105.1,930.82,691.08,1170.68,2792.58,9650.82,24.74,2689.11,99195.18,806.78,112366.63,115159.21,1710.88,621.12,0.0,0.0,0.0,9650.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,246.98,246.98,19565.25,19565.25,0.0,19812.23,0.0,235.9,217.04,452.94,101469.32,1228.89,12584.8,115283.01,135548.18,941.48,172.89,0.52,0.0,1114.89,640.99,1310.43,3066.31,10400.48,53.02,5535.87,116214.02,278.48,132481.87,135548.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
