Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,438.28,8.24,446.52,170.51,2.75,6.24,68.18,5.61,97.4,95.84,5.18,101.01,4.84,96.18,96.18,33.0,63.18,63.18,11.15,56.64,56.64,0.55,49.0,0.57,100.0,51.0
2015-09-30,453.67,7.7,461.37,189.73,2.89,-11.46,76.43,5.69,102.4,95.69,0.48,96.17,3.48,92.69,92.69,32.39,60.3,60.3,11.15,54.06,54.06,0.55,49.0,0.57,100.0,51.0
2015-12-31,433.09,6.83,439.92,187.9,10.25,-33.36,84.7,5.71,107.52,77.21,0.16,77.37,3.35,74.02,74.02,22.1,51.92,51.92,11.15,46.55,46.55,0.0,0.0,0.0,0.0,0.0
2016-03-31,440.55,0.0,440.55,126.31,74.34,-39.07,83.97,6.95,104.15,83.89,2.73,86.62,5.59,81.02,81.02,24.36,56.67,56.67,11.15,50.8,50.8,0.0,0.0,0.0,0.0,0.0
2016-06-30,567.84,4.04,571.88,158.74,37.82,60.41,83.18,5.9,122.5,103.32,5.89,109.21,3.93,105.28,105.28,37.34,67.95,67.95,11.15,60.92,60.92,0.0,0.0,0.0,0.0,0.0
2016-09-30,532.12,5.66,537.78,201.21,50.32,-35.93,95.81,6.03,118.89,101.44,6.2,107.64,3.98,103.66,103.66,34.99,68.67,68.67,11.15,61.57,61.57,0.0,0.0,0.0,0.0,0.0
2016-12-31,528.26,0.0,528.26,180.6,66.6,-34.09,95.57,6.24,120.44,92.89,2.0,94.89,4.49,90.39,90.39,27.51,62.88,62.88,11.15,56.38,56.38,0.0,0.0,0.0,0.0,0.0
2017-03-31,498.92,0.0,498.92,194.87,68.54,-86.81,101.06,6.55,123.86,90.85,10.26,101.11,5.61,95.49,95.49,28.71,66.79,66.79,11.15,59.88,59.88,0.0,0.0,0.0,0.0,0.0
2017-06-30,696.23,0.0,696.23,198.07,80.18,40.45,100.98,6.65,140.05,129.86,4.02,133.87,4.45,129.42,129.42,44.12,85.3,85.3,11.15,76.47,76.47,0.0,0.0,0.0,0.0,0.0
2017-09-30,625.71,0.0,625.71,189.14,78.29,-2.3,106.73,6.79,125.41,121.65,4.89,126.54,3.63,122.91,122.91,38.85,84.06,84.06,11.15,75.36,75.36,0.0,0.0,0.0,0.0,0.0
2017-12-31,621.03,0.0,621.03,174.79,74.19,27.03,100.25,6.99,115.9,121.89,5.31,127.2,4.12,123.08,123.08,39.68,83.4,83.4,11.15,74.77,74.77,0.0,0.0,0.0,0.0,0.0
2018-03-31,608.4,0.0,608.4,128.05,100.76,-1.3,98.57,7.56,135.49,139.28,7.25,146.53,4.43,142.1,142.1,47.88,94.22,94.22,11.15,84.48,84.48,0.0,0.0,0.0,0.0,0.0
2018-06-30,815.26,0.0,815.26,211.59,126.26,29.55,107.79,7.25,150.8,182.02,7.18,189.2,3.95,185.25,185.25,60.81,124.44,124.44,11.15,111.56,111.56,0.0,0.0,0.0,0.0,0.0
2018-09-30,690.76,0.0,690.76,210.48,131.73,-50.89,118.59,7.65,138.03,135.18,10.83,146.01,4.02,141.99,141.99,49.36,92.63,92.63,11.15,83.05,83.05,0.0,0.0,0.0,0.0,0.0
2018-12-31,738.32,0.0,738.32,179.27,168.23,-30.65,116.75,8.16,139.45,157.1,9.49,166.59,4.07,162.51,162.51,60.62,101.89,101.89,11.15,91.35,91.35,0.0,0.0,0.0,0.0,0.0
2019-03-31,607.86,0.0,607.86,169.19,160.16,-108.05,124.36,8.01,142.51,111.67,8.71,120.38,4.1,116.28,116.28,41.3,74.98,74.98,11.15,67.23,67.23,0.0,0.0,0.0,0.0,0.0
2019-06-30,834.96,0.0,834.96,170.58,158.65,45.96,128.47,13.98,144.68,172.64,5.5,178.13,8.27,169.87,169.87,59.2,110.67,110.67,11.15,99.22,99.22,0.0,0.0,0.0,0.0,0.0
2019-09-30,775.4,0.0,775.4,177.4,187.7,-24.08,134.27,14.67,151.07,134.38,5.75,140.13,8.07,132.05,132.05,17.54,114.51,114.51,11.15,102.66,102.66,0.0,0.0,0.0,0.0,0.0
2019-12-31,793.8,0.0,793.8,166.36,167.26,38.18,134.61,16.4,148.6,122.38,3.48,125.87,8.96,116.9,116.9,29.88,87.02,87.02,11.15,78.02,78.02,0.0,0.0,0.0,0.0,0.0
2020-03-31,541.26,0.0,541.26,139.58,125.73,-42.51,134.35,16.3,125.98,41.83,9.91,51.73,8.55,43.19,43.19,12.16,31.02,31.02,11.15,27.82,27.82,0.0,0.0,0.0,0.0,0.0
2020-06-30,284.8,0.0,284.8,40.69,27.73,79.38,122.89,16.05,48.82,-50.76,6.05,-44.71,7.67,-52.38,-52.38,-12.82,-39.55,-39.55,11.15,-35.46,-35.46,0.0,0.0,0.0,0.0,0.0
2020-09-30,740.31,0.0,740.31,153.42,121.04,55.25,129.9,15.66,115.33,149.7,3.71,153.41,7.51,145.9,145.9,35.03,110.87,110.87,11.15,99.4,99.4,0.0,0.0,0.0,0.0,0.0
2020-12-31,927.06,0.0,927.06,182.72,173.59,56.81,146.15,15.63,141.65,210.51,4.15,214.66,7.39,207.27,207.27,53.56,153.7,153.7,11.15,137.8,137.8,0.0,0.0,0.0,0.0,0.0
2021-03-31,880.77,0.0,880.77,208.07,160.03,5.2,164.8,15.58,172.85,154.24,5.56,159.79,7.16,152.63,152.63,37.07,115.56,115.56,11.15,103.61,103.61,0.0,0.0,0.0,0.0,0.0
2021-06-30,501.54,0.0,501.54,98.39,113.82,-0.21,152.72,15.9,102.63,18.31,3.56,21.86,7.35,14.51,14.51,3.57,10.95,10.95,11.15,9.82,9.82,0.0,0.0,0.0,0.0,0.0
2021-09-30,1084.01,0.0,1084.01,292.41,222.73,-25.26,176.79,16.52,183.91,216.91,5.36,222.27,7.45,214.82,214.82,54.33,160.49,160.49,11.15,143.88,143.88,0.0,0.0,0.0,0.0,0.0
2021-12-31,1189.8,0.0,1189.8,321.52,239.01,-4.24,190.03,16.7,192.74,234.03,7.14,241.17,7.73,233.44,233.44,58.86,174.57,174.57,11.15,156.51,156.51,0.0,0.0,0.0,0.0,0.0
2022-03-31,1111.11,0.0,1111.11,295.74,308.05,-152.99,200.56,16.35,192.65,250.74,4.93,255.67,9.67,246.0,246.0,55.48,190.52,190.52,11.15,170.81,170.81,0.0,0.0,0.0,0.0,0.0
2022-06-30,1341.27,0.0,1341.27,383.9,322.69,-96.44,215.99,18.01,217.31,279.79,3.29,283.09,8.53,274.56,274.56,67.52,207.04,207.04,11.15,185.62,185.62,0.0,0.0,0.0,0.0,0.0
2022-09-30,1255.02,0.0,1255.02,406.64,429.06,-280.62,230.08,18.82,232.0,219.04,2.67,221.71,9.16,212.54,212.54,50.41,162.13,162.13,11.15,145.36,145.36,0.0,0.0,0.0,0.0,0.0
2022-12-31,1223.26,0.0,1223.26,389.98,378.45,-185.97,214.82,19.97,233.22,172.79,1.64,174.43,9.96,164.47,164.47,40.74,123.73,123.73,11.15,110.93,110.93,0.0,0.0,0.0,0.0,0.0
2023-03-31,969.09,0.0,969.09,307.6,295.38,-182.71,220.33,21.29,194.16,113.04,7.12,120.16,13.63,106.53,106.53,28.18,78.35,78.35,11.15,70.24,70.24,0.0,0.0,0.0,0.0,0.0
2023-06-30,1240.03,0.0,1240.03,297.39,167.73,118.73,208.74,21.01,205.58,220.86,1.89,222.75,12.74,210.01,210.01,51.65,158.36,158.36,11.15,141.98,141.98,0.0,0.0,0.0,0.0,0.0
2023-09-30,1125.13,0.0,1125.13,303.68,156.78,38.46,203.78,24.65,188.9,208.9,1.67,210.56,11.18,199.38,199.38,49.1,150.28,150.28,11.15,134.73,134.73,0.0,0.0,0.0,0.0,0.0
2023-12-31,1228.77,0.0,1228.77,287.6,142.87,146.07,194.94,22.61,227.64,207.04,5.54,212.59,10.5,202.08,202.08,49.73,152.35,152.35,11.15,136.59,136.59,0.0,0.0,0.0,0.0,0.0
2024-03-31,995.35,0.0,995.35,260.51,139.35,36.46,193.52,22.57,198.32,144.64,10.86,155.49,10.47,145.03,145.03,36.83,108.2,108.2,11.15,97.01,97.01,0.0,0.0,0.0,0.0,0.0
2024-06-30,1277.52,0.0,1277.52,260.34,134.24,191.17,201.26,22.1,247.16,221.25,12.9,234.15,11.69,222.46,222.46,57.24,165.22,165.22,11.15,148.13,148.13,0.0,0.0,0.0,0.0,0.0
2024-09-30,1246.27,0.0,1246.27,276.32,173.45,92.53,205.26,22.62,217.25,258.84,14.55,273.39,10.92,262.47,262.47,67.21,195.26,195.26,11.15,175.06,175.06,0.0,0.0,0.0,0.0,0.0
2024-12-31,1313.05,0.0,1313.05,268.81,222.72,81.66,206.24,29.66,231.11,272.86,14.05,286.91,11.94,274.97,274.97,70.31,204.66,204.66,11.15,183.48,183.48,0.0,0.0,0.0,0.0,0.0
2025-03-31,1098.07,0.0,1098.07,269.28,207.29,-47.36,208.74,24.86,224.89,210.37,20.13,230.51,11.83,218.68,218.68,54.67,164.01,164.01,11.15,147.04,147.04,0.0,0.0,0.0,0.0,0.0
