Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Provisions,Long Term Loans And Advances,Current Investments,Short Term Loans And Advances,Raw Materials,Trade/Other Goods,Capital Goods,Non-Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2014-03-31,11.15,11.15,277.85,277.85,289.0,33.31,9.48,46.6,92.26,108.9,60.77,97.38,21.29,288.34,669.6,170.07,2.76,3.59,176.43,0.0,4.92,213.33,362.56,72.68,3.46,0.51,456.28,669.6,46.91,77.49,0.0,3.84,7.31,0.0,0.0,0.0,2.86,31.98,0.0,17.07,31.1,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,11.15,11.15,375.61,375.61,386.76,34.54,11.42,55.61,124.53,99.86,82.1,102.78,27.43,312.17,823.46,215.36,1.9,0.11,217.37,0.0,2.67,265.65,443.45,88.43,4.42,6.2,557.81,823.46,76.99,61.71,3.08,10.17,7.31,0.0,0.0,0.0,22.96,45.61,0.0,15.31,40.06,6.99,15.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,11.15,11.15,494.07,494.07,505.23,24.3,11.04,73.47,130.12,49.13,94.12,123.38,42.71,309.35,944.7,209.64,3.55,0.36,213.55,0.0,0.0,263.8,539.32,103.44,8.65,9.26,680.9,944.7,71.68,170.15,0.0,9.05,7.31,0.0,0.0,0.0,21.32,50.25,0.0,20.23,69.18,20.23,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,11.15,11.15,654.63,654.63,665.78,39.78,11.16,11.57,62.51,27.48,111.23,270.19,16.9,425.8,1154.09,233.39,2.7,24.13,260.22,0.0,60.7,320.92,622.86,112.71,20.58,22.02,833.17,1154.09,61.65,190.0,0.0,15.8,7.31,0.0,0.0,52.11,0.0,0.0,52.11,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,11.15,11.15,836.15,836.15,847.3,32.62,10.99,13.09,56.69,16.94,136.31,327.54,27.6,508.39,1412.38,230.06,7.88,58.52,296.47,0.0,60.89,357.35,567.87,147.98,66.88,52.2,1055.03,1412.38,22.73,193.8,0.0,14.2,7.31,0.0,0.0,218.03,0.0,0.0,218.03,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,11.15,11.15,763.84,763.84,774.99,19.87,12.53,9.33,41.73,52.66,122.05,343.24,15.92,533.87,1350.59,295.13,5.5,7.23,307.86,0.0,37.92,345.78,750.11,123.84,44.05,86.82,1004.81,1350.59,26.74,275.9,0.0,11.5,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,11.15,11.15,808.73,808.73,819.88,20.06,0.21,116.19,136.45,6.78,93.83,428.67,27.33,556.61,1512.94,402.22,3.31,28.73,434.26,0.0,64.14,498.4,718.57,73.78,116.92,105.29,1014.54,1512.94,58.45,268.6,0.0,11.9,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,11.15,11.15,873.73,873.73,884.88,0.0,0.0,102.66,102.66,0.04,217.5,474.79,19.99,712.32,1699.86,383.98,2.32,27.85,414.14,2.23,58.41,474.79,554.93,137.12,435.0,98.03,1225.08,1699.86,33.07,202.7,0.0,17.8,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,11.15,11.15,1077.47,1077.47,1088.63,0.0,0.0,81.96,81.96,0.0,362.81,547.73,25.82,936.36,2106.95,400.44,1.97,65.26,467.67,3.64,67.56,538.87,974.87,165.08,283.47,144.66,1568.08,2106.95,149.4,365.1,0.0,52.6,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,11.15,11.15,1359.89,1359.89,1371.05,0.0,0.0,128.16,128.16,248.2,287.63,625.56,32.21,1193.6,2692.81,482.59,2.59,150.45,635.62,5.12,87.47,728.22,1595.26,146.07,8.1,215.16,1964.59,2692.81,286.43,696.8,0.0,14.7,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,11.15,11.15,1585.77,1585.77,1596.93,0.0,0.0,147.46,147.46,0.0,219.98,690.02,28.2,938.19,2682.58,483.66,4.14,238.68,726.48,9.27,71.32,807.07,1170.3,158.64,321.05,225.52,1875.51,2682.58,233.53,417.1,0.0,8.4,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
