Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2017-12-31,908.0,908.0,588.3,13.1,0.0,178.7,127.9,42.4,170.3,0.2,170.1,170.1,50.5,119.6,119.6,20.4,0.0,11.72,11.38
2018-03-31,979.5,979.5,629.4,18.0,0.0,198.6,133.5,71.5,205.0,0.1,204.9,204.9,56.5,148.4,148.4,20.5,0.0,14.48,14.07
2018-06-30,1074.1,1074.1,681.1,18.9,0.0,205.3,168.8,24.4,193.2,0.2,193.0,193.0,48.7,144.3,144.3,20.5,0.0,14.08,13.68
2018-09-30,1184.1,1184.1,730.3,19.7,0.0,233.9,200.2,55.4,255.6,0.2,255.4,255.4,65.4,190.0,190.0,20.7,0.0,18.43,18.09
2018-12-31,1214.5,1214.5,751.8,19.0,0.0,233.4,210.3,36.7,247.0,0.4,246.6,246.6,65.9,180.7,180.7,20.8,0.0,17.39,17.11
2019-03-31,1239.3,1239.3,742.5,15.5,0.0,269.3,212.0,34.7,246.7,0.3,246.4,246.4,61.3,185.1,185.1,20.8,0.0,17.8,17.53
2019-06-30,1245.7,1245.7,753.1,35.6,0.0,234.5,222.5,54.7,277.2,8.6,268.6,268.6,70.6,198.0,198.0,20.8,0.0,19.03,18.75
2019-09-30,1293.4,1293.4,773.6,37.2,0.0,252.0,230.6,49.7,280.3,8.6,271.7,271.7,68.7,203.0,203.0,20.8,0.0,19.51,19.21
2019-12-31,1318.1,1318.1,787.2,39.8,0.0,263.5,227.6,44.6,272.2,8.5,263.7,263.7,65.4,198.3,198.3,20.9,0.0,19.02,18.79
2020-03-31,1324.1,1324.1,754.4,40.8,0.0,331.8,197.1,63.3,260.4,9.4,251.0,251.0,60.3,190.7,190.7,20.9,0.0,18.26,18.06
2020-06-30,1185.5,1185.5,756.6,41.5,0.0,236.8,150.6,13.5,164.1,10.8,153.3,153.3,39.5,113.8,113.8,20.9,0.0,10.89,10.77
2020-09-30,1207.9,1207.9,738.1,44.9,0.0,253.0,171.9,75.9,247.8,10.9,236.9,236.9,58.0,178.9,178.9,21.0,0.0,17.11,16.98
2020-12-31,1267.6,1267.6,756.9,43.9,0.0,251.2,215.6,48.4,264.0,10.3,253.7,253.7,63.9,189.8,189.8,21.0,0.0,18.1,17.97
2021-03-31,1303.0,1303.0,756.1,43.4,0.0,277.3,226.2,36.5,262.7,11.5,251.2,251.2,60.6,190.6,190.6,21.0,0.0,18.17,18.05
2021-06-30,1372.7,1372.7,773.7,46.1,0.0,304.6,248.3,44.9,293.2,9.8,283.4,283.4,74.8,208.6,208.6,21.0,0.0,19.86,19.73
2021-09-30,1447.3,1447.3,792.5,45.4,0.0,323.5,285.9,29.7,315.6,10.1,305.5,305.5,80.4,225.1,225.1,21.0,0.0,21.41,21.3
2021-12-31,1505.6,1505.6,808.0,45.7,0.0,349.1,302.8,37.2,340.0,9.9,330.1,330.1,87.2,242.9,242.9,21.1,0.0,23.05,23.0
2022-03-31,1548.1,1548.1,818.5,45.4,0.0,384.7,299.5,41.9,341.4,9.6,331.8,331.8,89.9,241.9,241.9,21.1,0.0,22.93,22.88
2022-06-30,1649.7,1649.7,923.0,49.7,0.0,352.8,324.2,44.8,369.0,9.8,359.2,359.2,96.7,262.5,262.5,21.1,0.0,24.88,24.85
2022-09-30,1766.1,1766.1,996.4,50.8,0.0,377.8,341.1,38.9,380.0,11.7,368.3,368.3,99.9,268.4,268.4,21.1,0.0,25.42,25.35
2022-12-31,1814.1,1814.1,1016.1,51.7,0.0,387.9,358.4,73.5,431.9,10.6,421.3,421.3,133.8,287.5,287.5,21.1,0.0,27.23,27.15
2023-03-31,1878.2,1878.2,1016.2,50.2,0.0,442.1,369.7,48.4,418.1,9.5,408.6,408.6,116.6,292.0,292.0,21.1,0.0,27.65,27.55
2023-06-30,2043.7,2043.7,1068.2,51.2,0.0,547.0,377.3,48.0,425.3,11.0,414.3,414.3,114.7,299.6,299.6,21.1,0.0,28.36,28.29
2023-09-30,2136.1,2136.1,1091.9,61.5,0.0,588.3,394.4,41.5,435.9,11.4,424.5,424.5,116.3,308.2,308.2,21.1,0.0,29.17,29.09
2023-12-31,2147.9,2147.9,1103.5,65.0,0.0,589.5,389.9,63.6,453.5,12.6,440.9,440.9,119.9,321.0,321.0,21.1,0.0,30.36,30.28
2024-03-31,2351.2,2351.2,1086.6,68.0,0.0,774.4,422.2,49.6,471.8,12.8,459.0,459.0,129.7,329.3,329.3,21.2,0.0,31.15,31.06
2024-06-30,2246.4,2246.4,1170.3,66.0,0.0,630.6,379.5,63.5,443.0,12.7,430.3,430.3,117.7,312.6,312.6,21.2,0.0,29.55,29.47
2024-09-30,2324.8,2324.8,1221.4,71.8,0.0,681.1,350.5,68.2,418.7,11.5,407.2,407.2,114.2,293.0,293.0,21.2,0.0,27.69,27.62
2024-12-31,2411.8,2411.8,1238.7,69.3,0.0,700.2,403.6,30.2,433.8,15.0,418.8,418.8,118.0,300.8,300.8,21.2,0.0,28.43,28.37
2025-03-31,2550.1,2550.1,1249.7,58.9,0.0,848.9,392.6,49.3,441.9,15.4,426.5,426.5,112.1,314.4,314.4,21.2,0.0,29.69,29.63
