Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-12-31,8262.94,3372.12,299.0,50.1,2513.49,8253.36,2102.13,987.56,3154.6,2935.86,218.74,11.56,207.18,207.18,425.59,0.0,65.01,0.0,0.0,0.97,0.97,55627.51,34993.53,13.7,9.09,0.12,0.0,0.0,0.0,0.0,0.0
2017-03-31,7718.74,3510.53,566.33,90.93,3102.8,8203.01,-548.36,1102.89,6231.79,5753.51,478.28,216.38,261.9,261.9,425.59,0.0,65.01,0.0,0.0,1.23,1.23,55370.45,32702.11,12.53,7.81,0.14,0.0,0.0,0.0,0.0,0.0
2017-06-30,8144.81,3403.63,551.33,36.59,2331.78,8281.23,1937.27,1032.33,3217.31,2608.71,608.6,265.2,343.4,343.4,425.59,0.0,65.01,0.0,0.0,1.61,1.61,57720.7,34572.71,13.66,8.67,0.18,0.0,0.0,0.0,0.0,0.0
2017-09-30,8058.19,3526.99,622.53,91.58,1906.02,8284.11,1589.98,1052.14,3279.08,2440.79,838.29,277.71,560.58,560.58,425.59,0.0,65.01,0.0,0.0,2.63,2.63,57630.11,34570.15,13.31,8.44,0.3,0.0,0.0,0.0,0.0,0.0
2017-12-31,8219.3,3546.3,370.92,38.96,3082.02,8186.78,1741.58,1083.95,4245.19,4466.68,-221.49,-451.6,230.11,230.11,485.12,0.0,57.04,0.0,0.0,1.04,1.04,57519.41,34075.65,12.11,7.55,0.12,0.0,0.0,0.0,0.0,0.0
2018-03-31,7410.78,3470.06,456.64,47.15,1561.05,8321.24,3899.97,1171.85,-447.38,20353.1,-20800.48,-7383.57,-13416.91,-13416.91,552.11,0.0,62.25,0.0,0.0,-54.89,-54.89,86620.05,48684.29,18.38,11.24,-6.72,0.0,0.0,0.0,0.0,0.0
2018-06-30,9208.37,3404.91,447.36,52.53,1959.24,8421.31,1427.33,1029.07,4194.7,5758.16,-1563.46,-623.45,-940.01,-940.01,552.11,0.0,62.25,0.0,0.0,-3.41,-3.41,82888.79,43872.47,18.26,10.58,-0.48,0.0,0.0,0.0,0.0,0.0
2018-09-30,8148.68,3541.63,586.73,49.24,1709.6,8352.17,1661.73,1182.48,2839.5,9757.9,-6918.4,-2386.05,-4532.35,-4532.35,614.71,0.0,66.09,0.0,0.0,-16.18,-16.18,81250.83,38278.84,17.16,8.9,-2.29,0.0,0.0,0.0,0.0,0.0
2018-12-31,8917.69,3616.9,460.14,40.35,1819.16,8745.03,1884.22,1125.13,3099.86,2753.84,346.02,99.51,246.51,246.51,760.4,0.0,70.22,0.0,0.0,0.7,0.7,77733.33,35675.12,16.33,8.22,0.12,0.0,0.0,0.0,0.0,0.0
2019-03-31,8811.47,3542.53,397.16,84.56,1889.41,8635.43,1989.88,1238.64,2861.18,10071.11,-7209.93,-2460.29,-4749.64,-4749.64,920.81,0.0,75.41,0.0,0.0,-12.38,-12.38,78472.7,30037.66,15.5,6.56,-2.33,0.0,0.0,0.0,0.0,0.0
2019-06-30,8880.4,3620.15,545.58,40.31,2075.3,8945.08,1681.69,1053.55,3481.42,2023.31,1458.11,439.48,1018.63,1018.63,920.81,0.0,75.41,0.0,0.0,2.21,2.21,77267.29,30179.66,16.49,7.17,0.5,0.0,0.0,0.0,0.0,0.0
2019-09-30,8876.32,3755.24,623.83,36.53,2264.69,9028.08,1674.76,1291.82,3561.95,2928.9,633.05,126.0,507.05,507.05,920.81,0.0,75.41,0.0,0.0,1.1,1.1,79458.09,32658.69,16.76,7.65,0.24,0.0,0.0,0.0,0.0,0.0
2019-12-31,8838.29,4022.15,668.94,33.31,2404.8,9207.64,1751.47,1245.48,3762.9,4146.04,-383.14,109.14,-492.28,-492.28,1347.51,0.0,83.19,0.0,0.0,-0.83,-0.83,76809.2,30518.92,16.3,7.18,-0.23,0.0,0.0,0.0,0.0,0.0
2020-03-31,9219.95,3935.06,671.87,32.1,2529.34,9181.44,1853.76,1420.84,3932.28,4901.31,-969.03,-271.83,-697.2,-697.2,1347.51,0.0,83.19,0.0,0.0,-1.03,-1.03,73478.76,27218.89,14.21,5.78,-0.31,0.0,0.0,0.0,0.0,0.0
2020-06-30,13918.78,6060.13,493.94,132.06,3687.89,13856.48,3307.17,1849.1,5280.05,4685.89,594.16,285.71,308.45,308.45,1882.13,0.0,85.59,0.0,0.0,0.33,0.33,101849.34,35303.02,14.11,5.39,0.09,0.0,0.0,0.0,0.0,0.0
2020-09-30,14011.23,6258.54,511.83,164.24,2492.72,12552.64,3241.25,1969.76,5674.91,4696.15,978.76,357.95,620.81,620.81,1882.13,0.0,85.59,0.0,0.0,0.66,0.66,96313.94,30919.84,13.43,4.75,0.19,0.0,0.0,0.0,0.0,0.0
2020-12-31,13552.52,6175.62,418.52,178.01,2973.86,12011.69,2927.53,1968.5,6390.81,5432.6,958.21,452.18,506.03,506.03,2095.54,0.0,76.87,0.0,0.0,0.53,0.53,94479.33,26598.13,12.99,4.03,0.15,0.0,0.0,0.0,0.0,0.0
2021-03-31,11868.67,5986.71,474.33,459.82,3742.2,11851.98,2699.79,2345.65,5634.31,4686.04,948.27,361.94,586.33,586.33,2095.54,0.0,76.87,0.0,0.0,0.56,0.56,104423.42,38575.7,14.12,5.73,0.18,0.0,0.0,0.0,0.0,0.0
2021-06-30,12321.53,5963.97,478.46,156.96,3594.08,11694.34,2955.67,1766.34,6098.65,4678.05,1420.6,397.14,1023.46,1023.46,2202.2,0.0,73.15,0.0,0.0,0.95,0.95,104075.56,38580.58,14.33,5.84,0.3,0.0,0.0,0.0,0.0,0.0
2021-09-30,11389.15,5795.74,650.23,145.25,3281.95,11627.56,3416.61,2197.03,4021.12,3261.37,759.75,-345.4,1105.15,1105.15,2202.2,0.0,73.15,0.0,0.0,1.0,1.0,100290.85,36934.2,13.63,5.49,0.33,0.0,0.0,0.0,0.0,0.0
2021-12-31,12734.29,5814.77,650.5,125.87,2700.59,11522.19,3310.68,2116.84,5076.31,3353.55,1722.76,595.98,1126.78,1126.78,2202.2,0.0,73.15,0.0,0.0,1.02,1.02,97258.67,3387.56,12.88,4.9,0.34,0.0,0.0,0.0,0.0,0.0
2022-03-31,12053.34,5905.0,506.34,180.44,2450.05,11340.99,2158.05,2331.37,5264.76,4851.47,413.29,211.72,201.57,201.57,2202.2,0.0,73.15,0.0,0.0,0.18,0.18,92448.04,34908.73,11.78,4.8,0.06,0.0,0.0,0.0,0.0,0.0
2022-06-30,12258.37,5919.61,467.52,111.54,2536.99,11214.2,2546.76,2153.86,5379.21,4790.19,589.02,280.58,308.44,308.44,2202.2,0.0,73.15,0.0,0.0,0.28,0.28,90167.1,31744.31,11.27,4.28,0.09,0.0,0.0,0.0,0.0,0.0
2022-09-30,13549.79,6110.63,389.18,104.42,2847.24,11883.34,3232.52,2318.19,5567.21,4906.38,660.83,249.56,411.27,411.27,2202.2,0.0,73.15,0.0,0.0,0.37,0.37,87034.79,29348.16,10.48,3.8,0.12,0.0,0.0,0.0,0.0,0.0
2022-12-31,14867.57,6542.28,515.48,459.11,3337.96,13205.08,4460.01,2341.41,5715.9,4713.34,1002.56,373.68,628.88,628.88,2202.2,0.0,73.15,0.0,0.0,0.57,0.57,83583.87,26363.13,9.76,3.3,0.17,0.0,0.0,0.0,0.0,0.0
2023-03-31,16643.5,6570.34,518.21,116.56,3420.34,14349.86,4570.72,2481.94,5866.43,3830.58,2035.85,877.24,1158.61,1158.61,2202.2,0.0,73.15,0.0,0.0,1.05,1.05,77327.67,22585.04,8.74,2.72,0.32,0.0,0.0,0.0,0.0,0.0
2023-06-30,17756.44,6575.24,719.35,94.43,3433.81,15641.21,4487.01,2483.06,5967.99,3965.26,2002.73,747.32,1255.41,1255.41,2202.2,0.0,73.15,0.0,0.0,1.14,1.14,70899.34,17129.47,7.73,1.98,0.34,0.0,0.0,0.0,0.0,0.0
2023-09-30,18464.29,7095.12,702.3,93.21,3028.28,16432.0,4200.06,2534.71,6216.43,3444.18,2772.25,1016.12,1756.13,1756.13,2202.2,0.0,73.15,0.0,0.0,1.59,1.59,65563.12,13114.12,6.96,1.47,0.46,0.0,0.0,0.0,0.0,0.0
2023-12-31,19604.88,7011.11,579.35,92.47,2673.84,16995.02,4169.22,2466.7,6330.71,2739.11,3591.6,1368.79,2222.81,2222.81,2202.2,0.0,73.15,0.0,0.0,2.02,2.02,60371.38,8815.88,6.24,0.96,0.58,0.0,0.0,0.0,0.0,0.0
2024-03-31,20113.7,6963.33,777.89,258.51,4247.61,17750.32,5630.02,2565.02,6415.68,1588.05,4827.63,1817.36,3010.27,3010.27,2202.2,0.0,73.15,0.0,0.0,2.73,2.73,56343.05,6798.77,5.73,0.73,0.77,0.0,0.0,0.0,0.0,0.0
2024-06-30,20451.78,7231.75,693.21,179.69,3609.52,18080.18,4550.81,2953.8,6581.16,1312.32,5268.84,2017.31,3251.53,3251.53,2202.2,0.0,73.15,0.0,0.0,2.95,2.95,51262.78,5930.06,4.98,0.6,0.82,0.0,0.0,0.0,0.0,0.0
2024-09-30,21184.26,7716.43,806.04,168.28,4572.09,19358.32,5750.4,2485.07,6853.31,288.01,6565.3,2261.84,4303.46,4303.46,2298.59,0.0,70.08,0.0,0.0,3.9,3.9,47582.25,4674.24,4.48,0.46,1.02,0.0,0.0,0.0,0.0,0.0
2024-12-31,22239.99,7740.77,836.7,522.37,3411.87,20307.58,5263.78,2559.79,6620.55,-285.4,6905.95,2397.74,4508.21,4508.21,2298.59,0.0,70.08,0.0,0.0,3.92,3.92,45413.98,4437.43,4.09,0.41,1.03,0.0,0.0,0.0,0.0,0.0
2025-03-31,22224.92,8011.6,1129.91,623.03,4715.89,21232.48,5792.73,2904.49,6775.65,359.67,6415.98,1848.98,4567.0,4567.0,2298.59,0.0,70.08,0.0,0.0,3.97,3.97,44081.6,4290.55,3.95,0.4,1.02,0.0,0.0,0.0,0.0,0.0
