Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-09-30,662.1,0.0,662.1,19.68,7.35,0.0,511.61,123.46,0.89,124.35,285.99,-161.64,-161.64,-89.06,-72.58,-72.58,1895.99,-0.38,-0.38,0.0,0.0,0.0,0.0,0.0
2020-12-31,400.18,0.0,400.18,16.55,6.64,979.82,6.03,-608.86,0.79,-608.07,275.81,-883.88,-883.88,-143.71,-740.17,-740.17,1895.99,-3.9,-3.9,0.0,0.0,0.0,0.0,0.0
2021-03-31,-156.62,0.0,-156.62,32.99,7.93,193.91,13.08,-404.53,10.2,-394.33,267.24,-661.57,-661.57,187.07,-848.64,-848.64,1895.99,-4.48,-4.48,0.0,0.0,0.0,0.0,0.0
2021-06-30,224.89,0.0,224.89,23.1,7.15,830.05,17.03,-652.44,0.74,-651.7,254.16,-905.86,-905.86,-188.08,-717.78,-717.78,2041.98,-3.52,-3.52,0.0,0.0,0.0,0.0,0.0
2021-09-30,105.37,0.0,105.37,19.27,6.16,492.53,8.96,-421.55,1.01,-420.54,242.87,-663.41,-663.41,-137.53,-525.88,-525.88,2041.98,-2.58,-2.58,0.0,0.0,0.0,0.0,0.0
2021-12-31,99.88,0.0,99.88,25.98,3.56,154.09,18.2,-101.95,0.87,-101.08,227.43,-328.51,-328.51,402.5,-731.01,-731.01,2041.98,-3.58,-3.58,0.0,0.0,0.0,0.0,0.0
2022-03-31,236.16,0.0,236.16,24.08,6.16,-103.35,92.85,216.42,4.05,220.47,198.42,22.05,22.05,129.35,-107.3,-107.3,2102.99,-0.51,-0.51,0.0,0.0,0.0,0.0,0.0
2022-06-30,114.69,0.0,114.69,19.59,6.03,162.75,24.36,-98.04,0.7,-97.34,165.64,-262.98,-262.98,-30.98,-232.0,-232.0,2102.99,-1.1,-1.1,0.0,0.0,0.0,0.0,0.0
2022-09-30,123.61,0.0,123.61,25.29,5.62,-220.24,3.99,308.95,2.59,311.54,159.32,152.22,152.22,42.72,109.5,109.5,2102.99,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2022-12-31,154.14,0.0,154.14,16.61,6.38,-131.9,13.94,249.11,2.88,251.99,156.2,95.79,95.79,28.37,67.42,67.42,2195.92,0.31,0.31,0.0,0.0,0.0,0.0,0.0
2023-03-31,141.67,0.0,141.67,37.78,6.04,110.1,13.2,-25.45,4.98,-20.47,150.14,-170.61,-170.61,61.89,-232.5,-232.5,2195.93,-1.06,-1.06,0.0,0.0,0.0,0.0,0.0
2023-06-30,76.61,0.0,76.61,26.43,6.02,52.05,22.89,-30.78,0.76,-30.02,139.94,-169.96,-169.96,-8.99,-160.97,-160.97,2489.61,-0.65,-0.65,0.0,0.0,0.0,0.0,0.0
2023-09-30,165.86,0.0,165.86,20.12,6.04,-316.09,13.24,442.55,0.74,443.29,142.78,300.51,300.51,216.74,83.77,83.77,2489.61,0.34,0.34,0.0,0.0,0.0,0.0,0.0
2023-12-31,214.74,0.0,214.74,20.21,6.05,10.68,10.22,167.58,0.96,168.54,143.81,24.73,24.73,34.79,-10.06,-10.06,2489.61,-0.04,-0.04,0.0,0.0,0.0,0.0,0.0
2024-03-31,382.89,0.0,382.89,24.85,6.05,-81.81,12.44,421.36,53.37,474.73,146.22,328.51,328.51,113.0,215.51,215.51,2489.61,0.87,0.87,0.0,0.0,0.0,0.0,0.0
2024-06-30,122.38,0.0,122.38,20.16,6.05,-13.33,11.94,97.56,0.81,98.37,134.39,-36.02,-36.02,112.21,-148.23,-148.23,2613.59,-0.57,-0.57,0.0,0.0,0.0,0.0,0.0
2024-09-30,159.73,0.0,159.73,20.17,6.06,126.83,10.89,-4.22,140.9,136.68,136.05,0.63,0.63,22.19,-21.56,-21.56,2613.59,-0.08,-0.08,0.0,0.0,0.0,0.0,0.0
2024-12-31,193.12,0.0,193.12,17.4,6.03,0.45,11.33,157.91,2.22,160.13,131.79,28.34,28.34,87.3,-58.96,-58.96,2613.59,-0.23,-0.23,0.0,0.0,0.0,0.0,0.0
2025-03-31,205.27,0.0,205.27,27.93,6.07,-338.32,12.86,496.73,17.43,514.16,134.95,379.21,379.21,106.67,272.54,272.54,2694.31,1.04,1.04,0.0,0.0,0.0,0.0,0.0
