Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Hybrid/Debt/Other Securities,Short Term Provisions,Capital Work-In-Progress,Assets Held For Sale,Long Term Loans And Advances,Inventories,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,1661.12,1924.96,4135.48,5055.64,6980.6,0.0,17342.11,86.86,81.76,17510.73,247.95,95.84,3955.97,4497.98,28989.31,1141.3,0.2,0.0,1147.12,5751.86,682.04,4.55,24367.73,1761.67,33.82,535.83,2070.84,219.42,4621.58,28989.31,1185.6,5.07,0.0,1055.08,4913.9,68.71,1712.32,263.84,920.16,0.0,198.22,5.62,0.0,16782.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1661.53,1925.37,4333.84,5220.28,7145.65,0.0,21820.23,292.52,381.48,22494.23,659.22,36.14,4507.09,5328.08,34967.96,1098.93,0.29,0.0,1121.5,4961.16,567.9,4.86,28044.29,2629.19,54.1,692.7,3316.68,231.0,6923.67,34967.96,2304.21,4.61,0.0,683.72,4875.45,197.47,2460.64,263.84,886.44,0.0,125.63,0.17,22.11,21388.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1661.59,1925.43,4466.27,5276.87,7466.14,0.0,22088.56,320.99,328.05,22737.6,1069.99,83.61,5773.57,6959.92,36899.82,1034.72,2.49,0.0,1037.21,6643.31,678.7,5.28,30421.72,1544.85,47.13,603.26,4003.58,279.28,6478.1,36899.82,2868.5,4.05,0.0,691.41,6403.57,83.47,1507.43,263.84,810.6,0.0,32.75,0.0,0.0,22057.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1662.04,1925.88,4021.24,4804.44,6730.32,0.0,19170.1,761.45,238.49,20170.04,0.0,48.56,4703.68,4774.08,31674.44,992.38,2.46,0.0,995.48,5557.4,985.96,97.24,25785.89,836.14,30.28,1181.95,3615.18,225.0,5888.55,31674.44,926.22,3.9,0.0,678.04,5761.08,36.56,842.02,263.84,783.2,0.0,21.84,0.64,0.0,18149.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1695.99,1695.99,3365.58,3365.58,5061.57,0.0,20137.96,1.71,240.35,20380.02,0.0,91.39,1814.85,1906.24,27004.53,731.03,1.99,198.28,931.61,1361.82,1817.58,62.37,4173.38,5323.72,15.05,866.74,15844.85,780.79,22831.15,27004.53,2156.34,3.99,0.0,0.0,0.0,0.0,5323.72,0.0,0.0,-343.3,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1695.99,1695.99,2934.0,2934.0,4629.99,0.0,16093.8,1.39,83.08,16178.27,0.0,107.27,1744.71,1851.98,22255.55,724.7,1.65,193.37,919.72,1367.81,2093.91,141.19,4522.63,3460.95,2.8,939.75,13109.49,219.93,17732.92,22255.55,1622.82,3.62,0.0,0.0,0.0,0.0,3460.95,0.0,0.0,-404.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1695.99,1695.99,2211.78,2211.78,3907.77,200.0,9157.9,0.86,125.01,9283.77,3165.5,66.6,1805.64,5037.74,18429.28,687.08,1.27,190.08,878.43,1352.13,1932.04,203.87,4366.47,1882.54,78.4,1623.79,10295.36,182.72,14062.81,18429.28,825.53,3.32,0.0,0.0,0.0,0.0,1882.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1895.99,1895.99,276.11,276.11,2172.1,200.0,8584.08,0.42,82.18,8666.68,2285.7,165.68,1729.22,4180.6,15219.38,741.73,0.91,185.5,928.14,1343.71,2122.05,76.69,4470.59,2950.34,57.32,1121.89,6479.71,139.53,10748.79,15219.38,218.7,3.43,0.0,0.0,0.0,0.0,2950.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,2102.99,2102.99,-1657.54,-1657.54,445.45,0.0,6029.13,0.0,79.31,6108.44,982.77,52.85,1480.69,2516.31,9070.2,634.49,0.43,271.41,906.33,1260.09,1852.75,141.53,4160.7,1683.6,30.52,760.8,2382.59,51.99,4909.5,9070.2,128.2,3.16,0.0,0.0,0.0,0.0,1683.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2195.93,2195.93,-1969.83,-1969.83,226.1,400.0,0.0,0.0,83.68,83.68,5808.07,62.26,2349.99,8220.32,8930.1,618.24,0.26,283.32,901.82,1257.7,1739.12,123.97,4022.61,1018.97,38.32,2002.27,1799.19,48.74,4907.49,8930.1,128.75,0.0,0.0,0.0,0.0,0.0,1018.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,2489.61,2489.61,-1775.41,-1775.41,714.2,500.0,0.0,0.0,86.48,86.48,5450.66,53.49,3202.86,8707.01,10007.69,602.27,0.19,276.45,878.91,1250.55,1306.65,119.8,3555.91,1658.81,103.64,3291.82,1306.39,91.12,6451.78,10007.69,175.93,2.87,0.0,0.0,0.0,0.0,1658.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
