Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Other Assets,Current Investments,Short Term Loans And Advances,"Stores, Spares And Loose Tools",Share Capital Suspense,Capital Goods,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,2938.0,2938.0,3391.71,3391.71,6329.71,0.0,17370.28,137.04,590.64,253.1,18351.06,190.31,1012.8,3175.71,274.1,4652.92,29333.69,12448.73,0.0,9913.1,0.0,22361.83,5004.99,0.0,311.04,133.41,27811.27,158.34,252.87,557.0,41.2,1522.42,29333.69,2356.36,88.43,3.13,5004.99,0.0,0.0,0.0,513.01,2.45,0.0,184.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,2938.0,2938.0,3441.43,3441.43,6379.43,0.0,18023.95,129.87,686.3,78.49,18918.61,589.28,1352.07,4674.11,206.56,6822.02,32120.06,23104.44,0.0,357.77,0.0,23462.21,5779.98,0.0,958.84,169.65,30370.68,308.95,710.16,496.53,72.78,1749.38,32120.06,1626.87,109.63,0.0,5779.98,0.0,0.0,0.05,160.91,1.4,0.0,84.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,2938.0,2938.0,4677.0,4677.0,7615.0,0.0,11272.68,0.0,522.6,57.81,11853.09,546.97,864.39,3172.91,1.88,4586.15,24054.24,15897.76,260.43,146.3,0.0,16304.64,5476.37,261.96,0.44,836.49,22879.9,338.58,399.22,102.46,215.63,1174.34,24054.24,1118.41,119.84,0.18,5476.37,0.0,0.15,0.0,118.45,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,5996.0,5996.0,3896.81,3896.81,9892.81,0.0,8981.38,0.0,547.77,53.04,9582.19,627.32,268.75,3840.65,3.28,4740.0,24215.0,15607.36,245.44,157.63,0.0,16010.43,5516.87,727.81,330.6,573.9,23159.61,234.55,454.14,46.39,320.31,1055.39,24215.0,2309.84,0.0,0.0,1985.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,5996.0,5996.0,3369.46,3369.46,9365.46,0.0,7931.49,0.0,471.2,50.47,8453.16,1336.72,315.16,4301.99,2.51,5956.38,23775.0,15182.44,229.75,158.77,0.0,15570.96,2996.86,905.44,3.16,426.18,19902.6,168.52,296.39,49.88,461.71,3872.4,23775.0,2441.72,13.3,0.02,1985.94,2738.77,0.0,2738.77,157.13,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,5996.0,5996.0,2991.7,2991.7,8987.7,0.0,7340.84,0.0,422.67,47.86,7811.37,1346.56,306.83,5512.93,3.18,7169.5,23968.57,14807.42,214.06,131.33,0.0,15152.81,2996.99,1101.94,3.33,380.69,19635.76,174.07,488.5,160.78,613.56,4332.81,23968.57,1936.91,3.66,0.02,1985.94,2738.77,0.0,2738.77,157.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,6840.45,6840.45,-414.81,-414.81,6425.64,3805.53,5024.83,0.0,384.62,45.51,5454.96,504.94,221.07,1279.15,4.63,2009.79,17695.92,14401.26,198.41,140.34,0.0,14740.01,1031.8,297.28,3.21,335.29,16407.59,342.3,362.12,295.69,288.22,1288.33,17695.92,1741.23,7.51,2.06,20.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,6853.46,6853.46,-45.3,-45.3,6808.16,3805.53,4751.5,0.0,339.67,42.17,5133.34,465.27,223.53,876.43,4.37,1569.6,17316.63,14019.93,182.76,76.82,0.0,14279.51,899.68,228.41,5.14,298.7,15711.44,199.94,790.91,301.13,313.21,1605.19,17316.63,1955.95,1.44,0.0,111.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,6853.46,6853.46,62.99,62.99,6916.45,3805.53,4451.3,0.0,334.49,0.0,4785.79,619.42,331.46,1205.91,5.12,2161.91,17669.68,13566.63,167.11,60.79,0.0,13794.53,1021.93,120.41,0.0,233.69,15170.56,518.7,930.21,388.29,661.92,2499.12,17669.68,1348.14,1.0,0.0,233.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,6853.46,6853.46,122.78,122.78,6976.24,3805.53,3991.65,0.0,249.12,37.0,4277.77,762.84,419.51,1384.75,5.11,2572.21,17631.75,13166.13,151.46,52.8,38.68,13409.07,971.86,22.16,0.0,165.67,14568.76,712.19,1167.26,175.09,1008.45,3062.99,17631.75,1395.78,1.0,0.0,190.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,6853.46,6853.46,809.03,809.03,7662.49,3805.53,3624.82,184.56,203.33,35.26,4047.97,616.97,361.69,797.24,5.54,1781.44,17297.43,12803.38,135.81,86.26,45.32,13070.77,756.51,0.0,0.0,221.21,14048.49,523.55,1186.39,951.74,587.26,3248.94,17297.43,1610.39,0.86,0.0,524.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,6853.46,6853.46,5425.31,5425.31,12278.77,0.0,3242.16,468.17,168.52,43.1,3921.95,523.46,221.45,831.54,1.68,1578.13,17778.85,12574.71,120.02,74.82,0.0,12769.55,722.1,0.0,10.95,465.2,13967.8,582.54,943.23,1555.57,729.71,3811.05,17778.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
