Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-03-31,2143.52,22.78,2166.3,1238.99,84.52,-51.66,193.31,37.61,540.25,123.28,31.84,155.12,21.18,133.94,0.0,133.94,43.96,89.98,0.0,89.98,42.38,4.25,4.25,0.0,0.0,0.0,0.0,0.0
2017-06-30,2191.49,32.22,2223.71,1179.47,104.96,0.55,215.71,38.32,575.7,109.0,32.58,141.58,23.06,118.52,0.0,118.52,43.46,75.06,0.0,75.06,42.38,3.54,3.54,0.0,0.0,0.0,0.0,0.0
2017-09-30,1884.08,31.29,1915.37,1144.52,69.35,-116.35,203.39,38.85,480.31,95.3,37.75,133.05,15.24,117.81,0.0,117.81,34.42,83.39,0.0,83.39,42.38,3.94,3.94,0.0,0.0,0.0,0.0,0.0
2017-12-31,2739.79,39.61,2779.4,1503.82,98.29,101.95,183.89,43.19,597.74,250.52,18.8,269.32,17.83,251.49,0.0,251.49,79.97,171.52,0.0,171.52,42.38,8.09,8.09,0.0,0.0,0.0,0.0,0.0
2018-03-31,1551.08,15.38,1566.46,893.51,127.03,-1.59,145.4,22.54,312.63,66.94,22.81,89.75,19.85,69.9,0.0,69.9,24.3,45.6,56.89,102.49,42.38,4.84,4.84,0.0,0.0,0.0,0.0,0.0
2018-06-30,1646.86,18.86,1665.72,974.41,127.08,-26.55,144.2,22.75,357.21,66.62,18.33,84.95,15.04,69.91,0.0,69.91,25.48,44.43,57.72,102.15,42.38,4.82,4.82,0.0,0.0,0.0,0.0,0.0
2018-09-30,2489.61,25.75,2515.36,1417.1,147.7,-97.04,212.65,37.07,640.99,156.89,28.49,185.38,20.11,165.27,0.0,165.27,56.93,108.34,0.0,108.34,42.38,5.11,5.11,0.0,0.0,0.0,0.0,0.0
2018-12-31,1939.54,26.78,1966.32,1072.12,170.92,30.01,100.45,23.88,377.39,191.55,15.98,207.53,5.27,202.26,0.0,202.26,73.62,128.64,69.27,197.91,42.38,9.34,9.34,0.0,0.0,0.0,0.0,0.0
2019-03-31,1828.3,21.95,1850.25,1057.86,184.04,-19.02,157.47,23.31,324.38,122.21,19.12,141.33,2.64,138.69,0.0,138.69,49.67,89.02,27.17,116.19,42.38,5.48,5.48,0.0,0.0,0.0,0.0,0.0
2019-06-30,1708.58,17.17,1725.75,949.1,146.22,-21.93,136.14,22.01,392.35,101.86,20.37,122.23,9.57,112.66,0.0,112.66,42.92,69.74,60.66,130.4,42.38,6.15,6.15,0.0,0.0,0.0,0.0,0.0
2019-09-30,1723.76,21.86,1745.62,880.33,208.89,-15.98,139.49,22.66,409.53,100.7,16.41,117.11,4.42,112.69,0.0,112.69,33.88,78.81,56.47,135.28,42.38,6.38,6.38,0.0,0.0,0.0,0.0,0.0
2019-12-31,1928.25,25.08,1953.33,1267.57,-68.13,30.2,146.52,22.42,438.77,115.98,38.41,154.39,4.73,149.66,-69.7,79.96,15.3,64.66,-26.0,38.66,42.38,1.82,1.82,0.0,0.0,0.0,0.0,0.0
2020-03-31,1501.71,20.53,1522.24,857.58,109.05,-26.98,163.34,27.07,404.75,-12.57,45.78,33.21,3.39,29.82,56.79,86.61,20.61,66.0,-1.36,64.64,42.38,3.05,3.05,0.0,0.0,0.0,0.0,0.0
2020-06-30,973.4,12.38,985.78,554.17,83.01,-23.72,120.2,24.9,228.68,-1.46,26.62,25.16,3.75,21.41,2.0,23.41,6.66,16.75,-0.47,16.28,42.38,0.77,0.77,0.0,0.0,0.0,0.0,0.0
2020-09-30,1600.11,12.06,1612.17,872.85,132.11,46.06,135.2,24.74,304.55,96.66,20.1,116.76,2.8,113.96,0.0,113.96,28.47,85.49,-4.75,80.74,42.38,4.03,4.03,0.0,0.0,0.0,0.0,0.0
2020-12-31,1681.95,18.81,1700.76,957.34,132.49,26.92,149.27,29.65,332.14,72.95,14.37,87.32,6.93,80.39,0.0,80.39,18.19,62.2,-4.64,57.56,42.38,2.72,2.72,0.0,0.0,0.0,0.0,0.0
2021-03-31,1618.21,10.94,1629.15,889.88,148.46,1.25,153.77,25.26,303.54,106.99,25.26,132.25,3.18,129.07,74.53,203.6,52.98,150.62,-9.29,141.33,42.38,7.11,7.11,0.0,0.0,0.0,0.0,0.0
2021-06-30,1424.96,0.0,1424.96,785.72,181.62,-57.41,139.08,28.4,281.2,66.35,25.21,91.56,1.6,89.96,0.0,89.96,21.64,68.32,1.94,70.26,42.38,3.31,3.31,0.0,0.0,0.0,0.0,0.0
2021-09-30,1762.98,15.41,1778.39,973.56,163.8,-33.62,144.05,26.31,361.67,142.62,24.81,167.43,2.03,165.4,0.0,165.4,45.43,119.97,-0.05,119.92,42.38,5.66,5.66,0.0,0.0,0.0,0.0,0.0
2021-12-31,2069.93,31.57,2101.5,1108.24,197.43,56.42,151.34,22.73,402.87,162.47,59.92,222.39,3.89,218.5,46.81,265.31,71.73,193.58,-5.38,188.2,42.38,8.89,8.89,0.0,0.0,0.0,0.0,0.0
2022-03-31,1953.93,14.44,1968.37,1090.31,179.75,-27.17,175.0,25.67,362.6,162.21,37.25,199.46,1.48,197.98,293.35,491.33,121.19,370.14,2.93,373.07,42.38,17.61,17.61,0.0,0.0,0.0,0.0,0.0
2022-06-30,2036.31,16.2,2052.51,1110.72,173.52,-31.33,145.68,25.34,455.16,173.42,25.33,198.75,2.83,195.92,0.0,195.92,48.86,147.06,-6.78,140.28,42.38,6.62,6.62,0.0,0.0,0.0,0.0,0.0
2022-09-30,2100.27,19.47,2119.74,1210.4,162.67,-56.0,156.09,26.87,435.63,184.08,46.88,230.96,1.56,229.4,45.91,275.31,72.81,202.5,-4.94,197.56,42.38,9.33,9.33,0.0,0.0,0.0,0.0,0.0
2022-12-31,2426.91,0.0,2426.91,1292.75,182.59,12.97,158.52,26.82,415.8,337.46,70.01,407.47,7.24,400.23,0.0,400.23,94.32,305.91,-0.59,305.32,42.38,14.41,14.41,0.0,0.0,0.0,0.0,0.0
2023-03-31,2395.94,15.27,2411.21,1189.34,201.0,46.03,187.83,27.48,501.7,257.83,72.25,330.08,2.23,327.85,0.0,327.85,82.68,245.17,-0.28,244.89,42.38,11.56,11.56,0.0,0.0,0.0,0.0,0.0
2023-06-30,2491.35,17.28,2508.63,1380.69,195.39,-48.09,168.1,29.23,463.82,319.49,75.03,394.52,1.39,393.13,0.0,393.13,97.32,295.81,-0.18,295.63,42.38,13.95,13.95,0.0,0.0,0.0,0.0,0.0
2023-09-30,2769.19,0.0,2769.19,1508.43,229.33,-53.54,177.96,30.29,468.48,408.24,76.82,485.06,0.88,484.18,0.0,484.18,122.18,362.0,0.87,362.87,42.38,17.12,17.12,0.0,0.0,0.0,0.0,0.0
2023-12-31,2757.49,0.0,2757.49,1400.17,217.05,28.91,181.26,32.92,512.88,384.3,77.59,461.89,8.16,453.73,0.0,453.73,108.53,345.2,-6.54,338.66,42.38,15.98,15.98,0.0,0.0,0.0,0.0,0.0
2024-03-31,3080.36,0.0,3080.36,1544.16,259.03,-41.96,221.13,31.42,532.82,533.76,87.14,620.9,3.81,617.09,0.0,617.09,157.49,459.6,-0.31,459.29,42.38,21.68,21.68,0.0,0.0,0.0,0.0,0.0
2024-06-30,2808.48,22.38,2830.86,1316.83,242.33,-34.12,203.01,30.97,560.32,511.52,86.75,598.27,4.51,593.76,0.0,593.76,151.13,442.63,0.86,443.49,42.38,20.93,20.93,0.0,0.0,0.0,0.0,0.0
2024-09-30,2888.59,23.57,2912.16,1413.47,237.87,-69.67,203.08,32.83,587.19,507.39,92.89,600.28,3.0,597.28,0.0,597.28,156.81,440.47,-0.02,440.45,42.38,20.79,20.79,0.0,0.0,0.0,0.0,0.0
2024-12-31,3326.88,38.05,3364.93,1654.78,246.13,-20.23,194.71,33.7,632.2,623.64,86.62,710.26,5.13,705.13,0.0,705.13,173.22,531.91,-3.5,528.41,42.38,24.93,24.93,0.0,0.0,0.0,0.0,0.0
2025-03-31,3139.68,19.88,3159.56,1586.44,260.57,-100.34,245.19,33.76,585.43,548.51,92.33,640.84,4.71,636.13,0.0,636.13,162.01,474.12,0.51,474.63,42.38,22.39,22.39,0.0,0.0,0.0,0.0,0.0
