Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],Revaluation Reserves,Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-12-31,42.38,42.38,2769.6,2769.6,0.0,2811.98,4.51,37.44,41.95,1984.02,1297.7,314.93,3967.72,6821.65,1284.02,115.52,31.93,1431.47,16.39,15.23,401.53,7.48,1872.1,0.08,893.82,3157.52,225.96,277.45,394.72,4949.55,6821.65,765.68,462.01,47.68,1118.17,201.55,18.79,14.34,0.43,0.0,0.08,0.0,371.07,267.57,1265.57,505.82,15.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,42.38,42.38,2966.17,2966.17,0.0,3008.55,4.3,47.92,652.22,2101.96,1267.7,378.4,3748.06,7408.83,1199.36,99.06,44.28,1342.7,16.31,48.96,422.2,6.69,1836.86,0.08,939.57,3390.93,573.59,278.08,389.72,5571.97,7408.83,690.26,515.42,58.8,874.68,191.52,18.79,14.67,0.35,0.0,0.08,600.0,0.0,233.43,1537.79,314.21,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,42.38,42.38,3240.4,3240.4,0.0,3282.78,3.91,52.08,655.99,2157.31,1237.23,395.56,3790.14,7728.91,1168.79,86.12,67.78,1322.69,16.23,78.36,380.6,7.23,1805.11,0.08,940.25,3063.33,1189.16,330.78,400.2,5923.8,7728.91,720.23,651.38,58.8,1067.89,229.62,18.79,14.98,0.27,0.0,0.08,600.0,0.04,265.75,1614.4,370.51,14.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,42.38,42.38,3564.51,3564.51,0.0,3606.89,3.86,42.68,50.68,2713.11,2202.85,314.52,5230.48,8888.05,1142.6,76.06,116.48,1335.14,0.17,117.3,21.56,481.12,1955.29,270.45,1153.55,2764.1,1491.66,24.62,1228.38,6932.76,8888.05,941.73,3294.0,0.0,1229.0,0.0,18.79,0.0,0.17,15.96,254.49,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,42.38,42.38,3964.94,3964.94,0.0,4007.32,3.49,32.29,37.81,1874.51,2923.88,233.38,5031.77,9076.9,871.3,21.84,83.06,976.2,0.09,114.96,10.42,450.11,1551.78,0.08,927.85,1686.89,1475.07,15.84,3419.39,7525.12,9076.9,889.37,4559.0,0.0,0.0,1634.0,18.79,0.0,0.09,0.0,0.08,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,42.38,42.38,3477.73,3477.73,0.0,3520.11,3.56,44.97,55.59,1901.6,2012.59,210.94,4125.13,7700.83,719.8,21.89,59.48,801.17,0.0,110.34,10.51,380.62,1302.64,0.08,861.73,1947.54,1597.57,366.53,1624.74,6398.19,7700.83,882.48,3749.8,0.0,0.0,1468.03,18.79,0.0,0.0,0.0,0.08,7.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,42.38,42.38,3563.93,3563.93,0.07,3606.38,50.2,0.0,50.2,1720.74,1923.13,290.05,3933.92,7590.5,762.98,19.75,74.86,857.59,0.0,117.21,9.12,522.94,1506.86,0.08,840.83,1694.96,2206.57,17.88,1323.32,6083.64,7590.5,641.5,2401.95,0.0,0.0,949.96,18.79,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,42.38,42.38,4002.74,4002.74,0.07,4045.19,23.76,0.0,23.76,1961.3,1707.95,334.54,4003.79,8072.74,798.31,18.67,76.93,893.91,0.0,93.86,8.68,440.95,1437.4,0.0,1009.09,1883.84,2687.74,18.51,1036.16,6635.34,8072.74,662.86,3058.68,0.0,0.0,871.75,18.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,42.38,42.38,4896.96,4896.96,0.07,4939.41,28.48,0.0,28.48,2636.76,1330.4,383.18,4350.34,9318.23,881.2,17.97,69.25,968.42,0.0,89.84,0.0,361.37,1419.63,493.15,1420.66,2092.99,3149.08,4.94,737.78,7898.6,9318.23,1157.42,4460.54,0.0,0.0,1013.17,18.79,0.0,0.0,0.0,493.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,42.38,42.38,5902.15,5902.15,0.07,5944.6,36.8,5.63,42.43,3109.08,1459.9,445.18,5014.16,11001.19,975.49,18.46,59.92,1053.87,1.56,102.7,0.0,295.57,1453.7,0.0,1560.76,2544.3,4816.17,5.4,620.86,9547.49,11001.19,664.38,5586.85,0.0,0.0,1088.71,18.79,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,42.38,42.38,7032.95,7032.95,0.07,7075.4,36.84,5.13,41.97,3198.02,1561.11,514.83,5273.96,12391.33,1044.44,17.41,94.77,1156.62,1.56,98.49,0.0,372.06,1628.73,0.0,1777.99,2983.66,5507.82,6.29,486.84,10762.6,12391.33,758.65,6138.57,0.0,0.0,1364.77,18.79,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
