Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Government/Other Grants,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,155.42,155.42,2790.14,2790.14,2945.56,336.41,0.0,87.6,2095.88,1678.18,294.03,961.25,111.11,3044.57,9269.75,4852.86,20.63,23.25,0.0,4896.74,132.15,269.68,851.03,6149.6,0.0,824.59,1454.72,173.42,255.01,412.41,3120.15,9269.75,721.94,21.19,0.14,72.4,0.0,132.59,82.84,1183.73,1671.87,180.98,26.2,34.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,155.42,155.42,2324.76,2324.76,2480.17,329.55,0.0,103.16,1959.56,1647.57,371.44,857.29,46.01,2922.31,8488.03,4442.58,25.53,13.26,0.0,4481.37,145.36,197.38,607.9,5432.01,0.0,749.77,1355.24,15.94,203.18,731.89,3056.03,8488.03,339.41,26.71,0.13,23.3,0.5,189.52,96.05,1125.98,1526.85,141.1,57.85,5.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,155.42,155.42,2513.71,2513.71,2669.13,329.55,0.0,113.01,1479.88,1425.91,302.26,891.49,101.88,2721.54,7938.78,4257.52,25.96,8.97,0.0,4292.45,145.36,206.72,352.3,4996.83,0.0,731.66,1492.51,9.89,299.44,408.46,2941.96,7938.78,414.3,8.55,0.0,58.39,0.03,191.26,96.0,1068.24,1037.32,148.96,106.27,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,155.42,155.42,3646.17,3646.17,3801.59,386.92,941.12,132.67,1994.12,1073.31,340.11,652.93,40.49,2106.84,7902.55,4395.88,26.93,14.41,19.41,4456.63,762.44,78.22,148.31,5445.6,0.0,661.79,1111.53,12.51,16.21,654.91,2456.95,7902.55,685.24,281.33,0.0,0.0,117.61,303.32,459.12,0.0,533.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,155.42,155.42,4302.56,4302.56,4457.98,478.67,880.47,173.44,1532.58,229.56,431.47,466.59,55.12,1182.74,7173.3,4114.73,27.41,13.67,18.98,4174.79,726.0,75.76,88.03,5064.58,0.0,680.64,1120.08,16.15,15.41,276.44,2108.72,7173.3,628.06,408.33,0.0,0.0,406.33,364.56,361.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,155.42,155.42,4841.68,4841.68,4997.1,466.68,819.82,235.9,1522.4,207.93,394.75,355.69,63.73,1022.1,7541.6,3915.7,24.66,25.36,18.55,3984.27,731.65,247.37,90.4,5053.69,0.0,829.03,1240.19,234.91,16.7,167.08,2487.91,7541.6,584.74,542.92,0.0,0.0,387.9,321.51,410.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,155.42,155.42,5067.08,5067.08,5222.5,316.08,759.83,243.19,1319.1,858.64,513.4,365.95,62.28,1800.27,8341.87,3769.85,22.48,81.9,18.13,3892.36,595.93,102.22,103.2,4693.71,0.0,932.35,1413.42,189.0,183.86,929.53,3648.16,8341.87,658.52,349.49,0.0,0.0,176.81,210.77,385.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,155.42,155.42,5828.25,5828.25,5983.67,390.91,704.68,260.23,1355.82,2.16,460.24,463.47,34.92,960.79,8300.28,3681.55,21.1,160.9,17.7,3881.25,781.14,107.85,97.9,4868.14,72.23,813.34,509.55,1450.73,418.19,168.1,3432.14,8300.28,695.02,397.71,0.0,0.0,182.9,354.98,426.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,155.42,155.42,7743.42,7743.42,7898.84,422.25,643.88,310.24,1376.37,0.07,631.2,682.11,38.03,1351.41,10626.62,3541.0,19.96,137.72,17.28,3715.96,1156.95,660.93,214.99,5748.83,64.81,976.97,625.1,1181.94,1867.15,161.82,4877.79,10626.62,834.66,441.55,0.0,0.0,93.92,499.98,721.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,155.42,155.42,8850.94,8850.94,9006.36,343.9,583.01,371.61,1298.52,0.01,577.71,514.32,199.86,1291.9,11596.78,3325.04,18.53,187.01,37.78,3568.36,2785.42,115.15,257.13,6726.06,321.02,1123.21,367.44,1993.91,815.93,249.21,4870.72,11596.78,1199.3,458.4,0.0,0.0,68.45,416.49,2689.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,146.94,146.94,8050.8,8050.8,8197.74,269.53,522.35,489.76,1281.64,0.56,522.4,506.34,52.17,1081.47,10560.85,3184.08,16.55,288.52,36.97,3526.12,2254.39,138.03,160.53,6079.07,664.72,1119.39,626.39,1528.9,369.56,172.82,4481.78,10560.85,1066.77,720.88,0.0,0.0,70.14,564.97,2354.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
