Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Intangible Assets Under Development,Share Capital Suspense,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,21.79,21.79,469.91,469.91,491.69,65.54,39.1,1.07,1.96,107.67,166.24,208.56,73.03,15.22,463.05,1062.41,367.99,5.85,6.71,0.0,380.54,37.07,41.48,0.8,459.88,0.0,121.25,168.62,4.36,13.86,294.44,602.53,1062.41,1312.17,12.45,59.89,0.11,15.85,21.11,34.68,0.0,0.0,3.61,3.69,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,21.79,21.79,488.6,488.6,510.39,89.26,32.8,1.07,2.43,125.56,138.44,208.7,56.25,16.25,419.65,1055.6,329.07,4.56,1.99,0.0,335.62,199.24,15.4,0.79,551.06,0.0,130.22,226.76,3.06,16.92,127.59,504.55,1055.6,1296.07,3.58,73.16,0.0,15.85,38.52,196.86,0.0,0.0,27.64,1.43,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,21.79,21.79,701.62,701.62,723.4,128.4,61.57,0.0,5.87,195.84,409.41,407.08,209.16,30.96,1056.61,1975.85,782.49,6.52,6.29,3.18,799.91,109.61,0.0,35.1,944.62,0.0,262.77,659.14,20.47,0.0,88.85,1031.23,1975.85,402.14,53.67,65.12,0.0,15.85,1.06,106.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,22.44,22.44,706.85,706.85,729.29,90.6,71.52,0.0,5.25,167.37,331.18,360.23,251.91,18.75,962.06,1858.72,749.57,6.31,0.99,3.03,760.55,127.75,1.29,50.35,939.94,0.0,231.83,586.65,6.04,5.27,88.99,918.78,1858.72,487.23,31.65,47.75,0.0,15.85,2.59,122.99,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,22.44,22.44,708.3,708.3,730.74,144.58,67.86,0.0,4.22,216.66,312.51,369.87,311.32,13.64,1007.34,1954.74,707.96,5.33,1.08,2.88,717.5,160.39,1.17,41.36,920.42,0.0,200.65,623.12,33.02,5.82,171.72,1034.32,1954.74,507.91,20.62,63.07,0.0,15.85,2.64,155.58,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,22.44,22.44,717.57,717.57,740.01,216.94,80.12,0.0,4.51,301.56,234.29,342.28,313.47,15.49,905.54,1947.11,671.36,6.13,4.61,2.73,685.08,160.22,0.52,43.91,889.74,0.0,238.83,546.7,8.09,4.84,258.92,1057.37,1947.11,479.13,29.35,53.43,0.0,15.85,2.73,155.32,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,22.44,22.44,759.82,759.82,782.26,131.31,7.69,27.19,1.99,168.18,203.89,458.1,202.54,21.39,885.93,1836.36,623.84,4.27,0.18,25.6,653.89,119.15,0.07,41.63,814.74,0.0,228.36,558.99,24.74,13.92,195.62,1021.63,1836.36,524.09,40.27,66.73,0.0,15.85,0.59,116.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,22.44,22.44,796.93,796.93,819.37,116.15,29.99,16.41,3.37,165.92,89.65,361.61,240.7,24.67,716.62,1701.91,585.47,3.0,0.31,25.47,614.25,118.65,0.07,42.43,775.4,0.0,176.11,466.89,50.61,13.02,219.88,926.51,1701.91,528.18,134.23,105.77,0.0,15.85,0.08,116.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,22.44,22.44,885.11,885.11,907.55,19.66,27.6,4.52,9.13,60.91,80.35,214.42,149.97,22.14,466.89,1435.35,560.71,1.88,0.15,25.35,588.09,118.54,8.69,34.15,749.47,0.0,180.42,379.09,39.08,0.0,87.29,685.88,1435.35,175.51,110.29,81.18,0.0,15.85,0.03,116.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,22.44,22.44,1056.92,1056.92,1079.36,0.0,26.2,16.54,8.7,51.44,0.0,169.49,102.22,13.15,284.86,1415.66,578.81,1.54,0.12,25.23,605.7,118.94,3.29,30.52,758.46,19.06,175.74,299.44,135.68,5.6,21.66,657.2,1415.66,174.46,80.98,124.94,0.0,15.85,0.0,116.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,22.44,22.44,1325.07,1325.07,1347.51,0.0,25.4,57.63,5.75,88.78,0.0,160.83,145.49,16.95,323.27,1759.56,595.8,2.03,0.69,25.12,623.64,138.58,0.0,53.45,815.67,203.28,154.13,406.53,116.35,0.0,63.6,943.89,1759.56,284.84,86.86,109.87,0.0,15.85,0.0,136.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,22.44,22.44,1630.83,1630.83,1653.27,0.0,22.9,145.68,2.74,171.32,3.31,231.09,214.7,23.04,472.14,2296.73,758.66,2.91,6.59,0.0,768.16,129.09,0.0,31.28,928.53,414.55,165.58,575.08,164.13,0.0,48.86,1368.2,2296.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
