Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,96.35,1.26,97.61,67.29,-20.42,9.89,11.6,17.91,11.34,2.34,13.68,7.94,5.73,5.73,2.17,3.57,3.57,21.79,0.0,0.33,0.33,4.57,41.91,5.69,89.99,52.28
2015-09-30,110.51,0.89,111.4,60.36,-11.47,13.8,11.76,21.0,15.94,3.25,19.19,9.06,10.13,10.13,3.22,6.91,6.91,21.79,499.08,0.63,0.63,4.65,42.66,5.61,89.86,51.52
2015-12-31,119.45,0.85,120.3,83.68,-19.18,12.03,11.85,25.15,6.77,25.63,32.4,9.2,23.2,23.2,6.06,17.14,17.14,21.79,0.0,1.57,1.57,0.0,0.0,0.0,0.0,0.0
2016-03-31,188.84,0.69,189.54,83.98,30.12,12.78,11.88,27.26,23.52,7.82,31.34,9.18,22.16,22.16,6.62,15.54,15.54,21.79,517.33,1.43,1.43,0.0,0.0,0.0,0.0,0.0
2016-06-30,110.67,1.19,111.86,47.95,-8.73,14.2,10.05,31.94,16.45,5.27,21.72,8.45,13.27,13.27,3.5,9.77,9.77,21.79,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2016-09-30,183.04,2.84,185.89,77.15,-6.18,20.57,12.5,76.23,5.62,3.28,8.9,15.56,-6.66,-6.66,-3.63,-3.03,-3.03,21.79,0.0,-0.27,-0.27,0.0,0.0,0.0,0.0,0.0
2016-12-31,218.07,1.62,219.69,94.64,10.39,20.93,12.47,76.95,4.31,1.41,5.72,15.29,-9.57,-9.57,-2.06,-7.51,-7.51,22.44,0.0,-0.67,-0.67,0.0,0.0,0.0,0.0,0.0
2017-03-31,346.3,0.0,346.3,124.9,23.91,22.27,10.74,88.46,76.02,1.43,77.44,14.78,62.66,62.66,33.57,29.1,29.1,22.44,0.0,2.59,2.59,0.0,0.0,0.0,0.0,0.0
2017-06-30,167.88,0.0,167.88,83.53,-2.38,19.56,11.13,83.14,-27.1,1.43,-25.68,13.21,-38.89,-38.89,-0.15,-38.75,-38.75,22.44,0.0,-3.45,-3.45,0.0,0.0,0.0,0.0,0.0
2017-09-30,178.3,0.0,178.3,73.87,12.18,16.54,11.72,54.99,9.01,1.85,10.86,15.06,-4.2,-4.2,-0.39,-3.82,-3.82,22.44,0.0,-0.34,-0.34,0.0,0.0,0.0,0.0,0.0
2017-12-31,195.34,0.0,195.34,83.31,7.7,16.48,11.81,62.97,13.06,2.16,15.22,14.64,0.58,0.58,0.1,0.48,0.48,22.44,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0
2018-03-31,369.75,0.0,369.75,137.92,5.57,12.76,13.42,142.54,57.55,5.12,62.67,15.07,47.6,47.6,-2.57,50.17,50.17,22.44,0.0,4.47,4.47,0.0,0.0,0.0,0.0,0.0
2018-06-30,234.48,0.0,234.48,104.56,-2.97,18.46,10.74,86.06,17.62,2.5,20.13,14.97,5.15,5.15,1.72,3.43,3.43,22.44,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0
2018-09-30,259.7,0.0,259.7,115.39,-2.92,18.3,10.9,105.15,12.89,8.96,21.85,14.02,7.83,7.83,4.33,3.5,3.5,22.44,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0
2018-12-31,209.15,0.0,209.15,103.64,-10.29,20.2,11.07,74.69,9.84,9.51,19.35,12.53,6.82,6.82,4.05,2.76,2.76,22.44,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2019-03-31,250.41,0.0,250.41,125.01,-8.05,15.14,10.87,84.14,23.3,2.77,26.07,18.01,8.06,8.06,5.69,2.38,2.38,22.44,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2019-06-30,213.31,0.0,213.31,76.34,9.51,17.43,10.36,81.35,18.31,0.88,19.19,17.19,2.01,2.01,0.67,1.34,1.34,22.44,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0
2019-09-30,205.67,0.0,205.67,91.3,2.34,16.51,10.99,63.91,20.62,3.82,24.44,17.79,6.65,6.65,2.15,4.5,4.5,22.44,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2019-12-31,212.14,0.0,212.14,131.45,-50.45,17.64,10.64,84.28,18.58,5.93,24.5,18.25,6.26,6.26,1.91,4.34,4.34,22.44,0.0,0.39,0.39,0.0,0.0,0.0,0.0,0.0
2020-03-31,201.69,0.0,201.69,21.13,45.07,19.87,11.71,102.75,1.16,1.61,2.77,16.4,-13.63,-13.63,-75.87,62.23,62.23,22.44,0.0,5.54,5.54,0.0,0.0,0.0,0.0,0.0
2020-06-30,89.81,0.0,89.81,22.45,8.93,18.06,10.52,44.9,-15.05,1.08,-13.97,14.56,-28.53,-28.53,-9.79,-18.74,-18.74,22.44,0.0,-1.67,-1.67,0.0,0.0,0.0,0.0,0.0
2020-09-30,205.04,0.0,205.04,86.36,5.75,11.96,10.72,47.72,42.54,2.35,44.89,14.13,30.76,30.76,10.61,20.15,20.15,22.44,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0
2020-12-31,228.04,0.0,228.04,102.41,10.87,14.5,10.65,62.69,26.92,4.96,31.87,13.01,18.87,18.87,6.44,12.42,12.42,22.44,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0
2021-03-31,273.47,0.0,273.47,108.42,18.03,19.16,10.42,70.08,47.36,2.4,49.75,12.57,37.18,37.18,14.75,22.43,22.43,22.44,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,219.29,0.0,219.29,114.9,-15.53,15.24,9.68,54.64,40.36,2.46,42.82,11.9,30.92,30.92,7.79,23.13,23.13,22.44,0.0,2.06,2.06,0.0,0.0,0.0,0.0,0.0
2021-09-30,235.17,0.0,235.17,111.48,3.92,12.98,9.83,55.85,41.11,1.47,42.57,10.54,32.03,32.03,8.92,23.11,23.11,22.44,0.0,2.06,2.06,0.0,0.0,0.0,0.0,0.0
2021-12-31,184.79,0.0,184.79,105.09,-20.98,13.28,9.51,53.78,24.12,1.55,25.66,4.35,21.32,21.32,5.55,15.77,15.77,22.44,0.0,1.41,1.41,0.0,0.0,0.0,0.0,0.0
2022-03-31,245.81,0.0,245.81,117.44,1.29,17.0,9.23,59.34,41.5,2.98,44.48,5.13,39.35,39.35,5.83,33.52,33.52,22.44,0.0,2.99,2.99,0.0,0.0,0.0,0.0,0.0
2022-06-30,257.19,0.0,257.19,110.6,0.33,22.93,9.09,68.36,45.88,1.63,47.51,3.6,43.91,43.91,10.97,32.94,32.94,22.44,0.0,2.94,2.94,0.0,0.0,0.0,0.0,0.0
2022-09-30,305.05,0.0,305.05,150.07,-10.81,21.26,9.62,69.35,65.56,1.68,67.24,2.05,65.19,65.19,17.57,47.61,47.61,22.44,0.0,4.24,4.24,0.0,0.0,0.0,0.0,0.0
2022-12-31,304.22,0.0,304.22,133.62,3.49,22.69,9.76,73.15,61.51,3.85,65.35,1.93,63.42,63.42,15.22,48.21,48.21,22.44,0.0,4.3,4.3,0.0,0.0,0.0,0.0,0.0
2023-03-31,330.54,0.0,330.54,146.43,14.5,16.58,10.81,73.83,68.4,9.25,77.65,3.71,73.94,73.94,14.55,59.39,59.39,22.44,0.0,5.29,5.29,0.0,0.0,0.0,0.0,0.0
2023-06-30,324.38,0.0,324.38,162.23,-25.36,24.65,9.94,76.17,76.75,6.4,83.15,1.87,81.28,81.28,20.38,60.9,60.9,22.44,0.0,5.43,5.43,0.0,0.0,0.0,0.0,0.0
2023-09-30,406.67,0.0,406.67,171.73,15.15,24.33,10.93,87.7,96.83,10.86,107.69,1.62,106.07,106.07,27.09,78.98,78.98,22.44,0.0,7.04,7.04,0.0,0.0,0.0,0.0,0.0
2023-12-31,383.3,0.0,383.3,171.56,1.02,23.29,10.25,85.99,91.19,12.58,103.77,1.46,102.31,102.31,26.0,76.31,76.31,22.44,0.0,6.8,6.8,0.0,0.0,0.0,0.0,0.0
2024-03-31,485.33,0.0,485.33,197.84,16.96,38.25,10.14,114.65,107.49,9.96,117.45,0.99,116.46,116.46,29.51,86.95,86.95,22.44,0.0,7.75,7.75,0.0,0.0,0.0,0.0,0.0
2024-06-30,293.42,0.0,293.42,137.69,-16.86,26.52,10.33,73.53,62.21,13.1,75.31,1.44,73.87,73.87,18.77,55.1,55.1,22.44,0.0,4.91,4.91,0.0,0.0,0.0,0.0,0.0
2024-09-30,418.64,0.0,418.64,215.84,-6.04,25.81,10.59,92.27,80.17,10.51,90.68,1.37,89.31,89.31,22.21,67.1,67.1,22.44,0.0,2.99,2.99,0.0,0.0,0.0,0.0,0.0
2024-12-31,446.32,0.0,446.32,218.48,-25.93,29.33,13.05,97.83,113.56,13.11,126.67,2.82,123.85,123.85,31.87,91.98,91.98,22.44,0.0,4.1,4.1,0.0,0.0,0.0,0.0,0.0
2025-03-31,712.74,0.0,712.74,322.61,49.08,47.88,16.62,119.49,157.06,16.15,173.21,4.3,168.91,168.91,43.43,125.48,125.48,22.44,0.0,5.59,5.59,0.0,0.0,0.0,0.0,0.0
