Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2019-09-30,2044.73,0.0,2044.73,57.68,1.47,-35.41,26.35,1994.64,9.06,2003.7,1243.96,759.74,0.0,759.74,33.9,725.84,0.0,725.84,2001.9,0.0,3.63,3.63
2019-12-31,1793.54,0.0,1793.54,54.6,1.48,166.71,20.45,1550.3,8.85,1559.15,1205.05,354.1,0.0,354.1,148.16,205.94,0.0,205.94,2001.9,0.0,1.03,1.03
2020-03-31,1888.49,0.0,1888.49,75.12,1.49,19.34,69.79,1722.75,11.91,1734.66,1189.31,545.35,0.0,545.35,104.39,440.96,0.0,440.96,2001.9,0.0,2.2,2.2
2020-06-30,1773.91,0.0,1773.91,50.16,1.19,247.06,13.72,1461.78,7.88,1469.66,1198.78,270.88,0.0,270.88,67.45,203.43,0.0,203.43,2001.9,0.0,1.02,1.02
2020-09-30,1856.78,0.0,1856.78,48.96,2.32,-12.29,15.3,1802.49,8.72,1811.21,1202.24,608.97,0.0,608.97,151.68,457.29,0.0,457.29,2001.9,0.0,2.28,2.28
2020-12-31,1845.19,0.0,1845.19,52.1,1.55,-6.5,15.79,1782.25,8.08,1790.33,1205.42,584.91,0.0,584.91,193.38,391.53,0.0,391.53,2001.9,0.0,1.96,1.96
2021-03-31,1759.38,0.0,1759.38,55.03,1.92,-301.9,100.54,1903.79,18.47,1922.26,1158.38,763.88,0.0,763.88,237.55,526.33,0.0,526.33,2001.9,0.0,2.63,2.63
2021-06-30,1790.31,0.0,1790.31,59.17,1.47,10.75,38.41,1680.51,8.04,1688.55,1144.7,543.85,0.0,543.85,139.23,404.62,0.0,404.62,2001.9,0.0,2.02,2.02
2021-09-30,1736.92,0.0,1736.92,60.75,1.54,0.71,35.9,1638.02,8.7,1646.72,1150.01,496.71,0.0,496.71,126.26,370.45,0.0,370.45,2001.9,0.0,1.85,1.85
2021-12-31,1699.92,0.0,1699.92,60.14,1.57,211.02,33.25,1393.94,9.49,1403.43,1141.29,262.14,0.0,262.14,67.51,194.63,0.0,194.63,2001.9,0.0,0.97,0.97
2022-03-31,1726.93,0.0,1726.93,38.03,3.32,-468.14,31.3,2122.42,17.35,2139.77,1096.53,1043.24,0.0,1043.24,296.34,746.9,0.0,746.9,2001.9,0.0,3.73,3.73
2022-06-30,1749.27,0.0,1749.27,48.12,2.76,-1.14,38.01,1661.52,8.05,1669.57,1116.79,552.78,0.0,552.78,141.02,411.76,0.0,411.76,2001.9,0.0,2.06,2.06
2022-09-30,1738.61,0.0,1738.61,45.9,2.85,25.25,32.23,1632.38,8.26,1640.64,1108.64,532.0,0.0,532.0,135.65,396.35,0.0,396.35,2001.9,0.0,1.98,1.98
2022-12-31,1709.58,0.0,1709.58,39.46,2.89,178.58,27.2,1461.45,10.38,1471.83,1131.51,340.32,0.0,340.32,86.0,254.32,0.0,254.32,2001.9,0.0,1.27,1.27
2023-03-31,1852.38,0.0,1852.38,53.14,2.81,-276.38,68.39,2004.42,10.03,2014.45,1150.14,864.31,0.0,864.31,225.12,639.19,0.0,639.19,2001.9,0.0,3.19,3.19
2023-06-30,1842.61,0.0,1842.61,47.16,2.48,-23.39,36.18,1780.18,8.66,1788.84,1191.03,597.81,0.0,597.81,152.11,445.7,0.0,445.7,2001.9,0.0,2.23,2.23
2023-09-30,1864.8,0.0,1864.8,55.11,2.44,-27.47,27.59,1807.13,16.05,1823.18,1216.76,606.42,0.0,606.42,154.73,451.69,0.0,451.69,2001.9,0.0,2.26,2.26
2023-12-31,2012.66,0.0,2012.66,31.76,2.46,0.0,-20.1,1998.54,10.28,2008.82,1312.73,696.09,0.0,696.09,176.9,519.19,0.0,519.19,2001.9,0.0,2.59,2.59
2024-03-31,2065.22,0.0,2065.22,98.48,2.48,0.0,-90.34,2054.6,128.82,2183.42,1240.3,943.12,0.0,943.12,242.96,700.16,0.0,700.16,2001.9,0.0,3.5,3.5
2024-06-30,2188.35,0.0,2188.35,39.88,1.96,0.0,6.96,2139.55,8.84,2148.39,1463.69,684.7,0.0,684.7,126.95,557.75,0.0,557.75,2001.9,0.0,2.79,2.79
2024-09-30,2517.72,0.0,2517.72,65.76,2.54,-233.15,28.93,2653.64,8.42,2662.06,1662.02,1000.04,0.0,1000.04,311.42,688.62,0.0,688.62,2001.9,0.0,3.44,3.44
2024-12-31,2760.23,0.0,2760.23,60.21,2.63,-16.84,29.99,2684.24,9.91,2694.15,1762.49,931.66,0.0,931.66,196.63,735.03,0.0,735.03,2001.9,0.0,3.67,3.67
2025-03-31,2844.99,0.0,2844.99,64.19,3.51,-141.82,49.52,2869.59,9.92,2879.51,1859.25,1020.26,0.0,1020.26,292.52,727.74,0.0,727.74,2001.9,0.0,3.64,3.64
