Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,2001.9,2001.9,5130.04,5130.04,7131.94,18868.21,495.11,112.59,227.68,19703.59,20.0,13.76,3176.54,3388.87,30224.4,68.14,0.05,26.68,0.0,0.0,94.87,0.0,24882.71,0.0,10.07,271.89,4180.31,879.42,5341.69,30224.4,672.35,7.11,1.73,52.13,704.67,0.0,178.57,753.88,24033.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,2001.9,2001.9,5778.57,5778.57,7780.47,18315.14,506.92,73.11,258.92,19154.09,0.0,9.34,5977.87,6179.18,33113.74,74.52,0.07,24.94,0.0,0.0,99.53,0.0,27629.14,400.0,10.05,284.92,3869.15,920.48,5484.6,33113.74,537.22,5.93,1.4,57.31,306.47,400.0,191.97,355.68,27173.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,2001.9,2001.9,6470.03,6470.03,8471.93,21342.02,485.7,32.2,290.93,22150.85,1390.0,17.85,3674.85,5258.8,35881.58,72.57,0.05,28.27,0.0,0.0,100.89,0.0,30030.56,0.0,2.05,590.07,4243.92,1014.98,5851.02,35881.58,454.52,5.36,1.45,65.35,319.32,0.0,176.1,368.53,29561.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,2001.9,2001.9,7165.35,7165.35,9167.25,24953.67,425.26,36.59,309.78,25725.3,1740.0,8.84,2631.91,4429.6,39322.15,72.06,0.03,31.82,0.0,0.0,103.91,0.0,33689.92,0.01,3.85,332.84,4309.05,986.48,5632.23,39322.15,55.05,6.06,2.02,76.53,319.05,0.01,48.85,368.52,33217.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,2001.9,2001.9,7941.09,7941.09,9942.99,36276.64,307.86,47.93,172.16,36804.59,0.0,12.43,2154.87,2167.3,48914.88,47.46,0.56,35.09,0.0,23.15,106.26,390.28,496.54,527.51,7.69,334.98,47103.88,444.28,48418.34,48914.88,416.4,6.04,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,2001.9,2001.9,8953.87,8953.87,10955.77,59847.96,404.24,42.02,179.96,60474.18,0.0,14.64,1384.75,1399.39,72829.34,49.95,0.41,38.59,0.0,20.21,109.16,387.05,496.21,535.51,20.04,340.04,70963.71,473.83,72333.13,72829.34,394.91,7.93,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,2001.9,2001.9,10341.59,10341.59,12343.49,61436.61,413.55,55.68,220.65,62126.49,0.0,17.59,1639.42,1657.01,76126.99,45.27,0.28,51.56,0.0,19.28,116.39,375.39,491.78,233.51,11.46,422.81,74267.92,699.51,75635.21,76126.99,373.97,7.08,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2001.9,2001.9,11187.15,11187.15,13189.05,60977.96,633.68,84.0,332.82,62028.46,0.0,12.22,1729.32,1741.54,76959.05,62.58,0.31,17.49,21.15,18.62,120.15,354.32,474.47,250.87,11.82,1427.4,74291.89,502.6,76484.58,76959.05,339.43,3.3,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,2001.9,2001.9,12466.42,12466.42,14468.32,54454.08,843.61,87.21,339.44,55724.34,7048.96,9.64,1643.91,8702.51,78895.17,74.38,1.09,17.26,8.14,17.65,118.52,339.73,458.25,258.71,9.08,643.93,76989.92,535.28,78436.92,78895.17,505.72,1.46,0.27,0.0,0.0,258.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,2001.9,2001.9,13443.35,13443.35,15445.25,48193.8,1006.12,60.3,342.52,49602.74,14711.28,7.94,1203.75,15922.97,80970.96,61.92,7.48,17.48,2.01,20.47,109.36,335.28,444.64,631.37,1.91,68.85,79236.97,587.22,80526.32,80970.96,528.38,2.51,0.06,0.0,0.0,631.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,2001.9,2001.9,14612.4,14612.4,16614.3,0.0,1228.45,90.34,359.14,1677.93,73995.86,14.28,1121.71,75131.85,93424.08,55.98,12.71,13.61,1.36,19.59,103.25,357.52,460.77,298.81,2.53,387.36,91365.05,909.56,92963.31,93424.08,602.7,12.84,0.0,0.0,0.0,298.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,2001.9,2001.9,15967.89,15967.89,17969.79,0.0,1465.93,58.91,364.78,1889.62,51389.61,20.79,57227.58,108637.98,128497.39,77.43,12.13,14.37,0.0,0.0,103.93,386.17,490.1,1319.62,4.18,64.54,124340.71,2278.24,128007.29,128497.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
