Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-09-30,887.89,0.0,887.89,480.74,27.09,14.45,41.41,33.0,163.92,127.28,0.11,127.39,31.38,96.01,0.0,96.01,17.5,78.51,0.0,78.51,41.06,9.56,9.56,0.0,0.0,0.0,0.0,0.0
2017-12-31,990.22,0.0,990.22,570.16,24.62,-17.36,45.72,34.2,189.27,143.61,0.78,144.39,33.7,110.69,0.0,110.69,20.5,90.19,0.0,90.19,41.06,10.98,10.98,0.0,0.0,0.0,0.0,0.0
2018-03-31,1029.39,0.0,1029.39,621.69,25.57,-40.07,50.92,36.88,191.03,143.37,1.16,144.53,36.42,108.11,0.0,108.11,23.41,84.7,0.0,84.7,40.65,10.42,10.42,0.0,0.0,0.0,0.0,0.0
2018-06-30,1078.48,0.0,1078.48,664.56,33.16,-38.14,51.25,37.72,179.75,150.18,3.4,153.58,46.1,107.48,0.0,107.48,18.2,89.28,0.0,89.28,40.65,10.98,10.98,0.0,0.0,0.0,0.0,0.0
2018-09-30,1299.52,0.0,1299.52,798.22,24.95,-28.92,52.85,38.85,210.33,203.24,0.24,203.48,51.31,152.17,0.0,152.17,29.25,122.92,0.0,122.92,40.65,15.12,15.12,0.0,0.0,0.0,0.0,0.0
2018-12-31,1268.15,0.0,1268.15,714.78,51.38,-19.35,62.41,40.61,212.06,206.26,0.24,206.5,42.35,164.15,0.0,164.15,31.5,132.65,0.0,132.65,40.65,16.32,16.32,0.0,0.0,0.0,0.0,0.0
2019-03-31,1211.44,0.0,1211.44,635.67,33.64,23.03,71.62,42.45,210.55,194.48,0.67,195.15,41.2,153.95,0.0,153.95,29.5,124.45,0.0,124.45,40.65,15.21,15.21,0.0,0.0,0.0,0.0,0.0
2019-06-30,1086.11,0.0,1086.11,542.4,34.28,4.97,66.81,40.09,200.73,196.83,4.33,201.16,30.3,170.86,0.0,170.86,33.5,137.36,0.0,137.36,43.33,15.85,15.77,0.0,0.0,0.0,0.0,0.0
2019-09-30,1019.04,0.0,1019.04,498.54,36.73,-14.41,71.09,42.53,188.56,196.0,5.57,201.57,30.38,171.19,0.0,171.19,29.0,142.19,0.0,142.19,43.56,16.32,16.32,0.0,0.0,0.0,0.0,0.0
2019-12-31,1176.72,0.0,1176.72,555.92,85.58,5.7,79.97,43.87,206.83,198.85,0.26,199.11,28.29,170.82,0.0,170.82,34.0,136.82,0.0,136.82,87.12,7.85,7.85,0.0,0.0,0.0,0.0,0.0
2020-03-31,1019.96,0.0,1019.96,475.77,61.61,-12.35,74.47,46.15,209.09,165.22,0.35,165.57,32.58,132.99,0.0,132.99,26.0,106.99,0.0,106.99,87.12,6.14,6.14,0.0,0.0,0.0,0.0,0.0
2020-06-30,904.84,0.0,904.84,423.7,45.78,-36.71,86.79,48.77,209.36,127.15,0.01,127.16,25.19,101.97,0.0,101.97,20.5,81.47,0.0,81.47,87.12,4.68,4.68,0.0,0.0,0.0,0.0,0.0
2020-09-30,1126.13,0.0,1126.13,484.74,54.8,18.15,90.45,51.79,237.3,188.9,0.02,188.92,21.54,167.38,0.0,167.38,31.0,136.38,0.0,136.38,87.12,7.83,7.83,0.0,0.0,0.0,0.0,0.0
2020-12-31,1142.63,0.0,1142.63,470.12,51.15,8.32,87.52,55.41,256.21,213.9,1.83,215.73,16.92,198.81,0.0,198.81,37.0,161.81,0.0,161.81,87.12,9.29,9.29,0.0,0.0,0.0,0.0,0.0
2021-03-31,1143.11,0.0,1143.11,544.28,34.06,-55.17,93.52,62.34,277.82,186.26,0.09,186.35,22.51,163.84,0.0,163.84,30.0,133.84,0.0,133.84,87.12,7.68,7.68,0.0,0.0,0.0,0.0,0.0
2021-06-30,1314.03,0.0,1314.03,699.06,41.21,-113.68,97.47,66.84,283.29,239.84,0.01,239.85,38.1,201.75,0.0,201.75,39.25,162.5,0.0,162.5,181.25,4.48,4.66,0.0,0.0,0.0,0.0,0.0
2021-09-30,1501.7,0.0,1501.7,791.05,39.67,-39.62,97.03,69.26,312.48,231.83,0.51,232.34,18.15,214.19,0.0,214.19,42.5,171.69,0.0,171.69,181.25,4.74,4.74,0.0,0.0,0.0,0.0,0.0
2021-12-31,2331.87,0.0,2331.87,877.24,53.38,-7.98,121.4,69.87,333.43,884.53,0.05,884.58,26.43,858.15,0.0,858.15,93.0,765.15,0.0,765.15,181.25,21.11,21.11,0.0,0.0,0.0,0.0,0.0
2022-03-31,1717.67,0.0,1717.67,899.54,76.62,-68.26,117.66,75.44,363.59,253.08,2.63,255.71,30.2,225.51,0.0,225.51,36.0,189.51,0.0,189.51,181.25,5.23,5.23,0.0,0.0,0.0,0.0,0.0
2022-06-30,1934.71,0.0,1934.71,1106.56,59.16,-82.02,119.29,84.69,369.02,278.01,0.37,278.38,49.54,228.84,0.0,228.84,43.0,185.84,0.0,185.84,181.25,5.13,5.13,0.0,0.0,0.0,0.0,0.0
2022-09-30,1685.91,0.0,1685.91,785.39,51.7,144.08,92.03,72.79,344.71,195.21,0.01,195.22,43.63,151.59,0.0,151.59,26.0,125.59,0.0,125.59,181.25,3.46,3.46,0.0,0.0,0.0,0.0,0.0
2022-12-31,1634.74,0.0,1634.74,916.38,114.84,-81.32,92.03,82.01,306.87,203.93,0.24,204.17,44.94,159.23,0.0,159.23,24.0,135.23,0.0,135.23,181.25,3.73,3.73,0.0,0.0,0.0,0.0,0.0
2023-03-31,1640.0,0.0,1640.0,886.0,65.0,-4.0,108.0,84.0,333.0,168.0,0.0,168.0,33.0,135.0,0.0,135.0,-13.0,148.0,0.0,148.0,181.0,4.09,4.09,0.0,0.0,0.0,0.0,0.0
2023-06-30,1404.08,0.0,1404.08,827.71,77.03,-58.94,100.91,89.18,255.47,112.72,0.02,112.74,40.15,72.59,0.0,72.59,1.5,71.09,0.0,71.09,181.25,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2023-09-30,1450.0,0.0,1450.0,876.0,23.0,-46.0,99.0,93.0,265.0,140.0,0.0,140.0,58.0,82.0,0.0,82.0,-9.0,91.0,0.0,91.0,181.0,2.51,2.51,0.0,0.0,0.0,0.0,0.0
2023-12-31,1724.0,0.0,1724.0,985.0,27.0,85.0,102.0,97.0,266.0,162.0,8.0,170.0,54.0,116.0,0.0,116.0,-8.0,124.0,0.0,124.0,181.0,3.41,3.41,0.0,0.0,0.0,0.0,0.0
2024-03-31,1769.0,0.0,1769.0,1082.0,67.0,-81.0,100.0,98.0,318.0,185.0,0.0,185.0,59.0,126.0,0.0,126.0,-6.0,132.0,0.0,132.0,181.0,3.63,3.63,0.0,0.0,0.0,0.0,0.0
2024-06-30,1848.28,0.0,1848.28,1056.52,66.43,28.1,112.93,102.07,278.6,203.63,5.8,209.43,63.59,145.84,0.0,145.84,8.0,137.84,0.0,137.84,181.25,3.8,3.8,0.0,0.0,0.0,0.0,0.0
2024-09-30,1715.68,0.0,1715.68,1058.15,36.53,9.74,104.15,107.73,308.0,91.38,7.65,99.03,62.34,36.69,0.0,36.69,-18.31,55.0,0.0,55.0,181.26,1.52,1.52,0.0,0.0,0.0,0.0,0.0
2024-12-31,1749.0,0.0,1749.0,1161.0,40.0,-60.0,105.0,110.0,272.0,121.0,6.0,127.0,85.0,42.0,0.0,42.0,-6.0,48.0,0.0,48.0,181.0,1.31,1.31,0.0,0.0,0.0,0.0,0.0
2025-03-31,1991.0,0.0,1991.0,1105.0,63.0,134.0,98.0,113.0,320.0,158.0,-2.0,156.0,64.0,92.0,0.0,92.0,-7.0,99.0,0.0,99.0,181.0,2.74,2.74,0.0,0.0,0.0,0.0,0.0
