Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-12-31,11.35,11.35,0.0,4.49,0.5,6.7,-0.34,0.9,0.56,0.03,0.53,0.53,0.11,0.42,0.42,10.25,0.04,0.04
2022-03-31,14.99,14.99,0.77,4.96,0.53,6.89,1.85,11.73,13.58,0.02,13.56,13.56,0.97,12.59,12.59,10.25,1.23,1.23
2022-06-30,15.6,15.6,0.0,6.59,0.45,8.27,0.28,16.09,16.38,0.02,16.36,16.36,0.31,16.04,16.04,20.49,0.78,0.78
2022-09-30,24.04,24.04,3.81,7.4,0.55,4.9,7.39,1.41,8.79,0.02,8.77,8.77,2.2,6.57,6.57,20.49,0.32,0.32
2022-12-31,21.98,21.98,0.0,7.31,0.57,12.4,1.7,8.29,9.99,0.03,9.96,9.96,2.36,7.6,7.6,41.06,0.19,0.19
2023-03-31,25.2,25.2,0.0,8.67,1.03,15.33,0.16,11.4,11.55,0.02,11.53,11.53,0.49,11.04,11.04,41.06,0.27,0.27
2023-06-30,27.53,27.53,0.0,8.69,0.88,15.43,2.53,0.44,2.98,0.02,2.96,2.96,0.81,2.15,2.15,41.08,0.05,0.05
2023-09-30,27.57,27.57,0.0,8.51,2.23,13.22,3.61,12.95,16.57,0.81,15.76,15.76,0.97,14.79,14.79,41.17,0.36,0.36
2023-12-31,23.33,23.33,0.0,9.47,1.43,17.38,-4.95,9.03,4.09,0.31,3.78,3.78,-1.27,5.05,5.05,41.17,9.12,9.12
2024-03-31,40.21,40.21,0.0,14.11,1.79,19.28,5.03,13.03,18.06,0.34,17.72,17.72,2.7,15.02,15.02,41.17,0.36,0.36
2024-06-30,37.69,37.69,0.0,16.47,2.38,17.1,1.75,0.67,2.42,0.46,1.96,1.96,0.51,1.45,1.45,41.17,0.04,0.04
2024-09-30,34.25,34.25,0.0,14.0,2.97,19.96,-2.69,21.63,18.93,0.78,18.15,18.15,-0.52,18.67,18.67,41.17,0.45,0.45
2024-12-31,41.19,41.19,0.0,16.75,3.71,19.92,0.81,0.51,1.32,0.94,0.38,0.38,0.11,0.27,0.27,41.17,0.01,0.01
2025-03-31,25.36,25.36,0.0,18.12,4.21,22.61,-19.58,23.85,4.28,1.65,2.63,2.63,1.05,1.58,1.58,41.17,0.04,0.04
