Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,247.97,1.3,249.27,97.52,0.0,32.68,14.43,15.27,18.86,66.32,4.19,2.09,6.28,14.91,-8.63,0.0,-8.63,1.92,-10.55,0.0,-10.55,39.96,-2.64,-2.64,1.65,41.21,2.35,100.0,58.79
2015-09-30,239.13,1.07,240.2,95.69,0.0,-10.94,14.01,16.25,20.19,71.7,33.3,0.44,33.74,18.26,15.48,0.0,15.48,0.82,14.66,0.0,14.66,39.96,3.67,3.67,1.65,41.21,2.35,100.0,58.79
2015-12-31,176.39,2.2,178.59,83.97,0.0,-26.08,12.8,16.67,20.12,51.89,19.22,0.85,20.07,13.41,6.66,0.0,6.66,-0.13,6.79,-0.3,6.49,39.96,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2016-03-31,159.78,2.83,162.61,38.71,0.0,52.42,6.45,15.05,20.05,41.42,-11.49,0.79,-10.7,13.36,-24.06,0.0,-24.06,-0.79,-23.27,-2.5,-25.77,39.96,-6.45,-6.45,0.0,0.0,0.0,0.0,0.0
2016-06-30,161.53,1.63,163.16,52.7,0.0,50.07,9.71,14.55,19.12,32.95,-15.94,1.07,-14.87,12.95,-27.82,0.0,-27.82,1.1,-28.92,0.0,-28.92,39.96,-7.27,-7.27,0.0,0.0,0.0,0.0,0.0
2016-09-30,188.77,1.3,190.07,78.95,0.0,11.63,14.67,13.34,18.26,52.8,0.42,3.56,3.98,15.48,-11.5,0.0,-11.5,1.7,-13.2,-0.27,-13.47,39.96,-3.37,-3.37,0.0,0.0,0.0,0.0,0.0
2016-12-31,235.19,1.42,236.61,89.14,7.07,10.38,22.93,14.34,18.32,63.59,10.84,1.49,12.33,13.83,-1.5,0.0,-1.5,0.0,-1.5,-0.55,-2.05,39.96,-0.79,-0.79,0.0,0.0,0.0,0.0,0.0
2017-03-31,247.68,10.11,257.79,96.64,5.86,29.07,24.67,16.63,18.21,55.28,11.43,1.01,12.44,12.46,-0.02,0.0,-0.02,3.84,-3.86,0.0,-3.86,39.96,-0.97,-0.97,0.0,0.0,0.0,0.0,0.0
2017-06-30,205.36,0.0,205.36,113.32,0.0,-17.99,21.36,13.83,17.78,51.45,5.61,0.72,6.33,13.16,-6.83,0.0,-6.83,1.6,-8.43,0.0,-8.43,39.96,-2.11,-2.11,0.0,0.0,0.0,0.0,0.0
2017-09-30,409.54,0.0,409.54,118.36,0.0,3.79,27.37,16.98,18.2,53.31,171.53,2.55,174.08,12.94,161.14,0.0,161.14,47.48,113.66,0.0,113.66,39.96,28.44,28.44,0.0,0.0,0.0,0.0,0.0
2017-12-31,842.71,0.0,842.71,143.91,0.0,-29.38,61.66,33.14,18.89,75.87,538.62,5.3,543.92,12.68,531.24,0.0,531.24,189.13,342.11,0.0,342.11,39.96,85.62,85.62,0.0,0.0,0.0,0.0,0.0
2018-03-31,1292.45,0.0,1292.45,200.21,0.0,-54.24,53.97,48.61,17.68,92.94,933.28,3.79,937.07,17.9,919.17,0.0,919.17,285.16,634.01,0.0,634.01,39.96,158.66,158.66,0.0,0.0,0.0,0.0,0.0
2018-06-30,1587.38,0.0,1587.38,277.02,0.0,-71.38,41.5,45.45,17.56,106.82,1170.41,7.95,1178.36,1.74,1176.62,0.0,1176.62,406.32,770.3,0.0,770.3,39.96,192.77,192.77,0.0,0.0,0.0,0.0,0.0
2018-09-30,1793.8,0.0,1793.8,414.16,0.0,-196.32,45.38,52.55,18.13,109.22,1350.68,20.37,1371.05,5.39,1365.66,0.0,1365.66,476.76,888.9,0.0,888.9,39.96,222.45,222.45,0.0,0.0,0.0,0.0,0.0
2018-12-31,1864.99,0.0,1864.99,456.7,0.0,-112.04,49.75,56.58,18.52,100.51,1294.97,37.2,1332.17,3.57,1328.6,0.0,1328.6,461.77,866.83,0.0,866.83,39.96,216.93,216.93,0.0,0.0,0.0,0.0,0.0
2019-03-31,1346.65,0.0,1346.65,463.96,0.0,-117.31,46.58,43.17,18.2,122.25,769.8,42.28,812.08,5.86,806.22,0.0,806.22,281.8,524.42,0.0,524.42,38.6,131.39,131.39,0.0,0.0,0.0,0.0,0.0
2019-06-30,816.51,0.0,816.51,494.35,0.0,-191.75,48.56,28.5,17.72,89.06,330.07,39.16,369.23,9.25,359.98,0.0,359.98,125.59,234.39,0.0,234.39,38.6,60.73,60.73,0.0,0.0,0.0,0.0,0.0
2019-09-30,564.38,0.0,564.38,334.17,0.0,-47.4,0.0,23.38,17.75,115.18,121.3,35.03,156.33,9.95,146.38,0.0,146.38,-32.65,179.03,0.0,179.03,38.6,46.39,46.39,0.0,0.0,0.0,0.0,0.0
2019-12-31,393.69,0.0,393.69,261.01,0.0,7.28,39.9,17.48,17.79,63.28,-13.05,27.28,14.23,8.73,5.5,0.0,5.5,-0.44,5.94,0.0,5.94,38.6,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2020-03-31,374.44,0.0,374.44,468.61,0.0,294.81,34.56,-3.75,18.88,77.63,-516.3,42.29,-474.01,8.58,-482.59,0.0,-482.59,-116.59,-366.0,0.0,-366.0,38.6,-94.83,-94.83,0.0,0.0,0.0,0.0,0.0
2020-06-30,233.29,0.0,233.29,86.53,0.0,66.12,27.9,13.77,17.77,50.28,-29.08,46.03,16.95,5.97,10.98,0.0,10.98,0.22,10.76,0.0,10.76,38.6,2.79,2.79,0.0,0.0,0.0,0.0,0.0
2020-09-30,322.88,0.0,322.88,158.29,0.0,93.12,0.0,12.51,18.34,100.83,-60.21,16.41,-43.8,3.04,-46.84,0.0,-46.84,-12.93,-33.91,0.0,-33.91,38.6,-8.79,-8.79,0.0,0.0,0.0,0.0,0.0
2020-12-31,319.59,0.0,319.59,142.65,0.0,61.75,31.75,13.47,18.53,71.24,-19.8,25.35,5.55,1.27,4.28,0.0,4.28,-0.4,4.68,0.0,4.68,38.6,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2021-03-31,380.48,0.0,380.48,117.47,0.0,83.17,0.0,14.77,18.48,169.76,-23.17,25.11,1.94,1.09,0.85,0.0,0.85,7.65,-6.8,0.0,-6.8,38.6,-1.76,-1.76,0.0,0.0,0.0,0.0,0.0
2021-06-30,413.69,0.0,413.69,160.64,0.0,19.38,0.0,17.88,18.73,143.38,53.68,22.06,75.74,1.17,74.57,0.0,74.57,18.77,55.8,0.0,55.8,38.6,14.46,14.46,0.0,0.0,0.0,0.0,0.0
2021-09-30,517.56,0.0,517.56,191.26,0.0,0.11,0.0,21.35,18.12,162.91,123.81,25.35,149.16,1.15,148.01,0.0,148.01,35.01,113.0,0.0,113.0,38.6,29.28,29.28,0.0,0.0,0.0,0.0,0.0
2021-12-31,597.3,0.0,597.3,274.25,0.0,-60.64,0.0,21.22,21.05,206.49,134.93,14.74,149.67,4.17,145.5,0.0,145.5,36.99,108.51,0.0,108.51,38.6,28.11,28.11,0.0,0.0,0.0,0.0,0.0
2022-03-31,673.06,0.0,673.06,314.27,0.0,-70.25,0.0,19.56,21.39,252.59,135.5,17.4,152.9,1.0,151.9,0.0,151.9,38.65,113.25,0.0,113.25,38.6,29.34,29.34,0.0,0.0,0.0,0.0,0.0
2022-06-30,721.95,0.0,721.95,330.93,0.0,-47.79,0.0,23.17,21.0,231.62,163.02,21.33,184.35,4.03,180.32,0.0,180.32,46.76,133.56,0.0,133.56,38.6,34.61,34.61,0.0,0.0,0.0,0.0,0.0
2022-09-30,598.14,0.0,598.14,340.51,0.0,-159.89,79.85,22.14,23.17,136.74,155.62,19.57,175.19,6.88,168.31,0.0,168.31,38.41,129.9,0.0,129.9,38.6,33.66,33.66,0.0,0.0,0.0,0.0,0.0
2022-12-31,530.27,0.0,530.27,324.82,0.0,-141.64,0.0,22.02,24.99,192.0,108.08,36.89,144.97,7.77,137.2,0.0,137.2,34.37,102.83,0.0,102.83,38.6,26.64,26.64,0.0,0.0,0.0,0.0,0.0
2023-03-31,616.88,0.0,616.88,316.37,0.0,-48.16,73.79,24.5,33.14,126.6,90.64,31.35,121.99,7.33,114.66,0.0,114.66,25.43,89.23,0.0,89.23,38.6,23.12,23.12,0.0,0.0,0.0,0.0,0.0
2023-06-30,671.43,0.0,671.43,308.4,0.0,-5.16,0.0,23.84,38.34,192.93,113.09,26.12,139.2,8.85,130.35,0.0,130.35,32.79,97.56,0.0,97.56,38.6,25.28,25.28,0.0,0.0,0.0,0.0,0.0
2023-09-30,614.17,0.0,614.17,304.41,0.0,-28.45,0.0,22.99,38.48,212.76,63.97,28.02,91.98,8.53,83.46,0.0,83.46,21.7,61.76,0.0,61.76,38.6,16.0,16.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,562.4,0.0,562.4,245.4,0.0,34.17,0.0,22.77,47.39,173.33,39.33,23.22,62.56,9.73,52.83,0.0,52.83,15.75,37.08,0.0,37.08,38.6,9.61,9.61,0.0,0.0,0.0,0.0,0.0
2024-03-31,546.9,0.0,546.9,234.78,0.0,57.83,73.46,25.19,50.44,112.27,-7.07,64.31,57.24,8.63,48.61,0.0,48.61,13.46,35.15,0.0,35.15,38.6,9.11,9.11,0.0,0.0,0.0,0.0,0.0
2024-06-30,571.46,0.0,571.46,231.16,0.0,45.27,0.0,23.73,47.5,232.51,-8.71,20.44,11.73,8.47,3.26,0.0,3.26,0.68,2.58,0.0,2.58,38.6,0.67,0.67,0.0,0.0,0.0,0.0,0.0
2024-09-30,567.6,0.0,567.6,251.1,0.0,-10.29,0.0,22.63,47.94,207.36,48.86,42.96,91.82,9.34,82.48,0.0,82.48,20.39,62.09,0.0,62.09,38.6,16.09,16.09,0.0,0.0,0.0,0.0,0.0
2024-12-31,477.07,0.0,477.07,228.94,0.0,-50.66,79.1,23.43,50.55,115.88,29.83,113.23,143.06,9.38,133.68,0.0,133.68,35.36,98.32,0.0,98.32,38.6,5.09,5.09,0.0,0.0,0.0,0.0,0.0
2025-03-31,536.58,0.0,536.58,243.53,0.0,-35.29,78.35,27.39,54.55,271.27,-103.22,43.63,-59.59,12.01,-71.6,0.0,-71.6,-9.92,-61.68,0.0,-61.68,38.6,-3.2,-3.2,0.0,0.0,0.0,0.0,0.0
