Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Raw Materials,Capital Goods,Deferred Tax Liabilities [Net],Inventories,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,28.97,28.97,1844.4,1854.79,1883.76,0.0,380.69,70.14,0.2,451.03,39.18,49.12,158.38,38.0,284.68,2619.47,409.28,0.02,122.75,0.0,532.05,1111.0,0.35,649.86,0.28,2293.54,0.0,25.3,24.73,248.41,27.48,325.93,2619.47,91.27,0.74,7.57,0.16,10.92,5.1,1107.91,0.0,0.0,10.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,28.99,28.99,1869.7,1879.98,1908.98,0.0,531.9,97.92,0.53,630.35,78.82,8.22,119.92,38.81,245.78,2785.1,455.81,0.01,135.72,0.0,591.54,1231.5,2.14,600.47,31.89,2457.54,0.0,21.93,20.43,269.66,15.54,327.56,2785.1,138.43,0.69,7.83,0.19,10.92,5.89,1228.4,0.0,0.0,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,30.6,30.6,2252.52,2262.81,2293.41,0.0,523.55,110.55,0.47,634.57,244.64,14.55,131.76,8.57,399.53,3327.5,442.42,0.01,150.41,0.0,592.84,1657.17,4.18,620.58,31.89,2906.65,0.0,71.27,25.47,309.22,14.89,420.86,3327.5,154.5,1.8,8.02,0.03,10.92,5.8,1654.08,0.0,0.0,10.29,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,30.61,30.61,2401.47,2401.47,2432.08,0.0,575.07,110.84,0.74,686.64,102.57,16.9,147.67,0.07,267.21,3385.94,605.76,0.01,143.43,0.0,749.2,2282.6,9.0,7.9,146.14,3194.84,0.0,19.22,6.98,105.96,58.93,191.1,3385.94,60.53,0.0,0.0,0.0,10.92,6.31,2381.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,30.63,30.63,2537.8,2537.8,2568.43,0.0,614.19,85.79,0.66,700.64,12.91,16.69,200.65,0.28,230.53,3499.6,637.79,0.01,107.19,0.0,744.99,2366.79,10.12,5.3,62.79,3189.99,0.0,18.54,5.96,158.77,126.34,309.61,3499.6,81.44,0.49,0.0,0.33,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,30.66,30.66,2713.94,2713.94,2744.6,0.0,663.06,73.95,1.47,738.48,18.72,13.28,252.99,0.11,285.1,3768.17,634.86,0.18,106.64,0.0,741.69,2613.73,17.52,126.3,58.85,3558.1,0.0,22.0,7.32,70.88,109.89,210.08,3768.17,58.97,1.06,0.0,0.0,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,30.69,30.69,2817.43,2817.43,2848.12,0.0,587.88,89.18,1.19,678.25,184.56,13.96,223.91,0.13,422.56,3948.93,675.69,0.08,114.62,0.0,790.39,2710.24,8.54,150.3,53.53,3713.0,0.0,19.97,3.98,30.03,181.95,235.93,3948.93,65.77,2.12,0.0,0.08,10.92,3.95,2706.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,34.37,34.37,4197.42,4197.42,4231.8,0.0,464.17,39.12,1.63,504.92,75.23,16.79,333.87,0.08,425.97,5162.69,397.28,0.03,10.9,0.0,408.21,2801.92,8.98,105.3,53.24,3377.66,82.38,41.36,417.01,449.71,794.57,1785.03,5162.69,91.42,2.04,0.0,0.0,10.92,5.35,2796.57,82.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,35.7,35.7,4562.58,4562.58,4598.29,0.0,515.39,36.07,2.98,554.44,351.92,27.33,189.88,0.33,569.46,5722.19,20.95,0.02,94.61,0.0,115.58,3867.93,6.79,102.3,55.24,4147.84,1036.19,41.66,212.36,108.68,175.46,1574.36,5722.19,160.58,5.11,0.0,0.0,10.92,17.08,3545.29,0.0,1036.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,35.72,35.72,4818.46,4818.46,4854.18,0.36,426.35,85.32,3.65,515.32,227.49,20.09,166.7,0.7,414.99,5784.85,33.14,0.02,0.0,641.2,674.36,4446.71,7.03,2.3,69.24,5199.64,100.79,33.16,32.21,252.7,166.34,585.2,5784.85,231.52,4.06,0.0,0.0,10.92,17.19,4429.53,0.0,100.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,35.74,35.74,5023.32,5023.32,5059.06,0.0,616.76,62.99,4.27,684.02,103.16,29.47,159.42,0.73,292.78,6035.86,32.76,0.01,0.0,791.86,824.63,4456.8,2.34,2.3,171.02,5457.1,226.3,23.47,3.1,235.91,89.99,578.77,6035.86,249.17,0.2,0.0,0.0,10.92,12.19,4444.61,0.0,226.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,71.5,71.5,5244.95,5244.95,5316.45,0.0,682.11,77.99,4.82,764.92,67.23,24.01,168.32,0.93,260.49,6341.85,842.43,0.02,616.57,0.0,1459.01,4148.83,2.23,1.39,179.37,5790.82,203.15,22.88,23.44,283.67,17.89,551.03,6341.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
