Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,Trade/Other Goods
2015-03-31,100.0,100.0,1569.77,1569.77,1669.77,91.3,104.55,195.84,85.44,1540.35,76.68,1702.47,3568.08,201.26,4.79,9.56,0.75,1.33,217.68,236.32,46.13,154.55,299.82,954.49,0.0,6.68,380.19,2042.41,12.2,172.13,2613.6,3568.08,1509.04,13.48,148.96,39.73,60.0,0.0,36.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,100.0,100.0,1777.96,1777.96,1877.96,102.35,99.86,202.21,88.52,1989.91,104.61,2183.04,4263.21,259.22,3.1,7.06,1.58,1.29,272.25,217.82,41.88,10.32,294.56,836.83,56.01,11.41,529.9,2512.65,7.17,309.24,3426.38,4263.21,619.52,13.43,184.42,49.03,60.0,0.0,47.82,6.01,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,200.0,200.0,1835.33,1835.33,2035.33,115.73,112.68,228.41,72.28,2174.0,150.5,2396.78,4660.52,259.11,1.73,3.28,1.58,1.25,266.95,179.76,40.13,9.65,369.76,866.25,193.04,50.42,453.85,2852.92,11.42,232.62,3794.27,4660.52,504.77,31.84,371.63,50.4,160.0,178.56,59.76,322.8,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,200.0,200.0,1991.66,1991.66,2191.66,214.73,11.89,226.62,76.8,2431.35,105.64,2613.79,5032.07,261.77,0.91,0.38,1.58,1.22,265.86,179.76,62.38,15.19,242.49,765.68,0.0,9.38,458.7,3569.49,3.97,224.85,4266.39,5032.07,0.0,21.25,231.61,75.89,160.0,127.19,59.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,200.0,200.0,2183.83,2183.83,2383.83,180.73,6.7,187.43,194.42,2420.77,68.78,2683.97,5255.23,338.25,0.62,2.32,1.59,0.8,343.58,180.01,74.03,16.3,164.18,778.1,0.0,104.93,585.75,3468.62,13.13,304.7,4477.13,5255.23,276.49,34.02,278.17,0.0,160.0,126.89,60.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,250.0,250.0,2326.62,2326.62,2576.62,256.62,22.94,279.56,133.88,2672.02,85.19,2891.09,5747.27,407.76,4.19,4.45,0.0,0.0,416.4,179.87,37.09,16.21,124.59,774.16,111.66,10.67,821.66,3600.63,18.1,410.39,4973.11,5747.27,188.65,53.17,633.54,0.0,210.0,129.8,171.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,240.3,240.3,2081.63,2081.63,2321.93,222.73,10.82,233.55,231.36,2807.52,36.9,3075.78,5631.26,408.89,4.02,15.48,0.0,0.05,428.44,202.75,39.6,13.71,200.57,885.07,110.77,286.16,568.0,3325.13,21.31,434.82,4746.19,5631.26,227.79,33.78,172.08,0.0,201.85,130.39,193.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,240.3,240.3,2158.96,2158.96,2399.26,167.5,30.23,197.73,177.58,2736.12,86.78,3000.48,5597.47,389.86,2.61,58.01,0.0,0.05,450.53,152.75,52.25,8.75,370.55,1034.83,75.92,118.75,681.19,3266.28,3.49,417.01,4562.64,5597.47,209.2,61.52,1039.17,0.0,201.85,104.61,133.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,240.3,240.3,2262.74,2262.74,2503.04,279.6,19.75,299.35,299.71,2572.6,77.97,2950.28,5752.67,387.57,4.27,94.8,0.0,0.0,486.64,127.75,61.61,8.71,348.23,1032.94,25.0,30.91,869.26,3396.66,5.38,392.52,4719.73,5752.67,151.29,29.17,401.74,0.0,201.85,50.34,107.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,240.3,240.3,2266.57,2266.57,2506.87,193.34,10.2,203.54,216.03,2442.91,68.08,2727.02,5437.43,371.02,3.3,173.72,0.18,0.0,548.22,127.75,58.55,12.4,291.44,1038.36,0.0,4.93,881.0,3060.54,4.95,447.65,4399.07,5437.43,143.53,17.22,175.63,0.0,201.85,21.9,108.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
