Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Money Received Against Share Warrants,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,80.75,80.75,2613.09,2613.09,2693.84,2153.51,107.16,77.35,581.08,2919.1,161.59,173.48,633.1,185.26,1153.43,6766.37,1677.65,19.76,430.46,1.42,2129.29,2761.64,1554.72,4.7,6450.35,0.0,40.18,124.41,43.17,67.67,40.59,316.02,6766.37,2830.13,122.86,0.47,720.57,29.79,292.22,3705.43,0.0,10.24,6.59,28.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,80.75,80.75,2534.4,2534.4,2615.15,2898.1,191.06,585.47,27.31,3701.94,0.99,165.49,633.79,81.02,881.29,7198.38,1988.6,23.2,140.46,1.4,2153.66,2546.14,1439.55,3.28,6142.63,431.82,43.16,138.88,355.83,53.24,32.82,1055.75,7198.38,2725.73,148.8,0.0,686.53,29.79,333.39,3686.67,431.82,8.58,5.25,25.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,98.93,98.93,3786.67,3786.67,3885.6,1558.06,303.03,484.83,48.67,2394.59,7.45,203.39,941.99,129.1,1281.93,7562.12,2114.61,41.36,55.23,0.35,2211.55,2781.16,1437.44,1.96,6432.11,135.87,45.08,161.2,22.3,716.86,48.7,1130.01,7562.12,0.0,130.28,0.0,724.13,29.79,367.53,3883.67,135.87,6.45,7.39,25.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,98.93,98.93,2668.27,2668.27,2767.2,1494.54,290.94,263.53,48.78,2097.79,7.31,177.19,1100.57,86.91,1371.98,6236.97,2149.41,38.12,107.88,0.03,2295.44,2964.03,37.78,380.53,5677.78,65.12,47.56,213.74,22.63,52.68,157.46,559.19,6236.97,275.01,0.0,0.0,0.0,29.79,788.61,3871.5,65.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,118.93,118.93,4275.03,4275.03,4393.96,1733.88,348.81,252.54,56.9,2392.13,0.0,208.02,601.39,108.23,917.64,7703.73,2367.82,30.68,63.4,1.61,2463.51,3860.01,5.35,444.62,6773.49,301.45,51.47,256.81,129.01,20.66,170.84,930.24,7703.73,467.15,0.0,0.0,0.0,29.79,855.9,4821.96,301.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,118.93,118.93,4364.81,4364.81,4483.74,1248.22,368.12,175.59,70.8,1862.73,6.38,190.11,1219.59,117.99,1534.07,7880.54,2454.64,31.7,33.69,0.25,2520.28,3919.27,5.35,562.9,7007.8,193.43,51.21,249.99,96.0,12.88,269.23,872.74,7880.54,759.56,0.0,0.0,0.0,29.79,906.62,3636.28,193.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,118.93,118.93,4464.63,4464.63,4583.56,1708.61,179.69,1153.4,86.7,3128.4,0.0,255.17,817.25,122.2,1194.62,8906.58,3282.17,29.19,136.87,0.93,3449.16,3742.78,5.35,598.1,7795.39,408.72,59.1,250.94,148.2,4.22,240.01,1111.19,8906.58,1082.34,108.09,0.0,596.38,29.79,428.55,3561.23,408.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,118.93,118.93,4089.45,4089.45,4208.38,1938.79,72.8,1002.44,62.03,3076.06,653.0,203.38,869.82,136.15,1862.35,9146.79,3338.44,21.15,51.72,0.0,3411.31,3964.18,5.05,780.2,8160.74,445.49,52.25,196.96,39.98,4.53,246.84,986.05,9146.79,1128.23,47.32,0.0,56.74,29.79,633.05,3610.82,445.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,142.04,142.04,7957.73,7957.73,8099.77,447.52,80.6,1008.18,62.39,1598.69,495.01,240.28,542.34,155.7,1433.33,11131.79,3234.99,17.12,111.27,0.23,3363.61,4876.68,60.4,505.21,8805.9,896.84,55.98,218.5,1005.64,1.6,147.33,2325.89,11131.79,1661.54,44.46,0.0,149.92,29.79,954.7,4526.7,896.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,142.04,142.04,8696.94,8696.94,8838.98,0.0,149.78,1104.15,71.38,1325.31,450.08,311.65,674.53,179.12,1615.38,11779.67,3325.63,25.47,233.78,7.88,3592.76,5575.55,14.9,540.05,9723.26,705.84,66.53,379.4,764.04,6.0,134.6,2056.41,11779.67,597.85,80.02,0.0,387.63,29.79,1111.35,5282.21,705.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,142.34,142.34,10001.6,10001.6,10143.94,0.0,137.21,1139.21,58.79,1335.21,0.0,356.94,739.76,200.66,1297.36,12776.51,3730.13,25.86,33.67,24.53,3814.19,6208.06,6.75,436.21,10465.21,641.65,74.26,402.74,1019.6,1.75,171.3,2311.3,12776.51,683.59,99.56,0.0,767.29,29.79,2190.8,5687.65,641.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,142.34,142.34,11113.58,11113.58,11255.92,0.0,110.65,1148.5,71.38,1330.53,0.0,313.96,615.02,393.5,1322.48,13908.93,3909.35,68.96,51.58,0.0,4029.89,6392.83,147.75,354.37,10924.84,516.39,88.19,450.66,1734.08,3.05,191.72,2984.09,13908.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
