Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Intangible Assets Under Development,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Money Received Against Share Warrants,Preference Share Capital,Revaluation Reserves,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net]
2014-03-31,15.12,15.12,477.46,477.46,0.0,517.58,1.59,66.3,0.0,8.76,76.65,59.38,144.12,114.23,37.44,355.16,949.38,501.82,2.26,11.94,516.01,44.95,38.61,0.0,599.56,0.0,151.8,158.32,3.95,35.46,0.29,349.82,949.38,225.24,2.84,0.01,34.79,0.0,44.95,0.0,0.0,3.95,14.52,100.49,47.47,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,15.89,15.89,706.24,706.24,0.0,722.13,1.23,69.54,0.0,10.09,80.86,78.63,178.63,87.29,47.76,392.31,1195.3,512.45,1.78,3.71,517.94,79.19,108.73,0.0,705.86,0.0,201.96,191.78,6.05,88.94,0.71,489.44,1195.3,308.78,3.59,0.01,45.95,0.0,79.19,0.0,0.0,3.18,18.57,73.49,26.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,15.89,15.89,893.47,893.47,0.0,909.36,5.47,81.2,0.0,9.31,95.98,39.61,218.9,127.95,68.19,454.65,1459.99,660.63,1.99,5.81,668.43,108.89,153.15,0.0,930.47,0.0,219.99,252.32,4.81,52.28,0.12,529.52,1459.99,278.0,5.74,0.01,23.85,0.0,108.89,0.0,0.0,1.57,18.73,27.38,83.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,15.89,15.89,1163.8,1163.8,0.0,1179.69,2.7,99.08,0.0,9.95,111.73,7.78,207.84,142.25,10.01,367.88,1659.3,716.31,2.75,4.79,723.85,108.89,190.43,4.01,1027.18,0.0,234.66,305.9,48.67,9.72,33.17,632.12,1659.3,248.66,0.0,0.0,0.0,8.16,108.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,15.9,15.9,1360.67,1360.67,0.0,1376.57,6.02,104.46,2.61,4.42,117.51,5.92,181.73,136.91,12.5,337.06,1831.14,742.43,2.37,1.33,746.13,115.65,216.31,4.05,1082.14,0.0,246.16,406.59,77.35,1.85,17.05,749.0,1831.14,172.2,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,15.9,15.9,1550.08,1550.08,0.0,1565.98,7.13,102.33,2.59,3.05,115.1,2.67,229.3,119.14,15.3,366.41,2047.49,706.81,2.16,0.49,709.46,116.88,263.43,1.85,1091.62,0.0,281.16,410.01,247.89,4.3,12.51,955.87,2047.49,163.47,46.26,0.0,43.44,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,15.9,15.9,1714.06,1714.06,0.0,1729.96,8.02,69.65,22.45,21.32,121.44,34.25,173.26,131.79,4.59,343.89,2195.29,692.64,1.77,8.39,703.75,124.21,430.35,2.71,1261.02,9.8,311.68,347.8,219.87,3.15,41.97,934.27,2195.29,162.55,10.31,0.0,32.39,0.0,124.21,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,15.91,15.91,1851.04,1851.04,3.56,1870.51,8.94,66.18,14.48,14.03,103.63,0.0,168.03,148.49,5.6,322.12,2296.26,845.0,2.74,9.28,857.02,112.17,230.65,15.81,1215.65,4.97,239.65,371.9,435.0,12.45,16.64,1080.61,2296.26,78.03,27.03,0.0,29.72,0.0,112.17,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,15.92,15.92,2092.99,2092.99,1.87,2110.78,9.96,67.94,20.07,14.65,112.62,30.0,215.59,215.61,7.25,468.45,2691.85,814.79,2.05,181.39,998.23,119.12,289.52,105.63,1512.5,0.0,286.79,441.84,422.65,15.45,12.62,1179.35,2691.85,89.19,115.91,0.0,42.7,0.0,119.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,15.92,15.92,2295.14,2295.14,8.88,2319.94,5.9,70.59,24.19,16.74,117.42,94.06,230.8,190.68,7.7,523.24,2960.6,989.28,1.18,77.98,1068.44,143.52,287.12,94.65,1593.73,0.0,381.51,535.08,389.89,8.49,51.9,1366.87,2960.6,175.78,89.61,0.0,51.94,0.0,143.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,15.93,15.93,2539.1,2539.1,15.49,2570.52,0.78,77.06,43.53,16.0,137.37,5.77,270.91,177.67,10.0,464.35,3172.24,1139.97,0.81,54.51,1195.29,201.52,282.25,37.46,1716.52,0.0,363.27,516.78,502.5,53.62,19.55,1455.72,3172.24,342.52,128.15,0.0,32.78,0.0,201.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,15.93,15.93,2591.67,2591.67,0.0,2607.6,0.0,74.81,69.81,0.0,144.62,2.95,304.6,184.75,27.78,520.08,3272.3,1132.93,0.49,97.26,1230.68,181.01,344.46,48.18,1804.33,0.0,369.85,502.48,568.9,3.87,22.87,1467.97,3272.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
