Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Equity Dividend Rate (%),Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-03-31,1430.42,0.0,1430.42,879.48,11.9,-43.26,55.08,73.81,52.86,179.65,220.9,0.06,220.96,4.2,216.76,0.0,216.76,63.65,153.11,153.11,25.41,0.0,12.05,12.05,0.0,0.0,0.0,0.0,0.0
2020-06-30,1053.88,0.0,1053.88,573.22,7.67,173.49,34.88,63.11,50.77,84.39,66.35,0.28,66.63,7.79,58.84,0.0,58.84,15.56,43.28,43.28,25.41,0.0,3.41,3.41,0.0,0.0,0.0,0.0,0.0
2020-09-30,1374.75,0.0,1374.75,903.12,39.31,-93.81,53.53,72.53,52.3,144.33,203.44,4.42,207.86,2.49,205.37,0.0,205.37,51.78,153.59,153.59,25.41,0.0,12.09,12.09,0.0,0.0,0.0,0.0,0.0
2020-12-31,1843.77,0.0,1843.77,1078.12,49.38,33.52,0.0,80.94,54.92,200.09,346.8,6.94,353.74,-1.24,354.98,0.0,354.98,88.64,266.34,266.34,25.41,0.0,20.97,20.97,0.0,0.0,0.0,0.0,0.0
2021-03-31,2084.59,0.0,2084.59,1209.9,27.18,37.33,54.8,92.77,54.79,152.84,454.98,4.2,459.18,0.46,458.72,0.0,458.72,120.55,338.17,338.17,25.41,0.0,26.62,26.62,0.0,0.0,0.0,0.0,0.0
2021-06-30,1342.08,0.0,1342.08,997.38,29.23,-160.4,44.35,80.13,56.1,129.41,165.88,4.32,170.2,2.13,168.07,0.0,168.07,42.96,125.11,125.11,25.41,0.0,9.85,9.85,0.0,0.0,0.0,0.0,0.0
2021-09-30,1928.53,0.0,1928.53,1326.41,30.83,-36.52,0.0,86.41,57.13,210.45,253.82,40.26,294.08,0.68,293.4,0.0,293.4,67.47,225.93,225.93,25.41,0.0,17.79,17.79,0.0,0.0,0.0,0.0,0.0
2021-12-31,1945.12,0.0,1945.12,1317.5,38.78,-33.9,51.0,87.7,57.47,166.21,260.36,14.51,274.87,0.46,274.41,0.0,274.41,67.82,206.59,206.59,25.41,0.0,16.26,16.26,0.0,0.0,0.0,0.0,0.0
2022-03-31,2557.08,0.0,2557.08,1787.64,37.66,18.55,61.47,90.06,58.82,170.27,332.61,8.61,341.22,1.88,339.34,0.0,339.34,85.08,254.26,254.26,25.41,0.0,20.02,20.02,0.0,0.0,0.0,0.0,0.0
2022-06-30,2205.98,0.0,2205.98,1558.13,32.53,31.75,56.47,90.79,61.68,167.51,207.12,4.55,211.67,1.63,210.04,0.0,210.04,54.3,155.74,155.74,25.41,0.0,12.26,12.26,0.0,0.0,0.0,0.0,0.0
2022-09-30,2086.58,0.0,2086.58,1597.76,37.39,-33.01,65.86,87.81,64.85,183.52,82.4,46.03,128.43,1.2,127.23,0.0,127.23,23.14,104.09,104.09,25.41,0.0,8.19,8.19,0.0,0.0,0.0,0.0,0.0
2022-12-31,2310.73,0.0,2310.73,1617.5,27.19,1.62,69.85,95.69,64.76,195.47,238.65,19.87,258.52,1.15,257.37,0.0,257.37,63.29,194.08,194.08,25.41,0.0,15.28,15.28,0.0,0.0,0.0,0.0,0.0
2023-03-31,2598.2,0.0,2598.2,1651.21,31.7,45.47,0.0,99.34,72.1,289.96,408.42,11.41,419.83,4.04,415.79,0.0,415.79,105.23,310.56,310.56,25.41,0.0,24.45,24.45,0.0,0.0,0.0,0.0,0.0
2023-06-30,2368.54,0.0,2368.54,1688.72,30.97,-63.69,79.28,102.98,72.05,208.55,249.68,14.2,263.88,1.69,262.19,0.0,262.19,67.83,194.36,194.36,25.41,0.0,15.3,15.3,0.0,0.0,0.0,0.0,0.0
2023-09-30,2308.68,0.0,2308.68,1602.11,31.64,-98.06,0.0,105.59,71.92,310.88,284.6,53.2,337.8,1.54,336.26,0.0,336.26,76.29,259.97,259.97,25.41,0.0,20.47,20.47,0.0,0.0,0.0,0.0,0.0
2023-12-31,2449.1,0.0,2449.1,1705.22,22.37,-87.12,0.0,109.58,77.24,319.76,302.05,32.27,334.32,5.16,329.16,0.0,329.16,81.8,247.36,247.36,25.41,0.0,19.47,19.47,0.0,0.0,0.0,0.0,0.0
2024-03-31,3007.88,0.0,3007.88,1763.19,20.01,243.03,0.0,122.75,77.17,367.9,413.83,18.11,431.94,7.72,424.22,0.0,424.22,109.74,314.48,314.48,25.41,0.0,24.76,24.76,0.0,0.0,0.0,0.0,0.0
2024-06-30,2636.35,0.0,2636.35,1776.47,16.97,2.32,0.0,120.96,86.03,332.0,301.6,21.44,323.04,3.33,319.71,0.0,319.71,83.57,236.14,236.14,25.41,0.0,18.59,18.59,0.0,0.0,0.0,0.0,0.0
2024-09-30,2272.95,0.0,2272.95,1643.87,23.39,-178.67,0.0,119.53,89.94,345.51,229.38,55.56,284.94,2.62,282.32,0.0,282.32,62.93,219.39,219.39,25.41,0.0,17.27,17.27,0.0,0.0,0.0,0.0,0.0
2024-12-31,2509.88,0.0,2509.88,1826.92,30.25,-128.24,0.0,114.82,91.29,357.15,217.69,23.37,241.06,2.98,238.08,0.0,238.08,58.44,179.64,179.64,25.41,0.0,14.14,14.14,0.0,0.0,0.0,0.0,0.0
2025-03-31,3027.07,0.0,3027.07,1783.7,64.91,284.56,84.28,130.37,91.35,262.44,325.46,12.45,337.91,2.97,334.94,0.0,334.94,73.31,261.63,261.63,25.41,0.0,20.6,20.6,0.0,0.0,0.0,0.0,0.0
