Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Current Investments,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Money Received Against Share Warrants,Revaluation Reserves,Deferred Tax Assets [Net],Preference Share Capital,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2016-03-31,40.45,40.45,1950.81,1950.81,1991.26,589.96,147.37,5.38,29.29,772.0,21.91,630.04,463.95,78.58,1194.48,3957.74,1904.9,57.66,213.45,0.0,2176.0,227.89,98.1,7.17,2509.16,619.25,577.94,24.16,11.47,1448.58,3957.74,548.9,27.61,3.83,709.83,17.21,4.04,0.0,227.89,40.06,0.0,40.01,175.75,1160.83,4.47,78.98,300.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,40.45,40.45,2265.7,2265.7,2306.15,703.51,134.59,27.16,34.18,899.44,57.99,749.58,475.44,54.6,1337.61,4543.2,2340.62,68.25,48.77,0.0,2457.64,194.39,1.95,65.65,2719.63,923.44,592.05,17.47,176.32,1823.57,4543.2,555.2,1442.52,0.0,775.89,0.0,4.04,0.0,194.39,64.27,0.0,64.27,50.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,40.45,40.45,2506.37,2506.37,2546.82,272.3,178.15,12.91,33.8,497.16,143.64,848.54,694.19,50.14,1736.51,4780.49,2409.81,65.44,161.86,0.0,2637.11,279.99,3.04,112.27,3032.41,754.96,712.15,73.01,118.88,1748.08,4780.49,1459.67,1385.56,0.0,760.9,0.0,4.04,0.0,279.99,40.06,0.0,40.06,49.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,40.45,40.45,2710.59,2710.59,2751.04,1002.72,207.71,4.61,36.83,1251.87,214.31,1033.93,710.86,99.85,2058.95,6061.86,2785.74,60.57,718.89,30.55,3595.75,313.01,4.08,184.34,4097.18,965.15,726.46,59.74,155.33,1964.68,6061.86,1738.22,2009.43,0.0,847.09,0.0,4.04,0.0,313.01,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,40.45,40.45,2720.15,2720.15,2760.6,1640.78,261.11,164.47,40.08,2106.44,215.59,1191.12,736.77,122.02,2265.5,7132.54,4059.35,100.17,983.94,17.81,5161.27,110.83,4.73,93.52,5370.35,911.35,664.3,28.92,157.62,1762.19,7132.54,849.31,1797.45,0.0,872.4,0.0,4.04,0.0,110.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,40.45,40.45,3124.29,3124.29,3164.74,1341.04,265.6,79.57,44.94,1731.15,0.53,1943.6,957.42,107.58,3009.13,7905.02,4664.64,98.54,702.88,25.0,5491.06,118.11,7.57,104.2,5720.94,1112.5,922.26,25.51,123.81,2184.08,7905.02,938.51,1365.19,0.0,1072.41,0.0,4.04,0.0,118.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,40.45,40.45,3109.82,3109.82,3150.27,1719.16,307.95,122.1,41.14,2190.35,352.24,2155.0,988.25,124.79,3620.28,8960.9,5240.85,88.09,761.59,46.61,6137.14,126.02,0.0,124.02,6387.18,1286.51,1152.87,16.67,117.67,2573.72,8960.9,1430.39,2012.05,0.0,1800.6,0.0,4.04,0.0,126.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,40.45,40.45,3305.15,3305.15,3345.6,1440.56,379.98,149.36,47.3,2017.2,625.17,2270.83,1069.99,140.34,4106.33,9469.13,6008.15,87.8,509.31,27.48,6632.74,130.27,0.0,69.45,6832.46,1124.08,1302.83,53.13,156.63,2636.67,9469.13,1010.51,1880.43,0.0,2062.92,0.0,4.04,0.0,130.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,40.45,40.45,3910.67,3910.67,3951.12,956.6,438.94,122.87,77.97,1596.38,636.37,2332.64,1206.66,105.28,4280.95,9828.45,6172.31,73.92,659.11,24.4,6929.74,155.73,0.0,119.04,7204.51,1134.14,1275.97,34.69,179.14,2623.94,9828.45,1134.82,2101.98,0.0,2351.59,0.0,4.04,0.0,155.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,40.45,40.45,4245.34,4245.34,4285.79,923.52,486.37,154.64,91.79,1656.32,1004.77,2738.68,1270.34,138.3,5152.09,11094.2,6886.62,104.1,506.61,0.0,7497.33,164.99,0.0,68.6,7730.92,1409.25,1652.33,43.07,258.63,3363.28,11094.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
