Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,11206.9,0.0,11206.9,0.0,643.3,-16.4,5334.0,230.4,0.0,2981.3,2034.3,690.0,2724.3,129.9,2594.4,2594.4,583.3,2011.1,2011.1,494.1,34127.9,8.19,8.17,0.0,0.0,0.0,0.0,0.0
2016-03-31,11661.5,0.0,11661.5,0.0,716.9,36.8,5423.2,237.6,0.0,2940.9,2306.1,373.1,2679.2,87.4,2591.8,2591.8,618.5,1973.3,1973.3,494.1,0.0,8.03,8.01,0.0,0.0,0.0,0.0,0.0
2016-06-30,11587.5,0.0,11587.5,0.0,701.8,-55.9,5527.6,241.1,0.0,3091.6,2081.3,643.5,2724.8,129.7,2595.1,2595.1,587.4,2007.7,2007.7,494.1,0.0,8.17,8.15,0.0,0.0,0.0,0.0,0.0
2016-09-30,11453.8,0.0,11453.8,0.0,551.9,78.2,5568.8,259.7,0.0,3033.0,1962.2,647.8,2610.0,95.3,2514.7,2514.7,582.6,1932.1,1932.1,486.1,0.0,7.98,7.96,0.0,0.0,0.0,0.0,0.0
2016-12-31,11378.3,0.0,11378.3,0.0,556.8,-35.3,5320.5,281.7,0.0,3179.5,2075.1,639.8,2714.9,142.7,2572.2,2572.2,653.7,1918.5,1918.5,486.1,0.0,7.94,7.92,0.0,0.0,0.0,0.0,0.0
2017-03-31,11220.0,408.2,11628.2,0.0,376.4,177.0,5427.1,265.2,0.0,2991.8,2390.7,638.8,3029.5,24.4,3005.1,3005.1,701.6,2303.5,2303.5,486.1,0.0,9.53,9.5,0.0,0.0,0.0,0.0,0.0
2017-06-30,11152.8,0.0,11152.8,0.0,523.9,52.0,5361.4,251.2,0.0,2892.7,2071.6,625.8,2697.4,89.9,2607.5,2607.5,580.7,2026.8,2026.8,973.2,0.0,4.18,4.18,0.0,0.0,0.0,0.0,0.0
2017-09-30,11050.5,0.0,11050.5,0.0,206.7,25.7,5377.0,259.3,0.0,3031.8,2150.0,714.1,2864.1,104.0,2760.1,2760.1,625.8,2134.3,2134.3,973.3,0.0,4.4,4.4,0.0,0.0,0.0,0.0,0.0
2017-12-31,11072.7,0.0,11072.7,0.0,289.1,50.9,5399.7,262.5,0.0,3214.8,1855.7,639.5,2495.2,46.8,2448.4,2448.4,643.9,1804.5,1804.5,904.7,0.0,3.76,3.75,0.0,0.0,0.0,0.0,0.0
2018-03-31,11434.0,0.0,11434.0,0.0,449.9,-70.9,5618.1,241.8,0.0,3333.4,1861.7,480.1,2341.8,123.5,2218.3,2218.3,461.1,1757.2,1757.2,904.8,0.0,3.9,3.89,0.0,0.0,0.0,0.0,0.0
2018-06-30,11567.5,0.0,11567.5,0.0,379.3,-37.9,5767.1,242.7,0.0,3266.9,1949.4,589.7,2539.1,116.7,2422.4,2422.4,500.2,1922.2,1922.2,904.8,0.0,4.27,4.26,0.0,0.0,0.0,0.0,0.0
2018-09-30,12002.3,0.0,12002.3,0.0,237.8,-4.1,5933.5,241.4,0.0,3782.3,1811.4,452.4,2263.8,97.5,2166.3,2166.3,558.9,1607.4,1607.4,904.8,0.0,3.57,3.56,0.0,0.0,0.0,0.0,0.0
2018-12-31,12138.7,0.0,12138.7,0.0,213.0,7.1,5948.0,228.4,0.0,3321.3,2420.9,784.1,3205.0,106.0,3099.0,3099.0,580.6,2518.4,2518.4,905.0,0.0,5.59,5.58,0.0,0.0,0.0,0.0,0.0
2019-03-31,12321.3,74.5,12395.8,0.0,311.9,-20.4,6159.9,221.8,0.0,4077.5,1645.1,742.4,2387.5,204.7,2182.8,2182.8,616.8,1566.0,1566.0,1206.8,0.0,2.61,2.6,0.0,0.0,0.0,0.0,0.0
2019-06-30,12042.0,19.3,12061.3,0.0,252.7,-16.7,6253.1,274.6,0.0,3307.7,1989.9,757.6,2747.5,103.6,2643.9,2643.9,629.8,2014.1,2014.1,1207.1,0.0,3.35,3.34,0.0,0.0,0.0,0.0,0.0
2019-09-30,12522.6,0.0,12522.6,0.0,116.7,148.7,6548.0,263.8,0.0,3133.2,2312.2,634.1,2946.3,177.9,2768.4,2768.4,521.4,2247.0,2247.0,1142.6,0.0,3.79,3.78,0.0,0.0,0.0,0.0,0.0
2019-12-31,12695.9,0.0,12695.9,0.0,184.7,17.4,6559.3,293.7,0.0,3194.4,2446.4,521.2,2967.6,134.9,2832.7,2832.7,571.4,2261.3,2261.3,1142.6,0.0,3.95,3.95,0.0,0.0,0.0,0.0,0.0
2020-03-31,13127.2,0.0,13127.2,0.0,244.2,10.5,6811.4,309.0,0.0,3434.3,2317.8,563.7,2881.5,118.8,2762.7,2762.7,604.4,2158.3,2158.3,1142.7,0.0,3.79,3.77,0.0,0.0,0.0,0.0,0.0
2020-06-30,12192.9,0.0,12192.9,0.0,137.0,43.0,6424.2,321.7,0.0,2994.2,2272.8,626.1,2898.9,100.0,2798.9,2798.9,606.3,2192.6,2192.6,1142.9,0.0,3.84,3.84,0.0,0.0,0.0,0.0,0.0
2020-09-30,12250.4,0.0,12250.4,0.0,153.7,20.5,6661.3,350.9,23.7,2709.3,2331.0,624.6,2955.6,102.6,2853.0,2853.0,609.0,2244.0,2244.0,1143.0,0.0,3.93,3.93,0.0,0.0,0.0,0.0,0.0
2020-12-31,12596.1,0.0,12596.1,0.0,126.5,-24.0,6597.9,333.4,23.9,2673.4,2865.0,599.0,3464.0,112.5,3351.5,3351.5,740.2,2611.3,2611.3,1143.1,0.0,4.58,4.55,0.0,0.0,0.0,0.0,0.0
2021-03-31,13260.0,0.0,13260.0,0.0,170.7,-5.0,6783.9,343.3,25.5,2705.9,3235.7,533.2,3768.9,87.5,3681.4,3681.4,668.4,3013.0,3013.0,1095.8,0.0,5.5,5.45,0.0,0.0,0.0,0.0,0.0
2021-06-30,13990.1,0.0,13990.1,0.0,124.5,12.4,7392.4,355.0,0.0,3537.0,2568.8,381.7,2950.5,43.2,2907.3,2907.3,1103.2,1804.1,1804.1,1095.8,0.0,3.3,3.29,0.0,0.0,0.0,0.0,0.0
2021-09-30,14720.0,0.0,14720.0,0.0,88.9,5.5,7755.7,357.9,0.0,3801.5,2710.5,529.2,3239.7,104.9,3134.8,3134.8,747.4,2387.4,2387.4,1096.2,0.0,4.37,4.36,0.0,0.0,0.0,0.0,0.0
2021-12-31,15278.7,0.0,15278.7,0.0,180.8,-30.8,8004.6,377.8,0.0,3976.2,2770.1,462.6,3232.7,100.1,3132.6,3132.6,667.6,2465.0,2465.0,1096.2,0.0,4.51,4.5,0.0,0.0,0.0,0.0,0.0
2022-03-31,15585.6,0.0,15585.6,0.0,94.6,6.5,8389.7,395.0,45.4,3778.3,2876.1,3332.6,6208.7,119.2,6089.5,6089.5,610.7,5478.8,5478.8,1096.4,0.0,10.02,9.99,0.0,0.0,0.0,0.0,0.0
2022-06-30,16255.6,0.0,16255.6,0.0,139.6,-41.9,8684.7,394.9,0.0,4378.6,2699.7,389.7,3089.4,145.7,2943.7,2943.7,727.1,2216.6,2216.6,1096.5,0.0,4.05,4.04,0.0,0.0,0.0,0.0,0.0
2022-09-30,16941.8,0.0,16941.8,0.0,113.2,-10.8,9517.9,405.2,0.0,4276.1,2640.2,450.3,3090.5,134.9,2955.6,2955.6,672.7,2282.9,2282.9,1097.1,0.0,4.17,4.16,0.0,0.0,0.0,0.0,0.0
2022-12-31,17078.7,0.0,17078.7,0.0,110.2,-14.4,9376.9,408.1,0.0,4454.3,2743.6,657.6,3401.2,174.1,3227.1,3227.1,814.0,2413.1,2413.1,1097.4,0.0,4.4,4.4,0.0,0.0,0.0,0.0,0.0
2023-03-31,17477.3,0.0,17477.3,0.0,15.2,63.6,9622.1,383.9,0.0,4932.4,2460.1,856.6,3316.7,174.2,3142.5,3142.5,878.4,2264.1,2264.1,1097.6,0.0,4.13,4.12,0.0,0.0,0.0,0.0,0.0
2023-06-30,17202.8,0.0,17202.8,0.0,92.0,-13.3,9735.6,376.7,0.0,4127.9,2883.9,742.1,3626.0,204.9,3421.1,3421.1,833.3,2587.8,2587.8,1097.8,0.0,4.72,4.62,0.0,0.0,0.0,0.0,0.0
2023-09-30,16680.7,0.0,16680.7,0.0,74.9,14.6,9642.7,370.8,0.0,4208.1,2369.6,684.4,3054.0,205.9,2848.1,2848.1,786.8,2061.3,2061.3,1044.4,0.0,3.94,3.93,0.0,0.0,0.0,0.0,0.0
2023-12-31,16315.7,0.0,16315.7,0.0,49.6,-1.5,9317.5,370.0,0.0,4167.2,2412.9,593.4,3006.3,202.8,2803.5,2803.5,780.6,2022.9,2022.9,1044.8,0.0,3.88,3.87,0.0,0.0,0.0,0.0,0.0
2024-03-31,16593.2,0.0,16593.2,0.0,47.7,18.1,9593.7,374.3,0.0,4040.8,2518.6,1032.3,3550.9,206.1,3344.8,3344.8,898.2,2446.6,2446.6,1045.0,0.0,4.68,4.67,0.0,0.0,0.0,0.0,0.0
2024-06-30,16481.3,0.0,16481.3,0.0,55.4,-3.9,9199.8,366.3,0.0,4037.4,2826.3,665.5,3491.8,210.9,3280.9,3280.9,906.3,2374.6,2374.6,1046.0,0.0,4.54,4.53,0.0,0.0,0.0,0.0,0.0
2024-09-30,16895.8,0.0,16895.8,0.0,67.5,-10.1,9503.6,359.5,0.0,4072.5,2902.8,1046.1,3948.9,240.8,3708.1,3708.1,994.6,2713.5,2713.5,1046.3,0.0,5.19,5.18,0.0,0.0,0.0,0.0,0.0
2024-12-31,16803.0,0.0,16803.0,0.0,28.9,25.7,9333.4,346.0,0.0,4132.4,2936.6,769.5,3706.1,281.1,3425.0,3425.0,612.9,2812.1,2812.1,2093.8,0.0,2.69,2.68,0.0,0.0,0.0,0.0,0.0
2025-03-31,17112.7,0.0,17112.7,0.0,58.8,-2.7,9298.7,374.8,0.0,4497.1,2886.0,1378.7,4264.7,248.5,4016.2,4016.2,1124.0,2892.2,2892.2,2094.4,0.0,2.76,2.75,0.0,0.0,0.0,0.0,0.0
