Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,493.7,46.02,539.72,0.0,-54.65,32.19,12.74,450.84,98.6,32.29,130.89,55.33,75.56,0.0,75.56,10.71,64.85,64.85,375.0,1.73,1.73,0.0,0.0,0.0,0.0,0.0
2016-03-31,580.14,100.18,680.32,0.0,-19.21,19.56,12.99,577.09,89.89,21.13,111.02,46.01,65.01,0.0,65.01,5.12,59.89,59.89,375.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0
2016-06-30,565.17,8.44,573.61,0.0,-490.46,39.52,12.11,877.37,135.07,35.52,170.59,48.57,122.02,0.0,122.02,-14.72,136.74,136.74,375.0,3.65,3.65,0.0,0.0,0.0,0.0,0.0
2016-09-30,476.94,12.71,489.65,0.0,-92.98,38.87,12.96,433.2,97.6,22.45,120.05,43.51,76.54,0.0,76.54,5.41,71.13,71.13,375.0,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2016-12-31,522.66,25.41,548.07,0.0,-7.43,40.7,12.99,422.98,78.83,22.1,100.93,39.23,61.7,0.0,61.7,-7.64,69.34,69.34,375.0,1.85,1.85,0.0,0.0,0.0,0.0,0.0
2017-03-31,562.92,0.0,562.92,0.0,0.0,42.43,11.47,428.45,80.57,27.58,108.15,56.26,51.89,256.83,308.72,-3.15,311.87,311.87,375.0,8.32,8.32,0.0,0.0,0.0,0.0,0.0
2017-06-30,626.9,0.0,626.9,0.0,0.0,37.6,12.7,492.6,84.0,28.1,112.1,43.6,68.5,0.0,68.5,5.5,63.0,63.0,375.0,1.68,1.68,0.0,0.0,0.0,0.0,0.0
2017-09-30,599.6,0.0,599.6,0.0,0.0,36.5,13.1,457.4,92.6,16.7,109.3,48.3,61.0,0.0,61.0,10.1,50.9,50.9,375.0,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2017-12-31,769.0,0.0,769.0,0.0,0.0,32.6,15.5,631.7,89.2,23.8,113.0,52.3,60.7,0.0,60.7,-0.2,60.9,60.9,375.0,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2018-03-31,997.0,0.0,997.0,0.0,0.0,49.0,14.5,840.2,93.3,42.7,136.0,70.6,65.4,0.0,65.4,8.2,57.2,57.2,375.0,1.53,1.53,0.0,0.0,0.0,0.0,0.0
2018-06-30,312.2,0.0,312.2,0.0,0.0,43.4,15.0,168.8,85.0,39.8,124.8,98.7,26.1,0.0,26.1,-9.9,36.0,36.0,375.0,0.96,0.96,0.0,0.0,0.0,0.0,0.0
2018-09-30,768.4,0.0,768.4,0.0,-3.2,46.1,15.3,577.8,132.4,40.0,172.4,103.3,69.1,0.0,69.1,5.5,63.6,63.6,375.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0
2018-12-31,508.1,0.0,508.1,0.0,-146.3,47.8,15.5,457.9,133.2,37.0,170.2,106.0,64.2,0.0,64.2,12.2,52.0,52.0,375.0,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2019-03-31,852.4,0.0,852.4,0.0,-564.7,50.0,17.7,1121.4,228.0,21.4,249.4,110.8,138.6,0.0,138.6,1.0,137.6,137.6,375.0,3.67,3.67,0.0,0.0,0.0,0.0,0.0
2019-06-30,772.3,0.0,772.3,0.0,66.9,41.7,76.0,389.9,197.8,36.4,234.2,140.7,93.5,0.0,93.5,13.4,80.1,80.1,375.0,2.14,2.14,0.0,0.0,0.0,0.0,0.0
2019-09-30,637.5,0.0,637.5,0.0,-84.2,49.8,76.2,423.1,172.6,96.3,268.9,138.9,130.0,0.0,130.0,-22.1,152.1,152.1,375.0,4.06,4.06,0.0,0.0,0.0,0.0,0.0
2019-12-31,1019.7,0.0,1019.7,0.0,162.5,57.1,79.9,524.3,195.9,23.0,218.9,153.4,65.5,0.0,65.5,-6.9,72.4,72.4,375.0,1.93,1.93,0.0,0.0,0.0,0.0,0.0
2020-03-31,926.3,0.0,926.3,43.3,94.1,60.8,83.7,527.2,117.2,55.2,172.4,139.6,32.8,0.0,32.8,75.0,-42.2,-42.2,400.9,-1.07,-1.07,0.0,0.0,0.0,0.0,0.0
2020-06-30,685.1,0.0,685.1,29.5,220.5,40.3,76.9,162.4,155.5,28.5,184.0,135.4,48.6,0.0,48.6,2.0,46.6,46.6,400.9,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2020-09-30,949.2,0.0,949.2,41.8,-175.1,48.0,77.0,775.8,181.7,30.1,211.8,133.9,77.9,0.0,77.9,2.8,75.1,75.1,400.9,1.88,1.88,0.0,0.0,0.0,0.0,0.0
2020-12-31,1052.5,0.0,1052.5,38.5,438.0,54.7,76.3,324.2,120.8,57.9,178.7,128.0,50.7,0.0,50.7,-3.9,54.6,54.6,400.9,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2021-03-31,1367.4,0.0,1367.4,54.9,351.5,63.8,76.2,644.8,176.2,57.9,234.1,94.2,139.9,-81.3,58.6,22.1,36.5,36.5,400.9,0.91,0.91,0.0,0.0,0.0,0.0,0.0
2021-06-30,841.9,0.0,841.9,38.8,397.7,47.3,70.1,227.4,60.6,58.2,118.8,71.3,47.5,0.0,47.5,8.2,39.3,39.3,400.9,0.98,0.98,0.0,0.0,0.0,0.0,0.0
2021-09-30,867.3,0.0,867.3,48.5,26.7,66.3,70.0,588.7,67.1,108.8,175.9,72.3,103.6,0.0,103.6,18.5,85.1,85.1,400.9,2.12,2.12,0.0,0.0,0.0,0.0,0.0
2021-12-31,996.8,0.0,996.8,27.3,364.8,49.9,69.4,337.4,148.0,84.9,232.9,71.7,161.2,0.0,161.2,39.9,121.3,121.3,400.9,3.03,3.03,0.0,0.0,0.0,0.0,0.0
2022-03-31,1853.2,0.0,1853.2,43.6,906.0,65.2,75.1,495.4,267.9,59.7,327.6,79.9,247.7,539.9,787.6,85.9,701.7,701.7,400.9,17.5,17.5,0.0,0.0,0.0,0.0,0.0
2022-06-30,948.8,0.0,948.8,35.3,-174.5,68.4,72.6,795.9,151.1,33.8,184.9,74.2,110.7,20.4,131.1,18.9,112.2,112.2,400.9,2.8,2.8,0.0,0.0,0.0,0.0,0.0
2022-09-30,817.0,0.0,817.0,48.8,-226.9,61.7,82.1,738.2,113.1,25.9,139.0,79.5,59.5,0.0,59.5,14.2,45.3,45.3,400.9,1.13,1.13,0.0,0.0,0.0,0.0,0.0
2022-12-31,1299.8,0.0,1299.8,42.2,313.8,72.7,88.7,552.7,229.7,22.4,252.1,81.7,170.4,0.0,170.4,32.2,138.2,138.2,400.9,3.45,3.45,0.0,0.0,0.0,0.0,0.0
2023-03-31,1264.1,0.0,1264.1,57.6,169.5,79.0,88.3,744.7,125.0,24.9,149.9,95.9,54.0,0.0,54.0,8.8,45.2,45.2,400.9,1.13,1.13,0.0,0.0,0.0,0.0,0.0
2023-06-30,535.0,0.0,535.0,52.3,-5.8,74.6,89.8,227.6,96.5,35.8,132.3,91.5,40.8,0.0,40.8,1.8,39.0,39.0,400.9,0.97,0.97,0.0,0.0,0.0,0.0,0.0
2023-09-30,959.7,0.0,959.7,52.2,72.6,76.0,98.6,516.9,143.4,98.0,241.4,102.4,139.0,0.0,139.0,10.0,129.0,129.0,400.9,3.22,3.22,0.0,0.0,0.0,0.0,0.0
2023-12-31,578.7,0.0,578.7,54.8,-130.3,87.6,99.4,386.5,80.7,30.8,111.5,100.7,10.8,0.0,10.8,-0.3,11.1,11.1,400.9,0.28,0.28,0.0,0.0,0.0,0.0,0.0
2024-03-31,577.8,0.0,577.8,61.5,-442.4,110.7,112.3,636.5,99.2,90.1,189.3,156.7,32.6,0.0,32.6,-34.1,66.7,66.7,400.9,1.66,1.66,0.0,0.0,0.0,0.0,0.0
2024-06-30,397.1,0.0,397.1,42.1,-608.6,104.0,104.3,680.9,74.4,71.6,146.0,135.4,10.6,0.0,10.6,-8.6,19.2,19.2,400.9,0.48,0.48,0.0,0.0,0.0,0.0,0.0
2024-09-30,1178.3,0.0,1178.3,42.1,199.9,96.4,107.5,657.9,74.5,79.0,153.5,145.7,7.8,0.0,7.8,-10.6,18.4,18.4,430.7,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2024-12-31,710.0,0.0,710.0,66.9,-390.2,88.2,107.5,774.0,63.6,114.1,177.7,139.0,38.7,110.4,149.1,17.4,131.7,131.7,430.7,3.06,3.06,0.0,0.0,0.0,0.0,0.0
