Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,1240.6,7.25,1247.85,903.95,14.13,42.17,20.07,8.22,0.0,175.0,84.31,0.07,84.38,42.45,41.93,0.0,41.93,14.36,27.57,27.57,38.5,7.16,7.16,1.45,37.54,2.4,100.0,62.46
2015-09-30,1241.22,9.63,1250.85,957.67,40.05,-34.39,20.95,8.56,0.0,177.57,80.44,0.85,81.29,44.64,36.65,0.0,36.65,12.33,24.32,24.32,38.5,6.32,6.32,1.45,37.54,2.4,100.0,62.46
2015-12-31,1179.68,6.53,1186.21,930.57,34.18,-86.48,22.64,9.53,0.0,203.28,72.49,1.71,74.2,36.19,38.01,43.15,81.16,13.14,68.02,68.02,38.5,17.67,17.67,0.0,0.0,0.0,0.0,0.0
2016-03-31,1316.82,8.22,1325.04,943.45,-20.19,99.24,22.51,9.99,0.0,189.26,80.78,0.45,81.23,28.31,52.92,0.0,52.92,16.04,36.88,36.88,38.5,9.58,9.58,0.0,0.0,0.0,0.0,0.0
2016-06-30,1077.15,4.74,1081.89,857.87,9.19,-107.91,25.81,9.79,0.0,186.69,100.45,3.18,103.63,34.22,69.41,0.0,69.41,23.79,45.62,45.62,38.5,11.85,11.85,0.0,0.0,0.0,0.0,0.0
2016-09-30,1252.58,11.71,1264.29,870.41,24.59,75.66,25.43,10.45,0.0,167.89,89.86,4.26,94.12,24.56,69.56,0.0,69.56,23.9,45.66,45.66,38.5,11.86,11.86,0.0,0.0,0.0,0.0,0.0
2016-12-31,1125.98,6.64,1132.62,854.94,17.87,-49.45,26.78,11.29,0.0,176.15,95.04,1.99,97.03,30.96,66.07,0.0,66.07,22.78,43.29,43.29,38.5,11.25,11.25,0.0,0.0,0.0,0.0,0.0
2017-03-31,1296.77,0.0,1296.77,914.35,27.45,17.83,26.73,11.92,0.0,206.51,91.98,5.58,97.56,23.14,74.42,0.0,74.42,26.66,47.76,47.76,38.27,12.42,12.42,0.0,0.0,0.0,0.0,0.0
2017-06-30,1236.42,0.0,1236.42,888.48,31.5,16.02,29.1,11.85,0.0,177.75,81.72,2.2,83.92,22.88,61.04,0.0,61.04,21.1,39.94,39.94,38.27,10.44,10.44,0.0,0.0,0.0,0.0,0.0
2017-09-30,1175.99,0.0,1175.99,923.25,10.07,-38.03,29.46,12.13,0.0,164.49,74.62,2.79,77.41,35.28,42.13,0.0,42.13,14.63,27.5,27.5,38.27,7.19,7.19,0.0,0.0,0.0,0.0,0.0
2017-12-31,1407.94,0.0,1407.94,1062.44,18.19,28.86,29.26,12.39,0.0,172.91,83.89,3.31,87.2,24.36,62.84,0.0,62.84,21.76,41.08,41.08,38.27,10.73,10.73,0.0,0.0,0.0,0.0,0.0
2018-03-31,1695.37,0.0,1695.37,1286.68,27.28,-0.75,30.95,13.21,0.0,232.85,105.15,2.63,107.78,52.41,55.37,0.0,55.37,19.82,35.55,35.55,38.27,9.29,9.29,0.0,0.0,0.0,0.0,0.0
2018-06-30,1404.63,0.0,1404.63,1187.87,16.84,-130.36,34.51,14.09,0.0,191.98,89.7,4.46,94.16,52.5,41.66,0.7,42.36,15.04,27.32,27.32,38.27,7.14,7.14,0.0,0.0,0.0,0.0,0.0
2018-09-30,1794.76,10.73,1805.49,1440.6,11.59,-8.14,33.57,14.64,0.0,223.98,89.25,3.17,92.42,50.86,41.56,0.0,41.56,14.77,26.79,26.79,38.27,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,1988.46,13.8,2002.26,1674.55,22.6,-107.13,35.32,15.4,0.0,256.7,104.82,3.04,107.86,39.49,68.37,0.0,68.37,24.27,44.1,44.1,38.27,11.52,11.52,0.0,0.0,0.0,0.0,0.0
2019-03-31,2347.92,25.97,2373.89,1762.43,23.86,120.94,36.17,16.0,0.0,294.27,120.22,4.15,124.37,49.43,74.94,0.52,75.46,26.58,48.88,48.88,38.27,12.77,12.77,0.0,0.0,0.0,0.0,0.0
2019-06-30,1852.4,15.13,1867.53,1506.28,32.2,-91.13,39.31,17.91,0.0,247.44,115.52,4.13,119.65,54.8,64.85,0.43,65.28,23.15,42.13,42.13,38.27,11.01,11.01,0.0,0.0,0.0,0.0,0.0
2019-09-30,1717.07,17.97,1735.04,1272.66,3.91,67.05,40.43,19.74,0.0,243.38,87.87,1.76,89.63,64.86,24.77,0.5,25.27,-11.44,36.71,36.71,38.27,9.59,9.59,0.0,0.0,0.0,0.0,0.0
2019-12-31,1725.92,15.81,1741.73,1278.04,29.23,16.66,38.25,20.46,0.0,265.03,94.06,1.32,95.38,49.89,45.49,0.14,45.63,11.77,33.86,33.86,38.27,8.85,8.85,0.0,0.0,0.0,0.0,0.0
2020-03-31,1700.28,15.51,1715.79,1377.17,83.26,-155.97,42.03,21.04,0.0,264.39,83.87,1.08,84.95,49.53,35.42,0.07,35.49,9.21,26.28,26.28,38.27,6.87,6.87,0.0,0.0,0.0,0.0,0.0
2020-06-30,1213.51,9.32,1222.83,735.3,9.91,239.97,38.36,20.76,-0.17,162.48,16.22,1.2,17.42,45.28,-27.86,0.0,-27.86,-7.19,-20.67,-20.67,38.27,-5.4,-5.4,0.0,0.0,0.0,0.0,0.0
2020-09-30,1350.07,12.85,1362.92,1009.07,18.62,-32.58,38.8,21.07,-0.09,222.42,85.61,3.68,89.29,27.8,61.49,0.0,61.49,15.87,45.62,45.62,38.27,11.92,11.92,0.0,0.0,0.0,0.0,0.0
2020-12-31,1576.29,8.16,1584.45,1149.05,17.65,-22.55,33.08,21.46,-0.21,263.6,122.37,2.36,124.73,35.27,89.46,0.0,89.46,22.73,66.73,66.73,38.27,17.44,17.44,0.0,0.0,0.0,0.0,0.0
2021-03-31,1786.31,4.73,1791.04,1479.08,32.79,-145.75,40.19,21.59,-0.06,292.59,70.61,11.89,82.5,20.89,61.61,0.0,61.61,16.47,45.14,45.14,38.27,11.8,11.8,0.0,0.0,0.0,0.0,0.0
2021-06-30,1603.06,6.56,1609.62,1296.74,28.26,-115.12,40.75,21.4,0.0,248.26,89.33,12.83,102.16,36.69,65.47,0.0,65.47,16.81,48.66,48.66,38.27,12.72,12.72,0.0,0.0,0.0,0.0,0.0
2021-09-30,2087.42,6.69,2094.11,1774.3,49.07,-186.77,38.11,21.61,0.0,298.6,99.19,5.91,105.1,29.53,75.57,0.0,75.57,19.55,56.02,56.02,38.27,14.63,14.63,0.0,0.0,0.0,0.0,0.0
2021-12-31,2063.76,7.55,2071.31,1725.82,8.05,-125.27,40.77,21.94,0.0,315.4,84.6,10.47,95.07,24.37,70.7,0.0,70.7,17.83,52.87,52.87,38.27,13.82,13.82,0.0,0.0,0.0,0.0,0.0
2022-03-31,2820.71,0.0,2820.71,2052.66,45.33,103.79,40.53,21.78,0.0,418.21,138.41,9.66,148.07,44.21,103.86,0.0,103.86,27.81,76.05,76.05,38.27,19.87,19.87,0.0,0.0,0.0,0.0,0.0
2022-06-30,2817.15,9.82,2826.97,2204.78,15.06,-77.33,44.98,22.02,0.0,433.08,184.38,6.44,190.82,59.11,131.71,0.0,131.71,33.36,98.35,98.35,38.27,25.7,25.7,0.0,0.0,0.0,0.0,0.0
2022-09-30,2891.65,19.06,2910.71,2427.02,16.59,-268.18,46.72,22.77,0.0,461.1,204.69,12.56,217.25,67.72,149.53,0.0,149.53,37.91,111.62,111.62,38.27,29.17,29.17,0.0,0.0,0.0,0.0,0.0
2022-12-31,3601.75,25.48,3627.23,2673.0,18.49,-17.42,47.88,22.98,0.0,583.55,298.75,4.74,303.49,89.47,214.02,0.0,214.02,56.16,157.86,157.86,38.27,41.25,41.25,0.0,0.0,0.0,0.0,0.0
2023-03-31,3778.36,30.98,3809.34,2710.43,19.31,12.44,66.13,24.17,0.0,600.26,376.6,12.19,388.79,74.46,314.33,0.0,314.33,79.51,234.82,234.82,38.27,61.36,61.36,0.0,0.0,0.0,0.0,0.0
2023-06-30,3474.47,31.18,3505.65,2574.5,47.66,3.04,60.89,24.09,0.0,488.59,306.88,15.72,322.6,64.12,258.48,0.0,258.48,65.1,193.38,193.38,38.27,50.53,50.53,0.0,0.0,0.0,0.0,0.0
2023-09-30,3612.86,31.5,3644.36,2653.38,33.9,40.78,65.88,25.0,0.0,500.5,324.92,20.73,345.65,97.77,247.88,0.0,247.88,62.26,185.62,185.62,38.27,48.5,48.5,0.0,0.0,0.0,0.0,0.0
2023-12-31,3724.31,22.57,3746.88,2991.96,18.19,-256.45,68.7,25.41,0.0,543.13,355.94,22.74,378.68,107.94,270.74,0.0,270.74,64.92,205.82,205.82,40.17,53.56,53.56,0.0,0.0,0.0,0.0,0.0
2024-03-31,4203.05,22.54,4225.59,3135.9,17.69,77.02,72.56,28.07,0.0,505.06,389.29,29.58,418.87,96.57,322.3,0.0,322.3,83.86,238.44,238.44,40.17,61.54,61.54,0.0,0.0,0.0,0.0,0.0
2024-06-30,3719.87,26.67,3746.54,2980.96,18.21,-75.07,76.19,27.96,0.0,388.94,329.35,18.34,347.69,85.33,262.36,0.0,262.36,66.8,195.56,195.56,40.17,48.69,48.69,0.0,0.0,0.0,0.0,0.0
2024-09-30,4294.48,21.1,4315.58,3401.64,18.95,42.77,82.02,28.89,0.0,441.59,299.72,34.82,334.54,95.13,239.41,0.0,239.41,61.63,177.78,177.78,40.17,44.26,44.26,0.0,0.0,0.0,0.0,0.0
2024-12-31,4489.58,19.92,4509.5,3686.45,22.43,-118.31,82.18,30.11,0.0,490.47,316.17,36.25,352.42,113.84,238.58,0.0,238.58,62.51,176.07,176.07,40.17,43.83,43.83,0.0,0.0,0.0,0.0,0.0
2025-03-31,4959.59,21.04,4980.63,3943.87,33.39,-84.15,69.26,32.53,0.0,572.54,413.19,15.82,429.01,96.54,332.47,0.0,332.47,88.2,244.27,244.27,40.17,60.81,60.81,0.0,0.0,0.0,0.0,0.0
