Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-06-30,3379.54,1289.84,17.93,4.86,439.8,2885.18,554.32,394.91,1297.56,1029.56,268.0,58.68,209.31,209.31,480.29,15346.69,81.71,0.0,0.0,4.36,4.36,11827.6,5998.62,7.2,3.79,0.33,0.0,0.0,0.0,0.0,0.0
2018-09-30,3392.03,1277.25,27.09,4.48,428.32,2969.91,532.03,436.18,1191.05,1004.34,186.71,36.57,150.14,150.14,480.29,15346.69,81.73,0.0,0.0,3.13,3.13,12333.61,7059.85,7.16,4.23,0.23,0.0,0.0,0.0,0.0,0.0
2018-12-31,3553.17,1221.7,44.69,4.37,445.18,3107.21,564.58,450.7,1146.61,923.68,222.94,70.67,152.27,152.27,480.29,15346.69,81.73,0.0,0.0,3.17,3.17,13198.4,7571.07,7.46,4.42,0.23,0.0,0.0,0.0,0.0,0.0
2019-03-31,3659.13,1254.63,49.82,4.3,569.59,3204.42,571.93,515.71,1245.4,1638.83,-393.43,-203.66,-189.77,-189.77,480.29,15813.36,81.49,0.0,0.0,-3.95,-3.95,13353.45,6793.11,7.11,3.75,-0.28,0.0,0.0,0.0,0.0,0.0
2019-06-30,3851.74,1243.25,38.28,4.3,694.54,3352.14,670.07,435.7,1374.21,794.82,579.39,214.02,365.37,365.37,491.53,15813.36,79.62,0.0,0.0,7.53,7.53,13511.21,6824.24,7.33,3.84,0.52,0.0,0.0,0.0,0.0,0.0
2019-09-30,3994.1,1266.68,42.71,4.19,737.65,3444.63,585.77,513.14,1501.77,909.37,592.4,233.84,358.56,358.56,491.53,15813.36,79.62,0.0,0.0,7.29,7.29,13980.74,6613.47,7.2,3.54,0.5,0.0,0.0,0.0,0.0,0.0
2019-12-31,4050.43,1366.34,46.49,3.74,1038.63,3511.81,593.0,482.01,1918.8,1529.27,389.54,142.37,247.16,247.16,608.8,15813.36,83.46,0.0,0.0,4.77,4.77,13862.32,6487.59,7.2,3.5,0.33,0.0,0.0,0.0,0.0,0.0
2020-03-31,4036.77,1402.55,49.95,3.45,841.64,3489.97,624.12,517.02,1703.26,1891.86,-188.6,29.13,-217.74,-217.74,608.8,18492.62,83.46,0.0,0.0,-3.58,-3.58,14150.84,6184.24,6.87,3.13,-0.28,0.0,0.0,0.0,0.0,0.0
2020-06-30,7149.08,2774.88,180.25,15.74,1326.75,6245.66,1654.03,793.67,2753.34,2139.12,614.22,244.96,369.26,369.26,1129.37,18492.62,88.06,0.0,0.0,3.27,3.27,39965.02,12754.74,10.9,3.76,0.25,0.0,0.0,0.0,0.0,0.0
2020-09-30,7148.07,2794.74,99.52,15.04,1611.74,5913.34,1750.37,1010.46,2994.95,2284.12,710.83,298.55,412.28,412.28,1129.37,18492.62,88.06,0.0,0.0,3.65,3.65,36197.97,10052.22,9.89,2.96,0.28,0.0,0.0,0.0,0.0,0.0
2020-12-31,7132.95,2808.64,68.8,14.14,1396.81,5711.25,1571.67,1039.44,3098.99,2314.35,784.64,270.36,514.29,514.29,1129.37,18492.62,88.06,0.0,0.0,4.55,4.55,35237.24,8537.48,9.04,2.35,0.35,0.0,0.0,0.0,0.0,0.0
2021-03-31,6024.52,2788.63,76.89,13.88,1743.95,5569.59,1402.17,1127.74,2548.36,1752.48,795.88,-912.96,1708.85,1708.85,1129.37,31527.61,88.06,0.0,0.0,15.13,15.13,38455.35,12271.13,9.85,3.37,1.09,0.0,0.0,0.0,0.0,0.0
2021-06-30,6764.62,2771.79,73.57,13.61,1876.61,5629.43,1466.05,932.94,3471.78,2614.5,857.28,-324.38,1181.66,1181.66,1245.44,31527.61,79.86,0.0,0.0,10.39,10.39,37759.18,12652.87,9.69,3.47,0.75,0.0,0.0,0.0,0.0,0.0
2021-09-30,6668.7,2644.13,149.82,11.86,1965.91,5391.02,1712.96,1060.94,3275.49,2547.15,728.34,-360.83,1089.17,1089.17,1245.44,31527.61,79.86,0.0,0.0,8.75,8.75,36886.07,11749.17,9.56,3.26,0.69,0.0,0.0,0.0,0.0,0.0
2021-12-31,6859.63,2797.19,258.0,10.88,1556.1,5530.57,1567.27,1096.0,3287.96,2493.05,794.91,105.18,689.73,689.73,1245.44,31527.61,79.86,0.0,0.0,5.54,5.54,36539.57,10154.9,9.13,2.72,0.43,0.0,0.0,0.0,0.0,0.0
2022-03-31,6678.27,2751.71,369.95,32.48,1572.76,5577.25,1949.43,1140.91,2737.58,1913.89,823.69,-160.56,984.25,984.25,1245.44,36252.34,79.86,0.0,0.0,7.9,7.9,35214.25,8848.65,8.47,2.27,0.62,0.0,0.0,0.0,0.0,0.0
2022-06-30,7105.05,2767.14,229.29,52.18,1604.63,5619.68,1539.29,1034.94,3564.38,2218.93,1345.45,132.01,1213.44,1213.44,1245.44,36252.34,79.86,0.0,0.0,9.74,9.74,34573.34,8470.72,8.13,2.12,0.73,0.0,0.0,0.0,0.0,0.0
2022-09-30,7433.67,2895.95,248.07,132.21,1828.11,6025.93,1776.59,1106.24,3629.25,2058.55,1570.7,345.48,1225.22,1225.22,1245.44,36252.34,79.86,0.0,0.0,9.84,9.84,31958.83,6174.13,7.3,1.5,0.71,0.0,0.0,0.0,0.0,0.0
2022-12-31,8552.19,2917.85,178.5,185.69,1716.45,6335.04,1991.46,1162.76,4061.42,2515.73,1545.69,149.93,1395.76,1395.76,1245.44,0.0,79.86,0.0,0.0,11.21,11.21,29483.91,4270.48,6.53,1.0,0.8,0.0,0.0,0.0,0.0,0.0
2023-03-31,8850.24,3066.23,221.67,106.28,1993.87,6736.1,2219.89,1266.73,4015.57,2563.0,1452.57,5.29,1447.28,1447.28,1245.44,40620.42,79.86,0.0,0.0,11.62,11.62,28179.53,4043.07,5.95,0.9,0.82,0.0,0.0,0.0,0.0,0.0
2023-06-30,9603.41,3085.87,268.21,91.92,1709.58,7345.9,2118.59,1159.85,4134.65,1740.64,2394.01,685.18,1708.83,1708.83,1245.44,40620.42,79.86,0.0,0.0,13.72,13.72,26226.92,3197.55,5.47,0.7,0.95,0.0,0.0,0.0,0.0,0.0
2023-09-30,10029.78,3346.94,325.37,41.17,1992.97,8003.07,2176.9,1253.53,4302.73,1550.65,2752.08,764.32,1987.76,1987.76,1245.44,40620.42,79.86,0.0,0.0,15.96,15.96,24487.53,2825.85,4.97,0.6,1.06,0.0,0.0,0.0,0.0,0.0
2023-12-31,10349.16,3419.93,376.13,52.4,1901.64,8383.43,2335.76,1282.88,4097.19,1349.37,2747.82,628.47,2119.35,2119.35,1346.96,0.0,73.84,0.0,0.0,16.78,16.78,22786.52,2578.72,4.47,0.53,1.11,0.0,0.0,0.0,0.0,0.0
2024-03-31,10636.49,3549.11,416.5,22.39,2262.53,8609.09,2633.34,1339.61,4304.98,1247.75,3057.23,810.23,2247.0,2247.0,1346.96,51065.97,73.84,0.0,0.0,16.68,16.68,21106.31,2222.58,3.95,0.43,1.15,0.0,0.0,0.0,0.0,0.0
2024-06-30,10848.52,3734.32,401.55,54.84,1905.54,8861.14,2301.09,1280.95,4501.59,1258.38,3243.21,839.79,2403.42,2403.42,1346.96,51065.97,73.84,0.0,0.0,17.84,17.84,20302.16,2026.59,3.77,0.39,1.2,0.0,0.0,0.0,0.0,0.0
2024-09-30,11124.79,3793.06,388.54,41.19,2422.1,9153.36,2464.44,1423.36,4728.52,1099.16,3629.36,922.92,2706.44,2706.44,1346.96,51065.97,73.84,0.0,0.0,20.09,20.09,19148.0,1445.29,3.48,0.27,1.33,0.0,0.0,0.0,0.0,0.0
2024-12-31,11426.33,3884.49,408.32,40.32,2152.57,9344.74,2417.14,1400.73,4749.42,1059.13,3690.29,837.93,2852.36,2852.36,1346.96,51065.97,73.84,0.0,0.0,21.18,21.18,18208.35,1126.86,3.26,0.21,1.39,0.0,0.0,0.0,0.0,0.0
2025-03-31,11456.75,3903.52,387.02,108.6,2743.27,9466.55,2701.31,1412.63,5018.67,794.6,4224.07,1268.0,2956.07,2956.07,1346.96,60762.2,73.84,0.0,0.0,21.95,21.95,18178.86,1109.56,3.09,0.19,1.37,0.0,0.0,0.0,0.0,0.0
