Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Deferred Tax Assets [Net],Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2016-12-31,378.09,378.09,3085.49,3085.49,3463.58,24.12,35.07,21.01,80.2,138.45,195.05,129.15,6.88,469.53,4013.31,507.15,3.53,6.1,516.78,2875.86,81.46,3474.1,30.62,141.72,243.07,10.44,2.34,111.02,539.21,4013.31,138.75,0.0,0.0,0.0,2875.86,30.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,378.4,378.4,3121.2,3121.2,3499.6,21.7,4.7,46.3,72.7,101.4,315.9,92.9,10.0,520.2,4092.5,564.8,46.4,25.3,636.5,2703.6,131.5,3471.6,51.5,172.8,329.3,23.4,0.0,43.9,620.9,4092.5,0.0,52.3,109.5,0.0,2703.6,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,378.8,378.8,3318.1,3318.1,3696.9,34.3,1.8,137.2,173.3,86.4,412.1,155.2,15.5,669.2,4539.4,882.0,1024.4,71.7,1978.1,704.5,153.4,2836.0,678.8,383.6,542.3,37.2,0.0,61.5,1703.4,4539.4,232.5,60.6,184.8,0.0,704.5,678.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,379.0,379.0,3492.5,3492.5,3871.5,132.0,0.2,86.8,219.0,97.1,387.7,150.4,21.9,657.1,4747.6,995.3,1022.7,38.5,2056.5,1587.5,130.5,3774.5,84.7,280.8,521.4,36.6,0.0,49.6,973.1,4747.6,221.7,164.7,320.9,0.0,1587.5,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,379.0,379.0,3566.0,3566.0,3945.0,166.7,41.9,59.6,268.2,92.7,482.7,175.6,47.3,798.3,5011.5,1102.1,1019.4,68.8,2190.3,1588.2,100.9,3879.4,225.0,330.0,409.1,67.0,0.0,101.0,1132.1,5011.5,218.1,76.74,227.53,0.0,1588.2,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,379.0,379.0,3566.0,3566.0,3945.0,166.7,41.9,59.6,268.2,92.7,482.7,175.6,47.3,798.3,5011.5,1102.1,1019.4,68.8,2190.3,1588.2,100.9,3879.4,225.0,330.0,409.1,67.0,0.0,101.0,1132.1,5011.5,218.1,76.74,227.53,0.0,1588.2,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,379.1,379.1,3671.2,3671.2,4050.3,289.1,46.1,61.9,397.1,182.3,578.0,168.8,52.3,981.4,5428.8,1189.0,1019.1,58.7,2266.8,1602.8,110.6,3980.2,401.4,459.0,448.1,35.5,0.0,104.6,1448.6,5428.8,265.3,130.95,262.47,0.0,1602.8,401.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,379.3,379.3,4091.8,4091.8,4471.1,281.4,34.1,65.6,381.1,123.2,646.4,169.5,51.1,990.2,5842.4,1238.2,1019.0,41.6,2298.8,1734.8,94.3,4127.9,533.0,503.0,573.7,49.3,0.0,55.5,1714.5,5842.4,233.8,83.35,280.46,0.0,1734.8,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,379.36,379.36,4560.58,4560.58,4939.94,285.74,26.78,64.83,377.35,71.93,615.36,184.9,49.55,921.73,6239.02,1298.19,1018.54,37.16,2353.89,1750.86,138.34,4243.09,775.19,466.06,461.75,163.77,0.0,129.16,1995.94,6239.02,203.41,88.37,333.2,0.0,1750.86,775.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,379.36,379.36,4953.29,4953.29,5332.65,287.31,19.84,61.88,369.03,0.0,611.17,199.34,54.29,864.8,6566.49,1372.7,1018.43,56.79,2447.92,1766.56,78.52,4293.0,990.97,454.53,411.93,181.1,196.45,38.51,2273.49,6566.49,172.71,99.28,326.32,0.0,1766.56,990.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
