Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Trade/Other Goods,Deferred Tax Assets [Net],Raw Materials,Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,33.4,33.4,288.54,288.54,321.95,90.52,18.35,5.37,5.24,119.47,95.3,16.4,35.3,11.08,158.08,599.5,202.21,1.57,15.79,219.57,116.94,142.7,0.48,479.69,1.24,17.78,20.25,59.22,17.99,3.33,119.81,599.5,192.98,0.57,10.91,0.0,0.0,13.33,8.39,107.93,0.0,1.24,0.0,183.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,33.4,33.4,370.92,370.92,404.32,51.0,19.87,4.66,4.81,80.35,49.71,22.26,38.42,1.31,111.69,596.35,200.08,0.85,27.41,228.34,97.48,118.2,0.13,444.15,18.67,14.54,36.23,61.1,17.76,3.9,152.2,596.35,7.66,0.69,23.64,0.0,86.01,13.33,1.14,95.51,0.0,17.67,0.0,137.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,33.4,33.4,388.61,388.61,422.01,39.59,20.18,5.11,7.04,71.92,40.35,26.34,41.92,3.11,111.73,605.66,197.43,0.53,72.12,270.08,95.23,139.47,0.0,504.79,0.0,6.81,28.92,40.93,20.14,4.07,100.87,605.66,70.62,0.54,20.83,0.0,1.04,13.33,0.0,94.26,0.0,0.0,0.0,100.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,33.4,33.4,665.49,665.49,698.89,35.67,0.0,5.13,8.57,49.38,147.27,39.6,199.6,1.15,387.62,1135.89,555.9,0.59,161.3,717.79,78.89,51.14,68.27,916.09,0.0,16.68,34.87,33.37,0.0,134.88,219.8,1135.89,358.15,1.07,0.0,0.0,6.02,13.33,0.0,0.19,0.0,0.0,0.0,140.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,33.4,33.4,735.33,735.33,768.73,48.83,70.36,5.5,9.19,133.89,212.05,33.86,106.93,2.55,355.39,1258.01,743.85,1.26,131.68,876.78,40.39,0.49,74.42,992.09,0.0,17.99,39.5,35.26,43.2,129.97,265.93,1258.01,230.3,1.77,0.0,0.0,16.11,13.33,0.0,0.02,0.0,0.0,17.76,120.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,33.4,33.4,776.85,776.85,810.26,49.07,83.34,6.26,10.05,148.72,119.0,36.42,128.73,12.08,296.24,1255.21,789.64,0.97,123.49,914.1,46.01,0.54,83.84,1044.5,0.13,27.33,40.28,45.17,7.39,90.43,210.72,1255.21,108.42,3.84,0.0,0.0,14.41,13.33,0.0,0.0,0.0,0.0,1.49,361.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,33.97,33.97,971.28,971.28,1005.25,48.5,29.64,279.53,11.79,369.46,154.43,24.74,168.25,3.53,350.95,1725.66,1124.7,0.85,210.75,1336.3,46.12,0.59,42.1,1425.11,0.0,28.51,55.63,103.0,0.0,113.41,300.55,1725.66,191.13,208.47,0.0,0.0,27.4,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,35.1,35.1,1184.54,1184.54,1219.64,111.74,63.97,310.17,10.69,496.57,221.6,34.61,151.34,2.92,410.48,2126.69,1127.54,0.59,435.22,1563.35,46.21,151.9,77.32,1838.78,0.0,41.78,59.67,58.67,0.0,127.79,287.91,2126.69,242.85,201.18,0.0,0.0,10.98,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,35.1,35.1,1496.12,1496.12,1531.23,81.69,72.91,309.26,12.27,476.14,309.56,39.16,112.26,4.58,465.56,2472.93,1640.24,0.58,115.99,1756.8,36.89,98.82,70.24,1962.75,0.0,63.97,103.82,87.24,0.0,255.15,510.18,2472.93,184.21,181.33,0.0,0.0,9.04,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,35.1,35.1,2137.99,2137.99,2173.1,0.15,67.44,90.84,5.81,164.23,16.93,213.28,74.29,6.02,310.51,2647.84,557.68,1.28,106.24,665.2,37.26,669.17,28.42,1400.05,204.33,124.0,210.43,430.68,98.1,180.25,1247.78,2647.84,172.9,1403.9,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,35.1,35.1,2347.39,2347.39,2382.49,0.0,47.2,296.64,7.08,350.93,89.67,180.48,94.99,6.81,371.95,3105.37,572.44,1.23,251.03,824.7,37.24,738.8,49.62,1650.36,193.98,39.29,158.12,941.86,0.0,121.77,1455.01,3105.37,595.35,1855.41,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
