Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,92.61,0.22,92.83,34.69,2.32,9.81,2.9,21.94,21.17,1.86,23.03,2.33,20.7,0.0,20.7,6.87,13.83,0.0,13.83,33.4,0.0,4.14,4.14,1.24,37.0,2.1,100.0,63.0
2015-09-30,90.86,0.22,91.08,35.96,-1.31,9.41,2.88,21.93,22.21,1.76,23.97,2.18,21.79,0.0,21.79,7.24,14.55,0.0,14.55,33.4,0.0,0.44,0.44,12.38,37.0,21.02,100.0,63.0
2015-12-31,85.95,0.23,86.18,34.81,0.02,10.04,2.88,20.6,17.83,1.08,18.91,2.07,16.84,0.0,16.84,1.12,15.72,0.0,15.72,33.4,0.0,0.47,0.47,0.0,0.0,0.0,0.0,0.0
2016-03-31,87.04,0.22,87.26,30.9,5.39,11.15,2.89,22.23,14.7,1.85,16.55,1.98,14.57,0.0,14.57,4.8,9.77,0.0,9.77,33.4,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0
2016-06-30,92.85,0.22,93.07,44.04,-5.93,10.7,2.85,21.03,20.38,1.0,21.38,1.85,19.53,0.0,19.53,6.65,12.88,0.0,12.88,33.4,0.0,0.39,0.39,0.0,0.0,0.0,0.0,0.0
2016-09-30,94.14,0.23,94.37,35.26,1.4,9.09,2.86,19.86,25.9,1.6,27.5,1.8,25.7,0.0,25.7,8.59,17.11,0.0,17.11,33.4,0.0,0.51,0.51,0.0,0.0,0.0,0.0,0.0
2016-12-31,96.97,0.23,97.2,45.78,-3.51,8.68,2.86,22.17,21.22,0.82,22.04,1.7,20.34,0.0,20.34,7.87,12.47,0.0,12.47,33.4,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2017-03-31,106.47,0.0,106.47,54.89,-1.69,10.33,2.82,18.83,21.29,13.22,34.51,2.19,32.32,0.0,32.32,11.87,20.45,0.0,20.45,33.4,0.0,0.61,0.61,0.0,0.0,0.0,0.0,0.0
2017-06-30,112.41,0.0,112.41,50.3,4.7,9.78,3.47,21.78,22.38,1.69,24.07,1.55,22.52,0.0,22.52,1.29,21.23,0.0,21.23,33.4,0.0,0.64,0.64,0.0,0.0,0.0,0.0,0.0
2017-09-30,103.27,0.0,103.27,55.11,-9.19,7.38,3.56,19.75,26.66,11.98,38.64,1.81,36.83,0.0,36.83,3.31,33.52,0.0,33.52,33.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,134.35,0.0,134.35,94.68,-21.48,8.36,3.64,24.56,24.59,1.95,26.54,2.11,24.43,0.0,24.43,1.08,23.35,0.0,23.35,33.4,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2018-03-31,151.73,0.0,151.73,65.84,24.17,13.41,7.17,25.87,15.27,12.06,27.33,1.96,25.37,0.0,25.37,2.55,22.82,0.0,22.82,33.4,0.0,0.68,0.68,0.0,0.0,0.0,0.0,0.0
2018-06-30,135.93,0.0,135.93,82.4,-10.47,7.71,5.9,22.28,28.11,0.88,28.99,5.18,23.81,0.0,23.81,7.17,16.64,0.0,16.64,33.4,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2018-09-30,186.82,0.0,186.82,107.16,-0.94,12.05,6.14,31.86,30.55,17.37,47.92,6.47,41.45,0.0,41.45,11.29,30.16,0.0,30.16,33.4,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2018-12-31,217.96,0.0,217.96,134.31,-3.62,10.15,6.51,28.76,41.85,0.79,42.64,4.66,37.98,0.0,37.98,8.29,29.69,0.0,29.69,33.4,0.0,0.88,0.88,0.0,0.0,0.0,0.0,0.0
2019-03-31,166.35,0.0,166.35,83.06,6.04,11.89,6.61,31.26,27.49,1.26,28.75,5.04,23.71,0.0,23.71,11.58,12.13,0.0,12.13,33.4,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2019-06-30,213.03,0.0,213.03,133.63,-1.66,10.79,8.48,20.48,41.31,20.04,61.35,6.06,55.29,0.0,55.29,13.57,41.72,0.0,41.72,33.4,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0
2019-09-30,194.52,0.0,194.52,108.22,5.27,7.87,9.38,173.62,-109.84,16.29,-93.55,5.37,-98.92,0.0,-98.92,-39.8,-59.12,0.0,-59.12,33.97,0.0,-1.74,-1.74,0.0,0.0,0.0,0.0,0.0
2019-12-31,216.79,0.0,216.79,132.66,-14.52,9.0,9.46,64.42,15.77,2.0,17.77,6.08,11.69,0.0,11.69,4.05,7.64,0.0,7.64,33.97,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2020-03-31,235.38,0.0,235.38,122.7,12.82,10.66,10.65,66.22,12.33,28.21,40.54,5.18,35.36,0.0,35.36,0.91,34.45,0.0,34.45,33.97,0.0,1.01,0.98,0.0,0.0,0.0,0.0,0.0
2020-06-30,107.78,0.0,107.78,23.78,9.5,7.1,9.71,61.63,-3.94,3.34,-0.6,4.07,-4.67,0.0,-4.67,-0.99,-3.68,0.0,-3.68,33.97,0.0,-0.11,-0.11,0.0,0.0,0.0,0.0,0.0
2020-09-30,157.55,0.0,157.55,73.04,0.02,8.36,9.99,34.13,32.01,6.7,38.71,3.64,35.07,0.0,35.07,7.63,27.44,0.0,27.44,34.54,0.0,0.8,0.78,0.0,0.0,0.0,0.0,0.0
2020-12-31,196.84,0.0,196.84,100.0,-2.14,9.91,9.84,34.71,44.52,8.7,53.22,3.55,49.67,0.0,49.67,11.48,38.19,0.0,38.19,34.54,0.0,1.11,1.09,0.0,0.0,0.0,0.0,0.0
2021-03-31,242.73,0.0,242.73,139.07,-22.0,7.66,9.99,65.68,42.33,63.72,106.05,4.22,101.83,0.0,101.83,7.81,94.02,0.0,94.02,35.1,0.0,2.69,2.68,0.0,0.0,0.0,0.0,0.0
2021-06-30,219.21,0.0,219.21,98.35,16.11,11.87,10.4,21.39,61.09,5.72,66.81,3.63,63.18,0.0,63.18,15.29,47.89,0.0,47.89,35.1,0.0,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2021-09-30,257.88,0.0,257.88,157.0,-20.47,11.27,10.5,22.08,77.5,6.78,84.28,3.18,81.1,0.0,81.1,19.85,61.25,0.0,61.25,35.1,0.0,1.75,1.75,0.0,0.0,0.0,0.0,0.0
2021-12-31,316.96,0.0,316.96,188.82,2.96,11.45,11.95,23.7,78.08,203.68,281.76,3.85,277.91,0.0,277.91,20.0,257.91,0.0,257.91,35.1,0.0,7.35,7.35,0.0,0.0,0.0,0.0,0.0
2022-03-31,433.93,0.0,433.93,326.45,-17.98,15.15,12.42,33.55,64.34,46.35,110.69,8.1,102.59,0.0,102.59,17.74,84.85,0.0,84.85,35.1,0.0,2.42,2.42,0.0,0.0,0.0,0.0,0.0
2022-06-30,643.23,0.0,643.23,525.16,-11.55,14.33,11.72,22.74,80.83,534.02,614.85,6.89,607.96,0.0,607.96,133.51,474.45,0.0,474.45,35.1,0.0,13.52,13.52,0.0,0.0,0.0,0.0,0.0
2022-09-30,750.23,0.0,750.23,742.99,-108.58,11.42,4.28,29.99,70.13,52.18,122.31,2.76,119.55,0.0,119.55,18.79,100.76,0.0,100.76,35.1,0.0,2.87,2.87,0.0,0.0,0.0,0.0,0.0
2022-12-31,876.59,0.0,876.59,682.68,60.63,10.47,4.31,32.41,86.09,25.39,111.48,3.09,108.39,0.0,108.39,21.68,86.71,0.0,86.71,35.1,0.0,2.47,2.47,0.0,0.0,0.0,0.0,0.0
2023-03-31,805.08,0.0,805.08,682.44,-2.34,1.24,4.28,36.79,82.67,116.77,199.44,3.88,195.56,0.0,195.56,40.16,155.4,0.0,155.4,35.1,0.0,4.43,4.43,0.0,0.0,0.0,0.0,0.0
2023-06-30,850.18,0.0,850.18,662.17,76.82,7.78,4.53,29.79,69.09,31.89,100.98,2.43,98.55,0.0,98.55,24.3,74.25,0.0,74.25,35.1,0.0,2.12,2.12,0.0,0.0,0.0,0.0,0.0
2023-09-30,584.19,0.0,584.19,511.6,-46.94,7.85,4.92,30.8,75.96,56.69,132.65,2.55,130.1,0.0,130.1,26.16,103.94,0.0,103.94,35.1,0.0,2.96,2.96,0.0,0.0,0.0,0.0,0.0
2023-12-31,824.47,0.0,824.47,691.44,11.58,8.24,5.17,29.84,78.2,59.66,137.86,3.29,134.57,0.0,134.57,26.81,107.76,0.0,107.76,35.1,0.0,3.07,3.07,0.0,0.0,0.0,0.0,0.0
2024-03-31,721.51,0.0,721.51,501.78,44.2,8.26,3.27,63.9,100.1,61.68,161.78,1.77,160.01,0.0,160.01,34.13,125.88,0.0,125.88,35.1,0.0,3.59,3.59,0.0,0.0,0.0,0.0,0.0
2024-06-30,732.13,0.0,732.13,613.93,-3.45,9.0,4.32,38.45,69.88,152.77,222.65,2.31,220.34,0.0,220.34,54.93,165.41,0.0,165.41,35.1,0.0,4.71,4.71,0.0,0.0,0.0,0.0,0.0
2024-09-30,658.28,0.0,658.28,629.1,-84.69,7.76,4.35,39.33,62.43,35.41,97.84,1.86,95.98,0.0,95.98,23.82,72.16,0.0,72.16,35.1,0.0,2.06,2.06,0.0,0.0,0.0,0.0,0.0
2024-12-31,672.12,0.0,672.12,563.76,-7.6,8.14,4.32,44.36,59.14,36.24,95.38,2.38,93.0,0.0,93.0,27.21,65.79,0.0,65.79,35.1,0.0,1.87,1.87,0.0,0.0,0.0,0.0,0.0
