Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-03-31,1885.08,0.0,1885.08,173.4,14.99,0.0,249.19,1447.5,0.26,1447.76,986.41,461.35,461.35,169.49,291.86,291.86,156.42,18.67,18.65,0.0,0.0,0.0,0.0,0.0
2019-06-30,2029.48,0.0,2029.48,145.82,23.29,0.0,290.41,1569.96,0.05,1570.01,1087.0,483.01,483.01,168.78,314.23,314.23,156.43,4.02,4.02,0.0,0.0,0.0,0.0,0.0
2019-09-30,2196.96,0.0,2196.96,172.13,26.23,95.17,203.25,1700.18,0.05,1700.23,1176.93,523.3,523.3,216.33,306.97,306.97,156.44,3.93,3.92,0.0,0.0,0.0,0.0,0.0
2019-12-31,2274.86,0.0,2274.86,177.1,31.38,135.97,215.94,1714.47,0.04,1714.51,1192.41,522.1,522.1,133.59,388.51,388.51,156.45,4.97,4.96,0.0,0.0,0.0,0.0,0.0
2020-03-31,2151.33,0.0,2151.33,159.95,26.64,556.68,214.97,1193.09,0.12,1193.21,1135.89,57.32,57.32,14.66,42.66,42.66,163.98,0.53,0.53,0.0,0.0,0.0,0.0,0.0
2020-06-30,2113.63,0.0,2113.63,156.18,24.75,56.15,164.91,1711.64,0.02,1711.66,1130.66,581.0,581.0,150.07,430.93,430.93,163.99,5.26,5.26,0.0,0.0,0.0,0.0,0.0
2020-09-30,2436.4,0.0,2436.4,170.05,24.5,317.6,160.5,1763.75,3.38,1767.13,1185.16,581.97,581.97,150.06,431.91,431.91,164.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0
2020-12-31,2504.83,0.0,2504.83,154.14,24.32,444.55,190.33,1691.49,0.03,1691.52,1140.44,551.08,551.08,142.22,408.86,408.86,164.0,4.99,4.98,0.0,0.0,0.0,0.0,0.0
2021-03-31,2461.15,0.0,2461.15,268.99,24.73,503.53,220.04,1443.86,0.18,1444.04,1119.65,324.39,324.39,81.18,243.21,243.21,164.07,2.97,2.96,0.0,0.0,0.0,0.0,0.0
2021-06-30,2466.89,0.0,2466.89,152.3,23.91,551.92,194.33,1544.43,0.12,1544.55,1103.82,440.73,440.73,113.93,326.8,326.8,164.12,3.98,3.98,0.0,0.0,0.0,0.0,0.0
2021-09-30,2470.56,0.0,2470.56,228.77,22.66,58.42,266.5,1894.21,0.13,1894.34,1077.81,816.53,816.53,209.99,606.54,606.54,164.21,7.39,7.38,0.0,0.0,0.0,0.0,0.0
2021-12-31,2530.1,0.0,2530.1,219.2,23.37,248.26,289.09,1750.18,0.12,1750.3,1046.04,704.26,704.26,180.47,523.79,523.79,164.26,6.38,6.37,0.0,0.0,0.0,0.0,0.0
2022-03-31,2580.34,0.0,2580.34,294.96,27.41,-17.4,326.21,1949.16,51.41,2000.57,1071.15,929.42,929.42,239.84,689.58,689.58,164.28,8.4,8.38,0.0,0.0,0.0,0.0,0.0
2022-06-30,2745.1,0.0,2745.1,246.09,26.97,298.62,306.65,1866.77,25.83,1892.6,1130.87,761.73,761.73,196.07,565.66,565.66,164.37,6.89,6.88,0.0,0.0,0.0,0.0,0.0
2022-09-30,2988.01,0.0,2988.01,290.95,27.47,278.19,342.69,2048.71,49.77,2098.48,1340.42,758.06,758.06,194.65,563.41,563.41,164.39,6.86,6.85,0.0,0.0,0.0,0.0,0.0
2022-12-31,3323.1,0.0,3323.1,349.37,29.49,158.89,373.17,2412.18,51.91,2464.09,1543.29,920.8,920.8,236.51,684.29,684.29,164.43,8.32,8.31,0.0,0.0,0.0,0.0,0.0
2023-03-31,3700.83,0.0,3700.83,379.27,34.95,113.98,372.79,2799.84,93.43,2893.27,1734.17,1159.1,1159.1,306.26,852.84,852.84,164.48,10.38,10.36,0.0,0.0,0.0,0.0,0.0
2023-06-30,4030.32,0.0,4030.32,327.86,38.01,372.34,420.79,2871.32,103.3,2974.62,2007.09,967.53,967.53,241.52,726.01,726.01,164.51,8.83,8.81,0.0,0.0,0.0,0.0,0.0
2023-09-30,4434.95,0.0,4434.95,570.24,37.97,399.81,337.92,3089.01,136.94,3225.95,2205.2,1020.75,1020.75,258.26,762.49,762.49,164.57,9.27,9.25,0.0,0.0,0.0,0.0,0.0
2023-12-31,4959.71,0.0,4959.71,666.65,45.24,358.82,352.1,3536.9,58.98,3595.88,2438.98,1156.9,1156.9,280.74,876.16,876.16,168.0,10.45,10.42,0.0,0.0,0.0,0.0,0.0
2024-03-31,5420.24,0.0,5420.24,765.8,74.55,190.83,444.64,3944.42,71.84,4016.26,2579.34,1436.92,1436.92,378.82,1058.1,1058.1,168.06,12.6,12.57,0.0,0.0,0.0,0.0,0.0
2024-06-30,5784.71,0.0,5784.71,683.45,58.34,581.43,441.61,4019.88,44.26,4064.14,2795.65,1268.49,1268.49,326.26,942.23,942.23,168.12,11.22,11.19,0.0,0.0,0.0,0.0,0.0
2024-09-30,6226.6,0.0,6226.6,794.65,61.92,623.52,458.95,4287.56,66.15,4353.71,3055.13,1298.58,1298.58,335.53,963.05,963.05,168.15,11.46,11.43,0.0,0.0,0.0,0.0,0.0
2024-12-31,6709.21,0.0,6709.21,880.65,58.43,664.02,473.89,4632.22,103.14,4735.36,3271.78,1463.58,1463.58,377.05,1086.53,1086.53,168.23,12.93,12.89,0.0,0.0,0.0,0.0,0.0
2025-03-31,7025.05,0.0,7025.05,921.76,63.43,625.29,441.7,4972.87,95.64,5068.51,3362.29,1706.22,1706.22,439.5,1266.72,1266.72,168.25,15.06,15.03,0.0,0.0,0.0,0.0,0.0
