Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,628.4,4.99,633.38,386.68,0.0,21.65,20.96,22.22,12.48,54.52,114.87,2.74,117.62,15.76,101.86,0.0,101.86,31.6,70.26,70.26,124.1,0.0,5.66,5.66,5.9,47.53,6.51,100.0,52.47
2015-09-30,461.83,4.91,466.74,311.52,0.0,4.02,19.3,20.68,12.65,58.99,39.58,14.1,53.68,16.37,37.31,24.48,61.79,19.91,41.88,41.88,124.1,0.0,3.37,3.37,5.9,47.53,6.51,100.0,52.47
2015-12-31,540.88,6.28,547.16,420.38,0.0,-61.25,19.56,24.53,12.74,59.84,71.35,3.52,74.87,8.04,66.83,0.0,66.83,23.85,42.98,42.98,124.1,0.0,3.46,3.46,0.0,0.0,0.0,0.0,0.0
2016-03-31,799.23,6.32,805.55,495.26,0.0,68.95,27.35,25.97,12.7,76.58,98.73,18.76,117.49,4.47,113.02,0.0,113.02,34.54,78.48,78.48,124.1,0.0,6.32,6.32,0.0,0.0,0.0,0.0,0.0
2016-06-30,665.93,6.93,672.86,391.96,0.0,18.28,16.19,27.16,13.26,60.03,145.98,3.17,149.15,5.0,144.15,0.0,144.15,46.1,98.04,98.04,124.1,0.0,7.9,7.9,0.0,0.0,0.0,0.0,0.0
2016-09-30,453.64,3.18,456.83,276.61,0.0,-10.36,17.87,25.41,13.88,60.3,73.12,8.94,82.05,3.26,78.79,0.0,78.79,27.47,51.32,51.32,124.1,0.0,4.14,4.14,0.0,0.0,0.0,0.0,0.0
2016-12-31,571.61,4.89,576.5,555.2,0.0,-214.54,16.58,25.51,14.03,64.04,115.68,2.86,118.54,5.93,112.61,0.0,112.61,40.66,71.95,71.95,124.1,0.0,5.8,5.8,0.0,0.0,0.0,0.0,0.0
2017-03-31,1016.35,0.0,1016.35,573.41,0.0,147.71,0.0,26.81,13.88,89.88,164.66,9.37,174.03,1.14,172.88,0.0,172.88,49.62,123.26,123.26,124.1,0.0,9.93,9.93,0.0,0.0,0.0,0.0,0.0
2017-06-30,824.27,0.0,824.27,525.45,0.0,56.44,0.0,28.5,14.5,83.25,116.13,3.84,119.97,2.98,116.99,0.0,116.99,37.22,79.76,79.76,124.1,0.0,6.43,6.43,0.0,0.0,0.0,0.0,0.0
2017-09-30,475.28,0.0,475.28,299.46,0.0,13.89,0.0,28.51,15.13,83.82,34.46,10.92,45.38,3.83,41.56,0.0,41.56,13.28,28.28,28.28,124.1,0.0,2.28,2.28,0.0,0.0,0.0,0.0,0.0
2017-12-31,722.72,0.0,722.72,539.43,0.0,-53.81,0.0,29.38,15.37,94.38,97.96,10.25,108.22,-0.36,108.58,0.0,108.58,39.03,69.55,69.55,124.1,0.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0
2018-03-31,809.13,0.0,809.13,545.93,0.0,-68.79,0.0,29.75,15.6,114.32,172.3,2.76,175.06,3.35,171.71,0.0,171.71,50.76,120.95,120.95,124.1,0.0,9.75,9.75,0.0,0.0,0.0,0.0,0.0
2018-06-30,827.85,0.0,827.85,413.76,0.0,86.11,0.0,32.54,16.19,101.56,177.7,13.73,191.43,5.24,186.18,-27.9,158.28,54.98,103.3,103.3,124.1,0.0,8.32,8.32,0.0,0.0,0.0,0.0,0.0
2018-09-30,542.64,0.0,542.64,328.91,0.0,-39.71,0.0,30.87,16.58,97.66,108.33,12.27,120.6,2.88,117.73,0.0,117.73,41.31,76.42,76.42,124.1,0.0,6.16,6.16,0.0,0.0,0.0,0.0,0.0
2018-12-31,756.59,0.0,756.59,610.08,0.0,-122.6,0.0,32.8,19.63,111.35,105.33,17.27,122.61,1.71,120.9,0.0,120.9,42.21,78.69,78.69,124.1,0.0,6.34,6.34,0.0,0.0,0.0,0.0,0.0
2019-03-31,964.24,0.0,964.24,629.25,2.93,9.77,0.0,38.23,17.67,137.58,128.82,12.25,141.07,2.36,138.71,0.0,138.71,47.32,91.39,91.39,124.1,0.0,7.36,7.36,0.0,0.0,0.0,0.0,0.0
2019-06-30,943.81,0.0,943.81,471.38,4.32,191.13,0.0,34.4,16.77,119.03,106.78,5.7,112.48,0.87,111.61,0.0,111.61,39.12,72.49,72.49,124.1,0.0,5.84,5.84,0.0,0.0,0.0,0.0,0.0
2019-09-30,576.67,0.0,576.67,443.35,2.77,-96.47,0.0,33.84,19.4,111.18,62.6,17.42,80.02,0.23,79.79,0.0,79.79,-22.88,102.67,102.67,124.1,0.0,8.27,8.27,0.0,0.0,0.0,0.0,0.0
2019-12-31,699.4,0.0,699.4,578.06,2.99,-155.81,0.0,33.6,18.76,102.13,119.67,6.73,126.4,1.77,124.63,0.0,124.63,31.31,93.32,93.32,124.1,0.0,7.52,7.52,0.0,0.0,0.0,0.0,0.0
2020-03-31,766.11,0.0,766.11,544.91,3.76,-47.73,0.0,40.76,18.88,120.34,85.19,0.98,86.17,9.03,77.14,0.0,77.14,21.43,55.71,55.71,124.1,0.0,4.49,4.49,0.0,0.0,0.0,0.0,0.0
2020-06-30,562.07,0.0,562.07,132.45,1.81,248.31,0.0,34.61,18.83,56.65,69.41,8.32,77.73,3.28,74.45,0.0,74.45,19.34,55.11,55.11,124.1,0.0,4.44,4.44,0.0,0.0,0.0,0.0,0.0
2020-09-30,585.78,0.0,585.78,340.5,1.97,-24.34,0.0,36.1,19.34,86.78,125.43,32.46,157.89,0.77,157.12,0.0,157.12,37.4,119.72,119.72,124.1,0.0,9.65,9.65,0.0,0.0,0.0,0.0,0.0
2020-12-31,1066.88,0.0,1066.88,672.56,2.9,-89.12,0.0,36.76,19.85,97.12,326.81,18.16,344.97,1.79,343.18,0.0,343.18,87.32,255.86,255.86,124.1,0.0,20.62,20.62,0.0,0.0,0.0,0.0,0.0
2021-03-31,1249.34,0.0,1249.34,794.73,3.32,-156.33,0.0,59.33,19.7,138.24,390.35,13.54,403.89,1.84,402.05,0.0,402.05,104.72,297.33,297.33,124.1,0.0,4.79,4.79,0.0,0.0,0.0,0.0,0.0
2021-06-30,965.72,0.0,965.72,571.76,2.64,4.49,0.0,45.45,20.06,131.87,189.45,15.35,204.8,4.76,200.04,0.0,200.04,53.24,146.8,146.8,124.1,0.0,2.37,2.37,0.0,0.0,0.0,0.0,0.0
2021-09-30,1082.95,0.0,1082.95,429.52,4.45,168.77,0.0,42.25,20.61,136.5,280.85,29.87,310.72,0.41,310.31,0.0,310.31,75.23,235.08,235.08,124.1,0.0,3.79,3.79,0.0,0.0,0.0,0.0,0.0
2021-12-31,1005.25,0.0,1005.25,886.97,3.34,-331.13,0.0,44.87,21.18,159.31,220.71,19.37,240.08,0.85,239.23,0.0,239.23,61.46,177.77,177.77,124.1,0.0,2.86,2.86,0.0,0.0,0.0,0.0,0.0
2022-03-31,1594.57,0.0,1594.57,913.51,4.27,190.48,0.0,58.26,21.55,163.39,243.11,24.76,267.87,8.06,259.81,376.06,635.87,142.07,493.8,493.8,124.1,0.0,7.96,7.96,0.0,0.0,0.0,0.0,0.0
2022-06-30,1189.81,0.0,1189.81,857.05,4.42,-61.61,0.0,51.06,21.34,212.98,104.57,25.07,129.64,11.33,118.31,0.0,118.31,18.22,100.09,100.09,124.1,0.0,1.61,1.61,0.0,0.0,0.0,0.0,0.0
2022-09-30,941.13,0.0,941.13,649.33,4.65,198.83,0.0,42.29,21.56,188.7,-164.23,39.29,-124.94,4.31,-129.25,0.0,-129.25,-35.33,-93.92,-93.92,123.67,0.0,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0
2022-12-31,1124.76,0.0,1124.76,660.84,4.91,94.46,0.0,48.36,22.5,224.32,69.37,27.82,97.19,5.13,92.06,0.0,92.06,19.99,72.07,72.07,123.67,0.0,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2023-03-31,1141.06,0.0,1141.06,735.93,5.38,-82.12,0.0,47.96,23.8,216.48,193.63,29.2,222.83,6.46,216.37,0.0,216.37,58.02,158.35,158.35,123.67,0.0,2.55,2.55,0.0,0.0,0.0,0.0,0.0
2023-06-30,1179.17,0.0,1179.17,676.1,5.36,99.03,0.0,51.88,34.39,194.33,118.08,40.26,158.34,9.02,149.32,0.0,149.32,38.44,110.88,110.88,123.67,0.0,1.79,1.79,0.0,0.0,0.0,0.0,0.0
2023-09-30,883.15,0.0,883.15,654.47,5.05,-128.96,0.0,50.27,27.38,199.34,75.6,62.51,138.11,12.46,125.65,0.0,125.65,31.87,93.78,93.78,123.67,0.0,1.52,1.52,0.0,0.0,0.0,0.0,0.0
2023-12-31,1019.69,0.0,1019.69,740.26,6.96,-95.0,0.0,52.57,27.57,195.0,92.33,35.12,127.45,7.66,119.79,0.0,119.79,30.58,89.21,89.21,123.67,0.0,1.44,1.44,0.0,0.0,0.0,0.0,0.0
2024-03-31,1235.42,0.0,1235.42,674.35,14.62,84.93,0.0,56.67,26.68,195.92,182.25,43.79,226.04,7.31,218.73,0.0,218.73,57.3,161.43,161.43,123.67,0.0,2.61,2.61,0.0,0.0,0.0,0.0,0.0
2024-06-30,1140.49,0.0,1140.49,595.3,12.06,61.22,0.0,57.58,26.08,207.68,180.57,54.9,235.47,6.65,228.82,416.99,645.81,140.61,505.2,505.2,123.67,0.0,8.17,8.17,0.0,0.0,0.0,0.0,0.0
2024-09-30,828.43,0.0,828.43,564.52,5.19,11.39,0.0,56.45,26.43,180.31,-15.86,84.24,68.38,6.8,61.58,0.0,61.58,10.14,51.44,51.44,123.67,0.0,0.83,0.83,0.0,0.0,0.0,0.0,0.0
2024-12-31,1001.24,0.0,1001.24,734.94,5.36,-81.81,0.0,57.0,27.31,202.32,56.12,48.42,104.54,10.01,94.53,0.0,94.53,23.57,70.96,70.96,123.67,0.0,1.15,1.15,0.0,0.0,0.0,0.0,0.0
