Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,124.1,124.1,665.59,665.59,789.69,106.33,0.44,8.06,347.04,423.71,111.43,136.94,102.18,774.25,1910.98,903.89,1.33,32.46,937.68,127.4,19.32,32.81,1117.22,94.05,505.95,40.99,20.92,131.86,0.0,793.76,1910.98,259.54,8.21,0.0,5.54,245.74,24.74,94.17,0.0,232.21,1394.26,2.93,21.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,124.1,124.1,663.3,663.3,787.4,110.78,0.39,8.64,303.47,403.4,200.0,134.17,30.71,768.28,1859.15,864.85,2.91,10.4,878.16,124.61,58.81,0.0,1061.58,55.05,558.65,48.7,12.3,122.86,0.0,797.57,1859.15,285.14,5.24,0.0,5.54,631.96,21.95,55.6,0.0,183.66,1532.09,2.28,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,124.1,124.1,833.72,833.72,957.81,118.01,0.39,11.22,129.62,111.71,243.19,226.7,150.45,732.05,1819.48,846.98,2.67,6.62,856.26,120.38,76.87,0.0,1053.51,167.65,447.22,17.63,10.41,123.06,0.0,765.97,1819.48,244.28,5.26,0.16,5.54,623.2,17.72,168.71,0.0,0.0,1163.34,1.62,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,124.1,124.1,2167.3,2167.3,2291.39,131.61,61.7,11.15,204.45,94.18,227.48,136.56,1.23,459.45,2955.3,851.66,3.47,21.75,876.88,1165.61,0.05,183.49,2226.02,56.56,557.4,52.49,16.34,0.17,46.31,729.27,2955.3,250.68,0.0,0.0,5.54,1146.63,9.19,56.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,124.1,124.1,2640.47,2640.47,2764.57,120.68,64.77,13.43,198.89,100.71,250.47,138.46,1.43,491.07,3454.52,881.67,2.57,90.34,974.58,1489.65,0.05,180.95,2645.23,65.59,611.55,43.14,23.43,0.21,65.37,809.3,3454.52,242.41,1231.2,0.0,5.54,1473.47,5.37,65.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,124.1,124.1,2404.33,2404.33,2528.42,151.33,58.02,20.58,229.93,90.56,283.8,138.69,2.4,515.45,3273.8,948.93,1.96,90.25,1041.14,1076.94,0.01,102.26,2220.35,226.09,620.47,74.31,29.1,0.31,103.17,1053.45,3273.8,102.93,1230.1,0.0,5.54,1060.81,5.37,226.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,124.1,124.1,1805.71,1805.71,1929.81,115.82,51.58,26.72,194.12,282.67,233.4,172.3,3.01,691.38,2815.31,1015.29,1.6,7.28,1024.17,455.53,2.68,108.63,1591.01,129.13,857.81,73.17,93.21,0.9,70.08,1224.3,2815.31,114.01,1220.32,0.0,5.54,439.43,16.1,49.53,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,124.1,124.1,2948.78,2948.78,3072.88,118.51,65.88,13.43,197.82,203.85,395.21,333.27,3.83,936.16,4206.86,1001.29,1.06,8.15,1010.5,1085.26,3.21,120.04,2219.01,506.94,918.82,147.98,336.26,0.81,77.04,1987.85,4206.86,124.91,1411.9,0.0,5.54,1065.33,19.93,294.94,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,124.1,124.1,3739.66,3739.66,3863.76,115.7,67.19,15.5,198.39,278.03,463.08,453.53,4.21,1198.85,5261.0,992.33,0.9,9.46,1002.69,1080.77,13.48,118.1,2215.04,1552.52,1015.47,334.46,81.04,8.7,53.77,3045.96,5261.0,157.3,2157.53,0.0,5.54,1060.86,19.91,1335.52,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,123.67,123.67,4701.23,4701.23,4824.9,124.66,78.62,18.12,221.4,526.41,289.3,315.82,4.46,1135.99,6182.29,1054.38,0.79,43.82,1098.99,2076.98,0.03,113.92,3289.92,1767.07,673.15,297.54,60.6,22.79,71.22,2892.37,6182.29,182.32,1542.25,0.0,5.54,2057.05,19.93,1645.07,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,123.67,123.67,5414.17,5414.17,5537.84,199.71,63.34,23.3,286.35,381.95,288.64,428.47,4.47,1103.53,6927.72,1054.25,1.12,18.87,1074.24,2550.66,0.02,100.53,3725.45,1905.15,728.03,457.63,31.65,16.83,62.98,3202.27,6927.72,167.55,2095.46,0.0,5.54,2466.25,84.41,1788.76,116.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
