Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,47.51,47.51,1367.77,1367.77,1415.28,442.41,124.68,0.0,53.17,620.26,33.47,998.91,428.82,67.96,1529.16,3564.7,1105.94,19.77,48.08,0.0,1173.79,895.92,0.0,2155.98,0.0,548.15,334.12,82.57,79.57,1408.72,3564.7,607.29,155.78,1716.18,50.26,23.75,20.21,895.59,0.0,0.0,86.27,364.31,48.66,686.44,27.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,47.51,47.51,1597.85,1597.85,1645.36,518.98,152.75,0.0,43.73,715.46,399.76,1263.82,474.77,105.03,2243.38,4604.2,1294.93,34.7,89.36,0.0,1418.99,1012.46,0.0,2575.18,0.0,819.68,503.86,5.39,67.31,2029.02,4604.2,750.59,158.82,2254.84,61.25,23.75,38.54,1012.13,0.0,0.0,143.73,632.78,72.66,1006.67,63.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,47.51,47.51,1910.83,1910.83,1958.34,494.23,143.74,0.0,39.99,677.96,264.23,1543.71,449.47,58.47,2315.88,4952.18,1672.67,46.92,30.96,0.0,1750.55,1214.86,45.1,3065.81,0.0,696.33,578.03,32.74,579.27,1886.37,4952.18,332.17,0.0,0.0,0.0,23.75,38.85,1176.01,0.0,0.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,47.51,47.51,2360.82,2360.82,2408.33,468.76,125.7,0.0,50.8,645.26,616.38,1859.36,312.47,62.87,2851.08,5904.67,1930.64,53.23,62.28,0.0,2046.15,1587.9,83.73,3717.78,0.0,966.95,723.77,8.51,487.66,2186.89,5904.67,622.69,0.0,0.0,0.0,23.75,71.53,1516.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,47.51,47.51,2832.91,2832.91,2880.42,317.62,148.17,0.0,53.76,519.55,719.35,2517.99,480.14,62.02,3779.5,7179.47,2315.46,56.41,91.74,39.39,2503.0,2035.38,62.98,4601.36,0.0,964.39,968.37,10.9,634.45,2578.11,7179.47,500.84,1942.52,2885.81,0.0,23.75,82.51,1952.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,47.51,47.51,3299.81,3299.81,3347.32,709.12,212.63,0.0,58.61,980.36,668.82,2923.9,389.31,59.65,4041.68,8369.36,2526.29,53.02,116.64,140.59,2836.54,2300.67,77.25,5214.46,0.0,1175.94,1414.14,43.86,520.96,3154.9,8369.36,568.44,2791.0,0.0,4141.0,23.75,72.27,2228.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,47.51,47.51,3570.58,3570.58,3618.09,904.63,158.05,85.79,92.6,1241.07,1070.0,2886.39,454.12,83.65,4494.16,9353.32,2723.21,176.73,126.56,158.87,3185.37,2605.88,340.48,6131.73,0.0,1038.93,1281.36,419.17,482.13,3221.59,9353.32,375.27,1723.0,4579.0,0.0,23.75,33.23,2572.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,47.51,47.51,4123.44,4123.44,4170.95,1035.58,195.45,93.76,116.3,1441.09,70.8,3921.6,516.77,76.24,4585.41,10197.45,2745.54,264.81,112.56,166.1,3289.01,3314.52,147.13,6750.66,0.0,1151.81,869.98,929.81,495.19,3446.79,10197.45,552.55,1186.82,4669.17,0.0,23.75,80.95,3233.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,47.51,47.51,4774.53,4774.53,4822.04,1167.14,197.87,325.58,148.6,1839.19,433.43,3991.44,664.45,97.18,5186.5,11847.73,2939.8,366.82,246.22,178.26,3731.1,4585.75,168.6,8485.45,130.23,1122.68,950.69,401.29,757.39,3362.28,11847.73,586.65,2705.36,7320.6,0.0,23.75,1.03,4584.72,0.0,130.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,47.51,47.51,6000.34,6000.34,6047.85,1211.54,198.2,350.38,175.88,1936.0,1033.04,4130.56,746.4,98.54,6008.54,13992.39,3260.17,335.72,274.12,353.61,4223.62,5491.95,609.32,10324.89,191.92,1236.36,955.07,241.96,1042.19,3667.5,13992.39,562.46,2770.83,7588.22,0.0,23.75,1.0,5490.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,47.51,47.51,7683.53,7683.53,7731.04,986.91,187.05,344.57,205.87,1724.4,526.53,5112.17,824.5,143.6,6606.8,16062.24,3442.18,329.67,329.73,600.41,4701.99,6828.07,314.36,11844.42,163.19,1370.8,1302.14,530.96,850.73,4217.82,16062.24,647.16,3797.89,7271.2,0.0,23.75,1.33,6828.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,47.51,47.51,9889.14,9889.14,9936.65,834.51,265.92,220.63,255.94,1577.0,900.43,6153.66,1211.02,184.13,8449.24,19962.89,4477.0,466.14,642.04,0.0,5585.18,9038.23,257.61,14881.02,233.19,1725.76,1280.06,558.33,1284.53,5081.87,19962.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
