Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-09-30,2431.73,44.49,2476.22,1098.36,124.06,-78.53,471.82,58.97,265.48,536.06,50.99,587.05,0.02,587.03,587.03,174.64,412.39,412.39,223.36,1.85,1.85,0.0,0.0,0.0,0.0,0.0
2017-12-31,2452.31,60.51,2512.82,1174.79,77.82,163.63,456.35,59.38,195.06,385.79,49.23,435.02,0.02,435.0,435.0,132.16,302.84,302.84,245.7,1.23,1.23,0.0,0.0,0.0,0.0,0.0
2018-03-31,3427.97,180.49,3608.46,1387.61,138.94,474.45,381.86,76.58,429.41,719.61,27.9,747.51,0.97,746.54,746.54,187.8,558.74,558.74,243.66,2.28,2.28,0.0,0.0,0.0,0.0,0.0
2018-06-30,2077.84,24.22,2102.06,1273.95,97.51,-264.25,472.82,68.89,211.54,241.6,8.88,250.48,0.27,250.21,250.21,70.48,179.73,179.73,243.66,0.74,0.74,0.0,0.0,0.0,0.0,0.0
2018-09-30,3282.4,99.01,3381.41,1422.52,92.46,104.62,469.24,74.34,438.13,780.1,14.25,794.35,0.0,794.35,794.35,223.04,571.31,571.31,243.66,2.34,2.34,0.0,0.0,0.0,0.0,0.0
2018-12-31,2656.38,60.11,2716.49,1127.89,120.86,6.49,494.99,79.71,198.14,688.41,17.62,706.03,0.0,706.03,706.03,198.4,507.63,507.63,243.66,2.09,2.09,0.0,0.0,0.0,0.0,0.0
2019-03-31,3772.6,112.04,3884.64,1496.51,448.23,20.94,442.0,93.28,547.93,835.75,128.79,964.54,11.94,952.6,952.6,283.98,668.62,668.62,243.66,2.74,2.74,0.0,0.0,0.0,0.0,0.0
2019-06-30,2041.98,59.54,2101.52,904.38,226.42,-74.34,524.19,82.84,172.76,265.27,25.44,290.71,0.32,290.39,290.39,85.66,204.73,204.73,243.66,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2019-09-30,2661.25,81.46,2742.71,1181.47,317.39,-38.94,507.28,85.65,230.77,459.09,15.03,474.12,1.22,472.9,472.9,133.41,339.49,339.49,243.66,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2019-12-31,2271.04,0.0,2271.04,1282.09,383.81,-390.08,451.33,86.12,189.17,268.6,33.17,301.77,0.11,301.66,301.66,86.57,215.09,215.09,243.66,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2020-03-31,5725.49,80.35,5805.84,2526.82,23.35,762.79,574.69,95.03,435.63,1387.53,28.3,1415.83,1.61,1414.22,1414.22,379.7,1034.52,1034.52,243.66,4.24,4.24,0.0,0.0,0.0,0.0,0.0
2020-06-30,1639.63,30.96,1670.59,834.99,184.26,-195.82,511.7,88.79,188.75,57.92,18.39,76.31,0.07,76.24,76.24,22.11,54.13,54.13,243.66,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2020-09-30,3164.99,23.67,3188.66,1505.98,152.67,95.33,496.88,91.39,314.31,532.1,27.42,559.52,0.3,559.22,559.22,162.17,397.05,397.05,243.66,1.63,1.63,0.0,0.0,0.0,0.0,0.0
2020-12-31,2256.49,39.75,2296.24,1316.35,172.65,-307.91,453.91,94.49,220.89,345.86,23.12,368.98,0.16,368.82,368.82,106.96,261.86,261.86,243.66,1.08,1.08,0.0,0.0,0.0,0.0,0.0
2021-03-31,6757.05,151.29,6908.34,3066.62,723.63,279.07,478.19,91.66,390.26,1878.91,57.17,1936.08,5.55,1930.53,1930.53,578.15,1352.38,1352.38,243.66,5.55,5.55,0.0,0.0,0.0,0.0,0.0
2021-06-30,1634.59,0.0,1634.59,1032.29,97.31,-174.95,495.04,92.21,122.04,-29.35,44.66,15.31,0.14,15.17,15.17,4.02,11.15,11.15,243.66,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2021-09-30,3660.56,0.0,3660.56,1721.26,467.35,-121.98,532.69,94.11,204.79,762.34,65.88,828.22,0.48,827.74,827.74,215.14,612.6,612.6,243.66,2.51,2.51,0.0,0.0,0.0,0.0,0.0
2021-12-31,3656.22,37.49,3693.71,1977.67,236.83,-14.33,503.91,92.89,167.51,729.23,59.28,788.51,0.18,788.33,788.33,204.96,583.37,583.37,243.66,2.39,2.39,0.0,0.0,0.0,0.0,0.0
2022-03-31,6324.9,0.0,6324.9,3394.76,252.0,34.29,577.75,100.97,498.29,1466.84,63.77,1530.61,4.05,1526.56,1526.56,384.75,1141.81,1141.81,243.66,4.69,4.69,0.0,0.0,0.0,0.0,0.0
2022-06-30,3112.78,0.0,3112.78,1847.85,196.04,-235.43,576.4,94.09,214.45,419.38,159.74,579.12,1.02,578.1,578.1,146.61,431.49,431.49,243.66,1.77,1.77,0.0,0.0,0.0,0.0,0.0
2022-09-30,3896.2,49.63,3945.83,2254.45,159.66,-175.86,595.5,104.19,256.3,751.59,75.01,826.6,1.74,824.86,824.86,213.81,611.05,611.05,730.98,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2022-12-31,4131.01,0.0,4131.01,2175.46,254.55,-14.32,567.43,100.8,294.4,752.69,57.47,810.16,9.73,800.43,800.43,201.66,598.77,598.77,730.98,0.82,0.82,0.0,0.0,0.0,0.0,0.0
2023-03-31,6327.48,129.1,6456.58,3100.68,217.6,28.16,558.4,108.79,726.96,1715.99,67.8,1783.79,2.3,1781.49,1781.49,416.13,1365.36,1365.36,730.98,1.86,1.86,0.0,0.0,0.0,0.0,0.0
2023-06-30,3510.84,0.0,3510.84,1817.36,97.06,69.98,623.7,101.27,238.31,563.16,141.66,704.82,1.07,703.75,703.75,172.91,530.84,530.84,730.98,0.73,0.73,0.0,0.0,0.0,0.0,0.0
2023-09-30,3993.32,0.0,3993.32,1924.53,177.77,-57.13,593.43,100.43,350.35,903.94,170.51,1074.45,1.51,1072.94,1072.94,260.6,812.34,812.34,730.98,1.11,1.11,0.0,0.0,0.0,0.0,0.0
2023-12-31,4136.69,0.0,4136.69,2184.61,176.07,-223.72,619.57,99.8,330.74,949.62,223.15,1172.77,0.51,1172.26,1172.26,278.96,893.3,893.3,730.98,1.22,1.22,0.0,0.0,0.0,0.0,0.0
2024-03-31,8528.54,0.0,8528.54,4571.12,177.96,-349.7,630.0,110.93,1219.21,2169.02,220.52,2389.54,3.93,2385.61,2385.61,602.09,1783.52,1783.52,730.98,2.44,2.44,0.0,0.0,0.0,0.0,0.0
2024-06-30,4198.77,0.0,4198.77,2521.15,66.88,-297.4,660.78,99.72,310.62,837.02,201.5,1038.52,1.18,1037.34,1037.34,261.2,776.14,776.14,730.98,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2024-09-30,4583.41,0.0,4583.41,2419.79,85.25,-363.42,650.03,103.16,403.23,1285.37,166.83,1452.2,1.32,1450.88,1450.88,359.61,1091.27,1091.27,730.98,1.49,1.49,0.0,0.0,0.0,0.0,0.0
2024-12-31,5756.12,0.0,5756.12,3191.02,103.82,-302.04,665.32,102.92,444.7,1550.38,205.08,1755.46,1.31,1754.15,1754.15,438.09,1316.06,1316.06,730.98,1.81,1.81,0.0,0.0,0.0,0.0,0.0
2025-03-31,9119.71,0.0,9119.71,4429.44,174.46,152.03,758.23,129.78,816.53,2659.24,194.18,2853.42,5.8,2847.62,2847.62,742.84,2104.78,2104.78,730.98,2.87,2.87,0.0,0.0,0.0,0.0,0.0
