Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,659.74,659.74,720.46,720.46,0.0,1380.2,0.07,121.77,0.0,6.26,128.03,66.13,30.59,159.97,4.17,260.86,1769.15,44.71,40.89,0.05,85.65,1173.13,40.66,89.94,1484.54,0.0,185.24,28.78,30.65,284.61,1769.15,1785.55,13.49,0.0,463.31,1173.13,0.0,95.15,39.93,30.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,666.29,666.29,962.02,962.02,0.0,1628.31,0.02,121.81,0.0,7.34,129.15,100.71,25.4,75.54,3.81,205.46,1962.94,32.23,26.25,0.05,58.53,1181.37,45.44,107.77,1491.57,64.91,233.55,26.1,113.03,471.37,1962.94,1554.25,8.62,525.81,8.09,1181.37,64.91,98.46,33.79,11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,673.32,673.32,1099.81,1099.81,0.0,1773.12,0.0,115.95,11.15,0.0,127.1,77.01,24.39,54.74,0.0,156.15,2056.37,25.66,13.3,1.44,40.4,1193.83,178.28,123.56,1536.06,74.02,319.56,36.3,90.43,520.31,2056.37,1153.76,14.47,508.41,0.0,1191.32,74.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,681.31,681.31,1318.09,1318.09,0.0,1999.4,0.0,67.66,9.52,0.0,77.18,118.12,33.85,39.52,0.0,191.49,2268.07,29.29,26.19,1.62,57.09,1195.47,159.66,138.84,1551.06,149.52,371.93,15.71,179.85,717.01,2268.07,1423.66,15.56,0.0,568.33,1195.47,149.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,686.52,686.52,1448.03,1448.03,0.0,2134.55,0.0,7.86,21.32,0.0,29.18,8.39,27.56,49.4,0.0,85.35,2249.08,27.48,28.44,0.24,56.16,1199.51,216.72,107.55,1579.93,19.0,564.74,14.36,71.05,669.15,2249.08,1129.34,29.32,0.0,578.82,1199.51,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,691.07,691.07,1576.0,1576.0,12.24,2279.3,0.0,3.49,6.76,0.0,10.24,0.0,28.93,53.29,0.0,82.21,2371.76,45.46,26.12,0.07,71.65,1197.09,229.28,158.5,1656.52,118.75,432.89,13.13,150.48,715.24,2371.76,978.61,18.65,0.0,648.34,1197.09,118.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,693.83,693.83,1359.4,1359.4,12.0,2065.22,0.0,2.78,177.17,0.0,179.95,0.0,30.86,83.67,5.94,120.47,2365.63,230.14,18.55,0.0,248.69,1198.69,247.98,164.83,1860.19,0.0,373.55,46.09,85.8,505.44,2365.63,1441.55,6.95,0.0,770.34,1198.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,696.1,696.1,1447.57,1447.57,28.36,2172.03,0.04,8.99,196.72,0.0,205.71,0.0,39.35,193.3,18.1,250.75,2628.52,271.5,19.85,0.0,291.36,1207.27,267.41,159.26,1925.3,79.32,519.99,15.64,88.28,703.22,2628.52,1619.68,6.24,0.0,1154.12,1207.27,79.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,696.99,696.99,1571.4,1571.4,51.43,2319.83,0.0,4.24,213.62,0.0,217.85,7.27,46.6,156.02,0.59,210.48,2748.16,298.04,14.65,0.0,312.69,1220.85,279.16,128.92,1941.62,115.19,536.87,25.94,128.55,806.54,2748.16,1863.89,16.31,0.0,1361.82,1220.85,115.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,696.99,696.99,1542.2,1542.2,65.17,2304.35,0.0,3.79,115.97,13.7,133.46,4.39,52.83,112.55,11.63,181.39,2619.2,193.57,14.47,3.42,211.47,1232.36,280.47,113.73,1838.03,56.05,637.46,21.48,66.19,781.17,2619.2,1609.26,6.15,0.0,1267.18,1232.36,56.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,696.99,696.99,1666.68,1666.68,47.06,2410.73,0.0,4.22,283.58,18.78,306.58,3.22,89.81,141.62,12.66,247.3,2964.6,396.64,8.96,13.63,419.23,1235.07,284.56,144.89,2083.75,30.03,729.32,51.8,69.7,880.85,2964.6,1639.23,5.91,0.0,1592.15,1235.07,30.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,696.99,696.99,1878.85,1878.85,0.0,2575.85,0.0,0.0,475.41,20.58,495.99,245.84,113.38,351.82,17.63,728.67,3800.5,657.32,5.76,41.83,704.91,1595.12,278.74,155.8,2734.57,37.5,894.57,28.89,104.97,1065.93,3800.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
