Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-06-30,559.53,0.0,559.53,160.32,275.88,-30.38,42.82,4.51,0.0,78.24,28.14,3.16,31.3,0.44,30.85,30.85,7.61,23.25,23.25,42.47,0.55,0.54,0.0,0.0,0.0,0.0,0.0
2017-09-30,559.92,0.0,559.92,151.19,191.65,36.86,42.19,4.7,0.0,71.01,62.32,2.06,64.38,0.43,63.94,63.94,17.45,46.5,46.5,42.47,1.09,1.07,0.0,0.0,0.0,0.0,0.0
2017-12-31,523.52,0.0,523.52,142.68,230.82,-19.81,43.14,4.78,0.0,77.3,44.62,2.57,47.18,0.47,46.71,46.71,10.95,35.76,35.76,42.47,0.84,0.82,0.0,0.0,0.0,0.0,0.0
2018-03-31,658.61,0.0,658.61,173.54,307.31,-15.07,42.05,5.12,0.0,112.91,32.75,3.33,36.08,0.31,35.77,35.77,8.19,27.58,27.58,42.57,0.65,0.64,0.0,0.0,0.0,0.0,0.0
2018-06-30,634.89,0.0,634.89,174.83,247.7,19.39,49.76,5.23,0.0,96.74,41.24,3.23,44.47,0.25,44.22,44.22,9.82,34.4,34.4,42.58,0.81,0.79,0.0,0.0,0.0,0.0,0.0
2018-09-30,597.58,0.0,597.58,192.11,238.43,-9.98,50.58,5.46,0.0,76.59,44.39,3.92,48.31,0.27,48.04,48.04,9.86,38.18,38.18,42.64,0.9,0.88,0.0,0.0,0.0,0.0,0.0
2018-12-31,594.27,0.0,594.27,202.8,242.27,-29.18,49.15,5.58,0.0,84.27,39.38,4.35,43.73,0.53,43.19,43.19,9.49,33.7,33.7,42.67,0.79,0.78,0.0,0.0,0.0,0.0,0.0
2019-03-31,739.69,0.0,739.69,211.09,334.85,-25.13,52.54,5.55,0.0,88.2,72.6,6.76,79.36,0.22,79.13,79.13,19.89,59.24,59.24,42.69,1.39,1.37,0.0,0.0,0.0,0.0,0.0
2019-06-30,699.39,0.0,699.39,164.85,244.75,62.11,60.23,6.74,0.0,96.32,64.38,6.45,70.83,1.06,69.77,69.77,17.32,52.45,52.45,42.71,1.23,1.21,0.0,0.0,0.0,0.0,0.0
2019-09-30,619.31,0.0,619.31,197.33,256.53,-43.7,45.02,6.93,0.0,86.56,70.64,6.91,77.55,0.83,76.72,76.72,19.4,57.32,57.32,42.75,1.34,1.32,0.0,0.0,0.0,0.0,0.0
2019-12-31,626.64,0.0,626.64,179.55,222.78,16.25,58.41,7.33,0.0,90.23,52.09,5.44,57.54,0.99,56.55,56.55,13.67,42.88,42.88,42.77,1.0,0.99,0.0,0.0,0.0,0.0,0.0
2020-03-31,536.63,0.0,536.63,207.08,298.24,-147.58,43.15,7.09,0.0,90.56,38.07,5.19,43.26,0.86,42.4,42.4,9.89,32.51,32.51,42.83,0.76,0.75,0.0,0.0,0.0,0.0,0.0
2020-06-30,405.83,0.0,405.83,49.37,56.57,181.32,54.64,7.88,0.0,54.87,1.19,4.69,5.87,1.08,4.79,4.79,1.17,3.62,3.62,42.83,0.08,0.08,0.0,0.0,0.0,0.0,0.0
2020-09-30,616.66,0.0,616.66,247.0,215.13,-40.17,50.23,8.36,0.0,70.54,65.56,6.63,72.19,1.04,71.15,71.15,21.14,50.01,50.01,42.89,1.17,1.16,0.0,0.0,0.0,0.0,0.0
2020-12-31,827.41,0.0,827.41,271.62,326.95,-41.3,62.74,9.42,0.0,93.82,104.15,5.42,109.57,1.13,108.44,108.44,31.42,77.02,77.02,42.95,1.8,1.78,0.0,0.0,0.0,0.0,0.0
2021-03-31,849.1,0.0,849.1,304.93,447.87,-170.56,57.05,11.66,0.0,99.88,98.27,4.36,102.63,2.34,100.29,100.29,31.95,68.34,68.34,43.02,1.59,1.58,0.0,0.0,0.0,0.0,0.0
2021-06-30,560.72,0.0,560.72,176.45,208.89,-9.76,57.61,10.93,0.0,84.18,32.43,3.97,36.4,1.49,34.91,34.91,10.29,24.63,24.63,43.02,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2021-09-30,902.96,0.0,902.96,378.25,278.4,-33.0,70.72,10.81,0.0,115.04,82.74,2.73,85.47,3.03,82.44,82.44,23.38,59.06,59.06,43.02,1.37,1.36,0.0,0.0,0.0,0.0,0.0
2021-12-31,960.7,0.0,960.7,405.6,387.02,-126.25,74.99,13.43,0.0,134.95,70.97,2.93,73.9,1.44,72.46,72.46,19.95,52.5,52.5,43.09,1.22,1.21,0.0,0.0,0.0,0.0,0.0
2022-03-31,1050.27,0.0,1050.27,414.47,304.58,29.32,63.57,12.32,0.0,127.52,98.5,3.3,101.8,1.56,100.24,100.24,9.63,90.6,90.6,43.15,2.1,2.09,0.0,0.0,0.0,0.0,0.0
2022-06-30,1009.64,0.0,1009.64,343.77,369.3,-3.81,77.53,12.9,0.0,140.95,68.99,5.06,74.05,1.72,72.33,72.33,18.31,54.02,54.02,43.15,1.25,1.24,0.0,0.0,0.0,0.0,0.0
2022-09-30,980.66,0.0,980.66,297.06,416.22,-13.35,65.0,14.0,0.0,145.03,56.68,3.47,60.15,1.81,58.35,58.35,15.2,43.15,43.15,43.17,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2022-12-31,977.23,0.0,977.23,277.77,302.74,121.29,76.32,15.5,0.0,139.31,44.31,6.54,50.85,2.31,48.54,48.54,12.72,35.82,35.82,43.18,0.83,0.82,0.0,0.0,0.0,0.0,0.0
2023-03-31,1080.14,0.0,1080.14,304.83,479.23,-15.02,76.01,16.04,0.0,148.63,70.41,1.83,72.24,10.08,62.16,62.16,15.83,46.33,46.33,43.22,1.07,1.06,0.0,0.0,0.0,0.0,0.0
2023-06-30,1147.68,0.0,1147.68,316.79,447.94,32.86,98.82,16.62,0.0,163.03,71.62,11.13,82.75,10.77,71.98,71.98,18.85,53.13,53.13,43.35,1.23,1.22,0.0,0.0,0.0,0.0,0.0
2023-09-30,1071.86,0.0,1071.86,335.84,424.58,-29.67,99.74,16.44,0.0,161.08,63.85,13.5,77.35,8.97,68.38,68.38,16.39,51.99,51.99,43.35,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2023-12-31,1078.26,0.0,1078.26,306.0,445.27,-15.24,77.99,16.87,0.0,179.01,68.36,2.24,70.6,8.92,61.68,61.68,15.06,46.62,46.62,43.35,1.07,1.06,0.0,0.0,0.0,0.0,0.0
2024-03-31,1261.63,0.0,1261.63,341.61,557.57,-24.16,100.21,17.02,0.0,186.54,82.84,24.97,107.81,8.8,99.01,99.01,19.84,79.17,79.17,43.44,1.81,1.81,0.0,0.0,0.0,0.0,0.0
2024-06-30,1414.53,0.0,1414.53,441.2,500.96,9.38,113.2,16.55,0.0,221.95,111.29,6.52,117.81,7.55,110.26,110.26,28.38,81.88,81.88,43.44,1.87,1.86,0.0,0.0,0.0,0.0,0.0
2024-09-30,1229.02,0.0,1229.02,319.74,601.73,-91.42,119.56,17.01,0.0,188.38,74.02,3.7,77.72,6.51,71.21,71.21,19.02,52.19,52.19,43.51,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2024-12-31,1185.25,0.0,1185.25,369.57,489.04,-59.95,120.93,19.65,0.0,182.86,63.15,5.41,68.56,4.58,63.98,63.98,15.89,48.09,48.09,43.5,1.1,1.09,0.0,0.0,0.0,0.0,0.0
2025-03-31,1480.07,0.0,1480.07,236.21,768.96,5.82,125.74,20.47,0.0,222.54,100.33,3.23,103.56,1.28,102.28,102.28,24.22,78.06,78.06,43.58,1.78,1.78,0.0,0.0,0.0,0.0,0.0
