Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,149.87,13.52,163.38,72.72,2.02,3.28,0.0,9.0,4.56,23.21,48.59,1.13,49.72,2.46,47.26,47.26,16.22,31.04,31.04,10.32,6.02,6.02,1.43,27.75,3.73,100.0,72.25
2015-09-30,143.91,18.98,162.9,82.98,0.0,-3.51,0.0,8.81,4.62,22.23,47.76,1.56,49.32,2.22,47.1,47.1,16.03,31.07,31.07,10.32,6.02,6.02,1.43,27.69,3.73,100.0,72.31
2015-12-31,137.22,14.97,152.19,73.61,0.0,-1.96,0.0,8.74,4.63,21.29,45.89,1.47,47.36,2.0,45.36,45.36,15.18,30.18,30.18,10.32,5.85,5.85,0.0,0.0,0.0,0.0,0.0
2016-03-31,149.13,5.26,154.39,66.15,0.0,2.93,0.0,9.34,4.71,25.24,46.02,2.0,48.02,1.18,46.84,46.84,7.56,39.28,39.28,10.32,7.61,7.61,0.0,0.0,0.0,0.0,0.0
2016-06-30,160.42,6.7,167.12,70.29,0.0,2.5,0.0,10.23,5.29,24.55,54.26,1.25,55.51,1.42,54.09,54.09,18.37,35.72,35.72,10.32,6.92,6.92,0.0,0.0,0.0,0.0,0.0
2016-09-30,136.26,3.56,139.82,65.93,0.0,-6.95,0.0,10.43,5.36,24.38,40.67,0.79,41.46,0.47,40.98,40.98,10.55,30.43,30.43,10.32,5.9,5.9,0.0,0.0,0.0,0.0,0.0
2016-12-31,158.25,6.17,164.41,78.11,0.0,-3.21,0.0,13.03,5.37,23.41,47.71,1.75,49.46,0.82,48.64,48.64,16.08,32.56,32.56,10.32,6.31,6.31,0.0,0.0,0.0,0.0,0.0
2017-03-31,194.97,0.0,194.97,91.79,0.0,2.07,0.0,10.42,5.35,30.15,55.2,5.76,60.96,0.04,60.92,60.92,20.33,40.59,40.59,10.32,7.87,7.87,0.0,0.0,0.0,0.0,0.0
2017-06-30,184.42,0.0,184.42,90.47,0.0,7.94,0.0,12.19,6.73,23.62,43.46,4.0,47.46,0.86,46.6,46.6,15.5,31.1,31.1,10.32,6.03,6.03,0.0,0.0,0.0,0.0,0.0
2017-09-30,160.68,0.0,160.68,83.78,0.28,-7.85,0.0,12.42,6.81,26.11,39.12,5.04,44.15,0.93,43.22,43.22,14.08,29.15,29.15,10.32,5.65,5.65,0.0,0.0,0.0,0.0,0.0
2017-12-31,185.65,0.0,185.65,93.06,0.0,5.61,0.0,12.44,5.47,24.7,44.37,1.78,46.15,0.41,45.74,45.74,14.01,31.73,31.73,10.28,6.17,6.17,0.0,0.0,0.0,0.0,0.0
2018-03-31,212.61,0.0,212.61,102.92,0.0,1.34,0.0,11.93,4.35,31.45,60.62,7.76,68.37,0.56,67.81,67.81,15.9,51.91,51.91,10.28,10.07,10.07,0.0,0.0,0.0,0.0,0.0
2018-06-30,264.75,0.0,264.75,129.56,0.0,1.43,0.0,13.67,6.75,28.35,85.0,12.1,97.1,0.18,96.91,96.91,32.66,64.25,64.25,10.28,12.5,12.5,0.0,0.0,0.0,0.0,0.0
2018-09-30,248.74,0.0,248.74,121.28,0.0,-7.83,0.0,13.47,6.9,30.67,84.26,14.8,99.06,0.25,98.81,98.81,33.78,65.03,65.03,10.28,12.66,12.66,0.0,0.0,0.0,0.0,0.0
2018-12-31,303.05,0.0,303.05,142.49,0.0,5.4,0.0,14.05,6.92,34.68,99.51,7.28,106.8,0.28,106.51,106.51,35.84,70.68,70.68,10.28,13.75,13.75,0.0,0.0,0.0,0.0,0.0
2019-03-31,296.61,0.0,296.61,135.25,0.0,-2.48,0.0,13.02,6.81,31.04,112.96,10.28,123.24,0.23,123.0,123.0,40.48,82.53,82.53,10.28,16.06,16.06,0.0,0.0,0.0,0.0,0.0
2019-06-30,290.74,0.0,290.74,124.68,0.0,-1.64,0.0,15.26,6.98,32.27,113.19,11.42,124.61,0.3,124.31,124.31,41.95,82.36,82.36,10.28,16.03,16.03,0.0,0.0,0.0,0.0,0.0
2019-09-30,245.06,0.0,245.06,105.87,0.0,-7.52,0.0,16.01,7.19,30.86,92.67,11.2,103.87,0.28,103.59,103.59,-6.42,110.01,110.01,10.28,21.41,21.41,0.0,0.0,0.0,0.0,0.0
2019-12-31,238.47,0.0,238.47,102.23,0.0,6.12,0.0,17.13,9.28,30.01,73.7,15.4,89.11,0.25,88.86,88.86,22.03,66.82,66.82,10.28,13.0,13.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,245.34,0.0,245.34,98.72,0.0,0.25,0.0,15.88,9.7,28.82,91.96,16.22,108.18,0.26,107.92,107.92,33.29,74.63,74.63,10.28,7.26,7.26,0.0,0.0,0.0,0.0,0.0
2020-06-30,231.57,0.0,231.57,88.25,0.0,-3.39,0.0,18.44,10.65,31.1,86.53,8.6,95.13,0.04,95.09,95.09,22.79,72.3,72.3,10.28,7.03,7.03,0.0,0.0,0.0,0.0,0.0
2020-09-30,219.44,0.0,219.44,89.97,0.0,-2.01,0.0,18.08,10.76,29.28,73.36,1.4,74.76,0.05,74.71,74.71,12.68,62.04,62.04,10.28,6.04,6.04,0.0,0.0,0.0,0.0,0.0
2020-12-31,223.47,0.0,223.47,95.81,0.0,4.87,0.0,18.45,10.77,32.26,61.33,9.29,70.61,0.01,70.6,70.6,6.46,64.14,64.14,10.28,6.24,6.24,0.0,0.0,0.0,0.0,0.0
2021-03-31,279.77,0.0,279.77,141.83,0.0,-27.67,0.0,17.68,10.73,48.8,88.39,6.57,94.96,0.11,94.85,94.85,23.99,70.86,70.86,10.28,6.89,6.89,0.0,0.0,0.0,0.0,0.0
2021-06-30,386.37,0.0,386.37,223.01,0.0,-9.0,0.0,20.86,11.01,49.99,90.51,17.61,108.12,0.01,108.1,108.1,27.16,80.95,80.95,10.28,7.88,7.88,0.0,0.0,0.0,0.0,0.0
2021-09-30,374.1,0.0,374.1,204.19,5.81,-13.79,0.0,21.21,11.28,55.67,89.74,13.58,103.32,0.0,103.31,103.31,21.95,81.36,81.36,10.28,7.91,7.91,0.0,0.0,0.0,0.0,0.0
2021-12-31,368.95,0.0,368.95,194.46,0.0,-6.08,0.0,21.45,11.52,66.35,81.26,14.65,95.91,0.01,95.9,95.9,12.62,83.27,83.27,10.28,8.1,8.1,0.0,0.0,0.0,0.0,0.0
2022-03-31,486.09,0.0,486.09,233.67,0.0,28.46,0.0,20.47,11.69,64.7,127.1,15.13,142.23,0.23,142.0,142.0,40.9,101.1,101.1,10.28,9.84,9.84,0.0,0.0,0.0,0.0,0.0
2022-06-30,506.32,0.0,506.32,300.29,0.0,-24.56,0.0,23.19,12.83,76.52,118.05,18.69,136.75,0.47,136.28,136.28,35.09,101.19,101.19,10.28,9.85,9.85,0.0,0.0,0.0,0.0,0.0
2022-09-30,566.29,0.0,566.29,298.42,0.0,12.93,0.0,23.14,13.05,83.34,135.42,19.97,155.39,0.01,155.38,155.38,39.37,116.01,116.01,10.28,11.29,11.29,0.0,0.0,0.0,0.0,0.0
2022-12-31,508.66,0.0,508.66,244.75,0.0,1.23,0.0,24.11,13.05,74.81,150.72,16.8,167.52,0.02,167.5,167.5,42.1,125.41,125.41,10.28,12.2,12.2,0.0,0.0,0.0,0.0,0.0
2023-03-31,503.43,0.0,503.43,245.11,0.0,5.33,0.0,22.78,13.02,77.9,139.3,16.95,156.26,0.13,156.12,156.12,40.75,115.38,115.38,10.28,11.23,11.23,0.0,0.0,0.0,0.0,0.0
2023-06-30,431.03,0.0,431.03,241.03,0.0,-15.1,0.0,25.56,13.19,70.53,95.81,15.33,111.13,0.27,110.86,110.86,27.63,83.24,83.24,10.28,8.1,8.1,0.0,0.0,0.0,0.0,0.0
2023-09-30,448.14,0.0,448.14,219.99,0.0,18.65,0.0,26.35,13.73,72.33,97.09,16.21,113.3,0.27,113.03,113.03,28.86,84.17,84.17,10.28,8.19,8.19,0.0,0.0,0.0,0.0,0.0
2023-12-31,447.99,0.0,447.99,250.85,0.0,-14.22,0.0,30.36,19.33,66.3,95.37,8.83,104.19,0.99,103.21,103.21,26.2,77.01,77.01,10.28,7.43,7.43,0.0,0.0,0.0,0.0,0.0
2024-03-31,550.31,0.0,550.31,282.26,0.0,11.79,0.0,29.95,19.41,76.11,130.79,9.63,140.42,0.85,139.57,139.57,35.08,104.49,104.49,10.37,10.08,10.08,0.0,0.0,0.0,0.0,0.0
2024-06-30,524.71,0.0,524.71,320.14,0.0,-31.01,0.0,33.44,19.56,77.04,105.53,9.26,114.8,0.45,114.35,114.35,28.35,86.0,86.0,10.37,8.3,8.3,0.0,0.0,0.0,0.0,0.0
2024-09-30,553.27,0.0,553.27,297.87,0.0,2.03,0.0,35.21,20.51,84.14,113.51,22.21,135.72,0.07,135.65,135.65,29.54,106.11,106.11,10.37,10.23,10.23,0.0,0.0,0.0,0.0,0.0
2024-12-31,521.67,0.0,521.67,256.22,0.0,9.78,0.0,32.6,20.5,80.3,122.27,6.68,128.95,0.09,128.86,128.86,33.31,95.55,95.55,10.37,9.22,9.22,0.0,0.0,0.0,0.0,0.0
2025-03-31,648.45,0.0,648.45,308.06,0.0,33.28,36.06,36.74,20.18,50.74,163.39,6.14,169.53,0.16,169.37,169.37,41.8,127.57,127.57,10.37,12.31,12.31,0.0,0.0,0.0,0.0,0.0
