Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,9.87,9.87,300.2,300.2,310.07,33.15,0.0,143.11,12.27,14.17,51.87,20.62,98.92,552.11,298.45,5.74,10.09,314.28,0.0,4.8,2.44,321.52,2.74,46.63,115.05,42.7,23.03,0.43,230.59,552.11,33.8,5.95,451.65,0.0,3.29,0.0,2.74,109.97,30.75,0.08,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,10.32,10.32,423.73,423.73,434.05,38.97,0.0,76.22,1.72,21.52,40.14,25.56,88.93,599.19,320.74,6.51,20.02,347.27,0.0,10.44,0.75,358.46,2.74,54.49,129.1,27.14,24.69,2.58,240.73,599.19,83.66,4.44,511.47,0.0,3.29,0.0,2.74,37.24,20.75,0.31,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,10.32,10.32,530.46,530.46,540.78,49.22,0.0,62.48,2.64,22.34,47.04,11.67,83.7,686.96,376.46,5.44,24.83,406.73,0.0,15.48,1.98,424.19,2.74,44.7,114.82,72.23,26.87,1.42,262.77,686.96,79.95,7.09,388.28,0.0,3.29,0.0,2.74,13.25,71.35,0.4,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,10.32,10.32,669.69,669.69,680.01,69.55,18.18,87.73,2.32,32.74,15.67,2.68,53.4,821.13,463.1,4.5,7.38,474.98,0.0,0.0,19.1,494.08,61.83,65.07,140.54,4.75,0.95,53.92,327.05,821.13,50.51,0.0,0.0,0.0,3.29,0.0,61.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,10.28,10.28,786.39,786.39,796.66,80.86,3.16,84.01,15.2,63.45,17.96,2.67,99.28,979.95,453.3,3.55,34.88,491.72,0.0,0.0,25.33,517.06,131.74,82.23,177.11,5.24,1.06,65.51,462.9,979.95,251.18,0.0,0.0,0.0,3.28,0.0,117.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,10.28,10.28,1041.0,1041.0,1051.28,84.57,2.93,87.5,3.68,53.12,28.76,3.24,88.8,1227.57,471.91,2.6,191.18,665.68,0.0,0.0,30.82,696.5,96.47,92.39,243.98,3.8,0.05,94.38,531.07,1227.57,133.47,181.12,0.0,812.56,3.28,0.0,49.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,10.28,10.28,1269.13,1269.13,1279.41,70.48,4.07,74.56,0.35,55.66,28.57,4.44,89.01,1442.97,749.09,1.67,30.97,781.73,0.0,0.0,18.68,800.41,227.39,93.17,201.78,53.7,0.3,66.22,642.56,1442.97,77.37,148.82,0.0,782.45,3.28,0.0,227.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,10.28,10.28,1533.14,1533.14,1543.41,77.93,6.03,83.96,2.02,66.37,33.07,4.7,106.16,1733.54,755.65,1.18,54.69,811.53,107.76,132.88,26.45,1078.61,180.91,121.94,277.2,6.85,0.08,67.94,654.92,1733.54,138.42,84.98,0.0,704.89,3.28,99.82,180.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,10.28,10.28,1817.86,1817.86,1828.14,90.02,4.46,94.48,18.4,114.57,28.81,5.37,167.15,2089.77,871.94,1.23,47.29,920.46,97.77,252.34,43.56,1314.12,0.12,176.16,458.38,4.28,0.29,136.42,775.64,2089.77,107.35,243.37,0.0,1103.91,3.28,4.27,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,10.28,10.28,2208.52,2208.52,2218.8,102.08,6.71,108.79,0.2,117.94,96.38,5.06,219.58,2547.17,881.09,0.9,221.19,1103.17,61.54,328.54,64.45,1557.71,193.99,190.95,469.58,8.28,0.0,126.66,989.46,2547.17,82.52,202.47,0.0,1441.42,3.28,28.19,74.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,10.37,10.37,2454.03,2454.03,2464.4,133.51,23.87,157.37,4.65,100.66,91.93,7.75,204.98,2826.75,1328.93,0.66,246.13,1575.73,212.44,0.0,69.79,1857.96,24.9,198.43,529.61,12.74,0.13,202.98,968.79,2826.75,192.02,135.81,0.0,1047.32,3.28,173.06,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
