Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-06-30,2325.78,1.73,2327.51,0.0,0.0,405.07,353.59,536.12,1032.73,105.26,1137.99,240.94,897.05,0.0,897.05,235.35,661.7,0.0,200.96,862.66,10259.32,0.0,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2017-09-30,1971.42,0.27,1971.69,0.0,0.0,359.91,350.48,496.83,764.47,519.38,1283.85,235.62,1048.23,0.0,1048.23,172.18,876.05,0.0,142.59,1018.64,10259.32,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2017-12-31,1497.93,0.0,1497.93,0.0,0.0,375.53,346.92,338.12,437.36,568.83,1006.19,227.91,778.28,0.0,778.28,261.31,516.97,0.0,170.96,687.93,10259.32,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0
2018-03-31,1136.9,0.0,1136.9,0.0,0.0,444.82,354.9,334.5,2.68,297.53,300.21,217.85,82.36,0.0,82.36,98.25,-15.89,0.0,205.31,189.42,10259.32,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0
2018-06-30,2128.99,0.0,2128.99,0.0,0.0,352.01,372.55,486.55,917.88,112.92,1030.8,221.23,809.57,143.14,952.71,215.14,737.57,0.0,0.0,737.57,10259.32,0.0,0.72,0.72,0.0,0.0,0.0,0.0,0.0
2018-09-30,2495.02,0.0,2495.02,0.0,0.0,361.09,404.44,537.3,1192.19,471.56,1663.75,228.29,1435.46,57.51,1492.97,274.46,1218.51,0.0,0.0,1218.51,10259.32,0.0,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2018-12-31,1571.37,0.0,1571.37,0.0,0.0,551.32,401.55,424.25,194.25,119.85,314.1,222.55,91.55,177.47,269.02,86.84,182.18,0.0,0.0,182.18,10259.32,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0
2019-03-31,1950.34,0.0,1950.34,12.68,0.0,440.23,411.45,514.28,571.7,235.91,807.61,222.81,584.8,570.05,1154.85,662.56,492.29,0.0,0.0,492.29,10045.03,0.0,0.49,0.49,0.0,0.0,0.0,0.0,0.0
2019-06-30,2421.29,0.0,2421.29,0.0,0.0,357.22,386.6,560.09,1117.38,87.16,1204.54,236.56,967.98,198.86,1166.84,285.7,881.14,0.0,0.0,881.14,10045.03,0.0,0.88,0.88,0.0,0.0,0.0,0.0,0.0
2019-09-30,2605.43,0.0,2605.43,0.0,40.32,376.37,385.66,610.79,1192.29,499.15,1691.44,252.05,1439.39,102.37,1541.76,202.3,1339.46,0.0,0.0,1339.46,10045.03,0.0,1.33,1.33,0.0,0.0,0.0,0.0,0.0
2019-12-31,1795.07,0.0,1795.07,0.0,42.69,399.34,387.32,425.24,540.48,64.92,605.4,155.63,449.77,1.72,451.49,47.83,403.66,0.0,0.0,403.66,10045.03,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2020-03-31,1913.62,0.0,1913.62,0.0,0.0,382.59,385.76,971.62,173.65,384.95,558.6,151.18,407.42,40.66,448.08,65.17,382.91,0.0,0.0,382.91,10045.03,0.0,0.38,0.38,0.0,0.0,0.0,0.0,0.0
2020-06-30,2518.87,0.0,2518.87,0.0,0.0,326.2,330.27,771.98,1090.42,85.95,1176.37,146.69,1029.68,-149.77,879.91,157.37,722.54,0.0,0.0,722.54,10045.03,0.0,0.72,0.72,0.0,0.0,0.0,0.0,0.0
2020-09-30,2554.03,0.0,2554.03,0.0,0.0,343.81,333.17,637.47,1239.58,426.12,1665.7,146.18,1519.52,36.06,1555.58,257.08,1298.5,0.0,0.0,1298.5,10045.03,0.0,1.26,1.29,0.0,0.0,0.0,0.0,0.0
2020-12-31,2092.2,0.0,2092.2,0.0,0.0,378.74,334.94,535.48,843.04,202.29,1045.33,141.74,903.59,41.68,945.27,137.15,808.12,0.0,0.0,808.12,10045.03,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0
2021-03-31,1341.48,0.0,1341.48,0.0,0.0,360.51,236.12,547.7,197.15,436.45,633.6,214.98,418.62,114.12,532.74,128.53,404.21,0.0,0.0,404.21,10045.03,0.0,0.29,0.4,0.0,0.0,0.0,0.0,0.0
2021-06-30,2170.21,0.0,2170.21,0.0,0.0,316.74,279.15,574.19,1000.13,203.05,1203.18,134.14,1069.04,46.03,1115.07,202.81,912.26,0.0,0.0,912.26,10045.03,0.0,0.91,0.91,0.0,0.0,0.0,0.0,0.0
2021-09-30,2745.44,0.0,2745.44,44.58,0.0,306.35,280.31,598.55,1515.65,171.23,1686.88,134.06,1552.82,36.46,1589.28,284.48,1304.8,0.0,0.0,1304.8,10045.03,235200.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0
2021-12-31,1932.39,0.0,1932.39,0.0,0.0,319.34,286.5,433.29,893.26,150.18,1043.44,130.41,913.03,-1427.29,-514.26,-1274.82,760.56,0.0,0.0,760.56,10045.03,24274.5,0.76,0.76,0.0,0.0,0.0,0.0,0.0
2022-03-31,1505.76,0.0,1505.76,0.0,0.0,498.35,280.26,583.76,143.39,501.72,645.11,133.14,511.97,74.38,586.35,26.26,560.09,0.0,0.0,560.09,10045.03,23441.07,0.56,0.56,0.0,0.0,0.0,0.0,0.0
2022-06-30,2594.36,0.0,2594.36,103.86,0.0,306.57,287.35,777.02,1119.56,216.45,1336.01,136.66,1199.35,27.86,1227.21,177.63,1049.58,0.0,0.0,1049.58,10045.03,24479.88,1.04,1.04,0.0,0.0,0.0,0.0,0.0
2022-09-30,2887.64,0.0,2887.64,51.43,0.0,291.71,283.8,717.95,1542.75,115.26,1658.01,107.06,1550.95,160.07,1711.02,277.94,1433.08,0.0,0.0,1433.08,10045.03,25425.07,1.43,1.43,0.0,0.0,0.0,0.0,0.0
2022-12-31,2272.2,0.0,2272.2,0.0,0.0,286.68,288.04,510.37,1187.11,249.07,1436.18,120.23,1315.95,-547.9,768.05,-13.61,781.66,0.0,0.0,781.66,10045.03,26228.0,0.78,0.78,0.0,0.0,0.0,0.0,0.0
2023-03-31,1717.43,0.0,1717.43,0.0,0.0,416.93,286.25,638.47,375.78,253.78,629.56,112.21,517.35,215.56,732.91,163.44,569.47,0.0,0.0,569.47,10045.03,25362.93,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2023-06-30,2570.96,0.0,2570.96,0.0,0.0,297.36,275.73,887.81,1110.06,278.99,1389.05,114.51,1274.54,21.9,1296.44,243.5,1052.94,0.0,0.0,1052.94,10045.03,0.0,1.05,1.05,0.0,0.0,0.0,0.0,0.0
2023-09-30,2485.39,0.0,2485.39,0.0,0.0,321.23,276.88,751.62,1135.66,129.12,1264.78,114.81,1149.97,24.04,1174.01,-273.1,1447.11,0.0,0.0,1447.11,10045.03,0.0,1.44,1.44,0.0,0.0,0.0,0.0,0.0
2023-12-31,1697.02,0.0,1697.02,0.0,0.0,309.18,278.2,949.54,160.1,621.08,781.18,101.27,679.91,23.56,703.47,157.34,546.13,0.0,0.0,546.13,10045.03,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2024-03-31,1651.55,0.0,1651.55,0.0,0.0,368.81,280.19,541.11,461.44,590.88,1052.32,94.54,957.78,163.78,1121.56,423.8,697.76,0.0,0.0,697.76,10045.03,27223.58,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2024-06-30,2417.88,0.0,2417.88,0.0,0.0,310.5,281.95,827.42,998.01,368.51,1366.52,93.29,1273.23,58.43,1331.66,308.15,1023.51,0.0,0.0,1023.51,10045.03,28258.18,1.02,1.02,0.0,0.0,0.0,0.0,0.0
2024-09-30,2551.21,0.0,2551.21,0.0,0.0,318.03,270.79,801.99,1160.4,370.48,1530.88,297.71,1233.17,32.35,1265.52,360.27,905.25,0.0,0.0,905.25,10045.03,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2024-12-31,1970.34,0.0,1970.34,0.0,0.0,651.72,279.22,528.89,510.51,455.18,965.69,651.37,314.32,24.09,338.41,64.81,273.6,0.0,0.0,273.6,10045.03,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2025-03-31,2058.54,0.0,2058.54,0.0,0.0,366.99,293.1,775.09,623.36,396.81,1020.17,-30.38,1050.55,26.22,1076.77,182.85,893.92,0.0,0.0,893.92,10045.03,28303.45,0.86,0.86,0.0,0.0,0.0,0.0,0.0
