Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%)
2018-09-30,2210.51,488.34,20.89,45.18,322.89,1742.45,308.93,338.83,697.6,288.82,408.78,142.74,266.04,266.04,396.12,0.0,0.0,1.34,1.33,3184.53,1796.29,3.11,1.78,0.19,0.0,0.0
2018-12-31,2386.62,505.58,15.57,46.64,345.55,1877.12,353.66,361.35,707.83,190.12,517.71,184.08,333.63,333.63,396.78,0.0,0.0,1.68,1.67,3361.23,1817.29,3.14,1.72,0.23,0.0,0.0
2019-03-31,2413.05,536.38,11.78,71.11,411.72,1935.79,370.15,383.35,754.75,177.76,576.99,195.48,381.51,381.51,397.01,0.0,0.0,1.92,1.91,3260.68,1626.2,2.92,1.48,0.25,0.0,0.0
2019-06-30,2606.08,555.23,19.72,48.27,391.52,2075.13,397.84,365.09,782.76,192.04,590.72,206.51,384.21,384.21,397.2,0.0,0.0,1.94,1.92,3394.69,1672.82,2.99,1.49,0.24,0.0,0.0
2019-09-30,2637.66,527.44,38.11,51.04,420.92,2130.47,440.7,385.2,718.8,251.77,467.03,50.33,416.7,416.7,397.62,0.0,0.0,2.1,2.08,3612.11,1843.64,3.07,1.59,0.26,0.0,0.0
2019-12-31,2702.78,536.11,35.27,56.2,407.86,2175.43,414.76,404.21,743.82,160.86,582.96,142.32,440.64,440.64,398.46,0.0,0.0,2.21,2.2,3618.69,1941.01,2.99,1.63,0.26,0.0,0.0
2020-03-31,2724.35,565.29,46.86,60.34,711.11,2180.83,519.06,448.74,959.32,567.5,391.82,90.59,301.23,301.23,398.53,0.0,0.0,1.51,1.5,3530.83,1607.17,2.84,1.31,0.17,0.0,0.0
2020-06-30,2705.98,606.12,70.67,61.38,488.37,2147.71,495.85,356.58,932.38,394.62,537.76,136.99,400.77,400.77,398.75,0.0,0.0,2.01,2.01,3655.59,1477.46,2.96,1.22,0.22,0.0,0.0
2020-09-30,2717.49,592.52,116.61,61.28,509.33,2108.05,487.46,395.19,1006.53,592.06,414.47,106.85,307.62,307.62,398.93,0.0,0.0,1.54,1.54,3552.19,1218.14,2.84,0.99,0.16,0.0,0.0
2020-12-31,2713.21,573.61,114.69,58.01,481.84,2022.48,525.64,430.34,962.9,420.62,542.28,138.18,404.1,404.1,399.17,0.0,0.0,2.03,2.02,3470.18,757.24,2.71,0.6,0.21,0.0,0.0
2021-03-31,2658.44,576.69,66.2,65.01,465.37,1945.96,525.23,475.43,885.09,242.33,642.76,164.95,477.81,477.81,399.23,0.0,0.0,2.39,2.38,4602.39,1569.28,3.41,1.19,0.25,0.0,0.0
2021-06-30,2671.12,590.59,36.62,57.38,650.15,1937.28,528.3,405.1,1135.18,641.83,493.35,126.06,367.29,367.29,399.26,0.0,0.0,1.84,1.83,4649.33,1593.24,3.5,1.23,0.19,0.0,0.0
2021-09-30,2674.9,581.16,66.62,56.57,444.36,1899.83,571.93,487.06,864.79,245.33,619.46,159.2,460.26,460.26,420.3,0.0,0.0,2.22,2.2,4445.84,1502.44,3.24,1.12,0.23,0.0,0.0
2021-12-31,2729.27,574.02,60.89,78.38,484.19,1903.66,583.07,525.73,914.29,213.98,700.31,178.58,521.73,521.73,420.41,0.0,0.0,2.48,2.46,4401.26,1471.18,3.06,1.05,0.26,0.0,0.0
2022-03-31,2754.46,592.9,56.14,79.74,465.0,1958.03,637.25,554.76,798.2,75.24,722.96,182.42,540.54,540.54,420.51,0.0,0.0,2.57,2.55,4136.74,1392.62,2.8,0.96,0.25,0.0,0.0
2022-06-30,2886.82,629.49,44.8,67.75,452.62,2024.35,499.32,584.44,973.37,166.68,806.69,206.03,600.66,600.66,420.7,0.0,0.0,2.86,2.83,4155.33,1420.25,2.69,0.94,0.27,0.0,0.0
2022-09-30,3222.72,667.37,60.17,70.52,609.52,2258.95,515.63,643.48,1212.24,267.86,944.38,240.67,703.71,703.71,421.91,0.0,0.0,3.34,3.31,4031.06,1262.35,2.46,0.78,0.3,0.0,0.0
2022-12-31,3584.87,720.69,49.77,77.92,534.0,2476.72,560.83,655.49,1274.21,198.69,1075.52,271.91,803.61,803.61,422.91,0.0,0.0,3.8,3.75,4147.85,1228.59,2.43,0.73,0.33,0.0,0.0
2023-03-31,3797.43,778.02,51.51,93.78,733.86,2811.45,597.22,711.36,1334.57,116.66,1217.91,315.3,902.61,0.0,423.24,0.0,0.0,4.27,4.21,4183.77,1205.01,2.36,0.69,0.36,0.0,0.0
2023-06-30,4039.58,814.86,70.93,99.16,732.41,3105.94,616.74,731.91,1302.35,155.58,1146.77,293.03,853.74,853.74,423.6,0.0,0.0,4.03,3.98,4434.77,1274.59,2.38,0.69,0.32,0.0,0.0
2023-09-30,4355.48,893.97,90.28,115.55,730.42,3398.86,626.31,836.08,1324.45,43.9,1280.55,326.73,953.82,953.82,470.32,0.0,0.0,4.17,4.12,4436.05,1229.81,2.26,0.64,0.34,0.0,0.0
2023-12-31,4597.57,950.24,79.29,103.0,862.56,3606.74,693.15,855.44,1437.33,91.22,1346.11,339.37,1006.74,1006.74,486.68,0.0,0.0,4.16,4.11,4628.79,1284.37,2.29,0.64,0.35,0.0,0.0
2024-03-31,4741.89,1032.55,98.37,105.54,753.88,3783.24,886.89,951.75,1110.35,-94.6,1204.95,298.65,906.3,906.3,487.07,0.0,0.0,3.72,3.68,4528.87,1255.33,2.13,0.6,0.3,0.0,0.0
2024-06-30,5026.14,1108.25,102.69,93.8,915.18,4038.9,738.02,968.23,1500.91,144.27,1356.64,347.11,1009.53,1009.53,489.53,0.0,0.0,4.14,4.09,4738.35,1330.44,2.11,0.6,0.32,0.0,0.0
2024-09-30,5241.96,1135.73,107.92,91.67,963.95,4210.05,777.67,988.15,1565.36,158.35,1407.01,350.32,1056.69,1056.69,490.45,0.0,0.0,4.31,4.27,4884.49,1322.29,2.09,0.57,0.32,0.0,0.0
2024-12-31,5463.7,1147.42,112.55,85.06,916.17,4377.39,783.16,994.89,1569.46,292.33,1277.13,321.69,955.44,955.44,490.9,0.0,0.0,3.89,3.85,4553.31,1131.17,1.95,0.49,0.29,0.0,0.0
2025-03-31,5284.82,1150.42,119.84,93.28,1005.95,4270.92,783.84,1134.15,1465.4,138.11,1327.29,297.06,1030.23,1030.23,491.17,0.0,0.0,4.2,4.16,4375.54,1040.38,1.84,0.44,0.31,0.0,0.0
