Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-09-30,2136.89,0.0,2136.89,232.67,10.28,0.0,26.46,153.93,1713.55,3.66,1717.21,669.88,1047.33,1047.33,189.41,857.92,857.92,400.73,21.41,21.37,0.0,0.0,0.0,0.0,0.0
2019-12-31,2310.0,0.0,2310.0,257.98,10.98,0.0,63.99,206.16,1770.89,3.16,1774.05,693.75,1080.3,1080.3,276.89,803.41,803.41,400.97,20.04,20.03,0.0,0.0,0.0,0.0,0.0
2020-03-31,2400.35,0.0,2400.35,308.81,12.24,0.0,4.78,209.39,1865.12,2.26,1867.38,770.02,1097.36,1097.36,282.21,815.15,815.15,401.04,20.33,20.32,0.0,0.0,0.0,0.0,0.0
2020-06-30,2385.08,0.0,2385.08,236.21,9.93,0.0,14.59,127.68,1996.68,0.28,1996.96,871.5,1125.46,1125.46,284.7,840.76,840.76,401.04,20.96,20.94,0.0,0.0,0.0,0.0,0.0
2020-09-30,2583.42,0.0,2583.42,252.97,11.34,0.0,10.71,185.33,2123.07,1.05,2124.12,924.13,1199.99,1199.99,305.61,894.38,894.38,401.17,22.3,22.28,0.0,0.0,0.0,0.0,0.0
2020-12-31,2764.86,0.0,2764.86,241.07,14.07,0.0,58.55,185.82,2265.35,11.6,2276.95,945.52,1331.43,1331.43,340.06,991.37,991.37,401.19,24.72,24.69,0.0,0.0,0.0,0.0,0.0
2021-03-31,2823.85,0.0,2823.85,276.0,15.37,0.0,11.14,224.63,2296.71,4.22,2300.93,951.3,1349.63,1349.63,353.97,995.66,995.66,401.2,24.81,24.8,0.0,0.0,0.0,0.0,0.0
2021-06-30,2713.8,0.0,2713.8,231.38,11.4,0.0,33.67,156.16,2281.19,1.14,2282.32,982.19,1300.14,1300.14,328.98,971.16,971.16,401.2,24.21,24.18,0.0,0.0,0.0,0.0,0.0
2021-09-30,2830.43,0.0,2830.43,230.99,12.75,0.0,74.4,195.98,2316.31,2.9,2319.21,979.44,1339.77,1339.77,345.76,994.01,994.01,401.2,24.77,24.77,0.0,0.0,0.0,0.0,0.0
2021-12-31,2868.21,0.0,2868.21,254.58,13.94,0.0,88.93,183.35,2327.41,3.56,2330.97,953.3,1377.67,1377.67,348.81,1028.86,1028.86,401.35,25.64,25.63,0.0,0.0,0.0,0.0,0.0
2022-03-31,2669.89,0.0,2669.89,313.26,15.84,0.0,-69.96,206.61,2204.14,8.48,2212.62,920.84,1291.78,1291.78,331.51,960.28,960.28,401.35,23.93,23.92,0.0,0.0,0.0,0.0,0.0
2022-06-30,2503.87,0.0,2503.87,282.66,12.9,0.0,-57.69,247.98,2018.01,5.4,2023.41,941.59,1081.82,1081.82,279.81,802.01,802.01,401.35,19.98,19.97,0.0,0.0,0.0,0.0,0.0
2022-09-30,2497.73,0.0,2497.73,269.47,13.54,0.0,-12.75,169.2,2058.27,5.85,2064.12,902.69,1161.43,1161.43,294.22,867.21,867.21,401.44,21.61,21.61,0.0,0.0,0.0,0.0,0.0
2022-12-31,2659.82,0.0,2659.82,277.13,14.75,0.0,55.68,198.65,2113.6,7.28,2120.88,914.13,1206.76,1206.76,305.11,901.65,901.65,401.44,22.46,22.46,0.0,0.0,0.0,0.0,0.0
2023-03-31,2853.43,0.0,2853.43,370.18,17.11,0.0,75.29,244.07,2146.78,10.37,2157.15,940.73,1216.42,1216.42,313.76,902.66,902.66,401.45,22.49,22.48,0.0,0.0,0.0,0.0,0.0
2023-06-30,2998.69,0.0,2998.69,334.93,13.35,0.0,86.04,213.71,2350.66,27.64,2378.3,1063.77,1314.53,1314.53,339.41,975.12,975.12,401.45,24.29,24.29,0.0,0.0,0.0,0.0,0.0
2023-09-30,3059.67,0.0,3059.67,319.65,15.42,0.0,12.03,239.98,2472.59,13.92,2486.51,1156.29,1330.22,1330.22,339.22,991.0,991.0,401.46,24.69,24.68,0.0,0.0,0.0,0.0,0.0
2023-12-31,3167.73,0.0,3167.73,322.77,17.41,0.0,13.74,229.39,2584.42,7.99,2592.42,1211.94,1380.48,1380.48,353.22,1027.26,1027.26,401.46,25.58,25.59,0.0,0.0,0.0,0.0,0.0
2024-03-31,3408.92,0.0,3408.92,409.57,19.45,0.0,85.96,257.11,2636.84,9.49,2646.32,1222.76,1423.57,1423.57,367.27,1056.29,1056.29,401.46,26.32,26.31,0.0,0.0,0.0,0.0,0.0
2024-06-30,3703.79,0.0,3703.79,383.24,18.23,0.0,223.58,242.22,2836.52,6.31,2842.83,1351.13,1491.7,1491.7,413.01,1078.68,1078.68,401.46,26.87,26.87,0.0,0.0,0.0,0.0,0.0
2024-09-30,4117.44,0.0,4117.44,383.91,16.02,0.0,207.01,260.87,3249.65,8.78,3258.43,1550.47,1707.96,1707.96,456.82,1251.14,1251.14,401.46,31.16,31.16,0.0,0.0,0.0,0.0,0.0
2024-12-31,4423.46,0.0,4423.46,414.73,19.92,0.0,208.75,289.65,3490.41,7.7,3498.11,1647.59,1850.53,1850.53,487.44,1363.09,1363.09,401.46,33.96,33.95,0.0,0.0,0.0,0.0,0.0
2025-03-31,4854.4,0.0,4854.4,514.71,22.69,0.0,127.41,323.6,3866.0,34.07,3900.07,1879.66,2020.41,2020.41,512.57,1507.84,1507.84,401.46,37.56,37.56,0.0,0.0,0.0,0.0,0.0
