Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Money Received Against Share Warrants,Raw Materials,Capital Goods,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,389.24,1525.91,6874.74,6874.74,8400.65,0.0,0.0,3778.43,0.0,2.88,1.35,3782.66,215.64,206.95,1651.78,64.23,2138.6,14321.91,100.44,4.01,0.0,0.0,104.45,9519.39,2.12,2306.78,759.23,12691.97,15.54,91.03,145.86,4.3,338.15,1035.06,1629.94,14321.91,18757.65,0.0,481.11,105.77,0.0,9519.39,0.0,15.54,1136.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,436.13,1572.8,7883.47,7883.47,9598.02,889.66,0.0,3365.98,0.0,22.72,1.74,3390.44,146.03,160.8,988.86,12.79,1308.48,15186.6,80.29,2.99,0.0,0.0,83.28,9025.56,0.0,4125.24,813.82,14047.9,100.0,4.55,147.95,398.64,228.18,259.38,1138.7,15186.6,17543.95,0.0,22.12,105.77,0.0,9025.56,0.0,100.0,1136.67,141.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,603.59,603.59,8818.26,8818.26,9421.85,0.0,0.0,5296.62,0.0,140.52,2.74,5439.88,137.45,106.38,688.8,15.38,948.01,15809.74,73.01,2.77,0.0,0.0,75.78,7703.86,0.0,5998.63,360.44,14138.71,155.64,8.73,124.72,329.99,469.26,582.69,1671.03,15809.74,18369.79,0.0,18.41,105.77,0.0,7703.86,0.0,155.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,603.59,603.59,5913.61,5913.61,6517.2,0.0,0.0,5091.51,0.0,230.45,0.0,5321.96,112.88,219.55,1267.46,1.91,1601.8,13440.96,68.36,3.11,0.0,0.0,71.47,9817.44,97.23,1825.79,306.46,12118.39,6.77,65.74,67.88,45.06,500.16,636.96,1322.57,13440.96,34510.74,155.92,23.24,105.77,0.0,9817.44,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,603.59,603.59,16510.26,16510.26,17113.85,0.0,0.0,5184.57,1780.61,133.26,0.0,7098.44,768.91,333.48,1176.17,13.27,2291.83,26504.12,117.21,2.15,20.93,0.0,140.29,22593.1,97.23,2230.71,344.52,25405.85,26.6,38.1,50.34,92.68,180.21,710.34,1098.27,26504.12,17260.32,157.55,21.47,105.77,0.0,22593.1,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,603.59,603.59,11097.56,11097.56,11701.15,0.0,0.0,5293.93,489.28,654.73,0.0,6437.94,943.55,497.22,2797.97,12.11,4250.85,22389.94,156.84,1.92,0.0,0.0,158.76,12238.91,97.23,1599.55,298.01,14392.46,0.01,45.08,394.73,24.57,350.14,7182.95,7997.48,22389.94,19346.9,5.62,1055.13,105.77,0.0,12238.91,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,603.59,603.59,11418.23,11418.23,12021.82,0.0,45.92,6341.45,882.84,128.72,0.89,7353.9,818.64,552.06,3484.35,4.83,4859.88,24281.52,132.71,1.94,0.0,0.0,134.65,15018.66,0.0,1256.28,263.96,16673.55,98.0,98.48,538.87,25.27,1137.96,5709.39,7607.97,24281.52,17955.52,1.2,2.07,105.77,0.0,15077.28,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,603.59,603.59,9133.0,9133.0,9736.59,0.0,1.24,3720.53,539.88,106.12,0.8,4367.33,1415.59,562.83,2181.43,0.04,4159.89,18265.05,123.88,4.88,0.0,0.0,128.76,13804.54,0.0,1328.83,791.04,16053.17,0.2,78.68,333.67,85.34,630.31,1083.68,2211.88,18265.05,11702.83,199.2,40.24,105.77,0.0,13863.71,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,603.59,603.59,9788.24,9788.24,10391.83,0.0,0.0,619.87,1503.51,255.75,0.77,2379.9,140.0,18.4,153.45,0.03,311.88,13083.61,0.95,0.02,0.0,0.0,0.97,12613.61,0.0,99.43,65.59,12779.6,0.0,0.0,25.18,15.37,111.15,152.31,304.01,13083.61,7193.14,4.44,12.44,105.77,0.0,12613.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,603.59,603.59,21319.32,21319.32,21922.91,0.0,0.0,2778.31,5055.19,132.64,0.99,7967.13,181.2,16.28,345.06,0.03,542.57,30432.61,1.37,0.0,0.0,0.0,1.37,26956.45,0.0,864.0,5.96,27827.78,0.0,0.0,21.89,2462.37,0.0,120.57,2604.83,30432.61,4640.85,9.78,2.25,105.77,0.0,26956.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,603.59,603.59,52214.37,52214.37,52817.96,341.06,479.35,7506.46,14980.28,1210.8,1.64,23699.18,181.42,101.42,237.8,12.59,533.23,77870.78,165.49,49.09,5.32,2.06,221.96,74423.56,102.87,2160.04,268.11,77176.54,67.12,2.4,143.42,40.7,237.44,203.16,694.24,77870.78,0.0,49.16,0.0,105.77,0.0,74423.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
